Date,Open,High,Low,Close,Currency
2015-01-01,0.3794,0.3797,0.3785,0.3788,TRY
2015-01-02,0.3786,0.3818,0.3771,0.378,TRY
2015-01-05,0.3778,0.3782,0.3724,0.3739,TRY
2015-01-06,0.3737,0.3744,0.37,0.3711,TRY
2015-01-07,0.371,0.3721,0.3686,0.369,TRY
2015-01-08,0.3688,0.3693,0.3637,0.3644,TRY
2015-01-09,0.3642,0.3668,0.3614,0.3651,TRY
2015-01-12,0.3649,0.3662,0.3617,0.3635,TRY
2015-01-13,0.3633,0.3643,0.36,0.3618,TRY
2015-01-14,0.3615,0.3661,0.3604,0.3615,TRY
2015-01-15,0.3613,0.3646,0.3556,0.3616,TRY
2015-01-16,0.3616,0.3637,0.3585,0.3616,TRY
2015-01-19,0.3612,0.3671,0.3606,0.3651,TRY
2015-01-20,0.3648,0.3681,0.3615,0.3645,TRY
2015-01-21,0.3643,0.3672,0.3626,0.367,TRY
2015-01-22,0.3668,0.3692,0.353,0.3549,TRY
2015-01-23,0.3544,0.3564,0.3494,0.3535,TRY
2015-01-26,0.3557,0.3588,0.3531,0.3552,TRY
2015-01-27,0.3548,0.3627,0.3544,0.3615,TRY
2015-01-28,0.361,0.3638,0.3585,0.3617,TRY
2015-01-29,0.3613,0.3681,0.361,0.3675,TRY
2015-01-30,0.3672,0.3724,0.3656,0.3715,TRY
2015-02-02,0.3709,0.3717,0.3664,0.3703,TRY
2015-02-03,0.3699,0.3721,0.3657,0.3702,TRY
2015-02-04,0.37,0.3783,0.3683,0.3759,TRY
2015-02-05,0.3754,0.3771,0.3722,0.3758,TRY
2015-02-06,0.3754,0.3782,0.3728,0.3763,TRY
2015-02-09,0.3757,0.381,0.3754,0.3768,TRY
2015-02-10,0.3764,0.381,0.3748,0.3797,TRY
2015-02-11,0.3792,0.3819,0.3766,0.3808,TRY
2015-02-12,0.3806,0.3815,0.3769,0.3778,TRY
2015-02-13,0.3776,0.3802,0.3758,0.3765,TRY
2015-02-16,0.3762,0.3782,0.3731,0.3746,TRY
2015-02-17,0.3744,0.3768,0.3723,0.3759,TRY
2015-02-18,0.3757,0.3779,0.3719,0.3738,TRY
2015-02-19,0.3738,0.3759,0.3727,0.3752,TRY
2015-02-20,0.375,0.3755,0.3716,0.3739,TRY
2015-02-23,0.3762,0.3773,0.373,0.3761,TRY
2015-02-24,0.376,0.3776,0.3735,0.3744,TRY
2015-02-25,0.374,0.379,0.3732,0.3786,TRY
2015-02-26,0.3784,0.3796,0.3738,0.3758,TRY
2015-02-27,0.3756,0.3801,0.3739,0.3762,TRY
2015-03-02,0.3765,0.3789,0.3748,0.3778,TRY
2015-03-03,0.3777,0.382,0.376,0.3802,TRY
2015-03-04,0.38,0.3821,0.3785,0.381,TRY
2015-03-05,0.3808,0.3885,0.3795,0.3858,TRY
2015-03-06,0.3856,0.3869,0.3784,0.3823,TRY
2015-03-09,0.3826,0.3835,0.3778,0.3789,TRY
2015-03-10,0.3786,0.3816,0.3769,0.3788,TRY
2015-03-11,0.3786,0.3797,0.3686,0.3694,TRY
2015-03-12,0.3692,0.3708,0.3669,0.3685,TRY
2015-03-13,0.3684,0.3756,0.3672,0.3713,TRY
2015-03-16,0.3699,0.3735,0.3676,0.3719,TRY
2015-03-17,0.3717,0.3735,0.3703,0.371,TRY
2015-03-18,0.3709,0.3748,0.3659,0.3669,TRY
2015-03-19,0.3666,0.3759,0.3665,0.373,TRY
2015-03-20,0.3724,0.3757,0.3704,0.3735,TRY
2015-03-23,0.3734,0.3761,0.3718,0.3732,TRY
2015-03-24,0.373,0.3782,0.3717,0.3736,TRY
2015-03-25,0.3733,0.3806,0.373,0.38,TRY
2015-03-26,0.3798,0.3851,0.3775,0.3783,TRY
2015-03-27,0.3775,0.3821,0.3774,0.3805,TRY
2015-03-30,0.3804,0.3814,0.3765,0.378,TRY
2015-03-31,0.378,0.3788,0.3722,0.3731,TRY
2015-04-01,0.3729,0.3758,0.3727,0.3745,TRY
2015-04-02,0.3743,0.3781,0.3737,0.3764,TRY
2015-04-03,0.3762,0.379,0.3739,0.3774,TRY
2015-04-06,0.3769,0.3793,0.3753,0.3757,TRY
2015-04-07,0.3755,0.3779,0.3742,0.3766,TRY
2015-04-08,0.3764,0.3778,0.3732,0.375,TRY
2015-04-09,0.3748,0.3754,0.3719,0.3737,TRY
2015-04-10,0.3736,0.3745,0.3714,0.373,TRY
2015-04-13,0.3716,0.3783,0.3716,0.3777,TRY
2015-04-14,0.3774,0.3849,0.3756,0.3835,TRY
2015-04-15,0.3834,0.3881,0.3814,0.3861,TRY
2015-04-16,0.3859,0.3892,0.3834,0.3861,TRY
2015-04-17,0.3859,0.3901,0.3857,0.3879,TRY
2015-04-20,0.3892,0.3902,0.3866,0.3884,TRY
2015-04-21,0.3883,0.389,0.3841,0.3864,TRY
2015-04-22,0.3862,0.3924,0.385,0.3898,TRY
2015-04-23,0.3895,0.3941,0.3889,0.3919,TRY
2015-04-24,0.3917,0.399,0.3905,0.3955,TRY
2015-04-27,0.397,0.399,0.3893,0.3904,TRY
2015-04-28,0.3902,0.3931,0.3891,0.3911,TRY
2015-04-29,0.391,0.3987,0.3896,0.3968,TRY
2015-04-30,0.3966,0.4032,0.3948,0.4017,TRY
2015-05-01,0.4015,0.4069,0.4002,0.4061,TRY
2015-05-04,0.4067,0.4082,0.4038,0.4052,TRY
2015-05-05,0.4047,0.4086,0.4014,0.4053,TRY
2015-05-06,0.4051,0.4105,0.4048,0.4093,TRY
2015-05-07,0.4091,0.414,0.4038,0.4053,TRY
2015-05-08,0.4052,0.4068,0.4012,0.4048,TRY
2015-05-11,0.4038,0.4051,0.4002,0.4026,TRY
2015-05-12,0.4024,0.4076,0.3993,0.4002,TRY
2015-05-13,0.4,0.4026,0.3972,0.4001,TRY
