Date,Open,High,Low,Close,Currency
2015-01-01,87.69,88.23,87.69,87.99,XAF
2015-01-02,88.01,88.14,87.74,87.74,XAF
2015-01-04,87.35,87.4,86.86,87.4,XAF
2015-01-05,87.4,88.46,87.4,88.46,XAF
2015-01-06,88.36,88.62,87.77,88.0,XAF
2015-01-07,88.01,88.36,87.77,88.17,XAF
2015-01-08,88.18,88.57,87.62,88.39,XAF
2015-01-09,88.36,88.4,87.81,88.23,XAF
2015-01-11,88.37,88.58,88.37,88.58,XAF
2015-01-12,88.58,88.58,87.6,88.58,XAF
2015-01-13,88.47,88.56,87.75,88.01,XAF
2015-01-14,88.07,88.82,87.91,88.45,XAF
2015-01-15,88.37,88.61,87.08,87.85,XAF
2015-01-16,87.84,88.43,87.33,88.1,XAF
2015-01-18,88.04,88.15,88.0,88.15,XAF
2015-01-19,88.07,88.71,88.01,88.23,XAF
2015-01-20,88.23,88.46,87.88,87.88,XAF
2015-01-21,87.91,89.0,87.88,88.5,XAF
2015-01-22,88.52,88.52,85.76,85.99,XAF
2015-01-23,85.97,89.49,85.93,88.91,XAF
2015-01-25,88.8,88.8,87.29,87.51,XAF
2015-01-26,87.58,88.54,87.58,88.16,XAF
2015-01-27,88.22,89.23,87.99,88.83,XAF
2015-01-28,88.81,88.82,87.39,87.39,XAF
2015-01-29,87.46,88.56,87.46,88.36,XAF
2015-01-30,88.35,88.37,87.67,87.68,XAF
2015-02-01,87.72,88.39,87.72,88.39,XAF
2015-02-02,88.3,88.53,87.94,88.31,XAF
2015-02-03,88.2,89.5,87.91,89.09,XAF
2015-02-04,88.93,89.02,87.22,87.22,XAF
2015-02-05,87.31,89.08,87.31,88.44,XAF
2015-02-06,88.41,88.42,87.11,87.11,XAF
2015-02-08,87.13,87.19,86.97,87.19,XAF
2015-02-09,87.1,88.41,87.08,88.23,XAF
2015-02-10,88.16,88.48,87.66,88.28,XAF
2015-02-11,88.37,88.44,87.85,88.05,XAF
2015-02-12,88.1,88.55,87.87,88.37,XAF
2015-02-13,88.42,88.43,87.87,88.06,XAF
