Date,Open,High,Low,Close,Currency
2015-01-01,1.8791,1.8814,1.8742,1.8767,ZAR
2015-01-02,1.8758,1.8957,1.8716,1.8871,ZAR
2015-01-05,1.8856,1.8909,1.8729,1.8774,ZAR
2015-01-06,1.8765,1.8855,1.8667,1.8716,ZAR
2015-01-07,1.871,1.8749,1.8565,1.8583,ZAR
2015-01-08,1.8574,1.861,1.8315,1.8364,ZAR
2015-01-09,1.8355,1.8477,1.8209,1.8288,ZAR
2015-01-12,1.8281,1.8355,1.8213,1.8333,ZAR
2015-01-13,1.8325,1.835,1.8178,1.825,ZAR
2015-01-14,1.8242,1.844,1.8097,1.8139,ZAR
2015-01-15,1.8131,1.8214,1.7893,1.8097,ZAR
2015-01-16,1.8089,1.8126,1.7871,1.798,ZAR
2015-01-19,1.7969,1.8254,1.7938,1.8176,ZAR
2015-01-20,1.8167,1.8202,1.7968,1.8005,ZAR
2015-01-21,1.7996,1.8076,1.787,1.7978,ZAR
2015-01-22,1.797,1.8064,1.7319,1.7406,ZAR
2015-01-23,1.7395,1.7438,1.7018,1.7183,ZAR
2015-01-26,1.7217,1.741,1.7095,1.7293,ZAR
2015-01-27,1.7281,1.7728,1.7257,1.7717,ZAR
2015-01-28,1.7709,1.7718,1.7476,1.7556,ZAR
2015-01-29,1.755,1.776,1.7513,1.7576,ZAR
2015-01-30,1.7565,1.7773,1.7533,1.7687,ZAR
2015-02-02,1.7686,1.7706,1.749,1.7522,ZAR
2015-02-03,1.7513,1.7617,1.7415,1.7545,ZAR
2015-02-04,1.7536,1.762,1.7446,1.7487,ZAR
2015-02-05,1.7478,1.7564,1.728,1.7377,ZAR
2015-02-06,1.7365,1.7571,1.734,1.7513,ZAR
2015-02-09,1.7495,1.7688,1.7461,1.7624,ZAR
2015-02-10,1.7615,1.7829,1.7551,1.777,ZAR
2015-02-11,1.7764,1.8075,1.7733,1.8003,ZAR
2015-02-12,1.7994,1.8077,1.7882,1.794,ZAR
2015-02-13,1.793,1.8059,1.7792,1.7871,ZAR
2015-02-16,1.7865,1.7929,1.7706,1.7763,ZAR
2015-02-17,1.7751,1.7919,1.7712,1.79,ZAR
2015-02-18,1.7894,1.7971,1.7666,1.7756,ZAR
2015-02-19,1.7747,1.7877,1.7708,1.7834,ZAR
2015-02-20,1.7825,1.7835,1.7614,1.7718,ZAR
2015-02-23,1.7714,1.7842,1.7644,1.7679,ZAR
2015-02-24,1.7676,1.7741,1.7425,1.7445,ZAR
2015-02-25,1.7438,1.7519,1.7354,1.7419,ZAR
2015-02-26,1.7408,1.7463,1.7234,1.731,ZAR
2015-02-27,1.7301,1.7568,1.7242,1.7498,ZAR
2015-03-02,1.747,1.7695,1.747,1.7673,ZAR
2015-03-03,1.7664,1.7713,1.7557,1.7627,ZAR
2015-03-04,1.7618,1.7671,1.7489,1.7556,ZAR
2015-03-05,1.755,1.7567,1.7356,1.7533,ZAR
2015-03-06,1.752,1.766,1.7288,1.7538,ZAR
2015-03-09,1.7538,1.7683,1.7474,1.7609,ZAR
2015-03-10,1.7597,1.7773,1.7552,1.7756,ZAR
2015-03-11,1.7748,1.7772,1.7307,1.7372,ZAR
2015-03-12,1.7365,1.7553,1.7267,1.7539,ZAR
2015-03-13,1.7529,1.7725,1.7432,1.7555,ZAR
2015-03-16,1.757,1.7661,1.7474,1.7555,ZAR
2015-03-17,1.7544,1.7696,1.7525,1.7556,ZAR
2015-03-18,1.7547,1.7651,1.7064,1.7217,ZAR
2015-03-19,1.7205,1.7665,1.7205,1.7617,ZAR
2015-03-20,1.7606,1.7656,1.7383,1.7441,ZAR
2015-03-23,1.7456,1.7605,1.7404,1.747,ZAR
2015-03-24,1.7464,1.7577,1.7231,1.7274,ZAR
2015-03-25,1.7263,1.7467,1.7243,1.7409,ZAR
2015-03-26,1.74,1.7612,1.7361,1.7484,ZAR
2015-03-27,1.7473,1.7605,1.7384,1.756,ZAR
2015-03-30,1.7551,1.7644,1.7489,1.7627,ZAR
2015-03-31,1.761,1.763,1.7387,1.7422,ZAR
2015-04-01,1.7415,1.7503,1.7222,1.727,ZAR
2015-04-02,1.7261,1.7473,1.7256,1.739,ZAR
2015-04-03,1.7382,1.7573,1.7284,1.7313,ZAR
2015-04-06,1.7274,1.7345,1.719,1.7257,ZAR
2015-04-07,1.7252,1.7311,1.7117,1.72,ZAR
2015-04-08,1.7192,1.7236,1.7014,1.7046,ZAR
2015-04-09,1.7038,1.7081,1.695,1.7045,ZAR
2015-04-10,1.7038,1.7088,1.6952,1.702,ZAR
2015-04-13,1.7002,1.7219,1.7001,1.7167,ZAR
2015-04-14,1.7158,1.7197,1.7087,1.7131,ZAR
2015-04-15,1.712,1.7332,1.708,1.7257,ZAR
2015-04-16,1.7248,1.7363,1.7136,1.7247,ZAR
2015-04-17,1.7239,1.7508,1.7219,1.7479,ZAR
2015-04-20,1.7473,1.749,1.7301,1.746,ZAR
2015-04-21,1.7465,1.7497,1.7337,1.7437,ZAR
2015-04-22,1.7431,1.7602,1.7368,1.7563,ZAR
2015-04-23,1.7552,1.7711,1.7499,1.7623,ZAR
2015-04-24,1.7617,1.7799,1.7568,1.7669,ZAR
2015-04-27,1.7652,1.7684,1.746,1.7526,ZAR
2015-04-28,1.7518,1.756,1.7345,1.7459,ZAR
2015-04-29,1.745,1.7671,1.7365,1.7582,ZAR
2015-04-30,1.7574,1.7985,1.7514,1.7908,ZAR
2015-05-01,1.7899,1.8144,1.7846,1.8088,ZAR
2015-05-04,1.8073,1.813,1.7917,1.801,ZAR
2015-05-05,1.8002,1.8048,1.7863,1.7956,ZAR
2015-05-06,1.7947,1.828,1.7926,1.8264,ZAR
2015-05-07,1.8256,1.8493,1.8101,1.8137,ZAR
2015-05-08,1.8128,1.8244,1.7888,1.7911,ZAR
2015-05-11,1.7884,1.806,1.7813,1.8057,ZAR
2015-05-12,1.8055,1.8355,1.8018,1.8131,ZAR
2015-05-13,1.812,1.819,1.7962,1.8079,ZAR
2015-05-14,1.8071,1.8218,1.7949,1.8013,ZAR
2015-05-15,1.8008,1.8101,1.7935,1.8082,ZAR
2015-05-18,1.8076,1.8139,1.797,1.8014,ZAR
2015-05-19,1.8004,1.8044,1.7735,1.7803,ZAR
2015-05-20,1.7798,1.7836,1.7589,1.7602,ZAR
2015-05-21,1.7592,1.7717,1.75,1.7621,ZAR
2015-05-22,1.7612,1.7725,1.75,1.7568,ZAR
2015-05-25,1.7555,1.7631,1.7509,1.7608,ZAR
2015-05-26,1.76,1.7664,1.7483,1.7631,ZAR
2015-05-27,1.7625,1.7701,1.757,1.7582,ZAR
2015-05-28,1.7576,1.785,1.7536,1.7818,ZAR
2015-05-29,1.781,1.7934,1.7788,1.7907,ZAR
2015-06-01,1.7864,1.8017,1.78,1.7965,ZAR
2015-06-02,1.7956,1.8322,1.7917,1.8238,ZAR
2015-06-03,1.8236,1.8621,1.8183,1.8605,ZAR
2015-06-04,1.8595,1.8883,1.8545,1.865,ZAR
2015-06-05,1.8641,1.8807,1.8547,1.8743,ZAR
2015-06-08,1.8735,1.8972,1.8717,1.889,ZAR
2015-06-09,1.8881,1.8988,1.8694,1.8796,ZAR
2015-06-10,1.8791,1.8879,1.8611,1.868,ZAR
2015-06-11,1.8676,1.88,1.8567,1.8639,ZAR
2015-06-12,1.863,1.8808,1.857,1.8701,ZAR
2015-06-15,1.8691,1.8806,1.863,1.8762,ZAR
2015-06-16,1.8757,1.8923,1.8623,1.8655,ZAR
2015-06-17,1.8648,1.8855,1.8605,1.8646,ZAR
2015-06-18,1.8638,1.8756,1.8542,1.8647,ZAR
2015-06-19,1.8639,1.8681,1.8434,1.8505,ZAR
2015-06-22,1.8482,1.8573,1.8363,1.8385,ZAR
2015-06-23,1.8378,1.8418,1.8186,1.8215,ZAR
2015-06-24,1.8209,1.8324,1.816,1.8259,ZAR
2015-06-25,1.8249,1.8286,1.8083,1.8182,ZAR
2015-06-26,1.8173,1.8332,1.8139,1.8262,ZAR
2015-06-29,1.8253,1.8486,1.7995,1.8436,ZAR
2015-06-30,1.8428,1.8479,1.8082,1.8169,ZAR
2015-07-01,1.8159,1.8239,1.8098,1.8145,ZAR
2015-07-02,1.8136,1.8382,1.812,1.8207,ZAR
2015-07-03,1.8201,1.8406,1.8128,1.8318,ZAR
2015-07-06,1.8139,1.8459,1.8126,1.8359,ZAR
2015-07-07,1.835,1.8437,1.8229,1.8372,ZAR
2015-07-08,1.8364,1.8673,1.8314,1.8668,ZAR
2015-07-09,1.8662,1.8679,1.8397,1.8501,ZAR
2015-07-10,1.8496,1.8669,1.8409,1.861,ZAR
2015-07-13,1.8602,1.8672,1.8313,1.8355,ZAR
2015-07-14,1.8348,1.8398,1.8164,1.8179,ZAR
2015-07-15,1.8175,1.8308,1.816,1.8221,ZAR
2015-07-16,1.8213,1.8238,1.8023,1.8056,ZAR
2015-07-17,1.8051,1.8116,1.7911,1.794,ZAR
2015-07-20,1.7934,1.8125,1.7927,1.8043,ZAR
2015-07-21,1.8035,1.8128,1.7977,1.807,ZAR
2015-07-22,1.806,1.8182,1.8008,1.8175,ZAR
2015-07-23,1.8167,1.8373,1.8143,1.8318,ZAR
2015-07-24,1.8314,1.8623,1.8276,1.8577,ZAR
2015-07-27,1.8562,1.883,1.8537,1.8753,ZAR
2015-07-28,1.8745,1.8815,1.8511,1.863,ZAR
2015-07-29,1.8624,1.8671,1.8438,1.8448,ZAR
2015-07-30,1.8441,1.8706,1.844,1.8609,ZAR
2015-07-31,1.8601,1.8793,1.8582,1.8656,ZAR
2015-08-03,1.8642,1.874,1.8599,1.8616,ZAR
2015-08-04,1.861,1.8684,1.8531,1.8573,ZAR
2015-08-05,1.8568,1.8703,1.8519,1.8702,ZAR
2015-08-06,1.8695,1.8717,1.8591,1.8621,ZAR
2015-08-07,1.8616,1.8686,1.8425,1.8553,ZAR
2015-08-10,1.855,1.872,1.854,1.8703,ZAR
2015-08-11,1.8691,1.8991,1.8657,1.8925,ZAR
2015-08-12,1.8901,1.9185,1.8892,1.9073,ZAR
2015-08-13,1.9064,1.9166,1.8978,1.9136,ZAR
2015-08-14,1.9125,1.9252,1.9026,1.9092,ZAR
2015-08-17,1.9082,1.9225,1.9048,1.9156,ZAR
2015-08-18,1.9146,1.9224,1.9041,1.905,ZAR
2015-08-19,1.9044,1.9241,1.9025,1.9203,ZAR
2015-08-20,1.9192,1.9492,1.9157,1.9483,ZAR
2015-08-21,1.9476,1.9793,1.942,1.9789,ZAR
2015-08-24,1.9768,2.0943,1.9756,2.0603,ZAR
2015-08-25,2.0576,2.0623,1.9826,2.0357,ZAR
2015-08-26,2.0335,2.0448,1.9791,1.9902,ZAR
2015-08-27,1.9881,2.002,1.9631,1.981,ZAR
2015-08-28,1.9786,2.0033,1.9742,1.9941,ZAR
2015-08-31,1.9905,2.0157,1.9853,1.9945,ZAR
2015-09-01,1.9916,2.0397,1.9874,2.0388,ZAR
2015-09-02,2.0362,2.0428,2.0147,2.0225,ZAR
2015-09-03,2.0208,2.0552,2.0098,2.0223,ZAR
2015-09-04,2.02,2.0797,2.019,2.0691,ZAR
2015-09-07,2.0652,2.0989,2.0634,2.0909,ZAR
2015-09-08,2.0881,2.1065,2.0498,2.0606,ZAR
2015-09-09,2.0583,2.0755,2.0267,2.0717,ZAR
2015-09-10,2.0694,2.1032,2.048,2.0641,ZAR
2015-09-11,2.0634,2.0758,2.0439,2.0639,ZAR
2015-09-14,2.059,2.0724,2.0419,2.0454,ZAR
2015-09-15,2.0445,2.0562,2.0286,2.0342,ZAR
2015-09-16,2.0317,2.0423,2.003,2.0077,ZAR
2015-09-17,2.0052,2.0497,2.0042,2.0465,ZAR
2015-09-18,2.0442,2.0476,2.0127,2.0181,ZAR
2015-09-21,2.0174,2.0317,2.0071,2.0204,ZAR
2015-09-22,2.0184,2.0546,2.0077,2.04,ZAR
2015-09-23,2.0384,2.0842,2.0316,2.0786,ZAR
2015-09-24,2.077,2.1294,2.0719,2.0836,ZAR
2015-09-25,2.0811,2.0945,2.0452,2.0876,ZAR
2015-09-28,2.085,2.1242,2.0651,2.1199,ZAR
2015-09-29,2.1165,2.1425,2.0865,2.1068,ZAR
2015-09-30,2.1046,2.1139,2.0637,2.0756,ZAR
2015-10-01,2.0732,2.094,2.0471,2.0892,ZAR
2015-10-02,2.0868,2.1269,2.0596,2.0638,ZAR
