Date,Open,High,Low,Close,Currency
2015-01-01,0.1156,0.1157,0.1155,0.1155,EUR
2015-01-02,0.1155,0.1166,0.1155,0.1166,EUR
2015-01-05,0.1165,0.1179,0.1165,0.1174,EUR
2015-01-06,0.1172,0.1177,0.1168,0.1176,EUR
2015-01-07,0.1176,0.1185,0.1175,0.1181,EUR
2015-01-08,0.1181,0.119,0.118,0.1186,EUR
2015-01-09,0.1186,0.1189,0.118,0.1181,EUR
2015-01-12,0.1181,0.1187,0.1178,0.1182,EUR
2015-01-13,0.1182,0.119,0.1179,0.1188,EUR
2015-01-14,0.1188,0.1192,0.118,0.1186,EUR
2015-01-15,0.1186,0.121,0.1186,0.1202,EUR
2015-01-16,0.1202,0.122,0.12,0.1209,EUR
2015-01-19,0.1202,0.1203,0.1185,0.1188,EUR
2015-01-20,0.1188,0.1192,0.1179,0.1186,EUR
2015-01-21,0.1186,0.1187,0.1165,0.1172,EUR
2015-01-22,0.1172,0.1194,0.116,0.1189,EUR
2015-01-23,0.1189,0.1216,0.1188,0.1206,EUR
2015-01-26,0.1208,0.1217,0.119,0.1196,EUR
2015-01-27,0.1196,0.1197,0.1176,0.1181,EUR
2015-01-28,0.1181,0.1187,0.1176,0.1186,EUR
2015-01-29,0.1186,0.1189,0.1159,0.1164,EUR
2015-01-30,0.1164,0.1168,0.1159,0.1167,EUR
2015-02-02,0.1164,0.1166,0.1154,0.1158,EUR
2015-02-03,0.1158,0.1162,0.1136,0.1142,EUR
2015-02-04,0.1141,0.1159,0.1141,0.1156,EUR
2015-02-05,0.1155,0.1159,0.114,0.1142,EUR
2015-02-06,0.1142,0.1159,0.1141,0.1158,EUR
2015-02-09,0.1158,0.1163,0.1154,0.1157,EUR
2015-02-10,0.1157,0.1162,0.1155,0.1161,EUR
2015-02-11,0.1161,0.1163,0.1155,0.1157,EUR
2015-02-12,0.1156,0.1161,0.1147,0.1149,EUR
2015-02-13,0.1149,0.1153,0.1145,0.1152,EUR
2015-02-16,0.1151,0.1158,0.1147,0.1154,EUR
2015-02-17,0.1154,0.1158,0.1145,0.1148,EUR
2015-02-18,0.1149,0.1156,0.1148,0.115,EUR
2015-02-19,0.115,0.1154,0.1144,0.1153,EUR
2015-02-20,0.1153,0.1163,0.1147,0.1152,EUR
2015-02-23,0.1151,0.1161,0.1148,0.1157,EUR
2015-02-24,0.1156,0.1162,0.1154,0.1155,EUR
2015-02-25,0.1156,0.1157,0.1151,0.1153,EUR
2015-02-26,0.1153,0.1172,0.1151,0.1171,EUR
2015-02-27,0.117,0.1173,0.1165,0.1171,EUR
2015-03-02,0.1171,0.1174,0.1166,0.1172,EUR
2015-03-03,0.1172,0.1176,0.1168,0.1172,EUR
2015-03-04,0.1172,0.1185,0.1171,0.1183,EUR
2015-03-05,0.1183,0.1193,0.1179,0.1188,EUR
2015-03-06,0.1188,0.121,0.1188,0.1208,EUR
2015-03-09,0.121,0.1211,0.1201,0.1207,EUR
2015-03-10,0.1207,0.1226,0.1207,0.1225,EUR
2015-03-11,0.1225,0.1247,0.1223,0.1242,EUR
2015-03-12,0.1243,0.125,0.1226,0.1232,EUR
2015-03-13,0.1232,0.1253,0.1232,0.125,EUR
2015-03-16,0.1249,0.1253,0.1234,0.124,EUR
2015-03-17,0.124,0.1242,0.123,0.1236,EUR
2015-03-18,0.1237,0.124,0.1192,0.1206,EUR
2015-03-19,0.1206,0.1235,0.1201,0.123,EUR
2015-03-20,0.1229,0.123,0.1204,0.1211,EUR
2015-03-23,0.1209,0.1217,0.1194,0.1197,EUR
2015-03-24,0.1197,0.1203,0.1188,0.12,EUR
2015-03-25,0.12,0.1202,0.119,0.1195,EUR
2015-03-26,0.1194,0.1207,0.1186,0.1204,EUR
2015-03-27,0.1204,0.1213,0.1197,0.1203,EUR
2015-03-30,0.1203,0.1212,0.1203,0.121,EUR
2015-03-31,0.1209,0.1224,0.1208,0.1221,EUR
2015-04-01,0.1221,0.1224,0.1213,0.1217,EUR
2015-04-02,0.1217,0.122,0.1202,0.1205,EUR
2015-04-03,0.1204,0.1206,0.1188,0.1195,EUR
2015-04-06,0.1192,0.1201,0.1187,0.12,EUR
2015-04-07,0.12,0.1213,0.1196,0.1212,EUR
2015-04-08,0.1211,0.1217,0.1204,0.1216,EUR
2015-04-09,0.1216,0.1232,0.1215,0.123,EUR
