Date,Open,High,Low,Close,Currency
2015-01-01,0.949,0.9495,0.9485,0.9493,AZN
2015-01-02,0.9494,0.9498,0.9412,0.9413,AZN
2015-01-05,0.9414,0.9453,0.9275,0.9345,AZN
2015-01-06,0.9311,0.9381,0.9272,0.9325,AZN
2015-01-07,0.9326,0.9362,0.9208,0.9271,AZN
2015-01-08,0.9236,0.9312,0.9171,0.9234,AZN
2015-01-09,0.9201,0.93,0.9177,0.9273,AZN
2015-01-12,0.9236,0.9301,0.9236,0.9281,AZN
2015-01-13,0.9282,0.9326,0.9195,0.9234,AZN
2015-01-14,0.921,0.9284,0.915,0.9233,AZN
2015-01-15,0.9197,0.928,0.9026,0.9107,AZN
2015-01-16,0.9075,0.9171,0.8941,0.906,AZN
2015-01-19,0.9012,0.9116,0.9008,0.9089,AZN
2015-01-20,0.9055,0.911,0.9029,0.9059,AZN
2015-01-21,0.906,0.9143,0.9009,0.9093,AZN
2015-01-22,0.9059,0.9139,0.883,0.8901,AZN
2015-01-23,0.8867,0.8947,0.8671,0.8777,AZN
2015-01-26,0.8727,0.886,0.866,0.8816,AZN
2015-01-27,0.8792,0.8946,0.8757,0.8912,AZN
2015-01-28,0.888,0.8928,0.884,0.8853,AZN
2015-01-29,0.8853,0.8917,0.8786,0.8879,AZN
2015-01-30,0.8879,0.8946,0.8799,0.884,AZN
2015-02-02,0.8803,0.8907,0.88,0.8882,AZN
2015-02-03,0.8849,0.9035,0.8826,0.8994,AZN
2015-02-04,0.8957,0.9036,0.8826,0.8881,AZN
2015-02-05,0.8848,0.9001,0.8816,0.8984,AZN
2015-02-06,0.8951,0.9032,0.882,0.8855,AZN
2015-02-09,0.8823,0.8926,0.8793,0.8864,AZN
2015-02-10,0.8832,0.8928,0.8796,0.8861,AZN
2015-02-11,0.8829,0.8919,0.8797,0.8871,AZN
2015-02-12,0.884,0.8941,0.8815,0.8926,AZN
2015-02-13,0.8893,0.9007,0.8878,0.8912,AZN
2015-02-16,0.888,0.8992,0.8833,0.8894,AZN
2015-02-17,0.886,0.9,0.8834,0.8944,AZN
2015-02-18,0.8911,0.8989,0.8853,0.8935,AZN
2015-02-19,0.8903,0.9011,0.8873,0.8913,AZN
2015-02-20,0.8882,0.8976,0.8827,0.8937,AZN
2015-02-23,0.8906,1.1904,0.8887,1.1721,AZN
2015-02-24,1.1691,1.1941,1.1679,1.1883,AZN
2015-02-25,1.1849,1.1951,1.1838,1.1904,AZN
2015-02-26,1.187,1.1982,1.1685,1.1733,AZN
2015-02-27,1.1701,1.1809,1.166,1.1724,AZN
2015-03-02,1.1684,1.1768,1.1618,1.1713,AZN
2015-03-03,1.1679,1.1801,1.1662,1.1704,AZN
2015-03-04,1.1671,1.1759,1.1549,1.1597,AZN
2015-03-05,1.1564,1.1645,1.1472,1.1546,AZN
2015-03-06,1.1516,1.1606,1.1312,1.1346,AZN
2015-03-09,1.1301,1.1471,1.1292,1.1355,AZN
2015-03-10,1.1323,1.1361,1.1161,1.1199,AZN
2015-03-11,1.1168,1.1246,1.0971,1.104,AZN
2015-03-12,1.101,1.1181,1.0956,1.113,AZN
2015-03-13,1.11,1.1184,1.0918,1.0984,AZN
2015-03-16,1.0952,1.1111,1.0914,1.1056,AZN
2015-03-17,1.1024,1.1147,1.1007,1.1092,AZN
2015-03-18,1.1061,1.1403,1.0993,1.1272,AZN
2015-03-19,1.124,1.1349,1.1074,1.1153,AZN
2015-03-20,1.1123,1.1385,1.1111,1.1322,AZN
2015-03-23,1.1307,1.148,1.1252,1.1452,AZN
2015-03-24,1.1421,1.1585,1.1363,1.1432,AZN
2015-03-25,1.1398,1.1527,1.1373,1.1479,AZN
2015-03-26,1.1445,1.1619,1.1327,1.1387,AZN
2015-03-27,1.1357,1.1456,1.127,1.1393,AZN
2015-03-30,1.1361,1.1426,1.1276,1.1331,AZN
2015-03-31,1.13,1.1347,1.1178,1.1227,AZN
2015-04-01,1.12,1.1346,1.1183,1.1262,AZN
2015-04-02,1.123,1.1407,1.1217,1.1386,AZN
2015-04-03,1.1354,1.1539,1.1334,1.1485,AZN
2015-04-06,1.1466,1.1556,1.1384,1.1428,AZN
2015-04-07,1.1394,1.1511,1.1283,1.1325,AZN
2015-04-08,1.1294,1.1482,1.1265,1.1313,AZN
2015-04-09,1.1282,1.1367,1.1131,1.1184,AZN
2015-04-10,1.1154,1.1267,1.1071,1.113,AZN
2015-04-13,1.1096,1.1196,1.1047,1.1109,AZN
2015-04-14,1.1077,1.1233,1.103,1.1176,AZN
2015-04-15,1.1146,1.1224,1.1057,1.1207,AZN
2015-04-16,1.1174,1.134,1.1108,1.1281,AZN
2015-04-17,1.125,1.1427,1.1218,1.1323,AZN
2015-04-20,1.1307,1.1364,1.1207,1.1255,AZN
2015-04-21,1.1221,1.1308,1.116,1.1253,AZN
2015-04-22,1.1222,1.1323,1.1194,1.1242,AZN
2015-04-23,1.121,1.137,1.1174,1.1348,AZN
2015-04-24,1.1315,1.1424,1.1274,1.1395,AZN
2015-04-27,1.1361,1.1446,1.1304,1.1405,AZN
2015-04-28,1.1379,1.1511,1.135,1.1502,AZN
2015-04-29,1.147,1.1712,1.1445,1.1652,AZN
2015-04-30,1.1618,1.1829,1.1574,1.1744,AZN
2015-05-01,1.1709,1.186,1.1654,1.1714,AZN
2015-05-04,1.1682,1.1783,1.1605,1.1656,AZN
2015-05-05,1.1624,1.1737,1.1586,1.1698,AZN
2015-05-06,1.1665,1.1893,1.1654,1.1873,AZN
2015-05-07,1.1834,1.1965,1.1714,1.1777,AZN
2015-05-08,1.1744,1.1819,1.1658,1.1715,AZN
2015-05-11,1.1675,1.1718,1.1608,1.1665,AZN
2015-05-12,1.1634,1.1795,1.1612,1.1727,AZN
2015-05-13,1.1695,1.1905,1.1683,1.1877,AZN
2015-05-14,1.1845,1.202,1.1821,1.1924,AZN
2015-05-15,1.1891,1.1992,1.1802,1.1965,AZN
2015-05-18,1.1932,1.2002,1.1769,1.1822,AZN
2015-05-19,1.1789,1.1893,1.1589,1.1654,AZN
2015-05-20,1.1622,1.172,1.1545,1.1601,AZN
2015-05-21,1.1569,1.1756,1.1561,1.1626,AZN
2015-05-22,1.1595,1.1729,1.148,1.1527,AZN
2015-05-25,1.1482,1.1559,1.1441,1.1485,AZN
2015-05-26,1.1454,1.1518,1.1345,1.1387,AZN
2015-05-27,1.1355,1.1505,1.1299,1.142,AZN
2015-05-28,1.1388,1.1526,1.1351,1.147,AZN
2015-05-29,1.1436,1.1564,1.1435,1.1502,AZN
2015-06-01,1.1469,1.1542,1.1356,1.1439,AZN
2015-06-02,1.1407,1.176,1.1393,1.1682,AZN
2015-06-03,1.1648,1.1806,1.1558,1.179,AZN
2015-06-04,1.1761,1.1905,1.1707,1.1751,AZN
2015-06-05,1.1719,1.1855,1.1523,1.1622,AZN
2015-06-08,1.159,1.1831,1.1556,1.1813,AZN
2015-06-09,1.1782,1.1917,1.169,1.1795,AZN
2015-06-10,1.1763,1.1962,1.1748,1.1842,AZN
2015-06-11,1.1808,1.1883,1.1665,1.1766,AZN
2015-06-12,1.1733,1.1833,1.1684,1.1783,AZN
2015-06-15,1.1705,1.186,1.1672,1.1797,AZN
