Date,Open,High,Low,Close,Currency
2015-01-01,94.122,94.344,94.076,94.32,BDT
2015-01-02,94.161,94.37,93.316,93.493,BDT
2015-01-05,93.332,93.539,92.391,92.932,BDT
2015-01-06,92.771,93.447,92.568,92.74,BDT
2015-01-07,92.591,92.771,91.745,92.196,BDT
2015-01-08,92.033,92.262,91.38,91.834,BDT
2015-01-09,91.675,92.27,91.442,92.216,BDT
2015-01-12,92.21,92.467,91.628,92.09,BDT
2015-01-13,91.942,92.295,91.337,91.678,BDT
2015-01-14,91.527,92.231,91.111,91.775,BDT
2015-01-15,91.609,91.82,89.933,90.549,BDT
2015-01-16,90.4,90.704,89.094,90.097,BDT
2015-01-19,89.793,90.631,89.755,90.359,BDT
2015-01-20,90.198,90.432,89.693,89.95,BDT
2015-01-21,89.801,90.93,89.724,90.417,BDT
2015-01-22,90.26,90.701,87.982,88.517,BDT
2015-01-23,88.355,88.573,86.404,87.282,BDT
2015-01-26,86.956,87.956,86.287,87.512,BDT
2015-01-27,87.356,88.884,87.259,88.538,BDT
2015-01-28,88.388,88.64,87.655,87.905,BDT
2015-01-29,87.749,88.081,87.228,87.702,BDT
2015-01-30,87.552,88.053,87.228,87.458,BDT
2015-02-02,87.266,88.44,87.235,88.269,BDT
2015-02-03,88.12,89.763,87.886,89.351,BDT
2015-02-04,89.192,89.392,87.918,88.304,BDT
2015-02-05,88.135,89.556,87.817,89.377,BDT
2015-02-06,89.218,89.465,87.935,88.12,BDT
2015-02-09,87.966,88.462,87.617,88.19,BDT
2015-02-10,88.036,88.365,87.64,88.14,BDT
2015-02-11,87.983,88.384,87.686,88.26,BDT
2015-02-12,88.114,88.956,87.865,88.801,BDT
2015-02-13,88.643,89.116,88.464,88.665,BDT
2015-02-16,88.567,89.079,88.012,88.446,BDT
2015-02-17,88.284,89.224,88.013,88.905,BDT
2015-02-18,88.747,88.948,88.14,88.815,BDT
2015-02-19,88.661,89.227,88.334,88.573,BDT
2015-02-20,88.435,89.072,87.743,88.683,BDT
2015-02-23,88.552,88.947,87.849,88.286,BDT
2015-02-24,88.156,88.523,87.813,88.375,BDT
2015-02-25,88.217,88.745,88.156,88.512,BDT
2015-02-26,88.35,88.661,86.974,87.238,BDT
2015-02-27,87.09,87.623,86.919,87.241,BDT
2015-03-02,87.027,87.599,86.809,87.133,BDT
2015-03-03,86.966,87.401,86.421,87.067,BDT
2015-03-04,86.911,87.151,86.04,86.311,BDT
2015-03-05,86.157,86.483,85.339,85.845,BDT
2015-03-06,85.711,85.874,84.205,84.376,BDT
2015-03-09,84.257,84.865,84.058,84.405,BDT
2015-03-10,84.258,84.431,83.176,83.364,BDT
2015-03-11,83.223,83.518,81.76,82.188,BDT
2015-03-12,82.048,83.251,81.643,82.877,BDT
2015-03-13,82.74,82.903,81.379,81.782,BDT
2015-03-16,81.628,82.767,81.348,82.355,BDT
2015-03-17,82.204,82.98,82.079,82.589,BDT
2015-03-18,82.445,85.657,82.305,84.677,BDT
2015-03-19,84.53,85.052,82.54,83.047,BDT
2015-03-20,82.906,84.805,82.82,84.33,BDT
2015-03-23,84.304,85.503,83.76,85.301,BDT
2015-03-24,85.152,85.94,84.716,85.145,BDT
2015-03-25,84.981,85.846,84.794,85.495,BDT
2015-03-26,85.331,86.121,84.452,84.814,BDT
2015-03-27,84.677,85.301,84.024,84.849,BDT
2015-03-30,84.701,84.906,84.094,84.416,BDT
2015-03-31,84.273,84.516,83.339,83.621,BDT
2015-04-01,83.503,84.166,83.378,83.879,BDT
2015-04-02,83.728,84.981,83.627,84.788,BDT
2015-04-03,84.632,85.935,84.485,85.546,BDT
2015-04-06,85.487,85.993,84.872,85.121,BDT
2015-04-07,84.95,85.361,84.04,84.272,BDT
2015-04-08,84.125,84.847,83.736,84.007,BDT
2015-04-09,83.868,84.068,82.748,83.064,BDT
2015-04-10,82.919,83.262,82.211,82.611,BDT
2015-04-13,82.447,82.731,81.825,82.326,BDT
2015-04-14,82.175,83.445,81.895,83.017,BDT
2015-04-15,82.88,83.378,82.235,83.253,BDT
2015-04-16,83.092,84.238,82.594,83.794,BDT
2015-04-17,83.648,84.483,83.443,84.138,BDT
2015-04-20,84.104,84.289,83.332,83.666,BDT
2015-04-21,83.505,84.008,82.898,83.635,BDT
2015-04-22,83.497,84.148,83.3,83.565,BDT
2015-04-23,83.411,84.521,82.952,84.344,BDT
2015-04-24,84.181,84.924,83.87,84.714,BDT
2015-04-27,84.547,85.152,84.164,84.827,BDT
2015-04-28,84.718,85.651,84.475,85.573,BDT
2015-04-29,85.424,87.16,85.253,86.72,BDT
2015-04-30,86.554,87.809,86.103,87.467,BDT
2015-05-01,87.299,87.958,86.911,87.265,BDT
2015-05-04,87.114,87.455,86.499,86.855,BDT
2015-05-05,86.708,87.455,86.03,87.167,BDT
2015-05-06,87.011,88.597,86.934,88.45,BDT
2015-05-07,88.249,88.718,87.36,87.738,BDT
2015-05-08,87.585,87.95,86.924,87.311,BDT
2015-05-11,87.105,87.33,86.536,86.87,BDT
2015-05-12,86.722,87.838,86.559,87.333,BDT
2015-05-13,87.181,88.634,87.088,88.424,BDT
2015-05-14,88.278,89.2,88.138,88.912,BDT
2015-05-15,88.754,89.337,88.078,89.209,BDT
2015-05-18,89.031,89.192,87.812,88.097,BDT
2015-05-19,87.944,88.196,86.412,86.804,BDT
2015-05-20,86.653,86.854,85.999,86.387,BDT
2015-05-21,86.24,87.075,86.139,86.539,BDT
2015-05-22,86.396,87.299,85.5,85.799,BDT
2015-05-25,85.526,85.73,85.177,85.487,BDT
2015-05-26,85.346,85.54,84.419,84.645,BDT
2015-05-27,84.489,85.092,84.11,84.923,BDT
2015-05-28,84.771,85.325,84.014,85.269,BDT
2015-05-29,85.105,85.687,84.942,85.569,BDT
2015-06-01,85.416,85.588,84.617,85.098,BDT
2015-06-02,84.95,87.169,84.849,86.866,BDT
2015-06-03,86.707,87.871,86.109,87.785,BDT
2015-06-04,87.655,88.624,87.274,87.52,BDT
2015-06-05,87.368,87.849,85.876,86.543,BDT
2015-06-08,86.396,87.953,86.147,87.821,BDT
2015-06-09,87.675,88.296,87.103,87.814,BDT
2015-06-10,87.669,88.683,87.55,88.205,BDT
2015-06-11,88.044,88.247,86.895,87.593,BDT
2015-06-12,87.437,87.866,86.591,87.649,BDT
2015-06-15,87.162,87.877,86.69,87.791,BDT
2015-06-16,87.646,88.114,87.122,87.567,BDT
2015-06-17,87.423,88.392,87.109,88.183,BDT
2015-06-18,88.035,89.072,88.012,88.443,BDT
2015-06-19,88.293,88.754,87.787,88.389,BDT
2015-06-22,88.34,88.828,87.943,88.273,BDT
2015-06-23,88.149,88.351,86.567,86.975,BDT
2015-06-24,86.828,87.522,86.711,87.237,BDT
2015-06-25,87.081,87.468,86.723,87.177,BDT
2015-06-26,87.04,87.405,86.506,86.922,BDT
2015-06-29,85.764,87.812,85.127,87.478,BDT
2015-06-30,87.322,87.55,86.366,86.711,BDT
2015-07-01,86.576,87.036,85.844,85.996,BDT
2015-07-02,85.929,86.794,85.758,86.298,BDT
2015-07-03,86.156,86.604,86.011,86.539,BDT
2015-07-06,85.514,86.666,85.257,86.079,BDT
2015-07-07,85.934,86.13,84.81,85.76,BDT
2015-07-08,85.603,86.256,85.3,86.211,BDT
2015-07-09,86.097,86.594,85.439,85.962,BDT
2015-07-10,85.797,87.356,85.751,86.921,BDT
2015-07-13,86.28,87.176,85.423,85.635,BDT
2015-07-14,85.478,86.234,85.231,85.697,BDT
2015-07-15,85.54,85.905,84.9,85.196,BDT
2015-07-16,85.04,85.311,84.357,84.66,BDT
2015-07-17,84.505,84.901,84.107,84.262,BDT
2015-07-20,84.146,84.822,83.946,84.229,BDT
2015-07-21,84.07,85.286,83.961,85.041,BDT
2015-07-22,84.888,85.357,84.485,85.112,BDT
2015-07-23,84.925,85.775,84.864,85.499,BDT
2015-07-24,85.366,85.535,84.923,85.401,BDT
2015-07-27,85.299,86.567,85.066,86.257,BDT
2015-07-28,86.099,86.308,85.548,85.997,BDT
2015-07-29,85.851,86.194,85.143,85.499,BDT
2015-07-30,85.397,85.565,84.663,85.119,BDT
2015-07-31,84.967,86.549,84.881,85.569,BDT
2015-08-03,85.276,85.635,85.088,85.299,BDT
2015-08-04,85.158,85.591,84.561,84.744,BDT
2015-08-05,84.576,85.223,84.335,84.963,BDT
2015-08-06,84.835,85.259,84.567,85.078,BDT
2015-08-07,84.957,85.507,84.379,85.406,BDT
2015-08-10,85.25,85.963,84.923,85.792,BDT
2015-08-11,85.627,86.274,85.184,85.945,BDT
2015-08-12,85.817,87.294,85.638,86.848,BDT
2015-08-13,86.704,87.1,86.139,86.801,BDT
2015-08-14,86.653,87.107,86.249,86.47,BDT
2015-08-17,86.341,86.651,85.946,86.259,BDT
2015-08-18,86.097,86.409,85.62,85.804,BDT
2015-08-19,85.659,86.725,85.643,86.593,BDT
2015-08-20,86.435,87.583,86.341,87.549,BDT
2015-08-21,87.395,88.693,87.282,88.662,BDT
2015-08-24,88.298,91.253,88.298,90.483,BDT
2015-08-25,90.307,90.501,88.57,89.693,BDT
2015-08-26,89.537,90.044,87.772,88.116,BDT
2015-08-27,87.974,88.5,87.073,87.552,BDT
2015-08-28,87.392,88.048,86.73,87.094,BDT
2015-08-31,86.904,87.756,86.795,87.333,BDT
2015-09-01,87.15,88.267,87.111,88.112,BDT
2015-09-02,87.943,88.153,87.166,87.408,BDT
2015-09-03,87.26,87.595,86.194,86.602,BDT
2015-09-04,86.459,87.049,86.187,86.807,BDT
2015-09-07,86.746,87.045,86.458,86.956,BDT
2015-09-08,86.828,87.425,86.688,87.222,BDT
2015-09-09,87.083,87.363,86.502,87.237,BDT
2015-09-10,87.089,88.009,86.824,87.862,BDT
2015-09-11,87.709,88.384,87.515,88.306,BDT
2015-09-14,88.13,88.578,87.695,88.136,BDT
2015-09-15,87.936,88.135,87.388,87.665,BDT
2015-09-16,87.582,88.135,87.196,87.894,BDT
2015-09-17,87.749,89.085,87.703,89.039,BDT
2015-09-18,88.884,89.216,87.601,88.042,BDT
2015-09-21,87.684,88.227,86.924,87.138,BDT
2015-09-22,86.971,87.289,86.385,86.586,BDT
2015-09-23,86.431,87.321,86.315,87.081,BDT
2015-09-24,86.9,87.967,86.726,87.454,BDT
2015-09-25,87.29,87.473,86.411,87.155,BDT
2015-09-28,87.003,87.605,86.638,87.574,BDT
2015-09-29,87.414,87.882,86.895,87.489,BDT
2015-09-30,87.317,87.616,86.727,87.041,BDT
2015-10-01,86.886,87.291,86.559,87.167,BDT
2015-10-02,87.011,88.134,86.661,87.294,BDT
2015-10-05,87.236,87.916,86.847,87.107,BDT
2015-10-06,86.995,87.82,86.847,87.721,BDT
2015-10-07,87.56,88.212,86.476,87.019,BDT
2015-10-08,86.468,88.057,86.46,87.7,BDT
2015-10-09,87.551,88.593,87.45,88.337,BDT
2015-10-12,88.164,88.636,88.141,88.295,BDT
2015-10-13,88.149,88.882,88.056,88.63,BDT
2015-10-14,88.437,89.44,88.421,89.316,BDT
2015-10-15,89.168,89.449,88.317,88.594,BDT
2015-10-16,88.484,88.746,88.114,88.361,BDT
2015-10-19,88.239,88.617,87.866,88.19,BDT
2015-10-20,88.044,88.695,88.029,88.342,BDT
2015-10-21,88.158,88.61,88.091,88.302,BDT
2015-10-22,88.126,88.408,86.287,86.492,BDT
2015-10-23,86.346,86.771,85.46,85.799,BDT
2015-10-26,85.579,86.19,85.424,86.119,BDT
2015-10-27,85.975,86.429,85.728,86.018,BDT
2015-10-28,85.892,86.404,84.701,85.054,BDT
2015-10-29,84.937,85.627,84.782,85.447,BDT
2015-10-30,85.298,86.21,85.212,85.711,BDT
2015-11-02,85.697,86.226,85.495,85.799,BDT
