Date,Open,High,Low,Close,Currency
2015-01-01,0.4561,0.4565,0.4559,0.4563,BHD
2015-01-02,0.4563,0.4566,0.4524,0.4525,BHD
2015-01-05,0.4524,0.4527,0.4479,0.4499,BHD
2015-01-06,0.4498,0.4512,0.448,0.4482,BHD
2015-01-07,0.4482,0.4486,0.4449,0.4464,BHD
2015-01-08,0.4463,0.4466,0.4431,0.4446,BHD
2015-01-09,0.4445,0.4467,0.4434,0.4465,BHD
2015-01-12,0.4463,0.4476,0.4443,0.4461,BHD
2015-01-13,0.4461,0.4472,0.4431,0.4438,BHD
2015-01-14,0.4438,0.4466,0.4421,0.4445,BHD
2015-01-15,0.4444,0.4447,0.4361,0.4385,BHD
2015-01-16,0.4385,0.4392,0.432,0.4362,BHD
2015-01-19,0.4361,0.4389,0.4352,0.4376,BHD
2015-01-20,0.4375,0.4379,0.435,0.4355,BHD
2015-01-21,0.4354,0.4403,0.4351,0.4377,BHD
2015-01-22,0.4377,0.4391,0.4266,0.4285,BHD
2015-01-23,0.4284,0.4289,0.419,0.4225,BHD
2015-01-26,0.421,0.4259,0.4184,0.4238,BHD
2015-01-27,0.4236,0.4307,0.4231,0.4291,BHD
2015-01-28,0.429,0.4293,0.4251,0.4256,BHD
2015-01-29,0.4255,0.4287,0.4245,0.4268,BHD
2015-01-30,0.4267,0.4285,0.4251,0.4256,BHD
2015-02-02,0.4252,0.4285,0.4251,0.4276,BHD
2015-02-03,0.4276,0.4349,0.4264,0.4329,BHD
2015-02-04,0.4328,0.4331,0.4266,0.4278,BHD
2015-02-05,0.4276,0.4336,0.4261,0.4327,BHD
2015-02-06,0.4326,0.4331,0.4264,0.4266,BHD
2015-02-09,0.4266,0.4283,0.4248,0.4269,BHD
2015-02-10,0.4269,0.4278,0.4249,0.4268,BHD
2015-02-11,0.4267,0.4279,0.4252,0.4273,BHD
2015-02-12,0.4273,0.4306,0.4261,0.4299,BHD
2015-02-13,0.4298,0.4315,0.429,0.4293,BHD
2015-02-16,0.4292,0.431,0.4267,0.4281,BHD
2015-02-17,0.428,0.4316,0.4268,0.4303,BHD
2015-02-18,0.4302,0.4304,0.4272,0.4297,BHD
2015-02-19,0.4296,0.4317,0.428,0.4285,BHD
2015-02-20,0.4285,0.4309,0.4252,0.4291,BHD
2015-02-23,0.4291,0.4304,0.4258,0.4273,BHD
2015-02-24,0.4273,0.4283,0.4255,0.4276,BHD
2015-02-25,0.4275,0.4294,0.4273,0.4284,BHD
2015-02-26,0.4282,0.4291,0.4216,0.4222,BHD
2015-02-27,0.4221,0.4241,0.4213,0.4221,BHD
2015-03-02,0.4221,0.4239,0.4207,0.4216,BHD
2015-03-03,0.4215,0.4229,0.4205,0.4214,BHD
