Date,Open,High,Low,Close,Currency
2015-01-01,1.603,1.6048,1.6004,1.6021,BND
2015-01-02,1.6013,1.6033,1.596,1.5978,BND
2015-01-05,1.597,1.5986,1.5809,1.5935,BND
2015-01-06,1.5927,1.5951,1.5838,1.5848,BND
2015-01-07,1.5842,1.5891,1.5798,1.5847,BND
2015-01-08,1.5837,1.585,1.573,1.5765,BND
2015-01-09,1.5757,1.5827,1.5733,1.5779,BND
2015-01-12,1.5767,1.5823,1.5745,1.5788,BND
2015-01-13,1.5782,1.5833,1.5678,1.5699,BND
2015-01-14,1.5692,1.5785,1.5653,1.5731,BND
2015-01-15,1.5722,1.5748,1.5371,1.5425,BND
2015-01-16,1.5419,1.5446,1.5215,1.5343,BND
2015-01-19,1.5312,1.5524,1.5305,1.5478,BND
2015-01-20,1.547,1.5535,1.5429,1.5442,BND
2015-01-21,1.5435,1.554,1.5402,1.5508,BND
2015-01-22,1.55,1.5534,1.5159,1.5224,BND
2015-01-23,1.5215,1.5236,1.4928,1.5073,BND
2015-01-26,1.5035,1.5165,1.4957,1.5113,BND
2015-01-27,1.5103,1.5293,1.508,1.5238,BND
2015-01-28,1.5231,1.5379,1.5202,1.5271,BND
2015-01-29,1.5263,1.5357,1.5228,1.5325,BND
2015-01-30,1.5318,1.5372,1.5251,1.5272,BND
2015-02-02,1.5258,1.5366,1.5252,1.5331,BND
2015-02-03,1.5324,1.5512,1.5298,1.5456,BND
2015-02-04,1.5447,1.546,1.5257,1.5303,BND
2015-02-05,1.5293,1.5457,1.5239,1.5432,BND
2015-02-06,1.5425,1.5448,1.5284,1.5311,BND
2015-02-09,1.5303,1.5378,1.5257,1.533,BND
2015-02-10,1.5322,1.5366,1.5274,1.5338,BND
2015-02-11,1.533,1.5448,1.532,1.5426,BND
2015-02-12,1.542,1.5488,1.537,1.5465,BND
2015-02-13,1.5456,1.5521,1.5409,1.5418,BND
2015-02-16,1.5411,1.5497,1.5346,1.5404,BND
2015-02-17,1.5398,1.5507,1.5345,1.5471,BND
2015-02-18,1.5463,1.552,1.5408,1.5453,BND
2015-02-19,1.5445,1.5545,1.5413,1.5438,BND
2015-02-20,1.5433,1.5532,1.5332,1.5481,BND
2015-02-23,1.5477,1.5527,1.5375,1.5408,BND
2015-02-24,1.5404,1.5443,1.5352,1.5393,BND
2015-02-25,1.5385,1.5428,1.5355,1.5375,BND
2015-02-26,1.5366,1.5405,1.5174,1.5207,BND
2015-02-27,1.52,1.5303,1.5182,1.5257,BND
2015-03-02,1.5239,1.5322,1.5214,1.5273,BND
2015-03-03,1.5262,1.5282,1.5208,1.5229,BND
2015-03-04,1.5221,1.5247,1.5123,1.5155,BND
2015-03-05,1.5147,1.5216,1.5063,1.5123,BND
2015-03-06,1.5118,1.5129,1.4909,1.4983,BND
2015-03-09,1.4957,1.5043,1.4911,1.4984,BND
2015-03-10,1.4977,1.4993,1.4843,1.4877,BND
2015-03-11,1.487,1.4887,1.4586,1.465,BND
2015-03-12,1.4643,1.4704,1.4552,1.4689,BND
2015-03-13,1.4683,1.4742,1.4565,1.4616,BND
2015-03-16,1.4607,1.4751,1.4557,1.4696,BND
2015-03-17,1.4688,1.4789,1.4658,1.4715,BND
2015-03-18,1.4709,1.5147,1.4692,1.4973,BND
2015-03-19,1.4965,1.504,1.4736,1.479,BND
2015-03-20,1.4783,1.4998,1.4768,1.4913,BND
2015-03-23,1.4927,1.5022,1.483,1.4941,BND
2015-03-24,1.4933,1.5025,1.4882,1.493,BND
2015-03-25,1.492,1.5052,1.4898,1.5042,BND
2015-03-26,1.5032,1.5072,1.4879,1.4916,BND
2015-03-27,1.491,1.4971,1.4809,1.4912,BND
2015-03-30,1.4926,1.4956,1.4856,1.4912,BND
2015-03-31,1.4904,1.4924,1.4709,1.4725,BND
2015-04-01,1.4722,1.4767,1.4638,1.4671,BND
2015-04-02,1.4663,1.4803,1.4649,1.4773,BND
2015-04-03,1.4764,1.4879,1.4721,1.4823,BND
2015-04-06,1.4832,1.4907,1.4761,1.4796,BND
2015-04-07,1.4784,1.4848,1.4693,1.4717,BND
2015-04-08,1.4708,1.4756,1.4595,1.4626,BND
2015-04-09,1.462,1.4646,1.4458,1.4493,BND
2015-04-10,1.4485,1.4527,1.4414,1.4508,BND
