Date,Open,High,Low,Close,Currency
2015-01-01,3.2144,3.2174,3.2128,3.2167,BRL
2015-01-02,3.2158,3.2593,3.1972,3.2336,BRL
2015-01-05,3.232,3.2576,3.1994,3.2297,BRL
2015-01-06,3.2287,3.2421,3.2051,3.2101,BRL
2015-01-07,3.2096,3.2125,3.1631,3.177,BRL
2015-01-08,3.1759,3.1816,3.1352,3.1403,BRL
2015-01-09,3.1388,3.1606,3.1054,3.1144,BRL
2015-01-12,3.113,3.1681,3.0999,3.1635,BRL
2015-01-13,3.1633,3.171,3.0912,3.1115,BRL
2015-01-14,3.1108,3.1218,3.0676,3.0841,BRL
2015-01-15,3.0834,3.087,3.0319,3.0731,BRL
2015-01-16,3.0715,3.0781,3.0126,3.0323,BRL
2015-01-19,3.0263,3.095,3.025,3.0776,BRL
2015-01-20,3.0763,3.0806,3.0126,3.0191,BRL
2015-01-21,3.0184,3.0296,2.9968,3.0193,BRL
2015-01-22,3.0183,3.028,2.9122,2.9263,BRL
2015-01-23,2.9245,2.9284,2.8669,2.8914,BRL
2015-01-26,2.8838,2.9335,2.8616,2.9036,BRL
2015-01-27,2.9027,2.9392,2.8991,2.9277,BRL
2015-01-28,2.9272,2.9411,2.9038,2.9083,BRL
2015-01-29,2.9069,2.9596,2.9002,2.9471,BRL
2015-01-30,2.946,3.0428,2.9426,3.028,BRL
2015-02-02,3.0252,3.0985,3.0192,3.0931,BRL
2015-02-03,3.0917,3.1141,3.0599,3.0936,BRL
2015-02-04,3.0924,3.14,3.0788,3.111,BRL
2015-02-05,3.1098,3.157,3.0986,3.1505,BRL
2015-02-06,3.1494,3.1688,3.1222,3.1486,BRL
2015-02-09,3.147,3.1693,3.1311,3.1366,BRL
2015-02-10,3.1348,3.2149,3.1227,3.2087,BRL
2015-02-11,3.2076,3.2565,3.2025,3.2519,BRL
2015-02-12,3.2512,3.2646,3.2067,3.2168,BRL
2015-02-13,3.2157,3.2602,3.209,3.2272,BRL
2015-02-16,3.2254,3.2403,3.2064,3.2185,BRL
2015-02-17,3.2164,3.24,3.2025,3.2291,BRL
2015-02-18,3.2279,3.2374,3.2096,3.234,BRL
2015-02-19,3.2324,3.2669,3.2302,3.2582,BRL
2015-02-20,3.2581,3.2873,3.2276,3.264,BRL
2015-02-23,3.2632,3.2828,3.238,3.2623,BRL
2015-02-24,3.2625,3.2682,3.2029,3.2129,BRL
2015-02-25,3.2118,3.2776,3.2104,3.2664,BRL
2015-02-26,3.2651,3.2716,3.2181,3.2569,BRL
2015-02-27,3.2561,3.2799,3.1743,3.1784,BRL
2015-03-02,3.1746,3.2415,3.1666,3.2396,BRL
2015-03-03,3.238,3.2807,3.2305,3.2759,BRL
2015-03-04,3.2743,3.3309,3.2567,3.2978,BRL
2015-03-05,3.296,3.3315,3.2821,3.313,BRL
2015-03-06,3.3119,3.3389,3.2643,3.3203,BRL
2015-03-09,3.3141,3.4016,3.3112,3.3884,BRL
2015-03-10,3.3871,3.4061,3.3085,3.3188,BRL
2015-03-11,3.3175,3.3361,3.2632,3.2966,BRL
2015-03-12,3.2954,3.3742,3.2822,3.3672,BRL
2015-03-13,3.3657,3.4447,3.356,3.41,BRL
2015-03-16,3.4068,3.4387,3.3847,3.4314,BRL
2015-03-17,3.4324,3.4901,3.4145,3.4334,BRL
2015-03-18,3.4326,3.5185,3.411,3.4878,BRL
2015-03-19,3.4859,3.5316,3.444,3.5093,BRL
2015-03-20,3.5084,3.5568,3.4566,3.4947,BRL
2015-03-23,3.4978,3.5205,3.4242,3.4287,BRL
2015-03-24,3.4279,3.4577,3.3993,3.4306,BRL
2015-03-25,3.4292,3.5165,3.4207,3.5122,BRL
2015-03-26,3.51,3.5412,3.4558,3.4642,BRL
2015-03-27,3.4631,3.5424,3.4374,3.5384,BRL
2015-03-30,3.5364,3.5667,3.4692,3.4996,BRL
2015-03-31,3.4979,3.5128,3.4016,3.4294,BRL
2015-04-01,3.4289,3.4471,3.3768,3.4074,BRL
2015-04-02,3.4059,3.444,3.3941,3.3963,BRL
2015-04-03,3.3941,3.441,3.3882,3.4263,BRL
2015-04-06,3.4283,3.4383,3.3849,3.415,BRL
2015-04-07,3.4134,3.4253,3.3711,3.3837,BRL
2015-04-08,3.3818,3.4076,3.2818,3.2875,BRL
2015-04-09,3.2863,3.2893,3.2305,3.2608,BRL
2015-04-10,3.2588,3.2873,3.2352,3.2614,BRL
2015-04-13,3.2584,3.3087,3.2335,3.2984,BRL
2015-04-14,3.2968,3.3115,3.2548,3.2636,BRL
2015-04-15,3.2636,3.281,3.2306,3.2376,BRL
2015-04-16,3.2354,3.2643,3.2182,3.2523,BRL
2015-04-17,3.2517,3.311,3.244,3.2863,BRL
2015-04-20,3.2886,3.2916,3.241,3.2573,BRL
2015-04-21,3.2552,3.2711,3.2326,3.2572,BRL
2015-04-22,3.2565,3.2787,3.2125,3.2301,BRL
2015-04-23,3.2277,3.2676,3.2075,3.2163,BRL
2015-04-24,3.2143,3.2443,3.2042,3.2096,BRL
2015-04-27,3.2087,3.2134,3.1568,3.1759,BRL
2015-04-28,3.1744,3.232,3.1502,3.2245,BRL
2015-04-29,3.2237,3.2979,3.2178,3.2963,BRL
2015-04-30,3.2936,3.389,3.271,3.3837,BRL
2015-05-01,3.382,3.4044,3.3673,3.3768,BRL
2015-05-04,3.3747,3.4512,3.3515,3.4401,BRL
2015-05-05,3.4388,3.451,3.3998,3.4158,BRL
2015-05-06,3.4139,3.4722,3.4133,3.4443,BRL
2015-05-07,3.4417,3.4572,3.3962,3.4093,BRL
2015-05-08,3.4065,3.424,3.3277,3.3314,BRL
2015-05-11,3.3303,3.4179,3.3112,3.415,BRL
2015-05-12,3.4131,3.4592,3.3777,3.3875,BRL
2015-05-13,3.3843,3.4603,3.3637,3.4531,BRL
