Date,Open,High,Low,Close,Currency
2015-01-01,2.3954,2.4154,2.3942,2.4147,BZD
2015-01-02,2.3964,2.4159,2.3758,2.3945,BZD
2015-01-05,2.3762,2.3956,2.3522,2.3807,BZD
2015-01-06,2.3625,2.3877,2.3528,2.3719,BZD
2015-01-07,2.354,2.3733,2.3364,2.3619,BZD
2015-01-08,2.3437,2.3635,2.3271,2.3526,BZD
2015-01-09,2.3346,2.3637,2.3287,2.3624,BZD
2015-01-12,2.3437,2.3682,2.3334,2.3606,BZD
2015-01-13,2.3429,2.3659,2.3269,2.3487,BZD
2015-01-14,2.3309,2.3631,2.3217,2.352,BZD
2015-01-15,2.3338,2.3529,2.2903,2.3202,BZD
2015-01-16,2.3027,2.3241,2.2689,2.3081,BZD
2015-01-19,2.2867,2.3223,2.2708,2.3154,BZD
2015-01-20,2.2976,2.3172,2.2847,2.3044,BZD
2015-01-21,2.2869,2.3294,2.2849,2.3163,BZD
2015-01-22,2.2986,2.3232,2.2406,2.2677,BZD
2015-01-23,2.2501,2.2689,2.2004,2.236,BZD
2015-01-26,2.2144,2.2534,2.1974,2.2421,BZD
2015-01-27,2.2249,2.2791,2.2222,2.2705,BZD
2015-01-28,2.2532,2.2712,2.2323,2.2519,BZD
2015-01-29,2.2346,2.2681,2.2295,2.2584,BZD
2015-01-30,2.2412,2.2673,2.2328,2.252,BZD
2015-02-02,2.2338,2.2671,2.233,2.2627,BZD
2015-02-03,2.2455,2.301,2.2396,2.2904,BZD
2015-02-04,2.2728,2.2913,2.2404,2.2636,BZD
2015-02-05,2.2459,2.2942,2.2378,2.2897,BZD
2015-02-06,2.2721,2.2916,2.2394,2.2575,BZD
2015-02-09,2.2402,2.2661,2.2209,2.2592,BZD
2015-02-10,2.242,2.2637,2.2319,2.2586,BZD
2015-02-11,2.2412,2.2642,2.233,2.261,BZD
2015-02-12,2.2439,2.2789,2.2376,2.2749,BZD
2015-02-13,2.2574,2.2829,2.2528,2.2714,BZD
2015-02-16,2.254,2.2805,2.2376,2.2652,BZD
2015-02-17,2.2477,2.2842,2.2414,2.2767,BZD
2015-02-18,2.2592,2.2778,2.2437,2.2738,BZD
2015-02-19,2.2564,2.2843,2.2481,2.2677,BZD
2015-02-20,2.2507,2.2803,2.233,2.2704,BZD
2015-02-23,2.2536,2.2771,2.2362,2.2608,BZD
2015-02-24,2.2441,2.2663,2.2348,2.2625,BZD
2015-02-25,2.2451,2.2719,2.2441,2.2666,BZD
2015-02-26,2.2491,2.2702,2.214,2.234,BZD
2015-02-27,2.217,2.2438,2.2127,2.2335,BZD
2015-03-02,2.2148,2.2426,2.2093,2.2313,BZD
