Date,Open,High,Low,Close,Currency
2015-01-01,1.4055,1.4072,1.4041,1.4061,CAD
2015-01-02,1.4058,1.4146,1.4016,1.4144,CAD
2015-01-05,1.414,1.4147,1.399,1.4038,CAD
2015-01-06,1.4033,1.4116,1.3991,1.4072,CAD
2015-01-07,1.4067,1.4095,1.397,1.3988,CAD
2015-01-08,1.3983,1.3999,1.3876,1.3952,CAD
2015-01-09,1.3946,1.4069,1.3929,1.4053,CAD
2015-01-12,1.4045,1.4173,1.3998,1.4169,CAD
2015-01-13,1.4165,1.4191,1.4032,1.4076,CAD
2015-01-14,1.4075,1.4161,1.405,1.409,CAD
2015-01-15,1.4085,1.4109,1.378,1.391,CAD
2015-01-16,1.3907,1.3965,1.3749,1.3866,CAD
2015-01-19,1.385,1.3944,1.3806,1.3857,CAD
2015-01-20,1.3852,1.403,1.383,1.3992,CAD
2015-01-21,1.3988,1.4361,1.395,1.4328,CAD
2015-01-22,1.4323,1.4381,1.4039,1.4072,CAD
2015-01-23,1.4067,1.4096,1.3797,1.392,CAD
2015-01-26,1.3889,1.4045,1.3823,1.402,CAD
2015-01-27,1.4016,1.4151,1.4004,1.4111,CAD
2015-01-28,1.4108,1.4191,1.4062,1.4152,CAD
2015-01-29,1.4146,1.4325,1.4105,1.4283,CAD
2015-01-30,1.428,1.4494,1.427,1.4372,CAD
2015-02-02,1.4363,1.4478,1.4224,1.4249,CAD
2015-02-03,1.425,1.4351,1.4208,1.4254,CAD
2015-02-04,1.4251,1.4389,1.4213,1.4268,CAD
2015-02-05,1.4262,1.434,1.4178,1.4272,CAD
2015-02-06,1.4267,1.4294,1.4108,1.4173,CAD
2015-02-09,1.4171,1.4213,1.4071,1.4118,CAD
2015-02-10,1.4115,1.4296,1.4067,1.4252,CAD
2015-02-11,1.4246,1.4346,1.4219,1.4318,CAD
2015-02-12,1.4311,1.4334,1.4153,1.4261,CAD
2015-02-13,1.4262,1.432,1.4164,1.4173,CAD
2015-02-16,1.4169,1.4243,1.4119,1.4155,CAD
2015-02-17,1.415,1.418,1.4088,1.4141,CAD
2015-02-18,1.4134,1.42,1.4081,1.4196,CAD
2015-02-19,1.4193,1.4292,1.4178,1.4204,CAD
2015-02-20,1.42,1.432,1.4051,1.4257,CAD
2015-02-23,1.4258,1.4304,1.4217,1.4244,CAD
2015-02-24,1.4243,1.4334,1.4143,1.4157,CAD
2015-02-25,1.4158,1.4176,1.4064,1.4129,CAD
2015-02-26,1.4126,1.415,1.3975,1.4015,CAD
2015-02-27,1.401,1.4038,1.3945,1.4003,CAD
2015-03-02,1.3998,1.4092,1.3943,1.4021,CAD
2015-03-03,1.4015,1.4034,1.3886,1.3965,CAD
2015-03-04,1.3961,1.3982,1.3733,1.3769,CAD
2015-03-05,1.3764,1.3832,1.369,1.3773,CAD
2015-03-06,1.3767,1.3782,1.3617,1.3688,CAD
2015-03-09,1.3664,1.374,1.3648,1.3677,CAD
2015-03-10,1.3673,1.3691,1.3507,1.3575,CAD
2015-03-11,1.3572,1.3583,1.3402,1.3449,CAD
2015-03-12,1.3443,1.3504,1.3391,1.3491,CAD
2015-03-13,1.349,1.3523,1.3382,1.3416,CAD
2015-03-16,1.3412,1.3573,1.3375,1.3499,CAD
2015-03-17,1.3495,1.3603,1.3484,1.3554,CAD
2015-03-18,1.3551,1.3784,1.3531,1.3655,CAD
2015-03-19,1.3649,1.3677,1.3468,1.3558,CAD
2015-03-20,1.3554,1.3683,1.3507,1.3583,CAD
2015-03-23,1.3598,1.3712,1.3564,1.3708,CAD
2015-03-24,1.3705,1.3744,1.3624,1.3651,CAD
2015-03-25,1.3644,1.3767,1.363,1.3732,CAD
2015-03-26,1.3725,1.3742,1.355,1.3586,CAD
2015-03-27,1.3584,1.3767,1.352,1.3729,CAD
2015-03-30,1.3724,1.3756,1.3673,1.373,CAD
2015-03-31,1.3727,1.3764,1.3581,1.3615,CAD
2015-04-01,1.3616,1.3662,1.3553,1.3586,CAD
2015-04-02,1.3581,1.3731,1.3553,1.3666,CAD
2015-04-03,1.3663,1.3761,1.3639,1.3705,CAD
2015-04-06,1.3713,1.3756,1.3625,1.3632,CAD
2015-04-07,1.3624,1.3659,1.3509,1.3524,CAD
2015-04-08,1.3519,1.3553,1.3458,1.3522,CAD
2015-04-09,1.3518,1.355,1.3391,1.341,CAD
2015-04-10,1.3402,1.3449,1.3313,1.3328,CAD
2015-04-13,1.3322,1.338,1.3291,1.331,CAD
2015-04-14,1.3305,1.3375,1.3248,1.3302,CAD
2015-04-15,1.3298,1.3375,1.3105,1.3132,CAD
2015-04-16,1.3127,1.3227,1.3069,1.3115,CAD
2015-04-17,1.3111,1.3244,1.3019,1.3238,CAD
2015-04-20,1.3249,1.3258,1.3095,1.3129,CAD
2015-04-21,1.3122,1.323,1.3052,1.3184,CAD
2015-04-22,1.318,1.3203,1.3106,1.3127,CAD
