Date,Open,High,Low,Close,Currency
2015-01-01,7.5063,7.5138,7.5026,7.5119,CNY
2015-01-02,7.5094,7.5159,7.4449,7.4489,CNY
2015-01-05,7.4461,7.4514,7.3711,7.4234,CNY
2015-01-06,7.4218,7.432,7.3823,7.3866,CNY
2015-01-07,7.386,7.3906,7.331,7.3561,CNY
2015-01-08,7.354,7.3608,7.3037,7.3285,CNY
2015-01-09,7.3273,7.3565,7.3018,7.3521,CNY
2015-01-12,7.349,7.371,7.3099,7.3405,CNY
2015-01-13,7.3397,7.3545,7.2827,7.296,CNY
2015-01-14,7.2951,7.3394,7.2651,7.3047,CNY
2015-01-15,7.3029,7.3087,7.1565,7.1964,CNY
2015-01-16,7.1955,7.2339,7.112,7.1812,CNY
2015-01-19,7.1679,7.2398,7.1648,7.218,CNY
2015-01-20,7.2165,7.2216,7.17,7.1775,CNY
2015-01-21,7.1768,7.2528,7.1706,7.2118,CNY
2015-01-22,7.2106,7.2316,7.0255,7.0572,CNY
2015-01-23,7.0553,7.0746,6.9211,6.9808,CNY
2015-01-26,6.9653,7.0645,6.9117,7.0289,CNY
2015-01-27,7.0271,7.1323,7.015,7.1054,CNY
2015-01-28,7.1045,7.1115,7.0434,7.0527,CNY
2015-01-29,7.0509,7.1017,7.0357,7.0711,CNY
2015-01-30,7.0702,7.1034,7.0476,7.0553,CNY
2015-02-02,7.0507,7.1134,7.0482,7.0997,CNY
2015-02-03,7.0988,7.2177,7.0776,7.1846,CNY
2015-02-04,7.1828,7.1867,7.0687,7.0889,CNY
2015-02-05,7.0862,7.1899,7.0606,7.1755,CNY
2015-02-06,7.1737,7.1827,7.0614,7.0654,CNY
2015-02-09,7.0639,7.0962,7.0394,7.0743,CNY
2015-02-10,7.0731,7.0867,7.0343,7.0651,CNY
2015-02-11,7.0636,7.0851,7.04,7.0751,CNY
2015-02-12,7.0743,7.1331,7.0543,7.1206,CNY
2015-02-13,7.1188,7.1426,7.0998,7.1049,CNY
2015-02-16,7.1035,7.1422,7.0712,7.0937,CNY
2015-02-17,7.0931,7.1621,7.0731,7.1383,CNY
2015-02-18,7.1365,7.1417,7.0877,7.1292,CNY
2015-02-19,7.1277,7.1624,7.1015,7.1099,CNY
2015-02-20,7.1096,7.1499,7.0539,7.1186,CNY
