Date,Open,High,Low,Close,Currency
2015-01-01,1.21,1.21,1.21,1.21,CUP
2015-01-02,1.21,1.21,1.2,1.2,CUP
2015-01-05,1.2,1.2,1.19,1.19,CUP
2015-01-06,1.19,1.2,1.19,1.19,CUP
2015-01-07,1.19,1.19,1.18,1.18,CUP
2015-01-08,1.18,1.18,1.18,1.18,CUP
2015-01-09,1.18,1.18,1.18,1.18,CUP
2015-01-12,1.18,1.19,1.18,1.18,CUP
2015-01-13,1.18,1.19,1.18,1.18,CUP
2015-01-14,1.18,1.18,1.17,1.18,CUP
2015-01-15,1.18,1.18,1.16,1.16,CUP
2015-01-16,1.16,1.16,1.15,1.16,CUP
2015-01-19,1.15,1.16,1.15,1.16,CUP
2015-01-20,1.16,1.165,1.15,1.155,CUP
2015-01-21,1.16,1.17,1.15,1.16,CUP
2015-01-22,1.16,1.16,1.13,1.14,CUP
2015-01-23,1.14,1.14,1.11,1.12,CUP
2015-01-26,1.12,1.13,1.11,1.12,CUP
2015-01-27,1.12,1.14,1.12,1.14,CUP
2015-01-28,1.14,1.14,1.13,1.13,CUP
2015-01-29,1.13,1.14,1.13,1.13,CUP
2015-01-30,1.13,1.14,1.13,1.13,CUP
2015-02-02,1.13,1.14,1.13,1.13,CUP
2015-02-03,1.13,1.15,1.13,1.15,CUP
2015-02-04,1.15,1.15,1.13,1.13,CUP
2015-02-05,1.13,1.15,1.13,1.15,CUP
2015-02-06,1.15,1.15,1.13,1.13,CUP
2015-02-09,1.13,1.14,1.13,1.13,CUP
2015-02-10,1.13,1.13,1.13,1.13,CUP
2015-02-11,1.13,1.13,1.13,1.13,CUP
2015-02-12,1.13,1.14,1.13,1.14,CUP
2015-02-13,1.14,1.14,1.14,1.14,CUP
2015-02-16,1.14,1.14,1.13,1.14,CUP
2015-02-17,1.14,1.14,1.13,1.14,CUP
2015-02-18,1.14,1.14,1.13,1.14,CUP
2015-02-19,1.14,1.15,1.14,1.14,CUP
2015-02-20,1.14,1.14,1.13,1.14,CUP
2015-02-23,1.14,1.14,1.13,1.13,CUP
2015-02-24,1.13,1.14,1.13,1.13,CUP
2015-02-25,1.13,1.14,1.13,1.14,CUP
2015-02-26,1.14,1.14,1.12,1.12,CUP
2015-02-27,1.12,1.12,1.12,1.12,CUP
2015-03-02,1.12,1.12,1.12,1.12,CUP
2015-03-03,1.12,1.12,1.12,1.12,CUP
2015-03-04,1.12,1.12,1.11,1.11,CUP
2015-03-05,1.11,1.11,1.1,1.1,CUP
2015-03-06,1.1,1.1,1.08,1.08,CUP
2015-03-09,1.08,1.09,1.08,1.09,CUP
2015-03-10,1.09,1.09,1.07,1.07,CUP
2015-03-11,1.07,1.07,1.05,1.05,CUP
2015-03-12,1.05,1.07,1.05,1.06,CUP
2015-03-13,1.06,1.06,1.05,1.05,CUP
2015-03-16,1.05,1.06,1.05,1.06,CUP
2015-03-17,1.06,1.07,1.06,1.06,CUP
2015-03-18,1.06,1.1,1.06,1.09,CUP
2015-03-19,1.09,1.09,1.06,1.07,CUP
2015-03-20,1.07,1.09,1.06,1.08,CUP
2015-03-23,1.08,1.1,1.08,1.09,CUP
2015-03-24,1.09,1.1,1.09,1.09,CUP
2015-03-25,1.09,1.1,1.09,1.1,CUP
2015-03-26,1.1,1.11,1.09,1.09,CUP
2015-03-27,1.09,1.09,1.08,1.09,CUP
2015-03-30,1.09,1.09,1.08,1.08,CUP
2015-03-31,1.08,1.08,1.07,1.07,CUP
2015-04-01,1.07,1.08,1.07,1.08,CUP
2015-04-02,1.08,1.09,1.07,1.09,CUP
2015-04-03,1.09,1.1,1.09,1.1,CUP
2015-04-06,1.1,1.1,1.09,1.09,CUP
2015-04-07,1.09,1.1,1.08,1.08,CUP
2015-04-08,1.08,1.09,1.08,1.08,CUP
2015-04-09,1.08,1.08,1.06,1.07,CUP
2015-04-10,1.07,1.07,1.06,1.06,CUP
2015-04-13,1.06,1.06,1.05,1.06,CUP
2015-04-14,1.06,1.07,1.05,1.07,CUP
2015-04-15,1.07,1.07,1.06,1.07,CUP
2015-04-16,1.07,1.08,1.06,1.08,CUP
2015-04-17,1.08,1.08,1.07,1.08,CUP
2015-04-20,1.08,1.08,1.07,1.07,CUP
2015-04-21,1.07,1.08,1.07,1.07,CUP
2015-04-22,1.07,1.08,1.07,1.07,CUP
2015-04-23,1.07,1.08,1.07,1.08,CUP
2015-04-24,1.08,1.09,1.08,1.09,CUP
2015-04-27,1.09,1.09,1.08,1.09,CUP
2015-04-28,1.09,1.1,1.09,1.1,CUP
2015-04-29,1.1,1.12,1.1,1.11,CUP
2015-04-30,1.11,1.13,1.11,1.12,CUP
2015-05-01,1.12,1.13,1.12,1.12,CUP
2015-05-04,1.12,1.12,1.11,1.11,CUP
2015-05-05,1.11,1.12,1.11,1.12,CUP
2015-05-06,1.12,1.14,1.12,1.14,CUP
2015-05-07,1.13,1.14,1.12,1.13,CUP
2015-05-08,1.13,1.13,1.12,1.12,CUP
2015-05-11,1.12,1.12,1.11,1.12,CUP
2015-05-12,1.12,1.13,1.11,1.12,CUP
2015-05-13,1.12,1.14,1.12,1.14,CUP
2015-05-14,1.14,1.14,1.13,1.14,CUP
2015-05-15,1.14,1.15,1.13,1.15,CUP
2015-05-18,1.15,1.15,1.13,1.13,CUP
2015-05-19,1.13,1.135,1.11,1.115,CUP
2015-05-20,1.11,1.12,1.11,1.11,CUP
2015-05-21,1.11,1.12,1.11,1.11,CUP
2015-05-22,1.11,1.12,1.1,1.1,CUP
2015-05-25,1.1,1.1,1.1,1.1,CUP
2015-05-26,1.1,1.1,1.09,1.09,CUP
2015-05-27,1.09,1.09,1.08,1.09,CUP
2015-05-28,1.09,1.105,1.09,1.095,CUP
2015-05-29,1.09,1.1,1.09,1.1,CUP
2015-06-01,1.1,1.1,1.09,1.09,CUP
2015-06-02,1.09,1.12,1.09,1.12,CUP
2015-06-03,1.12,1.13,1.11,1.13,CUP
2015-06-04,1.13,1.14,1.12,1.12,CUP
2015-06-05,1.12,1.13,1.1,1.11,CUP
2015-06-08,1.11,1.13,1.11,1.13,CUP
2015-06-09,1.13,1.13,1.12,1.13,CUP
2015-06-10,1.13,1.14,1.13,1.13,CUP
2015-06-11,1.13,1.13,1.12,1.13,CUP
2015-06-12,1.13,1.13,1.12,1.13,CUP
2015-06-15,1.12,1.13,1.12,1.13,CUP
2015-06-16,1.13,1.13,1.12,1.12,CUP
2015-06-17,1.12,1.14,1.12,1.13,CUP
2015-06-18,1.13,1.14,1.13,1.14,CUP
2015-06-19,1.14,1.14,1.13,1.14,CUP
2015-06-22,1.14,1.14,1.13,1.13,CUP
2015-06-23,1.13,1.13,1.11,1.12,CUP
2015-06-24,1.12,1.12,1.12,1.12,CUP
2015-06-25,1.12,1.12,1.12,1.12,CUP
2015-06-26,1.12,1.12,1.11,1.12,CUP
2015-06-29,1.1,1.13,1.1,1.12,CUP
2015-06-30,1.12,1.12,1.11,1.11,CUP
2015-07-01,1.11,1.12,1.1,1.11,CUP
2015-07-02,1.11,1.11,1.1,1.11,CUP
2015-07-03,1.11,1.11,1.11,1.11,CUP
2015-07-06,1.1,1.11,1.1,1.11,CUP
2015-07-07,1.11,1.11,1.09,1.1,CUP
2015-07-08,1.1,1.11,1.1,1.11,CUP
2015-07-09,1.11,1.11,1.1,1.1,CUP
2015-07-10,1.1,1.12,1.1,1.12,CUP
2015-07-13,1.11,1.12,1.1,1.1,CUP
2015-07-14,1.1,1.11,1.1,1.1,CUP
2015-07-15,1.1,1.105,1.09,1.095,CUP
2015-07-16,1.09,1.1,1.09,1.09,CUP
2015-07-17,1.09,1.09,1.08,1.08,CUP
2015-07-20,1.08,1.09,1.08,1.08,CUP
2015-07-21,1.08,1.1,1.08,1.09,CUP
2015-07-22,1.09,1.1,1.09,1.09,CUP
2015-07-23,1.09,1.1,1.09,1.1,CUP
2015-07-24,1.1,1.1,1.09,1.1,CUP
2015-07-27,1.1,1.11,1.1,1.11,CUP
2015-07-28,1.11,1.11,1.1,1.11,CUP
2015-07-29,1.11,1.11,1.1,1.1,CUP
2015-07-30,1.1,1.1,1.09,1.09,CUP
2015-07-31,1.09,1.11,1.09,1.1,CUP
2015-08-03,1.1,1.105,1.09,1.095,CUP
2015-08-04,1.1,1.1,1.09,1.09,CUP
2015-08-05,1.09,1.09,1.08,1.09,CUP
2015-08-06,1.09,1.09,1.09,1.09,CUP
2015-08-07,1.09,1.1,1.09,1.1,CUP
2015-08-10,1.1,1.1,1.09,1.1,CUP
2015-08-11,1.1,1.11,1.1,1.1,CUP
2015-08-12,1.1,1.12,1.1,1.12,CUP
2015-08-13,1.12,1.125,1.11,1.115,CUP
2015-08-14,1.11,1.12,1.11,1.11,CUP
2015-08-17,1.11,1.11,1.11,1.11,CUP
2015-08-18,1.11,1.11,1.1,1.1,CUP
2015-08-19,1.1,1.11,1.1,1.11,CUP
2015-08-20,1.11,1.12,1.11,1.12,CUP
2015-08-21,1.12,1.14,1.12,1.14,CUP
2015-08-24,1.14,1.17,1.14,1.16,CUP
2015-08-25,1.16,1.16,1.14,1.15,CUP
2015-08-26,1.15,1.16,1.13,1.13,CUP
2015-08-27,1.13,1.14,1.12,1.12,CUP
2015-08-28,1.12,1.13,1.12,1.12,CUP
2015-08-31,1.12,1.13,1.12,1.12,CUP
2015-09-01,1.12,1.13,1.12,1.13,CUP
2015-09-02,1.13,1.13,1.12,1.12,CUP
2015-09-03,1.12,1.12,1.11,1.11,CUP
2015-09-04,1.11,1.12,1.11,1.11,CUP
2015-09-07,1.12,1.12,1.11,1.12,CUP
2015-09-08,1.12,1.12,1.12,1.12,CUP
2015-09-09,1.12,1.12,1.11,1.12,CUP
2015-09-10,1.12,1.13,1.12,1.13,CUP
2015-09-11,1.13,1.13,1.13,1.13,CUP
2015-09-14,1.13,1.14,1.13,1.13,CUP
2015-09-15,1.13,1.13,1.13,1.13,CUP
2015-09-16,1.13,1.13,1.12,1.13,CUP
2015-09-17,1.13,1.14,1.13,1.14,CUP
2015-09-18,1.14,1.15,1.13,1.13,CUP
2015-09-21,1.13,1.13,1.12,1.12,CUP
2015-09-22,1.12,1.12,1.11,1.11,CUP
2015-09-23,1.11,1.12,1.11,1.12,CUP
2015-09-24,1.12,1.13,1.12,1.12,CUP
2015-09-25,1.12,1.12,1.11,1.12,CUP
2015-09-28,1.12,1.12,1.11,1.12,CUP
2015-09-29,1.12,1.135,1.12,1.125,CUP
2015-09-30,1.12,1.13,1.12,1.12,CUP
2015-10-01,1.12,1.12,1.11,1.12,CUP
2015-10-02,1.12,1.13,1.11,1.12,CUP
2015-10-05,1.12,1.13,1.12,1.12,CUP
2015-10-06,1.12,1.13,1.12,1.13,CUP
2015-10-07,1.13,1.13,1.12,1.12,CUP
2015-10-08,1.12,1.13,1.12,1.13,CUP
2015-10-09,1.13,1.14,1.13,1.14,CUP
2015-10-12,1.14,1.14,1.14,1.14,CUP
2015-10-13,1.14,1.14,1.13,1.14,CUP
2015-10-14,1.14,1.15,1.14,1.15,CUP
2015-10-15,1.15,1.15,1.14,1.14,CUP
2015-10-16,1.14,1.14,1.13,1.13,CUP
2015-10-19,1.13,1.14,1.13,1.13,CUP
2015-10-20,1.13,1.14,1.13,1.13,CUP
2015-10-21,1.13,1.14,1.13,1.13,CUP
2015-10-22,1.13,1.14,1.11,1.11,CUP
2015-10-23,1.11,1.11,1.1,1.1,CUP
2015-10-26,1.1,1.11,1.1,1.11,CUP
2015-10-27,1.11,1.11,1.1,1.1,CUP
2015-10-28,1.11,1.11,1.09,1.09,CUP
2015-10-29,1.09,1.1,1.09,1.1,CUP
2015-10-30,1.1,1.11,1.1,1.1,CUP
2015-11-02,1.1,1.11,1.1,1.1,CUP
2015-11-03,1.1,1.1,1.09,1.1,CUP
2015-11-04,1.1,1.1,1.08,1.09,CUP
2015-11-05,1.09,1.09,1.08,1.09,CUP
2015-11-06,1.09,1.09,1.07,1.07,CUP
2015-11-09,1.07,1.085,1.07,1.075,CUP
2015-11-10,1.07,1.08,1.07,1.07,CUP
2015-11-11,1.07,1.08,1.07,1.07,CUP
2015-11-12,1.07,1.08,1.07,1.08,CUP
2015-11-13,1.08,1.08,1.07,1.08,CUP
2015-11-16,1.07,1.08,1.07,1.07,CUP
2015-11-17,1.07,1.07,1.06,1.06,CUP
2015-11-18,1.06,1.07,1.06,1.07,CUP
2015-11-19,1.07,1.08,1.07,1.07,CUP
2015-11-20,1.07,1.07,1.06,1.06,CUP
2015-11-23,1.06,1.07,1.06,1.06,CUP
2015-11-24,1.06,1.07,1.06,1.06,CUP
2015-11-25,1.06,1.07,1.06,1.06,CUP
2015-11-26,1.06,1.06,1.06,1.06,CUP
2015-11-27,1.06,1.06,1.06,1.06,CUP
2015-11-30,1.06,1.06,1.06,1.06,CUP
2015-12-01,1.06,1.06,1.06,1.06,CUP
2015-12-02,1.06,1.06,1.05,1.06,CUP
2015-12-03,1.06,1.1,1.05,1.09,CUP
2015-12-04,1.09,1.1,1.08,1.09,CUP
2015-12-07,1.09,1.09,1.08,1.08,CUP
2015-12-08,1.08,1.09,1.08,1.09,CUP
2015-12-09,1.09,1.1,1.09,1.1,CUP
2015-12-10,1.1,1.1,1.09,1.09,CUP
2015-12-11,1.09,1.1,1.09,1.1,CUP
2015-12-14,1.1,1.1,1.09,1.1,CUP
2015-12-15,1.1,1.11,1.09,1.09,CUP
2015-12-16,1.09,1.1,1.09,1.09,CUP
2015-12-17,1.09,1.09,1.08,1.08,CUP
2015-12-18,1.08,1.09,1.08,1.09,CUP
2015-12-21,1.09,1.09,1.08,1.09,CUP
2015-12-22,1.09,1.1,1.09,1.1,CUP
2015-12-23,1.1,1.1,1.09,1.09,CUP
2015-12-24,1.09,1.1,1.09,1.1,CUP
2015-12-25,1.1,1.1,1.09,1.1,CUP
2015-12-28,1.1,1.1,1.09,1.1,CUP
2015-12-29,1.1,1.1,1.09,1.09,CUP
2015-12-30,1.09,1.09,1.09,1.09,CUP
2015-12-31,1.09,1.09,1.09,1.09,CUP
2016-01-01,1.09,1.09,1.08,1.09,CUP
2016-01-04,1.09,1.09,1.08,1.08,CUP
2016-01-05,1.08,1.085,1.07,1.075,CUP
2016-01-06,1.07,1.08,1.07,1.08,CUP
2016-01-07,1.08,1.09,1.08,1.09,CUP
2016-01-08,1.09,1.09,1.08,1.09,CUP
2016-01-11,1.09,1.1,1.08,1.09,CUP
2016-01-12,1.09,1.09,1.08,1.09,CUP
2016-01-13,1.09,1.09,1.08,1.09,CUP
2016-01-14,1.09,1.09,1.08,1.09,CUP
2016-01-15,1.09,1.1,1.09,1.09,CUP
2016-01-18,1.09,1.09,1.09,1.09,CUP
2016-01-19,1.09,1.09,1.09,1.09,CUP
2016-01-20,1.09,1.1,1.09,1.09,CUP
2016-01-21,1.09,1.09,1.08,1.09,CUP
2016-01-22,1.09,1.09,1.08,1.08,CUP
2016-01-25,1.08,1.095,1.08,1.085,CUP
2016-01-26,1.08,1.09,1.08,1.09,CUP
2016-01-27,1.09,1.09,1.08,1.09,CUP
2016-01-28,1.09,1.1,1.09,1.09,CUP
2016-01-29,1.09,1.09,1.08,1.08,CUP
2016-02-01,1.08,1.09,1.08,1.09,CUP
2016-02-02,1.09,1.09,1.09,1.09,CUP
2016-02-03,1.09,1.11,1.09,1.11,CUP
2016-02-04,1.11,1.12,1.11,1.12,CUP
2016-02-05,1.12,1.12,1.11,1.12,CUP
2016-02-08,1.12,1.12,1.11,1.12,CUP
2016-02-09,1.12,1.13,1.12,1.13,CUP
2016-02-10,1.13,1.13,1.12,1.13,CUP
2016-02-11,1.13,1.14,1.13,1.13,CUP
2016-02-12,1.13,1.13,1.12,1.13,CUP
2016-02-15,1.12,1.13,1.11,1.12,CUP
2016-02-16,1.12,1.12,1.11,1.11,CUP
2016-02-17,1.11,1.12,1.11,1.11,CUP
2016-02-18,1.11,1.11,1.11,1.11,CUP
2016-02-19,1.11,1.11,1.11,1.11,CUP
2016-02-22,1.11,1.11,1.1,1.1,CUP
2016-02-23,1.1,1.11,1.1,1.1,CUP
2016-02-24,1.1,1.1,1.1,1.1,CUP
2016-02-25,1.1,1.1,1.1,1.1,CUP
2016-02-26,1.1,1.11,1.09,1.09,CUP
2016-02-29,1.09,1.1,1.09,1.09,CUP
2016-03-01,1.09,1.09,1.08,1.09,CUP
2016-03-02,1.09,1.09,1.08,1.09,CUP
2016-03-03,1.09,1.1,1.09,1.1,CUP
2016-03-04,1.1,1.1,1.09,1.1,CUP
2016-03-07,1.1,1.1,1.09,1.1,CUP
2016-03-08,1.1,1.11,1.1,1.1,CUP
2016-03-09,1.1,1.1,1.09,1.1,CUP
2016-03-10,1.1,1.12,1.08,1.12,CUP
2016-03-11,1.12,1.125,1.11,1.115,CUP
2016-03-14,1.11,1.12,1.11,1.11,CUP
2016-03-15,1.11,1.11,1.11,1.11,CUP
2016-03-16,1.11,1.12,1.11,1.12,CUP
2016-03-17,1.12,1.13,1.12,1.13,CUP
