Date,Open,High,Low,Close,Currency
2015-01-01,107.95,108.013,107.897,107.986,CVE
2015-01-02,107.995,108.04,107.067,107.076,CVE
2015-01-05,107.085,107.13,106.005,106.46,CVE
2015-01-06,106.469,106.79,106.032,106.077,CVE
2015-01-07,106.086,108.607,105.291,108.33,CVE
2015-01-08,108.32,109.606,108.0,109.317,CVE
2015-01-09,108.418,109.835,108.142,109.771,CVE
2015-01-12,108.841,110.041,107.971,109.514,CVE
2015-01-13,108.627,109.03,108.435,108.95,CVE
2015-01-14,108.95,109.291,108.469,109.084,CVE
2015-01-15,109.065,110.109,107.712,109.175,CVE
2015-01-16,108.299,109.357,106.706,108.603,CVE
2015-01-19,107.544,109.272,107.498,108.945,CVE
2015-01-20,108.056,109.031,107.451,108.424,CVE
2015-01-21,107.554,109.911,107.46,109.464,CVE
2015-01-22,108.579,108.954,107.835,108.57,CVE
2015-01-23,108.56,108.646,106.162,107.06,CVE
2015-01-26,106.841,107.901,106.019,107.357,CVE
2015-01-27,107.347,109.577,107.213,109.508,CVE
2015-01-28,108.645,109.701,107.926,108.907,CVE
2015-01-29,108.041,110.049,107.792,109.623,CVE
2015-01-30,108.764,109.875,108.349,109.307,CVE
2015-02-02,108.397,109.862,108.359,109.451,CVE
2015-02-03,108.59,109.95,108.332,109.46,CVE
2015-02-04,108.58,109.697,108.368,109.471,CVE
2015-02-05,108.587,110.665,108.433,109.445,CVE
2015-02-06,108.565,109.568,107.956,109.41,CVE
2015-02-09,108.547,109.832,108.239,109.451,CVE
2015-02-10,108.588,109.623,108.268,109.451,CVE
2015-02-11,108.583,109.599,108.415,109.436,CVE
2015-02-12,108.581,109.756,108.445,109.458,CVE
2015-02-13,108.583,109.865,108.434,109.312,CVE
2015-02-16,108.444,109.749,107.919,109.129,CVE
2015-02-17,108.253,109.404,107.948,109.308,CVE
2015-02-18,109.308,109.39,108.493,108.822,CVE
2015-02-19,108.832,109.099,108.383,108.488,CVE
2015-02-20,108.498,109.709,108.221,109.229,CVE
2015-02-23,109.267,109.555,108.389,108.507,CVE
2015-02-24,108.546,109.241,108.316,109.183,CVE
2015-02-25,109.183,109.655,108.502,108.963,CVE
2015-02-26,108.944,109.078,107.704,107.806,CVE
2015-02-27,107.816,108.278,107.604,107.777,CVE
2015-03-02,107.71,109.51,107.44,109.127,CVE
2015-03-03,108.254,108.682,108.187,108.555,CVE
2015-03-04,108.555,108.74,108.233,108.721,CVE
2015-03-05,108.721,108.855,108.266,108.681,CVE
2015-03-06,108.711,109.558,107.24,108.098,CVE
2015-03-09,107.141,108.722,107.052,108.178,CVE
2015-03-10,107.349,108.201,105.766,106.638,CVE
2015-03-11,105.825,106.824,103.966,105.133,CVE
2015-03-12,104.332,106.489,103.817,106.014,CVE
2015-03-13,105.212,106.039,103.481,104.614,CVE
2015-03-16,103.797,108.654,103.441,108.418,CVE
2015-03-17,108.418,109.28,108.254,108.736,CVE
2015-03-18,108.736,111.958,108.3,110.675,CVE
2015-03-19,110.638,111.137,108.005,108.455,CVE
2015-03-20,108.455,109.316,108.343,108.849,CVE
2015-03-23,109.01,110.107,108.306,109.505,CVE
2015-03-24,109.505,110.345,108.944,110.059,CVE
2015-03-25,110.049,110.966,109.575,109.701,CVE
2015-03-26,109.691,110.521,108.224,108.558,CVE
2015-03-27,108.568,109.681,107.73,109.233,CVE
2015-03-30,108.402,108.744,107.725,108.537,CVE
2015-03-31,108.537,110.112,107.334,109.37,CVE
2015-04-01,108.586,109.038,108.185,108.427,CVE
2015-04-02,108.427,109.354,108.296,109.136,CVE
2015-04-03,109.136,110.591,108.946,110.089,CVE
2015-04-06,110.21,110.681,108.763,108.937,CVE
2015-04-07,108.917,110.083,107.847,109.399,CVE
2015-04-08,108.573,109.516,107.91,109.379,CVE
2015-04-09,108.565,108.648,107.309,107.752,CVE
2015-04-10,107.752,108.648,106.832,108.034,CVE
2015-04-13,108.014,108.753,107.743,107.773,CVE
2015-04-14,107.763,109.706,107.396,109.155,CVE
2015-04-15,108.352,109.569,107.975,108.549,CVE
2015-04-16,108.539,109.36,108.096,108.891,CVE
2015-04-17,108.891,110.601,108.638,110.427,CVE
2015-04-20,110.58,110.621,109.466,109.732,CVE
2015-04-21,109.722,109.875,108.48,108.511,CVE
2015-04-22,108.531,108.925,108.282,108.323,CVE
2015-04-23,108.312,109.916,107.858,109.705,CVE
2015-04-24,108.858,109.622,108.455,109.264,CVE
2015-04-27,109.244,109.727,108.454,109.676,CVE
2015-04-28,109.737,110.613,108.477,109.306,CVE
2015-04-29,109.306,111.309,108.543,110.737,CVE
2015-04-30,109.867,110.163,108.18,109.19,CVE
2015-05-01,109.18,109.501,107.941,108.192,CVE
2015-05-04,108.192,109.649,107.854,109.453,CVE
2015-05-05,108.608,109.461,108.033,109.044,CVE
2015-05-06,109.044,110.858,108.947,110.672,CVE
2015-05-07,110.624,111.921,108.346,109.331,CVE
2015-05-08,108.471,109.121,107.652,108.333,CVE
2015-05-11,108.265,108.362,107.627,107.859,CVE
2015-05-12,107.859,109.671,107.656,109.118,CVE
2015-05-13,108.262,110.451,108.146,109.237,CVE
2015-05-14,108.38,109.951,108.208,109.434,CVE
2015-05-15,108.559,110.583,108.242,109.589,CVE
2015-05-18,108.716,109.579,107.886,108.912,CVE
2015-05-19,108.049,109.023,106.167,107.314,CVE
2015-05-20,106.463,107.373,105.633,106.77,CVE
2015-05-21,105.929,109.778,105.804,109.57,CVE
2015-05-22,108.62,109.808,108.085,109.073,CVE
2015-05-25,108.325,109.523,107.941,109.424,CVE
2015-05-26,108.595,109.536,107.675,109.306,CVE
2015-05-27,108.438,109.853,107.91,109.814,CVE
2015-05-28,109.139,111.073,108.779,110.974,CVE
2015-05-29,110.117,111.544,109.906,111.363,CVE
2015-06-01,110.519,111.657,108.292,109.494,CVE
2015-06-02,108.386,110.97,108.257,109.694,CVE
2015-06-03,108.832,111.199,108.11,111.006,CVE
