Date,Open,High,Low,Close,Currency
2015-01-01,106.127,106.454,106.066,106.418,DZD
2015-01-02,106.171,106.466,105.274,105.524,DZD
2015-01-05,105.291,105.603,104.301,105.106,DZD
2015-01-06,104.884,105.356,104.256,104.5,DZD
2015-01-07,104.292,104.789,103.794,104.424,DZD
2015-01-08,104.2,104.469,103.516,104.034,DZD
2015-01-09,103.814,104.446,103.228,104.184,DZD
2015-01-12,103.796,104.351,103.2,103.859,DZD
2015-01-13,103.599,104.082,102.971,103.414,DZD
2015-01-14,103.194,104.304,102.618,103.297,DZD
2015-01-15,103.043,103.517,101.498,102.316,DZD
2015-01-16,102.343,102.803,101.371,102.402,DZD
2015-01-19,102.065,102.849,101.814,102.513,DZD
2015-01-20,102.293,102.766,101.617,102.108,DZD
2015-01-21,101.891,103.166,101.559,102.565,DZD
2015-01-22,102.338,103.069,99.547,100.41,DZD
2015-01-23,100.097,103.302,99.349,102.571,DZD
2015-01-26,102.138,104.168,101.215,103.673,DZD
2015-01-27,103.457,105.497,103.099,105.056,DZD
2015-01-28,104.848,105.315,103.642,104.184,DZD
2015-01-29,103.949,105.092,103.506,104.592,DZD
2015-01-30,104.384,105.725,103.955,104.475,DZD
2015-02-02,104.133,105.767,104.096,105.439,DZD
2015-02-03,105.231,106.934,104.722,106.421,DZD
2015-02-04,106.089,107.036,104.995,105.698,DZD
2015-02-05,105.355,107.336,104.842,107.086,DZD
2015-02-06,106.763,107.307,104.953,105.413,DZD
2015-02-09,104.99,106.499,104.703,106.119,DZD
2015-02-10,105.906,106.802,105.172,106.502,DZD
2015-02-11,106.192,106.892,105.824,106.747,DZD
2015-02-12,106.544,107.448,106.09,107.271,DZD
2015-02-13,107.052,107.62,106.736,107.19,DZD
2015-02-16,107.087,107.726,106.463,107.011,DZD
2015-02-17,106.789,108.048,106.403,107.457,DZD
2015-02-18,107.135,107.639,106.541,107.486,DZD
2015-02-19,107.272,107.868,106.766,107.251,DZD
2015-02-20,107.074,107.996,106.351,107.53,DZD
2015-02-23,107.47,107.955,106.422,107.084,DZD
2015-02-24,106.925,107.61,106.451,107.243,DZD
2015-02-25,106.923,107.73,106.616,107.322,DZD
2015-02-26,107.099,107.638,105.612,106.137,DZD
2015-02-27,106.013,106.845,105.678,106.43,DZD
2015-03-02,105.809,106.756,105.548,105.992,DZD
2015-03-03,105.763,106.725,105.688,106.172,DZD
2015-03-04,105.874,106.406,104.951,105.418,DZD
2015-03-05,105.287,106.125,104.629,105.377,DZD
2015-03-06,105.087,105.504,103.686,103.945,DZD
2015-03-09,103.59,104.824,103.504,104.329,DZD
2015-03-10,104.125,104.388,102.993,103.245,DZD
2015-03-11,103.048,103.472,102.073,102.75,DZD
2015-03-12,102.556,103.91,101.879,103.418,DZD
2015-03-13,103.198,103.556,101.522,102.167,DZD
2015-03-16,101.82,103.628,101.47,102.878,DZD
2015-03-17,102.582,103.622,102.284,102.94,DZD
2015-03-18,102.794,106.863,102.338,105.612,DZD
2015-03-19,105.407,106.283,102.766,103.359,DZD
2015-03-20,103.083,105.117,102.881,104.625,DZD
2015-03-23,104.666,105.299,103.706,105.09,DZD
2015-03-24,104.98,105.893,104.006,104.963,DZD
2015-03-25,104.739,105.735,104.32,105.486,DZD
2015-03-26,105.26,106.143,104.727,105.311,DZD
2015-03-27,105.082,106.32,104.2,105.764,DZD
2015-03-30,105.654,105.959,104.869,105.382,DZD
2015-03-31,105.153,105.487,104.197,104.752,DZD
2015-04-01,104.573,105.445,104.282,105.01,DZD
2015-04-02,104.68,106.136,104.575,105.892,DZD
2015-04-03,105.656,106.842,105.287,106.486,DZD
2015-04-06,106.407,107.089,105.673,106.166,DZD
2015-04-07,105.998,106.398,104.981,105.381,DZD
2015-04-08,105.177,106.229,104.706,105.261,DZD
2015-04-09,104.932,105.63,104.222,104.742,DZD
2015-04-10,104.541,105.14,103.871,104.732,DZD
2015-04-13,104.367,104.951,103.556,104.366,DZD
2015-04-14,104.235,105.602,103.667,104.564,DZD
2015-04-15,104.269,105.619,103.936,105.458,DZD
2015-04-16,105.204,106.173,104.465,105.687,DZD
2015-04-17,105.446,106.607,105.047,105.898,DZD
2015-04-20,105.566,106.265,104.9,105.636,DZD
2015-04-21,105.163,106.025,104.527,105.508,DZD
2015-04-22,105.251,106.197,104.856,105.567,DZD
2015-04-23,105.323,106.766,104.633,106.38,DZD
2015-04-24,105.894,106.985,105.484,106.484,DZD
2015-04-27,106.162,107.048,105.49,106.48,DZD
2015-04-28,106.149,107.131,105.785,107.047,DZD
2015-04-29,106.936,108.905,106.488,108.083,DZD
2015-04-30,107.767,109.574,107.267,108.902,DZD
2015-05-01,108.673,109.658,108.204,108.936,DZD
2015-05-04,108.553,109.093,107.911,108.643,DZD
2015-05-05,108.439,109.342,107.403,108.996,DZD
2015-05-06,108.75,110.318,108.387,109.913,DZD
2015-05-07,109.546,110.425,108.712,109.917,DZD
2015-05-08,109.525,110.465,108.972,109.637,DZD
2015-05-11,109.138,109.774,108.549,109.416,DZD
