Date,Open,High,Low,Close,Currency
2015-01-01,0.7767,0.7788,0.7762,0.7786,GBP
2015-01-02,0.7785,0.7835,0.7742,0.7831,GBP
2015-01-05,0.7828,0.785,0.7747,0.7826,GBP
2015-01-06,0.7822,0.7875,0.7816,0.7847,GBP
2015-01-07,0.7846,0.7856,0.7811,0.7835,GBP
2015-01-08,0.7834,0.7857,0.7802,0.7815,GBP
2015-01-09,0.7814,0.7828,0.7781,0.7811,GBP
2015-01-12,0.7808,0.7832,0.7783,0.7799,GBP
2015-01-13,0.7798,0.7831,0.7753,0.7766,GBP
2015-01-14,0.7764,0.7782,0.773,0.774,GBP
2015-01-15,0.7738,0.7749,0.7606,0.7656,GBP
2015-01-16,0.7657,0.7675,0.7592,0.7636,GBP
2015-01-19,0.7622,0.7686,0.7613,0.768,GBP
2015-01-20,0.7678,0.7694,0.7609,0.7627,GBP
2015-01-21,0.7625,0.7715,0.7614,0.7667,GBP
2015-01-22,0.7666,0.7679,0.7551,0.7573,GBP
2015-01-23,0.757,0.7584,0.7426,0.7477,GBP
2015-01-26,0.746,0.7508,0.7402,0.7453,GBP
2015-01-27,0.745,0.7513,0.7433,0.7489,GBP
2015-01-28,0.7488,0.75,0.7442,0.7458,GBP
2015-01-29,0.7452,0.7531,0.7439,0.7513,GBP
2015-01-30,0.7511,0.7539,0.7478,0.7491,GBP
2015-02-02,0.7486,0.7565,0.7473,0.7541,GBP
2015-02-03,0.754,0.7595,0.7522,0.757,GBP
2015-02-04,0.7568,0.7577,0.7456,0.7473,GBP
2015-02-05,0.747,0.7513,0.7445,0.7488,GBP
2015-02-06,0.7484,0.7499,0.7414,0.7422,GBP
2015-02-09,0.7419,0.746,0.741,0.7442,GBP
2015-02-10,0.7441,0.7448,0.7406,0.7421,GBP
2015-02-11,0.7419,0.745,0.7383,0.7438,GBP
2015-02-12,0.7436,0.7456,0.7369,0.7412,GBP
2015-02-13,0.7411,0.7435,0.7388,0.7393,GBP
2015-02-16,0.7391,0.7429,0.7374,0.739,GBP
2015-02-17,0.7389,0.7447,0.7371,0.7432,GBP
2015-02-18,0.7431,0.7441,0.7335,0.7384,GBP
2015-02-19,0.7382,0.7409,0.7355,0.7375,GBP
2015-02-20,0.7372,0.7432,0.7337,0.739,GBP
2015-02-23,0.739,0.7409,0.7323,0.7332,GBP
2015-02-24,0.7328,0.735,0.7314,0.7339,GBP
2015-02-25,0.7336,0.7346,0.731,0.7317,GBP
2015-02-26,0.7316,0.7328,0.7256,0.7268,GBP
2015-02-27,0.7265,0.73,0.7242,0.7253,GBP
2015-03-02,0.7246,0.7303,0.723,0.728,GBP
2015-03-03,0.7276,0.729,0.7256,0.7275,GBP
2015-03-04,0.7273,0.7282,0.7233,0.7258,GBP
2015-03-05,0.7256,0.7288,0.7218,0.7238,GBP
2015-03-06,0.7235,0.7243,0.7179,0.7211,GBP
2015-03-09,0.7199,0.7221,0.7168,0.7173,GBP
2015-03-10,0.7172,0.7182,0.7089,0.7099,GBP
2015-03-11,0.71,0.711,0.7011,0.7065,GBP
2015-03-12,0.7062,0.7147,0.703,0.7146,GBP
2015-03-13,0.7145,0.7174,0.7101,0.7117,GBP
2015-03-16,0.7114,0.7168,0.709,0.7127,GBP
2015-03-17,0.7124,0.7218,0.7116,0.7188,GBP
2015-03-18,0.7186,0.7296,0.7167,0.7255,GBP
2015-03-19,0.7254,0.7277,0.7152,0.7226,GBP
2015-03-20,0.7223,0.7268,0.7215,0.7238,GBP
2015-03-23,0.7222,0.7334,0.7222,0.7321,GBP
2015-03-24,0.732,0.7375,0.73,0.7357,GBP
2015-03-25,0.7355,0.7388,0.734,0.7373,GBP
2015-03-26,0.7371,0.7385,0.7317,0.7329,GBP
2015-03-27,0.7327,0.7345,0.7263,0.7319,GBP
2015-03-30,0.7317,0.7341,0.7291,0.7314,GBP
2015-03-31,0.7312,0.7324,0.722,0.7242,GBP
2015-04-01,0.7242,0.7301,0.7228,0.7262,GBP
2015-04-02,0.7259,0.7353,0.7251,0.7339,GBP
2015-04-03,0.7336,0.7381,0.7314,0.7358,GBP
2015-04-06,0.7363,0.7381,0.7331,0.7341,GBP
2015-04-07,0.7337,0.7351,0.7281,0.7304,GBP
2015-04-08,0.7301,0.7317,0.7225,0.7251,GBP
2015-04-09,0.7249,0.7278,0.7232,0.7244,GBP
2015-04-10,0.7242,0.7261,0.7221,0.7248,GBP
2015-04-13,0.7243,0.7273,0.7194,0.7201,GBP
2015-04-14,0.7196,0.7242,0.7178,0.7208,GBP
2015-04-15,0.7205,0.722,0.7163,0.72,GBP
2015-04-16,0.7197,0.7232,0.7161,0.7206,GBP
2015-04-17,0.7204,0.7231,0.7166,0.7224,GBP
2015-04-20,0.7228,0.7248,0.7182,0.7205,GBP
2015-04-21,0.7202,0.7214,0.7167,0.7192,GBP
2015-04-22,0.7188,0.7209,0.712,0.7134,GBP
2015-04-23,0.713,0.72,0.7114,0.7189,GBP
2015-04-24,0.7186,0.7214,0.7144,0.7159,GBP
2015-04-27,0.7156,0.7174,0.7138,0.7146,GBP
2015-04-28,0.7146,0.7174,0.7129,0.716,GBP
2015-04-29,0.7158,0.7231,0.7133,0.721,GBP
2015-04-30,0.7206,0.7338,0.7185,0.7311,GBP
2015-05-01,0.7309,0.742,0.7297,0.7398,GBP
2015-05-04,0.739,0.7399,0.7349,0.7371,GBP
2015-05-05,0.737,0.7385,0.7312,0.7368,GBP
2015-05-06,0.7365,0.7451,0.7361,0.7448,GBP
2015-05-07,0.7441,0.7487,0.7376,0.739,GBP
2015-05-08,0.7388,0.7391,0.7223,0.7249,GBP
2015-05-11,0.7241,0.7258,0.7138,0.7157,GBP
2015-05-12,0.7155,0.7231,0.7148,0.7156,GBP
2015-05-13,0.7156,0.7231,0.712,0.7213,GBP
2015-05-14,0.7212,0.7247,0.7201,0.7232,GBP
2015-05-15,0.723,0.7284,0.7203,0.7284,GBP
2015-05-18,0.7282,0.7288,0.7214,0.7229,GBP
2015-05-19,0.7226,0.7234,0.7147,0.7188,GBP
2015-05-20,0.7187,0.7194,0.7125,0.7139,GBP
2015-05-21,0.7138,0.7169,0.7088,0.7095,GBP
2015-05-22,0.7094,0.7165,0.7086,0.7112,GBP
2015-05-25,0.7108,0.7117,0.7071,0.7096,GBP
2015-05-26,0.7092,0.7105,0.7058,0.7067,GBP
2015-05-27,0.7064,0.7118,0.7053,0.7102,GBP
2015-05-28,0.7099,0.7154,0.7094,0.7149,GBP
2015-05-29,0.7145,0.7203,0.7137,0.7186,GBP
2015-06-01,0.7184,0.7199,0.7142,0.7188,GBP
2015-06-02,0.7186,0.7304,0.7177,0.7269,GBP
2015-06-03,0.7267,0.736,0.7248,0.7348,GBP
2015-06-04,0.7344,0.7386,0.7304,0.7314,GBP
2015-06-05,0.7312,0.7363,0.7264,0.7277,GBP
2015-06-08,0.7275,0.7366,0.7263,0.7355,GBP
2015-06-09,0.7354,0.7389,0.7325,0.7333,GBP
2015-06-10,0.7333,0.7367,0.7265,0.7293,GBP
2015-06-11,0.7291,0.7318,0.7236,0.7255,GBP
2015-06-12,0.7251,0.7259,0.7194,0.7244,GBP
2015-06-15,0.7213,0.7249,0.72,0.7232,GBP
2015-06-16,0.7231,0.7251,0.7173,0.7188,GBP
2015-06-17,0.7186,0.7213,0.714,0.7161,GBP
2015-06-18,0.7159,0.7203,0.715,0.7153,GBP
2015-06-19,0.7152,0.7173,0.7122,0.7147,GBP
2015-06-22,0.7152,0.7212,0.7133,0.7167,GBP
2015-06-23,0.7164,0.7181,0.7078,0.7102,GBP
2015-06-24,0.71,0.7147,0.7082,0.7134,GBP
2015-06-25,0.7131,0.7148,0.7098,0.7116,GBP
2015-06-26,0.7115,0.7128,0.7072,0.7088,GBP
2015-06-29,0.7006,0.7169,0.6981,0.7139,GBP
2015-06-30,0.7137,0.7147,0.7071,0.7089,GBP
2015-07-01,0.7086,0.7132,0.7058,0.7077,GBP
2015-07-02,0.7074,0.7127,0.7067,0.7102,GBP
2015-07-03,0.7099,0.7141,0.7093,0.7138,GBP
2015-07-06,0.7049,0.7126,0.7049,0.7085,GBP
2015-07-07,0.708,0.714,0.7062,0.7123,GBP
2015-07-08,0.712,0.7225,0.7106,0.7211,GBP
2015-07-09,0.7212,0.7225,0.7159,0.7177,GBP
2015-07-10,0.7174,0.7226,0.7169,0.7191,GBP
2015-07-13,0.7147,0.7203,0.7085,0.7104,GBP
2015-07-14,0.7102,0.7142,0.7033,0.7043,GBP
2015-07-15,0.7039,0.707,0.699,0.7002,GBP
2015-07-16,0.6998,0.7012,0.6958,0.6967,GBP
2015-07-17,0.6964,0.6989,0.6934,0.6937,GBP
2015-07-20,0.6935,0.6979,0.6935,0.6956,GBP
2015-07-21,0.6953,0.7047,0.6945,0.7029,GBP
2015-07-22,0.7029,0.7039,0.6961,0.7003,GBP
2015-07-23,0.7001,0.7104,0.6987,0.7079,GBP
2015-07-24,0.7077,0.7094,0.7052,0.708,GBP
2015-07-27,0.7083,0.7165,0.7063,0.713,GBP
2015-07-28,0.7127,0.7133,0.7068,0.7084,GBP
2015-07-29,0.7083,0.7102,0.7029,0.7041,GBP
2015-07-30,0.7039,0.7044,0.6983,0.7007,GBP
2015-07-31,0.7005,0.71,0.7001,0.7032,GBP
2015-08-03,0.7018,0.7043,0.7009,0.7026,GBP
2015-08-04,0.7023,0.7049,0.6986,0.6992,GBP
2015-08-05,0.6988,0.7001,0.6948,0.699,GBP
2015-08-06,0.6989,0.7048,0.6966,0.7043,GBP
2015-08-07,0.7039,0.7097,0.7014,0.7078,GBP
2015-08-10,0.7075,0.7099,0.705,0.7067,GBP
2015-08-11,0.7069,0.7117,0.7037,0.7089,GBP
2015-08-12,0.7088,0.7171,0.7079,0.7145,GBP
2015-08-13,0.7143,0.7158,0.7099,0.7142,GBP
2015-08-14,0.714,0.7159,0.7092,0.71,GBP
2015-08-17,0.7095,0.7118,0.7061,0.7108,GBP
2015-08-18,0.7104,0.712,0.7024,0.7037,GBP
2015-08-19,0.7033,0.71,0.7033,0.7091,GBP
2015-08-20,0.709,0.7168,0.7084,0.7166,GBP
2015-08-21,0.7166,0.7263,0.7148,0.7255,GBP
2015-08-24,0.7252,0.7423,0.7232,0.7367,GBP
2015-08-25,0.7366,0.7369,0.7256,0.7342,GBP
2015-08-26,0.7339,0.7367,0.7289,0.7319,GBP
2015-08-27,0.7319,0.7335,0.7274,0.7302,GBP
2015-08-28,0.73,0.7355,0.7254,0.7263,GBP
2015-08-31,0.7255,0.7324,0.7243,0.7309,GBP
2015-09-01,0.7306,0.74,0.7299,0.7393,GBP
2015-09-02,0.739,0.7398,0.7327,0.7338,GBP
2015-09-03,0.7336,0.7374,0.7274,0.729,GBP
2015-09-04,0.7289,0.7355,0.728,0.7347,GBP
2015-09-07,0.7355,0.7359,0.7297,0.7313,GBP
2015-09-08,0.7314,0.733,0.7239,0.7274,GBP
2015-09-09,0.7272,0.73,0.7237,0.7292,GBP
2015-09-10,0.7291,0.7323,0.724,0.7303,GBP
2015-09-11,0.7301,0.7359,0.7292,0.7349,GBP
2015-09-14,0.7347,0.7361,0.7323,0.7339,GBP
2015-09-15,0.7336,0.7359,0.731,0.7344,GBP
2015-09-16,0.734,0.736,0.7264,0.7287,GBP
2015-09-17,0.7285,0.7342,0.7272,0.7335,GBP
2015-09-18,0.7333,0.7341,0.7259,0.7279,GBP
