Date,Open,High,Low,Close,Currency
2015-01-01,14977.3,14994.5,14969.9,14990.8,IDR
2015-01-02,14983.5,15134.6,14935.2,15054.1,IDR
2015-01-05,15043.2,15149.3,14891.6,15069.0,IDR
2015-01-06,15064.1,15137.1,15037.9,15048.5,IDR
2015-01-07,15045.5,15146.2,14999.9,15081.1,IDR
2015-01-08,15076.8,15096.0,14896.9,14952.9,IDR
2015-01-09,14945.1,14990.1,14877.7,14981.3,IDR
2015-01-12,14973.8,15019.8,14843.2,14906.6,IDR
2015-01-13,14903.7,14943.5,14801.6,14830.4,IDR
2015-01-14,14826.8,14940.7,14784.0,14870.1,IDR
2015-01-15,14865.8,14890.0,14522.4,14607.9,IDR
2015-01-16,14601.5,14675.0,14421.1,14563.1,IDR
2015-01-19,14534.4,14689.2,14528.1,14645.0,IDR
2015-01-20,14640.8,14678.2,14516.1,14535.1,IDR
2015-01-21,14529.9,14572.2,14402.4,14489.9,IDR
2015-01-22,14482.2,14544.7,14128.0,14193.9,IDR
2015-01-23,14188.0,14203.2,13857.9,13979.2,IDR
2015-01-26,13946.5,14131.3,13839.2,14060.0,IDR
2015-01-27,14051.9,14253.1,13994.5,14199.5,IDR
2015-01-28,14194.3,14225.4,14075.6,14094.2,IDR
2015-01-29,14090.6,14288.0,14070.6,14226.4,IDR
2015-01-30,14222.3,14397.2,14217.3,14299.7,IDR
2015-02-02,14288.6,14415.2,14283.6,14387.3,IDR
2015-02-03,14382.7,14595.1,14274.5,14528.1,IDR
2015-02-04,14520.9,14533.6,14279.5,14325.0,IDR
2015-02-05,14314.9,14527.4,14263.1,14498.3,IDR
2015-02-06,14492.9,14513.9,14263.0,14273.9,IDR
2015-02-09,14268.1,14374.9,14229.0,14322.7,IDR
2015-02-10,14317.9,14366.8,14281.6,14346.5,IDR
2015-02-11,14341.2,14430.9,14332.3,14410.5,IDR
2015-02-12,14404.2,14612.9,14363.6,14587.3,IDR
2015-02-13,14581.9,14625.7,14515.4,14559.2,IDR
2015-02-16,14554.4,14611.6,14429.2,14479.8,IDR
2015-02-17,14473.8,14621.1,14430.6,14572.6,IDR
2015-02-18,14568.3,14657.8,14550.3,14637.2,IDR
2015-02-19,14632.5,14705.3,14578.5,14597.4,IDR
2015-02-20,14595.2,14645.3,14447.1,14581.3,IDR
2015-02-23,14580.3,14624.8,14492.5,14544.7,IDR
2015-02-24,14543.8,14651.6,14508.8,14627.1,IDR
2015-02-25,14621.6,14664.4,14578.3,14626.2,IDR
2015-02-26,14621.3,14637.0,14352.1,14375.4,IDR
2015-02-27,14371.4,14537.4,14363.6,14470.2,IDR
2015-03-02,14452.3,14580.2,14416.1,14506.3,IDR
2015-03-03,14496.2,14545.4,14454.3,14489.7,IDR
2015-03-04,14481.5,14501.9,14355.9,14383.3,IDR
2015-03-05,14378.0,14440.5,14265.3,14328.6,IDR
2015-03-06,14323.8,14354.8,14064.9,14076.2,IDR
2015-03-09,14051.9,14234.3,14040.2,14162.5,IDR
