Date,Open,High,Low,Close,Currency
2015-01-01,4.7061,4.7192,4.6957,4.7134,ILS
2015-01-02,4.7028,4.7393,4.6809,4.7242,ILS
2015-01-05,4.7176,4.7309,4.6688,4.7188,ILS
2015-01-06,4.7127,4.7395,4.6947,4.7068,ILS
2015-01-07,4.7009,4.7173,4.6693,4.6966,ILS
2015-01-08,4.6923,4.712,4.6475,4.6639,ILS
2015-01-09,4.663,4.6875,4.6396,4.6703,ILS
2015-01-12,4.6626,4.6842,4.6405,4.6527,ILS
2015-01-13,4.6468,4.6637,4.6174,4.6325,ILS
2015-01-14,4.6288,4.6574,4.5775,4.5938,ILS
2015-01-15,4.5869,4.5996,4.5284,4.5626,ILS
2015-01-16,4.5566,4.5724,4.5097,4.5617,ILS
2015-01-19,4.5502,4.5839,4.5343,4.5455,ILS
2015-01-20,4.5389,4.5634,4.5232,4.5475,ILS
2015-01-21,4.5439,4.587,4.5384,4.5761,ILS
2015-01-22,4.5726,4.5885,4.4693,4.4938,ILS
2015-01-23,4.4871,4.5295,4.4174,4.4925,ILS
2015-01-26,4.4778,4.5179,4.4534,4.4821,ILS
2015-01-27,4.4757,4.5222,4.4668,4.4907,ILS
2015-01-28,4.4852,4.5134,4.4379,4.4508,ILS
2015-01-29,4.4444,4.4635,4.426,4.4557,ILS
2015-01-30,4.4519,4.4753,4.4233,4.4375,ILS
2015-02-02,4.4299,4.4746,4.4283,4.4567,ILS
2015-02-03,4.4529,4.4845,4.4362,4.4668,ILS
2015-02-04,4.4649,4.4801,4.4089,4.429,ILS
2015-02-05,4.4225,4.4517,4.3692,4.4252,ILS
2015-02-06,4.4179,4.4451,4.393,4.407,ILS
2015-02-09,4.403,4.4184,4.3708,4.3891,ILS
2015-02-10,4.3857,4.4081,4.3566,4.3807,ILS
2015-02-11,4.3742,4.4103,4.3482,4.404,ILS
2015-02-12,4.3982,4.4442,4.38,4.4173,ILS
2015-02-13,4.4131,4.4566,4.4126,4.4273,ILS
2015-02-16,4.4209,4.4769,4.3744,4.3987,ILS
2015-02-17,4.3921,4.4278,4.3769,4.4029,ILS
