Date,Open,High,Low,Close,Currency
2015-01-01,0.8546,0.8558,0.8542,0.8556,JOD
2015-01-02,0.8551,0.8562,0.8501,0.8516,JOD
2015-01-05,0.8515,0.8525,0.8429,0.8468,JOD
2015-01-06,0.8462,0.8498,0.8425,0.8436,JOD
2015-01-07,0.8429,0.8444,0.8364,0.8397,JOD
2015-01-08,0.839,0.8402,0.8331,0.8363,JOD
2015-01-09,0.8357,0.8402,0.8336,0.8394,JOD
2015-01-12,0.8391,0.8421,0.8356,0.8394,JOD
2015-01-13,0.839,0.8412,0.8335,0.8354,JOD
2015-01-14,0.835,0.8402,0.8317,0.8362,JOD
2015-01-15,0.8357,0.8368,0.8193,0.8243,JOD
2015-01-16,0.8238,0.8256,0.8116,0.8195,JOD
2015-01-19,0.8193,0.8255,0.8174,0.823,JOD
2015-01-20,0.8224,0.8237,0.8179,0.8191,JOD
2015-01-21,0.8187,0.828,0.818,0.8234,JOD
2015-01-22,0.8228,0.8261,0.8024,0.8063,JOD
2015-01-23,0.8058,0.807,0.788,0.7947,JOD
2015-01-26,0.7918,0.8011,0.7868,0.797,JOD
2015-01-27,0.7965,0.8101,0.7955,0.8071,JOD
2015-01-28,0.8066,0.8075,0.7991,0.8007,JOD
2015-01-29,0.8,0.8058,0.7981,0.8024,JOD
2015-01-30,0.802,0.8057,0.799,0.8002,JOD
2015-02-02,0.7996,0.8054,0.799,0.8037,JOD
2015-02-03,0.8033,0.8182,0.8014,0.8144,JOD
2015-02-04,0.8136,0.8146,0.8022,0.805,JOD
2015-02-05,0.8042,0.816,0.8011,0.8144,JOD
2015-02-06,0.8138,0.8152,0.8018,0.8027,JOD
2015-02-09,0.8023,0.806,0.7992,0.8035,JOD
2015-02-10,0.803,0.8052,0.7994,0.8033,JOD
2015-02-11,0.8027,0.8054,0.7998,0.8042,JOD
2015-02-12,0.8037,0.8107,0.8015,0.8093,JOD
2015-02-13,0.8088,0.8121,0.8071,0.8076,JOD
2015-02-16,0.8071,0.811,0.8026,0.8056,JOD
2015-02-17,0.8051,0.8123,0.8028,0.8096,JOD
2015-02-18,0.8091,0.8099,0.8036,0.8086,JOD
2015-02-19,0.8081,0.812,0.8048,0.806,JOD
2015-02-20,0.8057,0.8106,0.7994,0.8067,JOD
2015-02-23,0.8068,0.8095,0.8005,0.8036,JOD
2015-02-24,0.8034,0.8056,0.8,0.8042,JOD
2015-02-25,0.8037,0.8073,0.8024,0.8049,JOD
2015-02-26,0.8042,0.8062,0.7912,0.7933,JOD
2015-02-27,0.7927,0.7967,0.7911,0.7928,JOD
2015-03-02,0.7926,0.7961,0.79,0.7921,JOD
2015-03-03,0.7916,0.7948,0.7899,0.7917,JOD
2015-03-04,0.7911,0.7928,0.783,0.7849,JOD
2015-03-05,0.7843,0.7874,0.7778,0.7814,JOD
2015-03-06,0.781,0.7816,0.7675,0.7682,JOD
2015-03-09,0.7668,0.7726,0.7661,0.7688,JOD
2015-03-10,0.7683,0.769,0.7569,0.7578,JOD
2015-03-11,0.7573,0.7591,0.744,0.747,JOD
2015-03-12,0.7467,0.7565,0.743,0.7531,JOD
2015-03-13,0.7527,0.7533,0.7404,0.7431,JOD
2015-03-16,0.7426,0.7524,0.7401,0.7487,JOD
2015-03-17,0.7481,0.7545,0.7467,0.7508,JOD
2015-03-18,0.7503,0.7787,0.749,0.7697,JOD
2015-03-19,0.7692,0.7732,0.7516,0.7554,JOD
2015-03-20,0.755,0.7712,0.7542,0.7669,JOD
2015-03-23,0.7664,0.7776,0.7626,0.7757,JOD
2015-03-24,0.7753,0.7817,0.7712,0.7739,JOD
2015-03-25,0.7732,0.7805,0.7718,0.7772,JOD
