Date,Open,High,Low,Close,Currency
2015-01-01,0.992,0.9988,0.9915,0.9986,KYD
2015-01-02,0.9924,0.9991,0.9839,0.9902,KYD
2015-01-05,0.9841,0.9907,0.9742,0.9845,KYD
2015-01-06,0.9784,0.9875,0.9744,0.9808,KYD
2015-01-07,0.9749,0.9815,0.9676,0.9767,KYD
2015-01-08,0.9706,0.9775,0.9637,0.9728,KYD
2015-01-09,0.9669,0.9776,0.9644,0.9769,KYD
2015-01-12,0.9706,0.9793,0.9664,0.9762,KYD
2015-01-13,0.9703,0.9784,0.9637,0.9712,KYD
2015-01-14,0.9653,0.9773,0.9615,0.9727,KYD
2015-01-15,0.9665,0.973,0.9485,0.9595,KYD
2015-01-16,0.9537,0.9611,0.9396,0.9545,KYD
2015-01-19,0.947,0.9604,0.9466,0.9575,KYD
2015-01-20,0.9515,0.9582,0.9462,0.9529,KYD
2015-01-21,0.9471,0.9633,0.9463,0.9579,KYD
2015-01-22,0.9519,0.9608,0.9279,0.9377,KYD
2015-01-23,0.9318,0.9383,0.9113,0.9246,KYD
2015-01-26,0.9171,0.9319,0.91,0.9272,KYD
2015-01-27,0.9214,0.9425,0.9203,0.9389,KYD
2015-01-28,0.9332,0.9392,0.9245,0.9313,KYD
2015-01-29,0.9255,0.9379,0.9233,0.9339,KYD
2015-01-30,0.9282,0.9376,0.9247,0.9314,KYD
2015-02-02,0.9251,0.9375,0.9248,0.9357,KYD
2015-02-03,0.93,0.9515,0.9275,0.9472,KYD
2015-02-04,0.9413,0.9476,0.9278,0.9361,KYD
2015-02-05,0.9301,0.9487,0.9268,0.9469,KYD
2015-02-06,0.941,0.9477,0.9274,0.9335,KYD
2015-02-09,0.9277,0.9372,0.9241,0.9343,KYD
2015-02-10,0.9285,0.9361,0.9243,0.934,KYD
2015-02-11,0.9282,0.935,0.9142,0.9237,KYD
2015-02-12,0.918,0.9424,0.9154,0.9407,KYD
2015-02-13,0.9349,0.9441,0.933,0.9393,KYD
2015-02-16,0.9335,0.9431,0.928,0.9367,KYD
2015-02-17,0.9309,0.9446,0.9282,0.9415,KYD
2015-02-18,0.9356,0.9419,0.9292,0.9403,KYD
2015-02-19,0.9345,0.9446,0.931,0.9378,KYD
2015-02-20,0.9321,0.943,0.9248,0.9389,KYD
2015-02-23,0.9333,0.9416,0.9261,0.9349,KYD
2015-02-24,0.9294,0.9373,0.9255,0.9356,KYD
2015-02-25,0.9298,0.9395,0.9294,0.9373,KYD
2015-02-26,0.9314,0.9388,0.9169,0.9239,KYD
2015-02-27,0.9182,0.9279,0.9164,0.9236,KYD
2015-03-02,0.9173,0.9274,0.915,0.9227,KYD
2015-03-03,0.9168,0.9255,0.9145,0.9221,KYD
2015-03-04,0.9163,0.9229,0.9069,0.914,KYD
2015-03-05,0.9083,0.917,0.9009,0.91,KYD
2015-03-06,0.9045,0.9103,0.8889,0.8946,KYD
2015-03-09,0.8881,0.8999,0.8873,0.8954,KYD
2015-03-10,0.8898,0.8955,0.8767,0.8826,KYD
2015-03-11,0.8772,0.8841,0.8617,0.8701,KYD
2015-03-12,0.8648,0.8814,0.8605,0.8775,KYD
2015-03-13,0.8721,0.8776,0.8577,0.8659,KYD
2015-03-16,0.8603,0.8763,0.8574,0.8719,KYD
2015-03-17,0.8664,0.8787,0.8651,0.8744,KYD
2015-03-18,0.869,0.9068,0.8675,0.8964,KYD
2015-03-19,0.8909,0.9003,0.8702,0.8795,KYD
2015-03-20,0.874,0.8978,0.8731,0.8928,KYD
2015-03-23,0.8886,0.9052,0.8828,0.9031,KYD
2015-03-24,0.8975,0.9101,0.8929,0.9015,KYD
2015-03-25,0.8957,0.9088,0.8937,0.9052,KYD
2015-03-26,0.8994,0.9118,0.8901,0.898,KYD
2015-03-27,0.8925,0.9033,0.8856,0.8983,KYD
2015-03-30,0.8927,0.8989,0.8863,0.8937,KYD
2015-03-31,0.8882,0.8947,0.8784,0.8854,KYD
2015-04-01,0.8801,0.891,0.8788,0.8881,KYD
2015-04-02,0.8825,0.8997,0.8814,0.8979,KYD
2015-04-03,0.8922,0.9098,0.8907,0.9057,KYD
2015-04-06,0.901,0.9106,0.8945,0.9012,KYD
2015-04-07,0.8954,0.9036,0.8858,0.8921,KYD
2015-04-08,0.8867,0.8982,0.8826,0.8894,KYD
2015-04-09,0.884,0.89,0.8722,0.8795,KYD
2015-04-10,0.874,0.8815,0.8665,0.8748,KYD
2015-04-13,0.8692,0.8761,0.8626,0.8718,KYD
2015-04-14,0.8663,0.8834,0.8634,0.879,KYD
2015-04-15,0.8735,0.8829,0.8667,0.8817,KYD
2015-04-16,0.876,0.8925,0.8711,0.8878,KYD
2015-04-17,0.8823,0.895,0.8803,0.8916,KYD
2015-04-20,0.8872,0.8932,0.8783,0.886,KYD
2015-04-21,0.8804,0.8896,0.874,0.8857,KYD
2015-04-22,0.8803,0.8911,0.878,0.8849,KYD
2015-04-23,0.8794,0.8949,0.8745,0.8932,KYD
2015-04-24,0.8875,0.8993,0.8842,0.8971,KYD
2015-04-27,0.8913,0.9016,0.8871,0.8983,KYD
2015-04-28,0.8931,0.9068,0.8904,0.906,KYD
2015-04-29,0.9004,0.9231,0.8986,0.9183,KYD
2015-04-30,0.9125,0.9296,0.9077,0.926,KYD
2015-05-01,0.9201,0.9314,0.9163,0.9241,KYD
2015-05-04,0.9184,0.9262,0.9119,0.9195,KYD
2015-05-05,0.9139,0.9259,0.9073,0.9228,KYD
2015-05-06,0.9171,0.9382,0.9163,0.9366,KYD
2015-05-07,0.9304,0.9399,0.9214,0.9294,KYD
2015-05-08,0.9237,0.9314,0.9165,0.9244,KYD
2015-05-11,0.9181,0.9245,0.9127,0.9203,KYD
2015-05-12,0.9146,0.9305,0.8998,0.9252,KYD
2015-05-13,0.9195,0.9392,0.9185,0.937,KYD
2015-05-14,0.9313,0.9444,0.9298,0.9414,KYD
2015-05-15,0.9355,0.9461,0.9285,0.9448,KYD
2015-05-18,0.939,0.9448,0.9264,0.9335,KYD
2015-05-19,0.9277,0.9345,0.9116,0.9199,KYD
2015-05-20,0.9141,0.9203,0.907,0.9152,KYD
2015-05-21,0.9095,0.9224,0.9085,0.9168,KYD
2015-05-22,0.9112,0.9248,0.9021,0.9089,KYD
2015-05-25,0.9022,0.9083,0.8986,0.9057,KYD
2015-05-26,0.9001,0.9062,0.8907,0.897,KYD
2015-05-27,0.8914,0.9019,0.8871,0.8997,KYD
2015-05-28,0.894,0.9042,0.8911,0.9033,KYD
2015-05-29,0.8976,0.908,0.8959,0.9065,KYD
2015-06-01,0.9009,0.9066,0.8927,0.9016,KYD
2015-06-02,0.8959,0.9234,0.8949,0.9203,KYD
2015-06-03,0.9145,0.9311,0.9084,0.93,KYD
2015-06-04,0.9245,0.9388,0.9205,0.9271,KYD
2015-06-05,0.9214,0.9306,0.9059,0.9168,KYD
2015-06-08,0.9112,0.9329,0.9086,0.9315,KYD
2015-06-09,0.9259,0.936,0.9195,0.9309,KYD
2015-06-10,0.9252,0.9394,0.9232,0.9345,KYD
2015-06-11,0.9286,0.9348,0.9169,0.9288,KYD
2015-06-12,0.923,0.9321,0.9143,0.9298,KYD
2015-06-15,0.9205,0.9318,0.9174,0.9309,KYD
2015-06-16,0.9255,0.9346,0.9187,0.928,KYD
2015-06-17,0.9223,0.9372,0.9193,0.9354,KYD
2015-06-18,0.9296,0.9436,0.929,0.9372,KYD
2015-06-19,0.9314,0.9399,0.9259,0.9366,KYD
2015-06-22,0.9317,0.9414,0.9275,0.9356,KYD
2015-06-23,0.9298,0.9362,0.913,0.9216,KYD
2015-06-24,0.9159,0.927,0.9146,0.9244,KYD
2015-06-25,0.9186,0.9263,0.9145,0.9244,KYD
2015-06-26,0.9188,0.9258,0.9126,0.9211,KYD
2015-06-29,0.9049,0.9305,0.8981,0.927,KYD
2015-06-30,0.9212,0.9277,0.9111,0.9188,KYD
2015-07-01,0.9133,0.9217,0.9054,0.912,KYD
2015-07-02,0.9063,0.9177,0.9045,0.9144,KYD
2015-07-03,0.9089,0.9172,0.9072,0.9169,KYD
2015-07-06,0.902,0.9155,0.8993,0.9122,KYD
2015-07-07,0.9064,0.9125,0.895,0.9085,KYD
2015-07-08,0.9028,0.9151,0.8997,0.914,KYD
2015-07-09,0.9082,0.9178,0.9011,0.9107,KYD
2015-07-10,0.9049,0.9254,0.9044,0.9211,KYD
2015-07-13,0.9102,0.9237,0.9015,0.9078,KYD
2015-07-14,0.9021,0.9143,0.899,0.9084,KYD
2015-07-15,0.9027,0.9104,0.8961,0.9033,KYD
2015-07-16,0.8976,0.9044,0.89,0.8973,KYD
2015-07-17,0.8916,0.8998,0.8877,0.8934,KYD
2015-07-20,0.8881,0.8968,0.8863,0.8933,KYD
2015-07-21,0.8876,0.905,0.8864,0.9023,KYD
2015-07-22,0.8967,0.9047,0.8913,0.902,KYD
2015-07-23,0.896,0.9091,0.8954,0.9061,KYD
2015-07-24,0.9004,0.9073,0.8958,0.9062,KYD
2015-07-27,0.8996,0.9183,0.8993,0.9153,KYD
2015-07-28,0.9095,0.9158,0.9036,0.9124,KYD
2015-07-29,0.9068,0.9146,0.8991,0.9063,KYD
2015-07-30,0.9008,0.9067,0.8931,0.902,KYD
2015-07-31,0.8963,0.9169,0.8954,0.9065,KYD
2015-08-03,0.8994,0.9072,0.8971,0.9034,KYD
2015-08-04,0.8979,0.9067,0.8918,0.8978,KYD
2015-08-05,0.892,0.9024,0.8895,0.8998,KYD
2015-08-06,0.8944,0.9028,0.8917,0.9013,KYD
2015-08-07,0.896,0.906,0.89,0.9049,KYD
2015-08-10,0.8992,0.9109,0.8958,0.9091,KYD
2015-08-11,0.9033,0.9147,0.8986,0.9108,KYD
2015-08-12,0.9052,0.925,0.9039,0.9204,KYD
2015-08-13,0.9148,0.9231,0.9085,0.9198,KYD
2015-08-14,0.9141,0.923,0.9099,0.9163,KYD
2015-08-17,0.9106,0.918,0.9067,0.914,KYD
2015-08-18,0.9082,0.9153,0.9032,0.9093,KYD
2015-08-19,0.9036,0.9188,0.9034,0.9173,KYD
2015-08-20,0.9116,0.9278,0.9106,0.9274,KYD
2015-08-21,0.9218,0.94,0.9205,0.9396,KYD
2015-08-24,0.9316,0.9662,0.9316,0.9588,KYD
2015-08-25,0.9527,0.959,0.9345,0.9502,KYD
2015-08-26,0.9443,0.9538,0.9257,0.9335,KYD
2015-08-27,0.9278,0.9374,0.9186,0.9278,KYD
2015-08-28,0.9219,0.9329,0.9147,0.9223,KYD
2015-08-31,0.9162,0.9293,0.915,0.9252,KYD
2015-09-01,0.9191,0.9351,0.9187,0.9335,KYD
2015-09-02,0.9275,0.9339,0.9195,0.9262,KYD
2015-09-03,0.9205,0.9277,0.9091,0.9177,KYD
2015-09-04,0.9121,0.9224,0.9092,0.9197,KYD
2015-09-07,0.9149,0.9221,0.9118,0.9213,KYD
2015-09-08,0.9159,0.9264,0.9144,0.924,KYD
2015-09-09,0.9183,0.9254,0.9127,0.9244,KYD
2015-09-10,0.9187,0.9322,0.9159,0.9305,KYD
2015-09-11,0.9248,0.9363,0.9227,0.9355,KYD
2015-09-14,0.9295,0.9384,0.9251,0.934,KYD
2015-09-15,0.9277,0.9346,0.9231,0.9295,KYD
2015-09-16,0.9238,0.9339,0.9194,0.9314,KYD
2015-09-17,0.9257,0.9441,0.9252,0.9435,KYD
2015-09-18,0.9377,0.9453,0.9239,0.9327,KYD
2015-09-21,0.9254,0.9349,0.9168,0.9232,KYD
