Date,Open,High,Low,Close,Currency
2015-01-01,158.665,159.27,157.49,158.865,LKR
2015-01-02,158.67,158.889,157.427,157.593,LKR
2015-01-05,157.453,157.671,155.866,156.687,LKR
2015-01-06,156.548,157.81,155.87,156.34,LKR
2015-01-07,156.221,156.801,154.934,155.623,LKR
2015-01-08,155.42,155.844,154.552,155.101,LKR
2015-01-09,155.052,155.88,154.422,155.716,LKR
2015-01-12,155.42,156.518,154.914,155.663,LKR
2015-01-13,155.545,156.392,154.421,154.867,LKR
2015-01-14,154.684,155.827,154.08,155.091,LKR
2015-01-15,154.881,155.168,151.99,153.0,LKR
2015-01-16,152.818,153.587,150.399,151.995,LKR
2015-01-19,151.581,153.515,151.515,153.055,LKR
2015-01-20,152.883,153.382,151.838,152.293,LKR
2015-01-21,152.114,153.983,151.764,153.113,LKR
2015-01-22,152.949,153.686,149.201,149.981,LKR
2015-01-23,149.834,150.107,146.414,147.805,LKR
2015-01-26,147.349,149.106,146.216,148.355,LKR
2015-01-27,148.216,150.882,148.021,150.315,LKR
2015-01-28,150.102,150.771,148.715,149.34,LKR
2015-01-29,149.257,150.325,148.685,149.678,LKR
2015-01-30,149.524,150.301,149.026,149.262,LKR
2015-02-02,149.092,150.402,149.039,150.111,LKR
2015-02-03,149.928,152.652,149.531,151.951,LKR
2015-02-04,151.752,152.021,149.584,150.171,LKR
2015-02-05,149.954,152.202,149.412,151.899,LKR
2015-02-06,151.7,152.823,150.197,150.496,LKR
2015-02-09,150.25,151.023,149.652,150.502,LKR
2015-02-10,150.369,150.849,149.692,150.456,LKR
2015-02-11,150.316,150.834,149.772,150.623,LKR
2015-02-12,150.502,151.925,150.027,151.66,LKR
2015-02-13,151.405,152.24,151.1,151.313,LKR
2015-02-16,151.18,152.012,150.403,151.015,LKR
2015-02-17,150.868,152.284,150.443,151.779,LKR
2015-02-18,151.639,151.913,150.489,151.473,LKR
2015-02-19,151.339,152.249,150.838,151.089,LKR
2015-02-20,151.011,152.025,149.885,151.361,LKR
2015-02-23,151.267,151.811,150.097,150.722,LKR
2015-02-24,150.629,151.145,150.004,150.892,LKR
2015-02-25,150.695,151.524,150.629,151.165,LKR
2015-02-26,150.961,151.429,148.609,148.989,LKR
2015-02-27,148.808,149.859,148.628,149.068,LKR
2015-03-02,148.774,149.623,148.383,148.865,LKR
2015-03-03,148.595,149.381,148.223,148.809,LKR
2015-03-04,148.502,149.031,146.987,147.295,LKR
2015-03-05,147.213,147.781,146.004,146.651,LKR
2015-03-06,146.602,146.762,144.064,144.232,LKR
2015-03-09,143.931,145.469,143.811,144.447,LKR
2015-03-10,144.264,144.598,141.926,142.444,LKR
2015-03-11,142.163,142.868,139.665,140.433,LKR
2015-03-12,140.156,142.197,139.465,141.558,LKR
2015-03-13,141.339,141.922,139.013,139.636,LKR
2015-03-16,139.439,141.425,138.96,140.719,LKR
2015-03-17,140.422,141.824,140.21,141.119,LKR
2015-03-18,140.834,146.362,140.595,144.688,LKR
2015-03-19,144.396,145.274,141.246,142.098,LKR
2015-03-20,141.871,145.069,141.592,144.257,LKR
2015-03-23,144.227,146.263,143.08,145.917,LKR
2015-03-24,145.678,147.048,144.901,145.65,LKR
2015-03-25,145.385,146.849,144.954,146.25,LKR
2015-03-26,145.984,146.99,144.263,144.757,LKR
2015-03-27,144.648,145.737,143.612,144.926,LKR
2015-03-30,144.688,145.234,143.652,144.242,LKR
2015-03-31,143.957,144.385,142.362,142.91,LKR
2015-04-01,142.695,144.101,142.442,143.322,LKR
2015-04-02,143.027,145.207,142.854,144.913,LKR
2015-04-03,144.608,146.837,144.356,146.172,LKR
2015-04-06,146.031,146.962,144.981,145.446,LKR
2015-04-07,145.114,145.86,143.559,143.887,LKR
2015-04-08,143.705,144.848,143.04,143.38,LKR
2015-04-09,143.266,143.486,141.459,141.878,LKR
2015-04-10,141.751,142.269,140.435,141.087,LKR
2015-04-13,140.874,141.291,139.798,140.601,LKR
2015-04-14,140.409,142.476,139.93,141.745,LKR
2015-04-15,141.578,142.45,140.475,142.237,LKR
2015-04-16,141.977,143.994,141.18,143.236,LKR
2015-04-17,143.0,144.497,142.668,143.841,LKR
2015-04-20,143.798,144.153,142.349,142.996,LKR
2015-04-21,142.681,143.473,141.645,142.836,LKR
2015-04-22,142.668,143.916,142.296,142.716,LKR
2015-04-23,142.522,144.597,141.738,144.317,LKR
2015-04-24,144.054,145.365,143.373,144.788,LKR
2015-04-27,144.462,145.499,143.771,144.981,LKR
2015-04-28,144.755,146.351,144.303,146.219,LKR
2015-04-29,145.924,148.987,145.632,148.216,LKR
2015-04-30,147.891,150.207,147.293,149.623,LKR
2015-05-01,149.352,150.501,148.726,149.316,LKR
2015-05-04,149.072,149.64,148.021,148.577,LKR
2015-05-05,148.34,149.377,147.12,148.885,LKR
2015-05-06,148.635,151.823,148.502,151.57,LKR
2015-05-07,151.242,152.031,149.776,150.351,LKR
2015-05-08,150.162,150.713,148.989,149.58,LKR
2015-05-11,149.243,149.501,148.363,148.808,LKR
2015-05-12,148.683,150.806,148.403,149.938,LKR
2015-05-13,149.694,152.21,149.421,151.85,LKR
2015-05-14,151.616,152.851,151.302,152.438,LKR
2015-05-15,152.183,153.205,151.049,153.005,LKR
2015-05-18,152.756,153.002,150.589,151.062,LKR
2015-05-19,150.816,151.379,148.412,149.069,LKR
2015-05-20,148.826,149.099,147.443,148.258,LKR
2015-05-21,148.078,149.663,147.763,148.63,LKR
2015-05-22,148.456,150.05,146.973,147.359,LKR
2015-05-25,147.0,147.472,146.412,147.044,LKR
2015-05-26,146.762,147.135,145.442,145.868,LKR
2015-05-27,145.563,146.475,144.853,146.127,LKR
2015-05-28,145.991,146.858,145.509,146.724,LKR
2015-05-29,146.567,147.48,146.286,147.239,LKR
2015-06-01,147.103,147.217,145.764,146.374,LKR
2015-06-02,146.299,149.937,146.125,149.414,LKR
2015-06-03,149.325,151.38,148.334,151.192,LKR
2015-06-04,150.959,152.554,150.303,150.652,LKR
2015-06-05,150.463,151.164,147.933,148.914,LKR
2015-06-08,148.79,151.555,148.361,151.328,LKR
2015-06-09,151.186,151.915,150.03,151.087,LKR
2015-06-10,150.967,152.55,150.645,151.747,LKR
2015-06-11,151.515,151.819,149.615,150.829,LKR
2015-06-12,150.605,151.612,149.299,151.237,LKR
2015-06-15,150.415,151.572,149.919,151.425,LKR
2015-06-16,151.232,151.814,150.134,150.829,LKR
2015-06-17,150.71,152.317,150.227,152.036,LKR
2015-06-18,151.902,153.612,151.809,152.565,LKR
2015-06-19,152.438,153.008,151.412,152.471,LKR
2015-06-22,152.478,153.058,151.454,151.998,LKR
2015-06-23,151.841,152.089,149.084,149.683,LKR
2015-06-24,149.542,150.716,149.341,150.505,LKR
2015-06-25,150.333,150.685,149.102,150.499,LKR
2015-06-26,150.337,150.533,148.817,149.44,LKR
2015-06-29,147.56,150.98,146.464,150.394,LKR
2015-06-30,150.232,150.582,148.654,149.147,LKR
2015-07-01,149.026,149.615,147.729,148.023,LKR
2015-07-02,147.876,148.666,147.394,148.144,LKR
2015-07-03,148.071,148.801,147.704,148.539,LKR
2015-07-06,146.85,148.562,146.409,148.07,LKR
2015-07-07,147.88,148.156,146.021,147.48,LKR
2015-07-08,147.27,148.274,146.76,148.077,LKR
2015-07-09,147.94,148.752,146.758,147.546,LKR
2015-07-10,147.383,149.904,147.303,149.219,LKR
2015-07-13,148.263,149.943,147.046,147.337,LKR
2015-07-14,147.182,148.408,146.644,147.444,LKR
2015-07-15,147.289,147.743,146.195,146.546,LKR
2015-07-16,146.425,146.763,145.217,145.368,LKR
2015-07-17,145.231,146.053,144.603,144.761,LKR
2015-07-20,144.67,145.531,144.509,144.919,LKR
2015-07-21,144.76,146.849,144.53,146.397,LKR
2015-07-22,146.234,146.832,145.319,146.377,LKR
2015-07-23,146.138,147.48,145.998,147.072,LKR
