Date,Open,High,Low,Close,Currency
2015-01-01,3115.0,3140.0,3114.0,3129.0,MGA
2015-01-02,3117.0,3138.5,3018.0,3030.5,MGA
2015-01-05,3018.0,3125.5,2999.0,3120.5,MGA
2015-01-06,3108.0,3133.0,3083.0,3115.0,MGA
2015-01-07,3103.0,3150.0,3067.0,3085.0,MGA
2015-01-08,3067.0,3139.0,3051.0,3084.0,MGA
2015-01-09,3072.0,3146.5,3047.0,3102.5,MGA
2015-01-12,3089.0,3162.0,3067.0,3094.0,MGA
2015-01-13,3082.0,3147.0,3057.0,3096.0,MGA
2015-01-14,3084.0,3157.5,3040.0,3106.5,MGA
2015-01-15,3094.0,3179.5,3036.0,3064.5,MGA
2015-01-16,3053.0,3140.5,3007.0,3048.5,MGA
2015-01-19,3032.0,3110.0,2988.0,3058.0,MGA
2015-01-20,3046.0,3061.0,2951.0,3038.0,MGA
2015-01-21,3026.0,3071.5,3025.0,3053.5,MGA
2015-01-22,3042.0,3058.5,2887.0,2955.5,MGA
2015-01-23,2943.0,2994.5,2840.0,2930.5,MGA
2015-01-26,2913.0,3111.5,2893.0,3096.5,MGA
2015-01-27,3085.0,3163.5,3081.0,3152.5,MGA
2015-01-28,3141.0,3163.5,3072.0,3149.5,MGA
2015-01-29,3138.0,3172.0,3086.0,3164.0,MGA
2015-01-30,3152.0,3230.5,3028.0,3084.5,MGA
2015-02-02,3029.0,3168.0,2966.0,3159.0,MGA
2015-02-03,3147.0,3229.0,3138.0,3215.0,MGA
2015-02-04,3203.0,3229.0,3182.0,3205.0,MGA
2015-02-05,3193.0,3249.0,3161.0,3242.0,MGA
2015-02-06,3230.0,3245.0,3125.0,3191.0,MGA
2015-02-09,3179.0,3209.0,3145.0,3180.0,MGA
2015-02-10,3168.0,3208.0,3078.0,3187.0,MGA
2015-02-11,3175.0,3198.0,3140.0,3185.0,MGA
2015-02-12,3173.0,3226.5,3149.0,3221.5,MGA
2015-02-13,3209.0,3229.0,3131.0,3205.0,MGA
2015-02-16,3136.0,3227.0,3135.0,3205.0,MGA
2015-02-17,3193.0,3232.0,3176.0,3218.0,MGA
