Date,Open,High,Low,Close,Currency
2015-01-01,1247.304,1253.871,1238.221,1245.503,MMK
2015-01-02,1239.347,1245.772,1233.715,1238.658,MMK
2015-01-05,1237.303,1242.253,1220.692,1229.748,MMK
2015-01-06,1225.416,1235.193,1224.698,1226.945,MMK
2015-01-07,1225.756,1231.496,1208.32,1217.642,MMK
2015-01-08,1212.109,1218.491,1203.507,1212.859,MMK
2015-01-09,1207.398,1218.616,1204.326,1217.899,MMK
2015-01-12,1212.109,1220.384,1207.963,1217.616,MMK
2015-01-13,1212.882,1221.167,1206.93,1213.156,MMK
2015-01-14,1208.984,1220.659,1204.26,1214.908,MMK
2015-01-15,1210.525,1216.051,1185.618,1196.779,MMK
2015-01-16,1192.075,1200.557,1176.839,1192.238,MMK
2015-01-19,1186.082,1196.098,1180.41,1192.517,MMK
2015-01-20,1187.089,1193.464,1180.44,1186.815,MMK
2015-01-21,1181.565,1197.984,1179.899,1191.238,MMK
2015-01-22,1186.44,1194.922,1156.495,1166.203,MMK
2015-01-23,1161.401,1166.906,1135.749,1149.941,MMK
2015-01-26,1143.005,1158.947,1134.216,1153.122,MMK
2015-01-27,1148.421,1174.367,1147.706,1169.968,MMK
2015-01-28,1164.174,1168.913,1155.585,1159.278,MMK
2015-01-29,1156.815,1169.28,1151.898,1164.262,MMK
2015-01-30,1159.066,1168.351,1155.892,1160.459,MMK
2015-02-02,1156.405,1166.825,1155.069,1164.257,MMK
2015-02-03,1160.184,1182.794,1155.772,1177.377,MMK
2015-02-04,1173.154,1180.176,1157.525,1165.854,MMK
2015-02-05,1160.389,1182.766,1156.195,1180.41,MMK
2015-02-06,1175.04,1181.516,1158.144,1163.8,MMK
2015-02-09,1158.554,1168.879,1155.073,1165.292,MMK
2015-02-10,1160.608,1168.321,1156.507,1166.064,MMK
2015-02-11,1161.329,1168.993,1157.123,1167.351,MMK
2015-02-12,1162.766,1176.561,1159.483,1174.509,MMK
2015-02-13,1169.743,1179.808,1168.819,1173.846,MMK
2015-02-16,1170.275,1178.565,1163.388,1170.65,MMK
2015-02-17,1166.986,1179.336,1163.074,1175.437,MMK
2015-02-18,1170.666,1176.831,1164.93,1175.083,MMK
2015-02-19,1171.509,1181.675,1169.462,1173.023,MMK
2015-02-20,1170.801,1180.182,1160.506,1175.037,MMK
2015-02-23,1171.208,1178.519,1161.023,1168.948,MMK
2015-02-24,1165.135,1170.597,1158.046,1168.124,MMK
2015-02-25,1163.381,1176.839,1162.868,1174.779,MMK
2015-02-26,1169.977,1179.577,1155.101,1160.673,MMK
2015-02-27,1156.65,1165.786,1154.377,1160.415,MMK
2015-03-02,1155.514,1165.162,1152.621,1159.274,MMK
2015-03-03,1154.997,1162.835,1152.105,1158.393,MMK
2015-03-04,1154.274,1159.495,1142.498,1148.339,MMK
2015-03-05,1144.254,1153.196,1134.854,1144.416,MMK
2015-03-06,1139.502,1144.745,1119.772,1125.118,MMK
2015-03-09,1118.739,1130.35,1117.809,1121.606,MMK
2015-03-10,1119.823,1121.944,1103.311,1105.638,MMK
2015-03-11,1103.93,1107.68,1084.529,1090.033,MMK
2015-03-12,1088.347,1104.133,1082.981,1099.179,MMK
2015-03-13,1097.532,1100.709,1081.564,1086.233,MMK
2015-03-16,1084.873,1099.32,1081.15,1093.84,MMK
2015-03-17,1092.524,1102.425,1090.87,1096.945,MMK
2015-03-18,1095.73,1137.711,1093.869,1124.683,MMK
2015-03-19,1123.441,1129.677,1097.281,1103.31,MMK
2015-03-20,1102.141,1126.385,1101.003,1120.077,MMK
2015-03-23,1120.442,1135.651,1113.204,1132.963,MMK
