Date,Open,High,Low,Close,Currency
2015-01-01,550.157,562.672,549.884,562.535,MWK
2015-01-02,550.384,562.73,527.956,557.339,MWK
2015-01-05,545.265,558.921,535.995,549.719,MWK
2015-01-06,537.716,570.067,526.179,561.757,MWK
2015-01-07,535.005,565.221,519.728,546.964,MWK
2015-01-08,522.012,550.353,520.423,540.746,MWK
2015-01-09,528.885,542.183,520.476,541.87,MWK
2015-01-12,529.824,551.918,522.144,541.657,MWK
2015-01-13,529.823,550.197,517.792,538.18,MWK
2015-01-14,526.385,541.327,521.574,538.781,MWK
2015-01-15,526.879,548.053,516.756,531.226,MWK
2015-01-16,519.57,541.258,507.364,528.382,MWK
2015-01-19,515.894,538.269,511.434,529.7,MWK
2015-01-20,518.003,539.464,506.811,525.78,MWK
2015-01-21,514.206,545.359,507.074,538.152,MWK
2015-01-22,511.957,532.005,501.285,516.438,MWK
2015-01-23,504.959,517.224,493.806,509.236,MWK
2015-01-26,496.961,512.165,485.176,509.858,MWK
2015-01-27,498.529,528.163,486.607,523.53,MWK
2015-01-28,500.72,517.527,496.804,509.768,MWK
2015-01-29,498.39,513.818,495.278,509.005,MWK
2015-01-30,497.64,516.036,495.342,507.138,MWK
2015-02-02,495.562,525.021,490.769,524.571,MWK
2015-02-03,504.675,522.92,492.99,513.26,MWK
2015-02-04,501.69,522.015,494.466,507.191,MWK
2015-02-05,495.689,516.994,489.77,510.843,MWK
2015-02-06,499.277,522.25,490.798,502.354,MWK
2015-02-09,490.971,515.313,486.502,501.564,MWK
2015-02-10,490.173,515.822,480.038,501.183,MWK
2015-02-11,489.773,508.996,480.552,500.773,MWK
2015-02-12,489.416,501.597,480.058,499.851,MWK
2015-02-13,488.362,501.442,484.643,497.777,MWK
2015-02-16,486.325,505.95,482.783,495.74,MWK
2015-02-17,484.276,503.257,478.194,497.28,MWK
2015-02-18,485.781,505.17,481.341,498.073,MWK
2015-02-19,486.609,505.918,483.417,497.74,MWK
2015-02-20,486.394,525.782,481.459,517.817,MWK
2015-02-23,500.808,518.704,482.412,495.346,MWK
2015-02-24,484.075,496.869,482.406,496.057,MWK
2015-02-25,484.629,504.311,481.842,496.896,MWK
2015-02-26,485.427,506.272,477.807,489.691,MWK
2015-02-27,478.448,490.992,475.788,489.582,MWK
2015-03-02,477.978,492.322,473.252,489.1,MWK
2015-03-03,477.764,490.566,469.056,488.728,MWK
2015-03-04,477.465,489.102,472.594,484.487,MWK
2015-03-05,473.32,485.998,469.432,482.366,MWK
2015-03-06,471.355,485.317,463.356,474.394,MWK
2015-03-09,462.928,475.684,455.112,474.744,MWK
2015-03-10,463.826,474.739,456.883,467.985,MWK
2015-03-11,457.243,468.69,445.109,460.853,MWK
2015-03-12,450.262,465.188,445.871,464.665,MWK
2015-03-13,454.008,464.676,446.59,458.581,MWK
2015-03-16,447.956,471.038,445.272,461.635,MWK
2015-03-17,450.957,477.24,447.184,462.944,MWK
2015-03-18,452.28,484.422,451.512,474.65,MWK
2015-03-19,463.718,476.513,452.761,465.47,MWK
2015-03-20,454.766,484.536,454.297,472.761,MWK
2015-03-23,462.535,487.298,453.768,478.199,MWK
2015-03-24,467.187,487.497,463.067,477.217,MWK
2015-03-25,466.139,488.232,462.855,479.183,MWK
2015-03-26,468.059,489.436,463.237,475.36,MWK
2015-03-27,464.475,487.192,461.095,475.666,MWK
2015-03-30,464.712,483.852,458.239,473.728,MWK
2015-03-31,462.851,480.27,456.705,469.59,MWK
2015-04-01,458.943,484.05,453.397,471.358,MWK
2015-04-02,460.506,485.884,459.95,476.537,MWK
2015-04-03,465.544,490.804,464.731,480.619,MWK
2015-04-06,470.067,483.221,464.483,478.343,MWK
2015-04-07,467.224,487.81,462.38,473.73,MWK
2015-04-08,462.851,487.469,461.464,472.996,MWK
2015-04-09,462.192,473.218,456.284,467.954,MWK
2015-04-10,457.228,474.88,453.842,465.995,MWK
2015-04-13,455.217,480.384,452.086,478.181,MWK
2015-04-14,464.86,486.371,457.639,468.702,MWK
2015-04-15,458.026,482.667,455.356,471.01,MWK
2015-04-16,460.17,486.534,459.61,474.315,MWK
2015-04-17,463.487,490.374,462.41,476.321,MWK
2015-04-20,466.072,483.674,461.175,473.614,MWK
2015-04-21,462.722,478.916,457.555,473.814,MWK
2015-04-22,463.054,484.206,461.9,473.448,MWK
2015-04-23,462.612,488.628,460.067,477.938,MWK
2015-04-24,466.958,490.109,459.17,480.035,MWK
2015-04-27,468.986,489.792,466.743,479.096,MWK
2015-04-28,468.356,495.354,467.152,483.846,MWK
2015-04-29,472.799,495.527,471.851,490.456,MWK
2015-04-30,479.172,499.901,476.674,494.329,MWK
2015-05-01,482.952,504.368,480.826,493.316,MWK
2015-05-04,482.048,494.315,468.426,490.76,MWK
2015-05-05,479.569,498.431,476.127,492.522,MWK
2015-05-06,481.248,512.087,480.817,499.954,MWK
2015-05-07,488.275,505.093,483.541,504.74,MWK
2015-05-08,496.786,512.477,481.002,493.336,MWK
2015-05-11,481.764,499.459,478.902,491.133,MWK
2015-05-12,479.934,500.874,469.35,493.721,MWK
