Date,Open,High,Low,Close,Currency
2015-01-01,4.2283,4.2332,4.2262,4.2321,MYR
2015-01-02,4.23,4.2444,4.2176,4.2201,MYR
2015-01-05,4.2184,4.2374,4.1758,4.2167,MYR
2015-01-06,4.2144,4.2532,4.2119,4.2283,MYR
2015-01-07,4.2271,4.2591,4.2143,4.2396,MYR
2015-01-08,4.2376,4.241,4.1899,4.2058,MYR
2015-01-09,4.2035,4.221,4.1865,4.2186,MYR
2015-01-12,4.2152,4.2285,4.1994,4.2209,MYR
2015-01-13,4.2196,4.2592,4.2168,4.2305,MYR
2015-01-14,4.2285,4.2572,4.2057,4.2371,MYR
2015-01-15,4.2345,4.2393,4.1202,4.1445,MYR
2015-01-16,4.1426,4.1612,4.076,4.117,MYR
2015-01-19,4.108,4.1576,4.1035,4.145,MYR
2015-01-20,4.1426,4.1996,4.1373,4.1761,MYR
2015-01-21,4.1742,4.2199,4.1693,4.196,MYR
2015-01-22,4.1938,4.2034,4.0738,4.0937,MYR
2015-01-23,4.091,4.0995,4.0007,4.0366,MYR
2015-01-26,4.0262,4.088,3.9953,4.0674,MYR
2015-01-27,4.0644,4.1133,4.0496,4.0977,MYR
2015-01-28,4.0957,4.1202,4.0772,4.084,MYR
2015-01-29,4.0816,4.1264,4.0758,4.1086,MYR
2015-01-30,4.1065,4.1262,4.0924,4.0983,MYR
2015-02-02,4.0942,4.1257,4.0928,4.1177,MYR
2015-02-03,4.1156,4.1875,4.1048,4.1682,MYR
2015-02-04,4.1657,4.1696,4.0242,4.0373,MYR
2015-02-05,4.0341,4.1064,4.0196,4.0982,MYR
2015-02-06,4.0954,4.1022,4.0037,4.0076,MYR
2015-02-09,4.0052,4.0469,3.9942,4.0332,MYR
2015-02-10,4.031,4.0671,4.0261,4.0524,MYR
2015-02-11,4.0499,4.083,4.0474,4.0772,MYR
2015-02-12,4.0753,4.1197,4.0638,4.1125,MYR
2015-02-13,4.1101,4.1155,4.071,4.0754,MYR
2015-02-16,4.0732,4.0906,4.0504,4.0655,MYR
2015-02-17,4.0629,4.1043,4.0533,4.0907,MYR
2015-02-18,4.0882,4.1322,4.0843,4.1265,MYR
2015-02-19,4.1231,4.1456,4.1079,4.1152,MYR
