Date,Open,High,Low,Close,Currency
2015-01-01,221.27,221.555,221.16,221.505,NGN
2015-01-02,221.36,221.565,220.06,220.185,NGN
2015-01-05,220.1,220.295,217.88,219.035,NGN
2015-01-06,218.95,220.88,214.02,218.22,NGN
2015-01-07,218.16,219.555,212.4,216.715,NGN
2015-01-08,216.62,217.94,209.95,211.26,NGN
2015-01-09,211.18,216.865,211.03,216.755,NGN
2015-01-12,216.62,217.3,212.36,216.01,NGN
2015-01-13,215.95,217.125,211.99,216.085,NGN
2015-01-14,216.02,217.37,212.06,216.1,NGN
2015-01-15,216.0,218.41,214.62,215.92,NGN
2015-01-16,215.85,218.225,208.48,213.975,NGN
2015-01-19,213.54,220.765,212.62,214.655,NGN
2015-01-20,214.56,220.175,213.87,218.595,NGN
2015-01-21,218.53,220.645,213.18,214.855,NGN
2015-01-22,214.77,222.955,210.6,213.745,NGN
2015-01-23,213.64,216.915,211.11,211.885,NGN
2015-01-26,211.38,216.035,209.75,213.825,NGN
2015-01-27,213.73,220.345,213.46,219.085,NGN
2015-01-28,218.95,220.195,212.48,214.395,NGN
2015-01-29,214.3,219.86,213.02,213.95,NGN
2015-01-30,213.82,216.175,209.13,211.715,NGN
2015-02-02,211.54,215.975,211.46,214.425,NGN
2015-02-03,214.34,219.085,213.95,218.085,NGN
2015-02-04,217.99,221.265,216.79,217.905,NGN
2015-02-05,217.79,222.29,217.0,220.99,NGN
2015-02-06,220.89,222.295,219.19,219.355,NGN
2015-02-09,219.27,223.195,217.68,222.415,NGN
2015-02-10,222.33,226.69,222.03,225.91,NGN
2015-02-11,225.81,231.94,219.17,229.56,NGN
2015-02-12,229.49,235.315,228.85,234.905,NGN
2015-02-13,234.75,235.1,227.67,231.75,NGN
2015-02-16,231.66,234.115,226.34,227.145,NGN
2015-02-17,227.04,230.735,223.36,226.015,NGN
2015-02-18,225.92,227.185,223.28,224.585,NGN
2015-02-19,224.5,226.775,224.01,226.135,NGN
2015-02-20,226.09,227.495,224.7,226.415,NGN
2015-02-23,226.39,233.025,224.71,227.275,NGN
2015-02-24,227.25,228.4,224.5,228.01,NGN
2015-02-25,227.91,229.64,227.14,229.56,NGN
2015-02-26,229.45,229.955,225.94,226.815,NGN
2015-02-27,226.74,229.375,226.08,226.765,NGN
2015-03-02,226.52,227.615,221.95,223.745,NGN
2015-03-03,223.62,226.47,221.12,223.24,NGN
2015-03-04,223.14,223.455,220.69,221.085,NGN
2015-03-05,220.99,222.255,219.21,219.455,NGN
2015-03-06,219.41,219.815,215.61,215.755,NGN
2015-03-09,215.41,217.6,215.23,215.91,NGN
2015-03-10,215.83,215.985,212.75,212.945,NGN
2015-03-11,212.87,213.42,209.13,209.94,NGN
2015-03-12,209.87,213.13,207.05,212.18,NGN
2015-03-13,212.12,212.245,208.15,208.905,NGN
2015-03-16,208.79,211.485,208.07,210.365,NGN
2015-03-17,210.26,212.765,209.95,211.705,NGN
2015-03-18,211.62,218.805,210.71,216.295,NGN
2015-03-19,216.21,217.265,211.18,212.185,NGN
2015-03-20,212.11,216.625,211.9,215.415,NGN
2015-03-23,215.64,218.72,212.67,217.89,NGN
2015-03-24,217.81,219.585,216.69,217.495,NGN
2015-03-25,217.37,219.635,216.89,218.385,NGN
2015-03-26,218.26,219.985,216.01,216.645,NGN
2015-03-27,216.59,217.955,214.92,216.735,NGN
2015-03-30,216.65,216.88,215.1,215.63,NGN
2015-03-31,215.56,215.89,213.17,213.6,NGN
2015-04-01,213.59,214.995,213.27,214.255,NGN
2015-04-02,214.16,217.075,213.91,216.635,NGN
2015-04-03,216.53,219.515,216.15,218.515,NGN
2015-04-06,218.66,219.705,217.09,217.435,NGN
2015-04-07,217.29,218.045,214.91,215.205,NGN
2015-04-08,215.12,216.735,214.18,214.585,NGN
2015-04-09,214.52,214.745,211.66,212.175,NGN
2015-04-10,212.09,212.685,210.18,211.075,NGN
2015-04-13,210.94,211.385,209.33,210.335,NGN
2015-04-14,210.23,213.145,209.52,211.525,NGN
2015-04-15,211.46,212.98,209.81,212.66,NGN
2015-04-16,212.54,215.285,211.34,214.155,NGN
2015-04-17,214.07,215.91,213.57,215.06,NGN
2015-04-20,215.26,215.445,212.96,213.725,NGN
2015-04-21,213.6,214.64,212.04,213.69,NGN
2015-04-22,213.63,215.005,213.02,213.455,NGN
2015-04-23,213.35,215.925,212.23,215.505,NGN
2015-04-24,215.38,217.015,214.58,216.475,NGN
2015-04-27,216.31,216.735,214.2,215.645,NGN
2015-04-28,215.66,218.735,215.11,218.535,NGN
2015-04-29,218.45,222.675,218.01,221.515,NGN
2015-04-30,221.39,223.885,220.06,222.305,NGN
2015-05-01,222.18,223.605,221.25,221.845,NGN
2015-05-04,221.76,222.935,221.25,221.805,NGN
2015-05-05,221.73,223.335,220.14,222.605,NGN
2015-05-06,222.51,226.37,222.18,225.99,NGN
2015-05-07,225.79,226.77,223.6,224.26,NGN
2015-05-08,224.17,224.715,222.42,223.025,NGN
2015-05-11,222.8,223.08,221.49,222.04,NGN
2015-05-12,221.96,224.515,221.55,223.225,NGN
2015-05-13,223.14,226.605,222.9,226.185,NGN
2015-05-14,226.12,227.665,225.52,227.115,NGN
2015-05-15,227.02,228.26,225.21,227.96,NGN
2015-05-18,227.87,227.955,225.26,225.685,NGN
2015-05-19,225.6,225.945,221.22,221.935,NGN
2015-05-20,221.85,222.055,220.11,220.805,NGN
2015-05-21,220.73,222.565,220.47,221.195,NGN
2015-05-22,221.13,223.145,218.92,219.305,NGN
2015-05-25,218.96,219.185,217.15,218.505,NGN
2015-05-26,218.44,218.645,216.15,216.435,NGN
2015-05-27,216.33,217.585,215.22,217.065,NGN
2015-05-28,216.97,218.14,215.48,217.95,NGN
2015-05-29,217.83,219.075,216.63,218.715,NGN
2015-06-01,218.62,218.765,212.73,217.515,NGN
2015-06-02,217.43,222.745,216.14,220.915,NGN
2015-06-03,220.81,224.605,220.4,224.325,NGN
2015-06-04,224.3,226.7,223.32,223.87,NGN
2015-06-05,223.56,224.495,219.5,221.095,NGN
2015-06-08,221.02,225.03,220.38,224.69,NGN
2015-06-09,224.63,225.775,223.03,224.485,NGN
2015-06-10,224.42,226.54,223.94,225.34,NGN
2015-06-11,225.23,225.445,222.41,223.975,NGN
2015-06-12,223.88,224.765,221.77,224.095,NGN
2015-06-15,223.15,224.595,222.5,224.375,NGN
2015-06-16,224.31,225.395,222.9,223.655,NGN
2015-06-17,223.59,225.98,222.99,225.56,NGN
2015-06-18,225.47,227.845,225.33,226.295,NGN
2015-06-19,225.99,226.945,224.63,226.095,NGN
2015-06-22,225.99,226.995,224.61,225.685,NGN
2015-06-23,225.5,225.98,221.51,222.5,NGN
2015-06-24,222.18,223.64,221.89,222.81,NGN
2015-06-25,222.67,223.67,221.92,223.14,NGN
2015-06-26,222.85,223.52,221.24,222.41,NGN
2015-06-29,219.52,224.31,217.89,223.43,NGN
2015-06-30,223.31,223.895,220.94,221.835,NGN
2015-07-01,221.62,222.335,219.55,219.855,NGN
2015-07-02,219.77,221.555,219.31,220.745,NGN
2015-07-03,220.46,221.245,220.01,221.115,NGN
2015-07-06,218.79,220.805,218.13,220.035,NGN
2015-07-07,219.95,220.21,217.09,219.05,NGN
2015-07-08,218.89,220.98,218.13,220.71,NGN
2015-07-09,220.35,221.675,218.52,219.905,NGN
2015-07-10,219.51,223.25,219.39,222.06,NGN
2015-07-13,220.7,222.85,218.59,218.86,NGN
2015-07-14,218.73,220.645,218.0,219.295,NGN
2015-07-15,218.97,219.605,216.37,216.835,NGN
2015-07-16,216.73,218.095,215.25,216.655,NGN
2015-07-17,216.33,217.355,214.67,215.745,NGN
2015-07-20,215.46,216.375,215.0,215.455,NGN
2015-07-21,215.32,218.345,215.04,217.645,NGN
2015-07-22,217.51,218.355,216.18,217.585,NGN
2015-07-23,217.28,219.525,217.12,218.825,NGN
2015-07-24,218.5,218.92,217.33,218.53,NGN
2015-07-27,218.17,221.82,218.09,221.04,NGN
2015-07-28,220.67,221.215,219.3,220.305,NGN
2015-07-29,219.92,220.755,218.15,218.895,NGN
2015-07-30,218.58,219.0,216.96,217.84,NGN
2015-07-31,217.51,221.445,216.35,218.885,NGN
2015-08-03,218.21,218.855,217.66,217.915,NGN
2015-08-04,217.83,218.83,216.39,216.62,NGN
2015-08-05,216.43,217.935,215.81,217.305,NGN
2015-08-06,217.01,217.96,215.31,217.52,NGN
2015-08-07,217.34,218.685,214.35,218.385,NGN
2015-08-10,218.16,220.055,216.57,219.685,NGN
2015-08-11,219.42,220.85,217.15,220.09,NGN
2015-08-12,219.87,222.695,219.56,220.955,NGN
2015-08-13,220.87,222.325,219.27,221.975,NGN
2015-08-14,221.69,222.62,219.54,221.02,NGN
2015-08-17,220.86,221.62,218.97,220.73,NGN
2015-08-18,220.37,221.15,219.18,219.59,NGN
