Date,Open,High,Low,Close,Currency
2015-01-01,9.0396,9.0464,9.012,9.0217,NOK
2015-01-02,9.0179,9.121,8.9997,9.1139,NOK
2015-01-05,9.1085,9.1624,9.0252,9.1153,NOK
2015-01-06,9.1123,9.2391,9.0854,9.2102,NOK
2015-01-07,9.2093,9.3055,9.0865,9.1219,NOK
2015-01-08,9.1173,9.1265,8.9606,8.9888,NOK
2015-01-09,8.9857,9.0988,8.9801,9.072,NOK
2015-01-12,9.0656,9.1897,9.061,9.1653,NOK
2015-01-13,9.1629,9.1971,9.0788,9.1338,NOK
2015-01-14,9.1291,9.1761,8.9759,8.9853,NOK
2015-01-15,8.9831,9.1189,8.8063,8.8143,NOK
2015-01-16,8.811,9.0038,8.7261,8.7378,NOK
2015-01-19,8.7183,8.92,8.7146,8.8476,NOK
2015-01-20,8.8453,8.8883,8.7847,8.8618,NOK
2015-01-21,8.8573,8.8934,8.7742,8.8106,NOK
2015-01-22,8.8066,8.8943,8.6778,8.6982,NOK
2015-01-23,8.694,8.7726,8.6609,8.7098,NOK
2015-01-26,8.6956,8.7895,8.6317,8.7734,NOK
2015-01-27,8.77,8.8392,8.7295,8.7952,NOK
2015-01-28,8.7922,8.8593,8.7503,8.8416,NOK
2015-01-29,8.8378,8.8725,8.7911,8.8624,NOK
2015-01-30,8.8599,8.8814,8.7145,8.7231,NOK
2015-02-02,8.7173,8.7769,8.6292,8.6758,NOK
2015-02-03,8.6733,8.689,8.6127,8.6278,NOK
2015-02-04,8.6283,8.6665,8.605,8.6258,NOK
2015-02-05,8.6192,8.6896,8.5944,8.6263,NOK
2015-02-06,8.6225,8.6435,8.4916,8.6321,NOK
2015-02-09,8.6277,8.6515,8.5886,8.6247,NOK
2015-02-10,8.6208,8.6287,8.539,8.5828,NOK
2015-02-11,8.5796,8.6857,8.5394,8.6662,NOK
2015-02-12,8.6631,8.7755,8.6232,8.7098,NOK
2015-02-13,8.7055,8.7442,8.6172,8.6408,NOK
2015-02-16,8.6457,8.6808,8.5772,8.5948,NOK
2015-02-17,8.5901,8.6084,8.548,8.5768,NOK
2015-02-18,8.5774,8.6195,8.5285,8.5793,NOK
2015-02-19,8.5758,8.6534,8.5667,8.6255,NOK
2015-02-20,8.6234,8.6393,8.5439,8.568,NOK
2015-02-23,8.5607,8.6501,8.5607,8.6326,NOK
2015-02-24,8.6308,8.657,8.5892,8.6052,NOK
2015-02-25,8.6017,8.6467,8.5618,8.5715,NOK
2015-02-26,8.5682,8.5971,8.5479,8.5762,NOK
