Date,Open,High,Low,Close,Currency
2015-01-01,121.415,122.831,121.395,122.698,NPR
2015-01-02,122.676,123.352,120.914,121.549,NPR
2015-01-05,120.934,121.978,119.715,121.077,NPR
2015-01-06,120.466,121.647,120.195,120.935,NPR
2015-01-07,120.923,120.975,119.053,119.669,NPR
2015-01-08,119.637,119.754,117.289,118.255,NPR
2015-01-09,118.228,118.466,117.0,118.095,NPR
2015-01-12,118.039,118.969,116.714,117.703,NPR
2015-01-13,117.111,117.842,116.609,117.054,NPR
2015-01-14,117.037,118.44,116.099,117.294,NPR
2015-01-15,116.68,117.345,114.602,115.479,NPR
2015-01-16,114.893,116.476,112.86,114.527,NPR
2015-01-19,113.746,115.485,113.32,114.598,NPR
2015-01-20,113.998,114.808,113.674,114.015,NPR
2015-01-21,113.999,115.159,113.244,114.509,NPR
2015-01-22,114.488,114.984,111.7,112.21,NPR
2015-01-23,112.174,112.833,108.663,110.152,NPR
2015-01-26,109.357,111.014,108.516,110.457,NPR
2015-01-27,109.875,112.229,109.795,111.807,NPR
2015-01-28,111.786,112.414,110.215,110.916,NPR
2015-01-29,110.332,113.096,110.175,112.045,NPR
2015-01-30,111.469,112.66,111.307,111.739,NPR
2015-02-02,111.669,112.402,111.192,112.15,NPR
2015-02-03,112.129,113.806,111.111,113.283,NPR
2015-02-04,113.252,113.414,111.792,112.115,NPR
2015-02-05,112.069,113.591,111.542,113.364,NPR
2015-02-06,113.339,113.483,111.641,111.707,NPR
2015-02-09,111.68,113.629,111.374,112.645,NPR
2015-02-10,112.064,113.381,111.469,112.633,NPR
2015-02-11,112.047,113.052,111.829,112.893,NPR
2015-02-12,112.877,113.875,112.239,113.677,NPR
2015-02-13,113.087,113.808,112.657,113.309,NPR
2015-02-16,113.282,113.785,112.548,112.926,NPR
2015-02-17,112.896,113.868,112.17,113.492,NPR
2015-02-18,112.902,113.83,112.754,113.69,NPR
2015-02-19,113.664,114.516,112.689,113.381,NPR
2015-02-20,112.817,113.802,112.025,113.304,NPR
2015-02-23,113.308,113.643,111.946,113.008,NPR
2015-02-24,113.011,113.658,111.764,112.866,NPR
2015-02-25,112.279,113.044,111.909,112.649,NPR
2015-02-26,112.613,112.783,110.478,110.647,NPR
2015-02-27,110.626,111.354,110.196,110.763,NPR
2015-03-02,110.663,111.824,109.839,110.715,NPR
2015-03-03,110.122,111.538,109.935,110.721,NPR
2015-03-04,110.142,111.025,109.684,110.358,NPR
2015-03-05,110.327,111.095,109.053,109.698,NPR
2015-03-06,109.152,109.729,107.262,107.849,NPR
2015-03-09,107.163,109.814,107.074,108.623,NPR
2015-03-10,108.065,109.104,106.835,107.44,NPR
2015-03-11,106.895,107.989,105.307,105.945,NPR
2015-03-12,105.407,106.846,104.691,106.366,NPR
2015-03-13,106.35,106.795,105.374,105.737,NPR
2015-03-16,105.696,106.744,105.031,106.214,NPR
2015-03-17,105.66,107.138,105.331,106.335,NPR
2015-03-18,105.79,110.266,105.554,109.002,NPR
2015-03-19,108.976,109.488,105.886,106.632,NPR
2015-03-20,106.611,108.765,106.08,108.155,NPR
2015-03-23,108.284,109.329,106.798,109.071,NPR
2015-03-24,108.509,109.901,107.992,108.855,NPR
2015-03-25,108.815,109.867,108.243,109.419,NPR
2015-03-26,109.373,110.85,108.843,109.145,NPR
2015-03-27,109.134,109.912,107.62,108.733,NPR
2015-03-30,108.173,109.06,107.845,108.633,NPR
2015-03-31,108.612,108.763,106.731,107.31,NPR
2015-04-01,107.319,108.457,106.634,107.64,NPR
2015-04-02,107.082,109.054,106.953,108.835,NPR
2015-04-03,108.266,110.278,108.077,109.78,NPR
