Date,Open,High,Low,Close,Currency
2015-01-01,1.5506,1.5551,1.5471,1.5518,NZD
2015-01-02,1.5513,1.5643,1.5482,1.5575,NZD
2015-01-05,1.5576,1.5684,1.545,1.5526,NZD
2015-01-06,1.5518,1.5534,1.5274,1.5321,NZD
2015-01-07,1.5317,1.5347,1.5187,1.5214,NZD
2015-01-08,1.5209,1.5244,1.5056,1.5072,NZD
2015-01-09,1.5064,1.5147,1.5038,1.5106,NZD
2015-01-12,1.5112,1.526,1.5067,1.5203,NZD
2015-01-13,1.52,1.5263,1.5186,1.5215,NZD
2015-01-14,1.5209,1.5337,1.5166,1.528,NZD
2015-01-15,1.5283,1.5294,1.4807,1.4866,NZD
2015-01-16,1.4863,1.4939,1.4778,1.4844,NZD
2015-01-19,1.4805,1.4969,1.4799,1.4914,NZD
2015-01-20,1.4909,1.516,1.4882,1.5122,NZD
2015-01-21,1.5116,1.5384,1.5044,1.5377,NZD
2015-01-22,1.537,1.5443,1.5083,1.5148,NZD
2015-01-23,1.514,1.5181,1.4884,1.503,NZD
2015-01-26,1.5008,1.5248,1.4965,1.5135,NZD
2015-01-27,1.5131,1.5291,1.5095,1.5277,NZD
2015-01-28,1.5271,1.5433,1.5128,1.5428,NZD
2015-01-29,1.542,1.5638,1.5348,1.5583,NZD
2015-01-30,1.5572,1.5698,1.5503,1.5545,NZD
2015-02-02,1.5527,1.5659,1.549,1.5528,NZD
2015-02-03,1.551,1.5826,1.5479,1.5598,NZD
2015-02-04,1.5596,1.5728,1.5365,1.5397,NZD
2015-02-05,1.5378,1.5535,1.5335,1.5521,NZD
2015-02-06,1.5513,1.5544,1.5317,1.5372,NZD
2015-02-09,1.5408,1.5452,1.5187,1.5279,NZD
2015-02-10,1.5272,1.5335,1.522,1.5292,NZD
2015-02-11,1.5277,1.541,1.5205,1.539,NZD
2015-02-12,1.5383,1.5488,1.5239,1.5356,NZD
2015-02-13,1.5349,1.5402,1.5245,1.5271,NZD
2015-02-16,1.5264,1.5324,1.5087,1.5137,NZD
2015-02-17,1.5126,1.5202,1.5069,1.5137,NZD
2015-02-18,1.5133,1.5171,1.5009,1.5129,NZD
2015-02-19,1.5122,1.5217,1.5074,1.5117,NZD
2015-02-20,1.511,1.5171,1.494,1.5122,NZD
2015-02-23,1.5089,1.517,1.5015,1.5059,NZD
2015-02-24,1.5052,1.5234,1.5035,1.5141,NZD
2015-02-25,1.5137,1.5175,1.5008,1.5038,NZD
2015-02-26,1.5029,1.5067,1.4817,1.4864,NZD
2015-02-27,1.4855,1.4898,1.4773,1.4801,NZD
2015-03-02,1.4736,1.4929,1.4701,1.4893,NZD
2015-03-03,1.488,1.4909,1.4769,1.4802,NZD
2015-03-04,1.4794,1.4826,1.4544,1.4597,NZD
2015-03-05,1.4585,1.4832,1.4577,1.4744,NZD
2015-03-06,1.4732,1.4782,1.4534,1.4729,NZD
2015-03-09,1.4691,1.4818,1.4675,1.4743,NZD
2015-03-10,1.4723,1.4876,1.4682,1.4707,NZD
2015-03-11,1.4698,1.4771,1.4434,1.4461,NZD
2015-03-12,1.4447,1.4514,1.4285,1.4396,NZD
2015-03-13,1.4381,1.4474,1.427,1.4295,NZD
2015-03-16,1.4259,1.4366,1.425,1.434,NZD
2015-03-17,1.4327,1.4519,1.4291,1.4506,NZD
2015-03-18,1.4497,1.4623,1.4367,1.4516,NZD
2015-03-19,1.4496,1.456,1.4339,1.4376,NZD
2015-03-20,1.4359,1.4429,1.4247,1.4302,NZD
2015-03-23,1.4284,1.4345,1.4123,1.4304,NZD
2015-03-24,1.43,1.4368,1.4238,1.4276,NZD
2015-03-25,1.4269,1.4445,1.4223,1.4424,NZD
2015-03-26,1.4415,1.4504,1.4307,1.4324,NZD
2015-03-27,1.4318,1.4468,1.4257,1.4388,NZD
2015-03-30,1.437,1.4459,1.4351,1.4417,NZD
2015-03-31,1.4406,1.4466,1.4304,1.4365,NZD
2015-04-01,1.4362,1.4536,1.4345,1.4445,NZD
2015-04-02,1.4434,1.4551,1.44,1.4495,NZD
2015-04-03,1.4487,1.4624,1.4405,1.4422,NZD
2015-04-06,1.4416,1.4526,1.441,1.4485,NZD
2015-04-07,1.4474,1.4553,1.4372,1.4429,NZD
2015-04-08,1.4423,1.4456,1.4241,1.4274,NZD
2015-04-09,1.4261,1.4304,1.4071,1.4087,NZD
2015-04-10,1.4079,1.4118,1.4031,1.407,NZD
2015-04-13,1.4036,1.4242,1.4025,1.4176,NZD
2015-04-14,1.417,1.4215,1.4112,1.4164,NZD
2015-04-15,1.4155,1.4206,1.4021,1.4077,NZD
2015-04-16,1.4062,1.4118,1.3971,1.403,NZD
2015-04-17,1.4021,1.409,1.3981,1.4065,NZD
2015-04-20,1.4021,1.4066,1.3939,1.4015,NZD
2015-04-21,1.4003,1.4063,1.3875,1.3996,NZD
2015-04-22,1.3979,1.4027,1.3897,1.3993,NZD
2015-04-23,1.3978,1.4299,1.3975,1.4257,NZD
2015-04-24,1.4246,1.4402,1.4227,1.4293,NZD
2015-04-27,1.4254,1.4322,1.4205,1.4243,NZD
2015-04-28,1.424,1.4284,1.4171,1.4228,NZD
2015-04-29,1.4219,1.4496,1.4177,1.4493,NZD
2015-04-30,1.4463,1.4777,1.4459,1.4737,NZD
2015-05-01,1.4728,1.4909,1.469,1.486,NZD
2015-05-04,1.4844,1.4916,1.4747,1.4788,NZD
2015-05-05,1.4773,1.4883,1.4715,1.48,NZD
2015-05-06,1.4788,1.5164,1.4761,1.5143,NZD
2015-05-07,1.5135,1.5255,1.5057,1.5124,NZD
2015-05-08,1.5115,1.5194,1.4941,1.4959,NZD
2015-05-11,1.4872,1.5215,1.4867,1.5207,NZD
2015-05-12,1.52,1.5323,1.5134,1.5232,NZD
2015-05-13,1.5236,1.5326,1.5042,1.5176,NZD
2015-05-14,1.5173,1.5271,1.5015,1.5221,NZD
2015-05-15,1.5213,1.5352,1.5191,1.5322,NZD
2015-05-18,1.5301,1.5411,1.5278,1.5313,NZD
2015-05-19,1.5306,1.5381,1.5051,1.5181,NZD
2015-05-20,1.5165,1.5236,1.5069,1.5182,NZD
2015-05-21,1.5176,1.5298,1.5101,1.5113,NZD
2015-05-22,1.5104,1.5214,1.5018,1.5065,NZD
2015-05-25,1.5003,1.5079,1.4983,1.5017,NZD
2015-05-26,1.5008,1.5085,1.4924,1.5033,NZD
2015-05-27,1.5035,1.5111,1.4958,1.5009,NZD
2015-05-28,1.4995,1.5286,1.4974,1.5257,NZD
2015-05-29,1.5247,1.5507,1.5236,1.5459,NZD
2015-06-01,1.5436,1.5538,1.5301,1.538,NZD
2015-06-02,1.5366,1.56,1.5331,1.553,NZD
2015-06-03,1.5513,1.5796,1.5503,1.5761,NZD
2015-06-04,1.5755,1.5934,1.5715,1.5762,NZD
2015-06-05,1.5747,1.5842,1.5682,1.5768,NZD
2015-06-08,1.5746,1.5864,1.5708,1.5802,NZD
2015-06-09,1.5794,1.5943,1.5693,1.5816,NZD
2015-06-10,1.5805,1.5878,1.5639,1.5707,NZD
2015-06-11,1.5695,1.6159,1.5692,1.6054,NZD
2015-06-12,1.6034,1.6164,1.5988,1.6137,NZD
2015-06-15,1.6027,1.6162,1.5999,1.612,NZD
2015-06-16,1.6102,1.6225,1.6018,1.6094,NZD
2015-06-17,1.6076,1.634,1.6061,1.6226,NZD
2015-06-18,1.6212,1.652,1.6186,1.64,NZD
2015-06-19,1.6391,1.648,1.6349,1.643,NZD
2015-06-22,1.6436,1.6597,1.6397,1.6522,NZD
2015-06-23,1.6507,1.6549,1.6267,1.6297,NZD
2015-06-24,1.6279,1.6355,1.6206,1.6264,NZD
2015-06-25,1.6253,1.6305,1.6139,1.6214,NZD
2015-06-26,1.6191,1.6383,1.6182,1.6311,NZD
2015-06-29,1.6117,1.6423,1.6035,1.6401,NZD
2015-06-30,1.6393,1.6585,1.6363,1.6465,NZD
2015-07-01,1.6462,1.6482,1.632,1.6412,NZD
2015-07-02,1.6398,1.6631,1.6368,1.649,NZD
2015-07-03,1.6478,1.6633,1.6459,1.6596,NZD
2015-07-06,1.6415,1.6576,1.6413,1.6533,NZD
2015-07-07,1.6525,1.663,1.6421,1.656,NZD
2015-07-08,1.6549,1.6617,1.6391,1.6463,NZD
2015-07-09,1.6446,1.6531,1.6333,1.6367,NZD
2015-07-10,1.6354,1.6694,1.6338,1.6599,NZD
2015-07-13,1.6493,1.6625,1.6406,1.6439,NZD
2015-07-14,1.6428,1.6545,1.6361,1.6396,NZD
2015-07-15,1.6375,1.6659,1.6355,1.6614,NZD
2015-07-16,1.6596,1.6829,1.6556,1.6696,NZD
2015-07-17,1.6674,1.6712,1.6556,1.6626,NZD
2015-07-20,1.6587,1.666,1.642,1.649,NZD
2015-07-21,1.6462,1.6522,1.6351,1.6507,NZD
2015-07-22,1.6498,1.6648,1.6458,1.6639,NZD
2015-07-23,1.6631,1.6649,1.6378,1.662,NZD
2015-07-24,1.661,1.6748,1.6576,1.6698,NZD
2015-07-27,1.6661,1.682,1.6645,1.6795,NZD
2015-07-28,1.6779,1.6823,1.6477,1.6527,NZD
2015-07-29,1.6506,1.6612,1.6393,1.6481,NZD
2015-07-30,1.6458,1.6639,1.6439,1.6559,NZD
2015-07-31,1.6537,1.6858,1.6501,1.6667,NZD
2015-08-03,1.6642,1.6704,1.6567,1.6686,NZD
2015-08-04,1.6679,1.673,1.6589,1.6643,NZD
2015-08-05,1.6628,1.6801,1.659,1.675,NZD
2015-08-06,1.6739,1.676,1.6629,1.6671,NZD
2015-08-07,1.6667,1.6736,1.6509,1.6561,NZD
2015-08-10,1.654,1.6719,1.6537,1.6644,NZD
2015-08-11,1.6625,1.6946,1.6608,1.6891,NZD
2015-08-12,1.6882,1.7094,1.6785,1.6852,NZD
2015-08-13,1.6834,1.6988,1.6781,1.6965,NZD
2015-08-14,1.6953,1.7111,1.6918,1.6983,NZD
2015-08-17,1.6947,1.7007,1.6806,1.6854,NZD
2015-08-18,1.6844,1.6874,1.6681,1.6696,NZD
2015-08-19,1.6684,1.689,1.6679,1.6843,NZD
2015-08-20,1.6824,1.6966,1.6806,1.6953,NZD
2015-08-21,1.6941,1.7077,1.6857,1.7035,NZD
2015-08-24,1.6982,1.8738,1.6977,1.7935,NZD
2015-08-25,1.791,1.8024,1.7453,1.7793,NZD
2015-08-26,1.7781,1.7879,1.7451,1.7575,NZD
2015-08-27,1.7564,1.7651,1.7308,1.7384,NZD
2015-08-28,1.7374,1.7523,1.7249,1.7296,NZD
2015-08-31,1.7261,1.7772,1.7209,1.7689,NZD
2015-09-01,1.7666,1.7904,1.7613,1.7863,NZD
2015-09-02,1.7846,1.791,1.764,1.7682,NZD
2015-09-03,1.7665,1.7759,1.732,1.738,NZD
2015-09-04,1.7363,1.7778,1.7348,1.774,NZD
2015-09-07,1.7679,1.7896,1.7673,1.7839,NZD
2015-09-08,1.7828,1.7888,1.7581,1.7648,NZD
2015-09-09,1.7636,1.7707,1.7331,1.7517,NZD
2015-09-10,1.7482,1.7977,1.7482,1.793,NZD
2015-09-11,1.7916,1.8009,1.7843,1.7952,NZD
2015-09-14,1.791,1.8022,1.7801,1.7883,NZD
2015-09-15,1.7852,1.7969,1.7673,1.7727,NZD
2015-09-16,1.7711,1.7839,1.7638,1.7723,NZD
2015-09-17,1.7717,1.8042,1.7662,1.8012,NZD
2015-09-18,1.7985,1.8023,1.7573,1.7674,NZD
2015-09-21,1.76,1.7875,1.7563,1.7708,NZD
2015-09-22,1.7685,1.7778,1.7613,1.7666,NZD
2015-09-23,1.7645,1.7965,1.7622,1.7828,NZD
2015-09-24,1.7806,1.7937,1.7589,1.7667,NZD
2015-09-25,1.7644,1.7775,1.748,1.753,NZD
2015-09-28,1.7522,1.7781,1.744,1.7768,NZD
2015-09-29,1.7764,1.7921,1.7523,1.7725,NZD
2015-09-30,1.77,1.7751,1.7424,1.7478,NZD
2015-10-01,1.7469,1.7523,1.7279,1.7498,NZD
2015-10-02,1.7485,1.7681,1.7305,1.7392,NZD
2015-10-05,1.7414,1.743,1.7135,1.7235,NZD
2015-10-06,1.7226,1.7352,1.7151,1.7227,NZD
2015-10-07,1.7216,1.7247,1.6866,1.6998,NZD
2015-10-08,1.6979,1.714,1.6855,1.6915,NZD
2015-10-09,1.6898,1.7006,1.6831,1.6972,NZD
2015-10-12,1.6949,1.7033,1.6851,1.6903,NZD
2015-10-13,1.6897,1.7212,1.6877,1.7136,NZD
2015-10-14,1.7114,1.72,1.6819,1.69,NZD
2015-10-15,1.6884,1.6925,1.6548,1.6614,NZD
2015-10-16,1.6597,1.6757,1.652,1.6657,NZD
2015-10-19,1.6651,1.678,1.6581,1.6672,NZD
2015-10-20,1.6655,1.6847,1.6575,1.6804,NZD
2015-10-21,1.679,1.6968,1.6781,1.6907,NZD
2015-10-22,1.6889,1.6931,1.6302,1.635,NZD
2015-10-23,1.6336,1.641,1.6152,1.6313,NZD
2015-10-26,1.6343,1.6365,1.6221,1.6287,NZD
2015-10-27,1.6268,1.6362,1.6214,1.6334,NZD
2015-10-28,1.6317,1.6525,1.6246,1.6297,NZD
2015-10-29,1.6288,1.6453,1.6256,1.6399,NZD
2015-10-30,1.6388,1.6433,1.6196,1.6239,NZD
2015-11-02,1.6209,1.6408,1.6209,1.6336,NZD
2015-11-03,1.6313,1.6484,1.6232,1.6458,NZD
2015-11-04,1.6446,1.6581,1.6379,1.648,NZD
2015-11-05,1.6458,1.6527,1.636,1.646,NZD
2015-11-06,1.6439,1.6557,1.6337,1.6463,NZD
2015-11-09,1.6458,1.65,1.6386,1.6455,NZD
2015-11-10,1.6453,1.65,1.6336,1.6429,NZD
2015-11-11,1.6424,1.6437,1.6313,1.6381,NZD
2015-11-12,1.6369,1.6564,1.6311,1.6534,NZD
2015-11-13,1.6525,1.6543,1.6399,1.6462,NZD
2015-11-16,1.6444,1.6593,1.6285,1.6458,NZD
2015-11-17,1.6442,1.6534,1.6422,1.6447,NZD
2015-11-18,1.6437,1.6571,1.6393,1.6481,NZD
2015-11-19,1.6448,1.6498,1.6289,1.6349,NZD
2015-11-20,1.6332,1.638,1.6171,1.6212,NZD
2015-11-23,1.6203,1.6374,1.6148,1.6311,NZD
2015-11-24,1.6291,1.6388,1.6208,1.6233,NZD
2015-11-25,1.6221,1.6276,1.6104,1.6153,NZD
2015-11-26,1.6139,1.6198,1.6074,1.6147,NZD
2015-11-27,1.613,1.6252,1.6107,1.6212,NZD
2015-11-30,1.6189,1.6251,1.6012,1.6046,NZD
2015-12-01,1.6036,1.6068,1.5877,1.5924,NZD
2015-12-02,1.5905,1.6021,1.5865,1.5988,NZD
2015-12-03,1.5968,1.65,1.5812,1.6354,NZD
2015-12-04,1.634,1.6412,1.6062,1.6133,NZD
2015-12-07,1.6138,1.6366,1.609,1.6309,NZD
2015-12-08,1.6293,1.6469,1.6279,1.639,NZD
2015-12-09,1.637,1.6694,1.6284,1.6407,NZD
2015-12-10,1.6403,1.6412,1.6136,1.6199,NZD
2015-12-11,1.6193,1.6458,1.6143,1.6346,NZD
2015-12-14,1.633,1.6405,1.6213,1.6263,NZD
2015-12-15,1.6255,1.6293,1.6094,1.6142,NZD
2015-12-16,1.614,1.6243,1.6022,1.6053,NZD
2015-12-17,1.6048,1.6222,1.6009,1.6155,NZD
2015-12-18,1.6145,1.6222,1.6046,1.6155,NZD
2015-12-21,1.6096,1.6189,1.6052,1.6138,NZD
2015-12-22,1.612,1.6153,1.5959,1.6095,NZD
2015-12-23,1.608,1.6167,1.599,1.6056,NZD
2015-12-24,1.604,1.6129,1.5977,1.6037,NZD
2015-12-25,1.6027,1.6123,1.5892,1.6058,NZD
2015-12-28,1.6033,1.6101,1.5982,1.6018,NZD
2015-12-29,1.6006,1.6033,1.5855,1.5893,NZD
2015-12-30,1.5879,1.601,1.5879,1.5979,NZD
2015-12-31,1.5964,1.6005,1.5816,1.5902,NZD
2016-01-01,1.5891,1.5899,1.5849,1.5857,NZD
2016-01-04,1.5846,1.6203,1.5792,1.6043,NZD
2016-01-05,1.6033,1.6122,1.5964,1.6029,NZD
2016-01-06,1.6013,1.6287,1.601,1.624,NZD
2016-01-07,1.6227,1.6533,1.6155,1.6502,NZD
2016-01-08,1.649,1.6725,1.6272,1.6699,NZD
2016-01-11,1.6622,1.6854,1.6513,1.6555,NZD
2016-01-12,1.6534,1.6732,1.6502,1.6608,NZD
2016-01-13,1.6584,1.6723,1.6402,1.6698,NZD
2016-01-14,1.6692,1.7039,1.6671,1.6786,NZD
2016-01-15,1.6778,1.7149,1.6712,1.6884,NZD
2016-01-18,1.6856,1.708,1.6773,1.6884,NZD
2016-01-19,1.6861,1.7056,1.6671,1.7018,NZD
2016-01-20,1.701,1.7279,1.6886,1.6936,NZD
2016-01-21,1.693,1.7024,1.6562,1.6655,NZD
2016-01-22,1.6638,1.6752,1.6517,1.6626,NZD
2016-01-25,1.6618,1.6831,1.6539,1.6811,NZD
2016-01-26,1.6799,1.6901,1.6644,1.6728,NZD
2016-01-27,1.6719,1.7008,1.6626,1.6939,NZD
2016-01-28,1.6927,1.6996,1.6738,1.6881,NZD
2016-01-29,1.6871,1.6943,1.6641,1.6715,NZD
2016-02-01,1.6709,1.6843,1.6588,1.6631,NZD
2016-02-02,1.6625,1.6923,1.6611,1.6762,NZD
2016-02-03,1.675,1.6786,1.65,1.6655,NZD
2016-02-04,1.6647,1.6707,1.658,1.6671,NZD
2016-02-05,1.6663,1.6855,1.6599,1.6828,NZD
2016-02-08,1.6839,1.6949,1.6744,1.6894,NZD
2016-02-09,1.6883,1.7161,1.6844,1.7019,NZD
2016-02-10,1.6999,1.7106,1.6722,1.6886,NZD
2016-02-11,1.6879,1.7224,1.6776,1.6859,NZD
2016-02-12,1.6849,1.7049,1.6779,1.6976,NZD
2016-02-15,1.697,1.6997,1.6699,1.678,NZD
2016-02-16,1.6771,1.7058,1.6731,1.6939,NZD
2016-02-17,1.6919,1.7046,1.6706,1.6778,NZD
2016-02-18,1.6759,1.6814,1.6684,1.672,NZD
2016-02-19,1.6701,1.6899,1.669,1.679,NZD
2016-02-22,1.6734,1.6799,1.6364,1.6462,NZD
2016-02-23,1.6452,1.6612,1.6377,1.6589,NZD
2016-02-24,1.6569,1.6703,1.6479,1.654,NZD
2016-02-25,1.6531,1.6613,1.6369,1.6397,NZD
2016-02-26,1.6375,1.6528,1.6262,1.6496,NZD
2016-02-29,1.6481,1.6643,1.6401,1.6498,NZD
2016-03-01,1.6489,1.6518,1.6354,1.6394,NZD
2016-03-02,1.6387,1.6484,1.6249,1.6281,NZD
2016-03-03,1.6276,1.6343,1.619,1.6303,NZD
2016-03-04,1.6283,1.6316,1.6109,1.6144,NZD
2016-03-07,1.6134,1.6275,1.6119,1.6196,NZD
2016-03-08,1.6187,1.6377,1.6176,1.6333,NZD
2016-03-09,1.6327,1.6567,1.6133,1.6549,NZD
2016-03-10,1.6531,1.6858,1.6224,1.6785,NZD
2016-03-11,1.6775,1.6804,1.6505,1.6538,NZD
2016-03-14,1.6537,1.6678,1.6508,1.6639,NZD
2016-03-15,1.662,1.6867,1.6595,1.6827,NZD
2016-03-16,1.6816,1.6882,1.6637,1.6694,NZD
2016-03-17,1.6685,1.6719,1.6485,1.6521,NZD
2016-03-18,1.651,1.6628,1.648,1.6583,NZD
2016-03-21,1.6577,1.6711,1.6528,1.6624,NZD
2016-03-22,1.6623,1.669,1.6578,1.661,NZD
2016-03-23,1.6619,1.6737,1.6576,1.6677,NZD
2016-03-24,1.6663,1.674,1.6634,1.6672,NZD
2016-03-25,1.6676,1.6735,1.6625,1.6701,NZD
2016-03-28,1.6666,1.6736,1.6609,1.6656,NZD
2016-03-29,1.6664,1.668,1.6409,1.6482,NZD
2016-03-30,1.6482,1.6519,1.6269,1.638,NZD
2016-03-31,1.6385,1.6514,1.6373,1.647,NZD
2016-04-01,1.6468,1.6667,1.6412,1.6495,NZD
2016-04-04,1.6524,1.6693,1.6483,1.6667,NZD
2016-04-05,1.6664,1.6804,1.6637,1.6731,NZD
2016-04-06,1.6739,1.6773,1.6664,1.6704,NZD
2016-04-07,1.6698,1.6833,1.664,1.6788,NZD
2016-04-08,1.6806,1.683,1.6707,1.6753,NZD
2016-04-11,1.6745,1.681,1.66,1.6636,NZD
2016-04-12,1.6637,1.6668,1.6439,1.6442,NZD
2016-04-13,1.6434,1.6467,1.6275,1.6292,NZD
2016-04-14,1.6302,1.6508,1.6282,1.6454,NZD
2016-04-15,1.646,1.6478,1.6282,1.6301,NZD
2016-04-18,1.6301,1.6495,1.6256,1.628,NZD
2016-04-19,1.6281,1.6289,1.6091,1.6124,NZD
2016-04-20,1.6121,1.6271,1.6092,1.6189,NZD
2016-04-21,1.619,1.6386,1.6169,1.6331,NZD
2016-04-22,1.6342,1.643,1.6302,1.6392,NZD
2016-04-25,1.6379,1.6481,1.6323,1.6438,NZD
2016-04-26,1.6432,1.6449,1.6329,1.6375,NZD
2016-04-27,1.638,1.6587,1.6354,1.6561,NZD
2016-04-28,1.6571,1.658,1.6227,1.6306,NZD
2016-04-29,1.6302,1.6438,1.626,1.6424,NZD
2016-05-02,1.6402,1.6476,1.6348,1.643,NZD
2016-05-03,1.643,1.6682,1.6347,1.6628,NZD
2016-05-04,1.6626,1.675,1.6574,1.6696,NZD
2016-05-05,1.6695,1.6717,1.6513,1.6567,NZD
2016-05-06,1.6568,1.6781,1.655,1.6674,NZD
2016-05-09,1.671,1.6858,1.6638,1.6818,NZD
2016-05-10,1.6819,1.6939,1.6785,1.6827,NZD
2016-05-11,1.6817,1.6834,1.6659,1.6749,NZD
2016-05-12,1.6766,1.6789,1.6663,1.6682,NZD
2016-05-13,1.6668,1.6743,1.664,1.669,NZD
2016-05-16,1.6698,1.677,1.6639,1.6669,NZD
2016-05-17,1.668,1.6715,1.6564,1.6611,NZD
2016-05-18,1.66,1.6709,1.6585,1.6643,NZD
2016-05-19,1.6652,1.6688,1.6582,1.6616,NZD
2016-05-20,1.663,1.6648,1.6554,1.6577,NZD
2016-05-23,1.6614,1.662,1.6483,1.6587,NZD
2016-05-24,1.6577,1.6717,1.6518,1.6535,NZD
2016-05-25,1.6539,1.6592,1.6464,1.6556,NZD
2016-05-26,1.6554,1.6698,1.6541,1.6608,NZD
2016-05-27,1.6617,1.6643,1.6557,1.6596,NZD
