Date,Open,High,Low,Close,Currency
2015-01-01,1.2098,1.2105,1.2092,1.2102,PAB
2015-01-02,1.2103,1.2108,1.1999,1.2,PAB
2015-01-05,1.2001,1.2006,1.188,1.1931,PAB
2015-01-06,1.1932,1.1968,1.1883,1.1888,PAB
2015-01-07,1.1889,1.1896,1.18,1.1838,PAB
2015-01-08,1.1837,1.1847,1.1753,1.1792,PAB
2015-01-09,1.1791,1.1846,1.1761,1.1839,PAB
2015-01-12,1.1837,1.187,1.1785,1.1832,PAB
2015-01-13,1.1833,1.1859,1.1752,1.1772,PAB
2015-01-14,1.1772,1.1845,1.1726,1.1789,PAB
2015-01-15,1.1787,1.1793,1.1567,1.1628,PAB
2015-01-16,1.163,1.1648,1.1459,1.1567,PAB
2015-01-19,1.1549,1.1639,1.1544,1.1604,PAB
2015-01-20,1.1604,1.1614,1.1539,1.1549,PAB
2015-01-21,1.155,1.1674,1.154,1.1608,PAB
2015-01-22,1.1609,1.1646,1.1316,1.1365,PAB
2015-01-23,1.1364,1.1373,1.1113,1.1207,PAB
2015-01-26,1.1184,1.1295,1.1098,1.1238,PAB
2015-01-27,1.1237,1.1422,1.1223,1.1379,PAB
2015-01-28,1.138,1.1383,1.1274,1.1286,PAB
2015-01-29,1.1286,1.1368,1.126,1.1319,PAB
2015-01-30,1.1319,1.1363,1.1277,1.1286,PAB
2015-02-02,1.1282,1.1362,1.1278,1.134,PAB
2015-02-03,1.1341,1.1532,1.1311,1.1479,PAB
2015-02-04,1.1479,1.1484,1.1315,1.1344,PAB
2015-02-05,1.1343,1.1498,1.1302,1.1475,PAB
2015-02-06,1.1475,1.1486,1.131,1.1313,PAB
2015-02-09,1.1314,1.1358,1.1269,1.1323,PAB
2015-02-10,1.1323,1.1345,1.1272,1.1319,PAB
2015-02-11,1.1319,1.1347,1.1278,1.1331,PAB
2015-02-12,1.1333,1.1422,1.1301,1.1402,PAB
2015-02-13,1.1401,1.1441,1.1378,1.1383,PAB
2015-02-16,1.1384,1.1429,1.1317,1.1352,PAB
2015-02-17,1.1352,1.1448,1.132,1.141,PAB
2015-02-18,1.141,1.1415,1.1332,1.1395,PAB
2015-02-19,1.1396,1.145,1.1354,1.1366,PAB
2015-02-20,1.1367,1.1428,1.1278,1.1378,PAB
2015-02-23,1.1382,1.1412,1.1294,1.133,PAB
2015-02-24,1.1334,1.1358,1.1287,1.1339,PAB
2015-02-25,1.1339,1.1388,1.1334,1.1361,PAB
2015-02-26,1.1359,1.1379,1.1182,1.1196,PAB
2015-02-27,1.1197,1.1245,1.1175,1.1193,PAB
2015-03-02,1.1186,1.124,1.1158,1.1183,PAB
2015-03-03,1.1181,1.1217,1.1153,1.1174,PAB
2015-03-04,1.1174,1.1185,1.106,1.1077,PAB
2015-03-05,1.1077,1.1113,1.0986,1.1028,PAB
2015-03-06,1.1031,1.1033,1.084,1.0843,PAB
