Date,Open,High,Low,Close,Currency
2015-01-01,3.604,3.6194,3.6022,3.6185,PEN
2015-01-02,3.6055,3.6096,3.5552,3.558,PEN
2015-01-05,3.5558,3.5842,3.5199,3.5687,PEN
2015-01-06,3.5581,3.5731,3.5397,3.55,PEN
2015-01-07,3.5465,3.5507,3.5229,3.5411,PEN
2015-01-08,3.5387,3.5437,3.5101,3.516,PEN
2015-01-09,3.5137,3.5404,3.5051,3.5383,PEN
2015-01-12,3.531,3.5493,3.5155,3.5327,PEN
2015-01-13,3.5262,3.5365,3.4992,3.5176,PEN
2015-01-14,3.5139,3.5465,3.5002,3.5345,PEN
2015-01-15,3.532,3.5363,3.4637,3.4915,PEN
2015-01-16,3.4896,3.4987,3.448,3.4893,PEN
2015-01-19,3.4809,3.511,3.4794,3.5004,PEN
2015-01-20,3.4974,3.5027,3.4732,3.4784,PEN
2015-01-21,3.4766,3.5181,3.4678,3.4913,PEN
2015-01-22,3.4885,3.4931,3.3993,3.4162,PEN
2015-01-23,3.4137,3.4184,3.3383,3.3842,PEN
2015-01-26,3.372,3.415,3.346,3.393,PEN
2015-01-27,3.3902,3.4512,3.3781,3.4405,PEN
2015-01-28,3.439,3.4477,3.4171,3.4226,PEN
2015-01-29,3.4208,3.4618,3.4107,3.4458,PEN
2015-01-30,3.4444,3.4667,3.4328,3.4577,PEN
2015-02-02,3.4534,3.4815,3.4479,3.4741,PEN
2015-02-03,3.4715,3.5253,3.4566,3.5069,PEN
2015-02-04,3.5045,3.5093,3.4579,3.4692,PEN
2015-02-05,3.4664,3.5244,3.455,3.5096,PEN
2015-02-06,3.5079,3.5126,3.4632,3.475,PEN
2015-02-09,3.474,3.4897,3.4582,3.4726,PEN
2015-02-10,3.4705,3.4964,3.4526,3.4931,PEN
2015-02-11,3.4902,3.5061,3.4733,3.4941,PEN
2015-02-12,3.4917,3.5164,3.4816,3.499,PEN
2015-02-13,3.4967,3.5159,3.4799,3.5079,PEN
2015-02-16,3.504,3.5225,3.4919,3.5034,PEN
2015-02-17,3.5021,3.534,3.4922,3.5194,PEN
2015-02-18,3.5171,3.5217,3.4954,3.5167,PEN
2015-02-19,3.5151,3.5263,3.4959,3.5082,PEN
2015-02-20,3.5079,3.5309,3.4736,3.512,PEN
2015-02-23,3.5079,3.5196,3.4808,3.5046,PEN
