Date,Open,High,Low,Close,Currency
2015-01-01,121.766,122.22,121.746,122.19,PKR
2015-01-02,122.059,122.255,120.83,121.166,PKR
2015-01-05,121.03,121.226,119.81,120.469,PKR
2015-01-06,120.334,120.886,119.751,120.019,PKR
2015-01-07,119.841,120.029,118.944,119.485,PKR
2015-01-08,119.317,119.481,118.353,118.751,PKR
2015-01-09,118.617,119.291,118.357,119.126,PKR
2015-01-12,118.962,119.695,118.557,119.1,PKR
2015-01-13,118.981,119.365,118.166,118.49,PKR
2015-01-14,118.367,119.319,117.905,118.602,PKR
2015-01-15,118.459,118.861,116.191,117.061,PKR
2015-01-16,116.882,117.48,115.106,116.332,PKR
2015-01-19,116.01,117.341,115.959,116.989,PKR
2015-01-20,116.852,117.049,116.14,116.314,PKR
2015-01-21,116.193,117.698,116.092,116.976,PKR
2015-01-22,116.845,117.372,113.726,114.347,PKR
2015-01-23,114.208,114.648,111.686,112.809,PKR
2015-01-26,112.455,114.151,111.59,113.457,PKR
2015-01-27,113.269,115.297,113.229,114.805,PKR
2015-01-28,114.654,114.923,113.642,113.896,PKR
2015-01-29,113.763,114.998,113.531,114.446,PKR
2015-01-30,114.322,114.961,113.898,114.127,PKR
2015-02-02,113.948,115.213,113.908,115.121,PKR
2015-02-03,114.941,116.666,114.388,116.13,PKR
2015-02-04,115.995,116.3,114.282,114.713,PKR
2015-02-05,114.564,116.207,114.15,115.975,PKR
2015-02-06,115.84,116.184,114.282,114.512,PKR
2015-02-09,114.385,115.014,113.986,114.49,PKR
2015-02-10,114.362,115.013,113.938,114.456,PKR
2015-02-11,114.322,115.061,114.246,114.899,PKR
2015-02-12,114.781,115.829,114.453,115.626,PKR
2015-02-13,115.492,116.141,115.224,115.506,PKR
2015-02-16,115.206,116.006,114.641,115.135,PKR
2015-02-17,114.996,116.297,114.672,115.66,PKR
2015-02-18,115.526,116.04,114.85,115.627,PKR
2015-02-19,115.441,116.496,115.253,115.483,PKR
2015-02-20,115.375,116.248,114.641,115.739,PKR
2015-02-23,115.641,116.085,114.824,115.195,PKR
2015-02-24,115.097,115.702,114.845,115.508,PKR
