Date,Open,High,Low,Close,Currency
2015-01-01,2.8231,2.8279,2.8182,2.8213,TRY
2015-01-02,2.8199,2.8422,2.8087,2.8136,TRY
2015-01-05,2.813,2.8163,2.7703,2.7827,TRY
2015-01-06,2.7809,2.7866,2.7535,2.7615,TRY
2015-01-07,2.7607,2.7691,2.7426,2.7454,TRY
2015-01-08,2.7435,2.7481,2.7059,2.7113,TRY
2015-01-09,2.7096,2.7293,2.6886,2.7176,TRY
2015-01-12,2.7154,2.7246,2.691,2.7042,TRY
2015-01-13,2.7028,2.7102,2.6786,2.6909,TRY
2015-01-14,2.6894,2.7234,2.6812,2.6893,TRY
2015-01-15,2.6873,2.7102,2.6537,2.6869,TRY
2015-01-16,2.6849,2.7029,2.6653,2.6875,TRY
2015-01-19,2.6804,2.7294,2.6792,2.7134,TRY
2015-01-20,2.7116,2.7364,2.6877,2.7101,TRY
2015-01-21,2.7086,2.7314,2.6963,2.7288,TRY
2015-01-22,2.7271,2.746,2.6278,2.6418,TRY
2015-01-23,2.6382,2.6532,2.6011,2.6319,TRY
2015-01-26,2.6247,2.6714,2.6045,2.6462,TRY
2015-01-27,2.6432,2.7004,2.6389,2.6906,TRY
2015-01-28,2.687,2.7083,2.6692,2.6932,TRY
2015-01-29,2.6907,2.7404,2.6876,2.735,TRY
2015-01-30,2.7334,2.7725,2.7215,2.7616,TRY
2015-02-02,2.756,2.7691,2.7274,2.7568,TRY
2015-02-03,2.7535,2.7705,2.7224,2.7572,TRY
2015-02-04,2.7552,2.8163,2.7413,2.7987,TRY
2015-02-05,2.7958,2.8072,2.771,2.7976,TRY
2015-02-06,2.795,2.812,2.7718,2.7994,TRY
2015-02-09,2.7959,2.8365,2.7927,2.8045,TRY
2015-02-10,2.8016,2.8368,2.7896,2.8262,TRY
2015-02-11,2.8226,2.8432,2.8031,2.8338,TRY
2015-02-12,2.8323,2.8399,2.8056,2.8126,TRY
2015-02-13,2.8108,2.8311,2.7967,2.7987,TRY
2015-02-16,2.7965,2.8159,2.7771,2.7889,TRY
2015-02-17,2.7874,2.8049,2.7719,2.7983,TRY
2015-02-18,2.7964,2.8138,2.7768,2.783,TRY
2015-02-19,2.7804,2.7981,2.774,2.7927,TRY
2015-02-20,2.7915,2.8068,2.7682,2.7912,TRY
2015-02-23,2.7918,2.8154,2.7826,2.8052,TRY
2015-02-24,2.8041,2.8163,2.785,2.7941,TRY
2015-02-25,2.7905,2.83,2.7846,2.8274,TRY
2015-02-26,2.8242,2.8346,2.7907,2.804,TRY
2015-02-27,2.8026,2.838,2.7912,2.8087,TRY
2015-03-02,2.8049,2.8256,2.7958,2.815,TRY
2015-03-03,2.813,2.8469,2.8025,2.8339,TRY
2015-03-04,2.8319,2.8493,2.822,2.8407,TRY
2015-03-05,2.8385,2.8957,2.8291,2.8755,TRY
2015-03-06,2.8746,2.8841,2.8193,2.846,TRY
2015-03-09,2.8447,2.858,2.8148,2.8234,TRY
2015-03-10,2.8219,2.8443,2.8085,2.8226,TRY
2015-03-11,2.8213,2.8294,2.7475,2.7533,TRY
2015-03-12,2.752,2.7655,2.7346,2.7482,TRY
2015-03-13,2.747,2.8012,2.7386,2.7704,TRY
2015-03-16,2.768,2.7878,2.7423,2.7755,TRY
2015-03-17,2.7733,2.789,2.7614,2.768,TRY
2015-03-18,2.7666,2.8218,2.7606,2.7929,TRY
2015-03-19,2.7914,2.8049,2.7553,2.779,TRY
2015-03-20,2.7777,2.8013,2.7593,2.7845,TRY
2015-03-23,2.7873,2.8031,2.7722,2.7829,TRY
2015-03-24,2.7793,2.8198,2.7718,2.7885,TRY
2015-03-25,2.7865,2.8433,2.7829,2.8384,TRY
2015-03-26,2.8364,2.8761,2.8196,2.8253,TRY
2015-03-27,2.8238,2.8538,2.8191,2.8421,TRY
2015-03-30,2.8413,2.8487,2.8123,2.8241,TRY
2015-03-31,2.8216,2.8298,2.7806,2.7877,TRY
2015-04-01,2.7871,2.8084,2.7842,2.7976,TRY
2015-04-02,2.7962,2.8266,2.7914,2.814,TRY
2015-04-03,2.811,2.834,2.8024,2.8235,TRY
2015-04-06,2.8218,2.8356,2.8028,2.8085,TRY
2015-04-07,2.8062,2.8239,2.7959,2.8143,TRY
2015-04-08,2.8128,2.8229,2.7874,2.8023,TRY
2015-04-09,2.8009,2.8054,2.7789,2.7927,TRY
2015-04-10,2.7912,2.7987,2.7749,2.7875,TRY
2015-04-13,2.7787,2.8269,2.7759,2.822,TRY
2015-04-14,2.8203,2.8753,2.806,2.8639,TRY
2015-04-15,2.8621,2.8982,2.8485,2.8841,TRY
