Date,Open,High,Low,Close,Currency
2015-01-01,13.9925,14.0101,13.9559,13.9771,ZAR
2015-01-02,13.9715,14.1133,13.9347,14.0472,ZAR
2015-01-05,14.04,14.0547,13.8984,13.9717,ZAR
2015-01-06,13.964,14.0319,13.892,13.9268,ZAR
2015-01-07,13.9232,13.9537,13.8138,13.8265,ZAR
2015-01-08,13.8194,13.8471,13.6235,13.6622,ZAR
2015-01-09,13.6557,13.7467,13.5465,13.613,ZAR
2015-01-12,13.6019,13.6579,13.5497,13.6387,ZAR
2015-01-13,13.632,13.652,13.5236,13.5749,ZAR
2015-01-14,13.5696,13.7188,13.4617,13.4925,ZAR
2015-01-15,13.486,13.5427,13.2997,13.4496,ZAR
2015-01-16,13.4443,13.4755,13.285,13.3616,ZAR
2015-01-19,13.3333,13.5728,13.3275,13.5094,ZAR
2015-01-20,13.5024,13.5292,13.3553,13.3859,ZAR
2015-01-21,13.3807,13.4541,13.2863,13.3681,ZAR
2015-01-22,13.3642,13.4349,12.8935,12.9579,ZAR
2015-01-23,12.9504,12.9818,12.6655,12.7937,ZAR
2015-01-26,12.7626,12.9623,12.6645,12.8821,ZAR
2015-01-27,12.8742,13.1991,12.8536,13.1866,ZAR
2015-01-28,13.1797,13.1912,13.0086,13.0726,ZAR
2015-01-29,13.0647,13.2209,13.0391,13.0797,ZAR
2015-01-30,13.0734,13.2337,13.052,13.1475,ZAR
2015-02-02,13.1362,13.1948,13.0157,13.0439,ZAR
2015-02-03,13.0376,13.1159,12.9621,13.066,ZAR
2015-02-04,13.0579,13.1234,12.9806,13.0206,ZAR
2015-02-05,13.011,13.0834,12.8605,12.9346,ZAR
2015-02-06,12.9266,13.0791,12.8434,13.0275,ZAR
2015-02-09,13.0204,13.1682,12.9847,13.1183,ZAR
2015-02-10,13.1109,13.2736,13.0646,13.2266,ZAR
2015-02-11,13.2206,13.4568,13.202,13.3962,ZAR
2015-02-12,13.3899,13.4571,13.3131,13.3558,ZAR
2015-02-13,13.3477,13.4454,13.2413,13.2863,ZAR
2015-02-16,13.2802,13.3493,13.1787,13.2251,ZAR
2015-02-17,13.2166,13.3396,13.1822,13.3236,ZAR
2015-02-18,13.3155,13.3798,13.189,13.22,ZAR
2015-02-19,13.2125,13.3083,13.1827,13.2744,ZAR
2015-02-20,13.2693,13.2974,13.1302,13.2258,ZAR
2015-02-23,13.222,13.3119,13.1702,13.1865,ZAR
2015-02-24,13.1837,13.231,12.9967,13.0178,ZAR
2015-02-25,13.0104,13.0817,12.9605,13.0092,ZAR
2015-02-26,13.0009,13.0442,12.8632,12.9163,ZAR
2015-02-27,12.9096,13.1159,12.8697,13.0629,ZAR
2015-03-02,13.0462,13.1964,13.0031,13.167,ZAR
2015-03-03,13.1578,13.2027,13.0831,13.1385,ZAR
2015-03-04,13.1317,13.1726,13.0371,13.0904,ZAR
2015-03-05,13.0825,13.0963,12.9354,13.0664,ZAR
2015-03-06,13.0615,13.1562,12.8503,13.0562,ZAR
2015-03-09,13.0334,13.1777,13.0141,13.1204,ZAR
2015-03-10,13.1156,13.2435,13.0769,13.2313,ZAR
2015-03-11,13.2247,13.2447,12.9007,12.9502,ZAR
2015-03-12,12.9436,13.0915,12.8712,13.0796,ZAR
2015-03-13,13.0747,13.2202,12.9952,13.0968,ZAR
2015-03-16,13.0877,13.1847,13.0295,13.1013,ZAR
2015-03-17,13.0929,13.2066,13.0712,13.0966,ZAR
2015-03-18,13.0894,13.2242,13.0117,13.1066,ZAR
2015-03-19,13.0967,13.1796,12.9718,13.1241,ZAR
2015-03-20,13.118,13.1561,12.9585,13.0026,ZAR
2015-03-23,13.014,13.1253,12.9764,13.0282,ZAR
2015-03-24,13.0224,13.1115,12.8568,12.8944,ZAR
2015-03-25,12.8855,13.0472,12.8645,13.0046,ZAR
2015-03-26,12.996,13.1485,12.965,13.0578,ZAR
2015-03-27,13.0548,13.1544,12.9805,13.1152,ZAR
2015-03-30,13.109,13.1791,13.0605,13.1684,ZAR
2015-03-31,13.1617,13.17,12.9871,13.0173,ZAR
2015-04-01,13.0143,13.0794,12.8661,12.9023,ZAR
2015-04-02,12.8945,13.0568,12.8885,13.002,ZAR
2015-04-03,12.9935,13.1502,12.9171,12.9519,ZAR
2015-04-06,12.9592,12.9878,12.8463,12.9006,ZAR
2015-04-07,12.891,12.9334,12.788,12.8517,ZAR
2015-04-08,12.8453,12.8802,12.7149,12.7399,ZAR
2015-04-09,12.7339,12.7638,12.6626,12.737,ZAR
2015-04-10,12.731,12.7696,12.6661,12.7198,ZAR
2015-04-13,12.7097,12.8666,12.6881,12.8275,ZAR
2015-04-14,12.8191,12.8496,12.7617,12.7931,ZAR
2015-04-15,12.7889,12.9459,12.7551,12.8911,ZAR
2015-04-16,12.8826,12.9639,12.796,12.875,ZAR
