Date,Open,High,Low,Close,Currency
2015-01-01,3.1095,3.1288,3.1032,3.122,BBD
2015-01-02,3.1109,3.1298,3.0596,3.0781,BBD
2015-01-05,3.0608,3.08,3.0345,3.0625,BBD
2015-01-06,3.0441,3.0674,3.0225,3.0428,BBD
2015-01-07,3.0247,3.0439,3.0053,3.0346,BBD
2015-01-08,3.0165,3.0363,3.0011,3.0304,BBD
2015-01-09,3.0121,3.0478,3.0095,3.0446,BBD
2015-01-12,3.0313,3.0512,3.0139,3.047,BBD
2015-01-13,3.0287,3.0509,3.0095,3.0443,BBD
2015-01-14,3.0265,3.0665,3.0231,3.0591,BBD
2015-01-15,3.0413,3.0661,3.0243,3.0506,BBD
2015-01-16,3.0311,3.0598,3.0093,3.0426,BBD
2015-01-19,3.0281,3.0488,3.0153,3.035,BBD
2015-01-20,3.0167,3.0527,3.0057,3.0415,BBD
2015-01-21,3.0233,3.0483,3.0095,3.0411,BBD
2015-01-22,3.0229,3.0549,2.9886,3.0144,BBD
2015-01-23,2.9963,3.0198,2.9844,3.0103,BBD
2015-01-26,2.9918,3.0332,2.9894,3.0286,BBD
2015-01-27,3.0103,3.0572,3.0063,3.0519,BBD
2015-01-28,3.0339,3.0566,3.0199,3.0396,BBD
2015-01-29,3.0213,3.0452,2.9977,3.0258,BBD
2015-01-30,3.0077,3.0319,2.9924,3.0261,BBD
2015-02-02,3.0115,3.0326,2.9953,3.0204,BBD
2015-02-03,3.0023,3.0518,2.992,3.0458,BBD
2015-02-04,3.0279,3.0629,3.0217,3.0491,BBD
2015-02-05,3.0301,3.0819,3.0269,3.0781,BBD
2015-02-06,3.0602,3.0834,3.0361,3.0617,BBD
2015-02-09,3.0435,3.0662,3.0343,3.0556,BBD
2015-02-10,3.0373,3.068,3.0337,3.0634,BBD
2015-02-11,3.0445,3.0727,3.0379,3.0602,BBD
2015-02-12,3.0411,3.096,3.0361,3.0896,BBD
2015-02-13,3.071,3.0976,3.0684,3.0926,BBD
2015-02-16,3.074,3.1011,3.0616,3.0854,BBD
2015-02-17,3.0668,3.0937,3.0574,3.0835,BBD
2015-02-18,3.065,3.1094,3.0624,3.0998,BBD
2015-02-19,3.081,3.1059,3.0748,3.0953,BBD
