Date,Open,High,Low,Close,Currency
2015-01-01,0.5872,0.5874,0.586,0.5861,BHD
2015-01-02,0.5874,0.5876,0.5778,0.5779,BHD
2015-01-05,0.5778,0.5783,0.573,0.5749,BHD
2015-01-06,0.5748,0.5758,0.5707,0.5713,BHD
2015-01-07,0.5712,0.5714,0.5675,0.5697,BHD
2015-01-08,0.5696,0.57,0.5667,0.5689,BHD
2015-01-09,0.5688,0.5722,0.5683,0.5716,BHD
2015-01-12,0.5713,0.5729,0.5691,0.572,BHD
2015-01-13,0.5719,0.5727,0.5683,0.5716,BHD
2015-01-14,0.5715,0.5756,0.5709,0.5743,BHD
2015-01-15,0.5743,0.5756,0.5711,0.5727,BHD
2015-01-16,0.5724,0.5744,0.5683,0.5712,BHD
2015-01-19,0.5711,0.5724,0.5694,0.5697,BHD
2015-01-20,0.5696,0.5731,0.5676,0.571,BHD
2015-01-21,0.5709,0.5723,0.5683,0.5709,BHD
2015-01-22,0.5708,0.5736,0.5643,0.5659,BHD
2015-01-23,0.5658,0.5669,0.5635,0.5651,BHD
2015-01-26,0.565,0.5694,0.5645,0.5686,BHD
2015-01-27,0.5685,0.5739,0.5677,0.5729,BHD
2015-01-28,0.5729,0.5739,0.5703,0.5707,BHD
2015-01-29,0.5705,0.5717,0.5661,0.5681,BHD
2015-01-30,0.568,0.5692,0.5651,0.5681,BHD
2015-02-02,0.5685,0.5692,0.5656,0.5671,BHD
2015-02-03,0.567,0.5729,0.565,0.5718,BHD
2015-02-04,0.5718,0.575,0.5706,0.5724,BHD
2015-02-05,0.5722,0.5786,0.5716,0.5778,BHD
2015-02-06,0.5779,0.5789,0.5733,0.5748,BHD
2015-02-09,0.5748,0.5756,0.573,0.5736,BHD
2015-02-10,0.5735,0.576,0.5729,0.5751,BHD
2015-02-11,0.575,0.5769,0.5737,0.5745,BHD
2015-02-12,0.5743,0.5812,0.5733,0.58,BHD
2015-02-13,0.5799,0.5815,0.5794,0.5806,BHD
2015-02-16,0.5805,0.5822,0.5781,0.5792,BHD
2015-02-17,0.5791,0.5807,0.5773,0.5788,BHD
2015-02-18,0.5788,0.5837,0.5783,0.5819,BHD
2015-02-19,0.5818,0.5831,0.5806,0.5811,BHD
2015-02-20,0.581,0.5819,0.5784,0.5806,BHD
2015-02-23,0.5804,0.5834,0.5779,0.5827,BHD
2015-02-24,0.5825,0.5835,0.5806,0.5827,BHD
2015-02-25,0.5826,0.5858,0.5822,0.5855,BHD
2015-02-26,0.5854,0.5864,0.5802,0.5808,BHD
2015-02-27,0.5807,0.583,0.5799,0.5819,BHD
2015-03-02,0.5818,0.5823,0.5786,0.5792,BHD
2015-03-03,0.5791,0.5806,0.5784,0.5791,BHD
2015-03-04,0.579,0.5796,0.5748,0.5755,BHD
2015-03-05,0.5754,0.5757,0.5735,0.5746,BHD
2015-03-06,0.5745,0.5753,0.5665,0.567,BHD
2015-03-09,0.5669,0.5706,0.5663,0.5704,BHD
2015-03-10,0.5703,0.5706,0.5665,0.5682,BHD
2015-03-11,0.568,0.5693,0.5614,0.5628,BHD
2015-03-12,0.5627,0.5665,0.5597,0.5611,BHD
2015-03-13,0.5611,0.5617,0.5541,0.5559,BHD
2015-03-16,0.5558,0.56,0.5552,0.5591,BHD
2015-03-17,0.5589,0.5597,0.555,0.5559,BHD
2015-03-18,0.5558,0.5711,0.5516,0.5647,BHD
2015-03-19,0.5646,0.566,0.5536,0.5562,BHD
2015-03-20,0.5561,0.5651,0.5549,0.5637,BHD
2015-03-23,0.5636,0.5651,0.5593,0.5637,BHD
2015-03-24,0.5636,0.5651,0.5594,0.5599,BHD
2015-03-25,0.5599,0.5638,0.559,0.561,BHD
2015-03-26,0.561,0.5653,0.5582,0.5599,BHD
2015-03-27,0.5598,0.5626,0.5577,0.5609,BHD
2015-03-30,0.5608,0.5618,0.5561,0.5584,BHD
2015-03-31,0.5582,0.5608,0.5562,0.5587,BHD
2015-04-01,0.5585,0.5608,0.5556,0.5589,BHD
2015-04-02,0.5588,0.5607,0.557,0.5591,BHD
2015-04-03,0.5589,0.5635,0.5583,0.5626,BHD
2015-04-06,0.5621,0.5648,0.5605,0.561,BHD
2015-04-07,0.5608,0.5625,0.5579,0.5583,BHD
2015-04-08,0.5581,0.5645,0.558,0.5605,BHD
2015-04-09,0.5604,0.5614,0.5534,0.5547,BHD
2015-04-10,0.5545,0.5553,0.5499,0.5516,BHD
2015-04-13,0.5516,0.5537,0.549,0.5534,BHD
2015-04-14,0.5531,0.5582,0.5504,0.5572,BHD
2015-04-15,0.557,0.5601,0.5541,0.5595,BHD
2015-04-16,0.5594,0.5644,0.5583,0.563,BHD
2015-04-17,0.5627,0.5675,0.5621,0.5639,BHD
2015-04-20,0.5637,0.5649,0.5612,0.562,BHD
2015-04-21,0.5618,0.5645,0.5599,0.5626,BHD
2015-04-22,0.5624,0.5687,0.562,0.5669,BHD
2015-04-23,0.5667,0.5683,0.5639,0.5677,BHD
2015-04-24,0.5675,0.5727,0.5664,0.5726,BHD
2015-04-27,0.5725,0.5756,0.5695,0.5745,BHD
2015-04-28,0.5745,0.5785,0.5721,0.5783,BHD
2015-04-29,0.5783,0.5844,0.5778,0.5821,BHD
2015-04-30,0.582,0.5841,0.5768,0.5788,BHD
2015-05-01,0.5787,0.5805,0.5698,0.5709,BHD
2015-05-04,0.5708,0.5722,0.5689,0.5701,BHD
2015-05-05,0.57,0.5738,0.5688,0.5725,BHD
2015-05-06,0.5722,0.5765,0.5711,0.5748,BHD
2015-05-07,0.5747,0.5759,0.5716,0.5748,BHD
2015-05-08,0.5747,0.5854,0.5746,0.5827,BHD
2015-05-11,0.5823,0.5887,0.5803,0.5877,BHD
2015-05-12,0.5875,0.5926,0.5864,0.5908,BHD
2015-05-13,0.5905,0.5946,0.5893,0.5937,BHD
2015-05-14,0.5935,0.5963,0.5929,0.5948,BHD
2015-05-15,0.5947,0.5961,0.5919,0.5928,BHD
2015-05-18,0.5929,0.5938,0.5894,0.5901,BHD
2015-05-19,0.5899,0.5908,0.5823,0.5848,BHD
2015-05-20,0.5847,0.5878,0.5832,0.5858,BHD
2015-05-21,0.5855,0.592,0.5851,0.5906,BHD
2015-05-22,0.5904,0.5917,0.5827,0.584,BHD
2015-05-25,0.5833,0.5849,0.5826,0.5833,BHD
2015-05-26,0.583,0.5836,0.5788,0.58,BHD
2015-05-27,0.58,0.5821,0.5768,0.5789,BHD
2015-05-28,0.5789,0.5801,0.5753,0.5775,BHD
2015-05-29,0.5773,0.5785,0.5743,0.5765,BHD
2015-06-01,0.5763,0.577,0.5719,0.5732,BHD
2015-06-02,0.5731,0.5795,0.5722,0.5786,BHD
2015-06-03,0.5784,0.5798,0.5749,0.5785,BHD
2015-06-04,0.5782,0.5823,0.5769,0.5793,BHD
2015-06-05,0.5791,0.5796,0.5726,0.5759,BHD
2015-06-08,0.5757,0.5793,0.5738,0.5788,BHD
2015-06-09,0.5787,0.5803,0.5752,0.5801,BHD
2015-06-10,0.58,0.5865,0.5793,0.5856,BHD
2015-06-11,0.5854,0.5858,0.5814,0.5851,BHD
2015-06-12,0.5848,0.5882,0.583,0.5866,BHD
2015-06-15,0.5866,0.5887,0.5838,0.5882,BHD
2015-06-16,0.5881,0.5902,0.5859,0.59,BHD
2015-06-17,0.5898,0.5976,0.589,0.5969,BHD
2015-06-18,0.5968,0.6007,0.5958,0.5988,BHD
2015-06-19,0.5986,0.5994,0.5969,0.5989,BHD
2015-06-22,0.5982,0.6,0.5958,0.5968,BHD
2015-06-23,0.5965,0.5969,0.592,0.593,BHD
2015-06-24,0.593,0.5959,0.5906,0.5921,BHD
2015-06-25,0.592,0.5948,0.5909,0.5937,BHD
2015-06-26,0.5936,0.5945,0.5921,0.5939,BHD
2015-06-29,0.5936,0.5953,0.5905,0.5934,BHD
2015-06-30,0.5933,0.5949,0.5915,0.5923,BHD
2015-07-01,0.5922,0.5933,0.5877,0.5888,BHD
2015-07-02,0.5886,0.5897,0.5866,0.5881,BHD
2015-07-03,0.5881,0.5902,0.5864,0.5871,BHD
2015-07-06,0.5849,0.5895,0.5849,0.5884,BHD
2015-07-07,0.5882,0.5886,0.5811,0.583,BHD
2015-07-08,0.5829,0.5832,0.5779,0.5792,BHD
2015-07-09,0.5791,0.5816,0.5784,0.5798,BHD
2015-07-10,0.5798,0.5864,0.5779,0.5854,BHD
2015-07-13,0.5853,0.5878,0.5833,0.584,BHD
2015-07-14,0.5838,0.5898,0.5825,0.5896,BHD
2015-07-15,0.5894,0.591,0.5872,0.5897,BHD
2015-07-16,0.5897,0.5901,0.5866,0.5886,BHD
2015-07-17,0.5884,0.5911,0.5864,0.5885,BHD
2015-07-20,0.5884,0.5893,0.5858,0.5869,BHD
2015-07-21,0.5867,0.5879,0.5853,0.5866,BHD
2015-07-22,0.5865,0.5898,0.585,0.5887,BHD
2015-07-23,0.5887,0.5909,0.5838,0.5849,BHD
2015-07-24,0.5849,0.5854,0.5831,0.5849,BHD
2015-07-27,0.5848,0.5881,0.584,0.5867,BHD
2015-07-28,0.5865,0.5893,0.5854,0.5887,BHD
2015-07-29,0.5885,0.5916,0.5874,0.5884,BHD
2015-07-30,0.5883,0.5897,0.5867,0.5882,BHD
2015-07-31,0.5881,0.5916,0.5862,0.5891,BHD
2015-08-03,0.5891,0.5899,0.5867,0.5878,BHD
2015-08-04,0.5877,0.5896,0.5864,0.5868,BHD
2015-08-05,0.5866,0.5902,0.5853,0.5882,BHD
2015-08-06,0.5881,0.5897,0.5833,0.5848,BHD
2015-08-07,0.5847,0.5868,0.5813,0.5842,BHD
2015-08-10,0.5843,0.5888,0.5829,0.5881,BHD
2015-08-11,0.5878,0.5889,0.5864,0.5875,BHD
2015-08-12,0.5872,0.591,0.5858,0.5892,BHD
2015-08-13,0.5887,0.59,0.5869,0.589,BHD
2015-08-14,0.5889,0.5909,0.5871,0.5901,BHD
2015-08-17,0.59,0.5924,0.5876,0.5879,BHD
2015-08-18,0.5877,0.5936,0.5871,0.591,BHD
2015-08-19,0.5905,0.5923,0.5894,0.5913,BHD
2015-08-20,0.5912,0.5933,0.5887,0.5925,BHD
2015-08-21,0.592,0.5942,0.5908,0.5929,BHD
2015-08-24,0.5926,0.5969,0.5901,0.5958,BHD
2015-08-25,0.5953,0.5976,0.5914,0.5922,BHD
2015-08-26,0.5918,0.5938,0.5824,0.5834,BHD
2015-08-27,0.5828,0.585,0.5798,0.5806,BHD
2015-08-28,0.5805,0.5832,0.5782,0.5803,BHD
2015-08-31,0.5806,0.5828,0.5784,0.5791,BHD
2015-09-01,0.5787,0.5817,0.5768,0.5774,BHD
2015-09-02,0.577,0.5781,0.5756,0.5774,BHD
2015-09-03,0.5771,0.5782,0.574,0.5759,BHD
2015-09-04,0.5754,0.5768,0.5722,0.5727,BHD
2015-09-07,0.5729,0.5776,0.5715,0.576,BHD
2015-09-08,0.5756,0.5818,0.5754,0.5816,BHD
2015-09-09,0.5814,0.5816,0.5787,0.5793,BHD
2015-09-10,0.5793,0.5838,0.5775,0.5824,BHD
2015-09-11,0.5821,0.584,0.5807,0.582,BHD
2015-09-14,0.5805,0.5852,0.5796,0.5815,BHD
2015-09-15,0.5801,0.5835,0.5781,0.5786,BHD
2015-09-16,0.5784,0.5859,0.5772,0.5845,BHD
2015-09-17,0.5842,0.5897,0.583,0.5881,BHD
2015-09-18,0.588,0.5907,0.5851,0.5859,BHD
2015-09-21,0.5862,0.5872,0.5835,0.5847,BHD
2015-09-22,0.5844,0.586,0.5781,0.5798,BHD
2015-09-23,0.5793,0.5799,0.5741,0.5751,BHD
2015-09-24,0.5747,0.577,0.5733,0.5746,BHD
2015-09-25,0.5745,0.5759,0.5708,0.5727,BHD
2015-09-28,0.5726,0.5753,0.5713,0.5725,BHD
2015-09-29,0.5724,0.5742,0.5694,0.572,BHD
2015-09-30,0.5718,0.574,0.5698,0.5707,BHD
2015-10-01,0.5706,0.5727,0.5691,0.5707,BHD
2015-10-02,0.5706,0.5754,0.5694,0.5727,BHD
2015-10-05,0.5727,0.5754,0.5706,0.5711,BHD
2015-10-06,0.5709,0.5751,0.5697,0.5744,BHD
2015-10-07,0.5742,0.5791,0.5731,0.5782,BHD
2015-10-08,0.5779,0.5804,0.5755,0.5794,BHD
2015-10-09,0.5791,0.5803,0.5768,0.5773,BHD
2015-10-12,0.5775,0.58,0.5764,0.5786,BHD
2015-10-13,0.5786,0.5808,0.5733,0.5752,BHD
2015-10-14,0.575,0.5843,0.5736,0.5835,BHD
2015-10-15,0.5833,0.5856,0.5811,0.5834,BHD
2015-10-16,0.5828,0.5851,0.5812,0.5819,BHD
2015-10-19,0.5821,0.5846,0.5807,0.5829,BHD
2015-10-20,0.5829,0.5852,0.5816,0.5825,BHD
2015-10-21,0.5824,0.5841,0.5808,0.5817,BHD
2015-10-22,0.5814,0.5851,0.5793,0.5807,BHD
2015-10-23,0.5806,0.5816,0.5769,0.5774,BHD
2015-10-26,0.576,0.5802,0.5754,0.579,BHD
2015-10-27,0.5789,0.5796,0.5761,0.5767,BHD
2015-10-28,0.5766,0.5788,0.5747,0.5754,BHD
2015-10-29,0.5753,0.5779,0.574,0.5773,BHD
2015-10-30,0.5771,0.5832,0.5759,0.5819,BHD
2015-11-02,0.5822,0.5857,0.5802,0.5813,BHD
2015-11-03,0.5802,0.5837,0.579,0.5815,BHD
2015-11-04,0.5803,0.583,0.5791,0.5804,BHD
2015-11-05,0.5799,0.582,0.5727,0.5738,BHD
2015-11-06,0.5726,0.574,0.5663,0.5677,BHD
2015-11-09,0.5659,0.5717,0.5655,0.5702,BHD
2015-11-10,0.5691,0.5721,0.5677,0.5699,BHD
2015-11-11,0.569,0.5745,0.5686,0.5731,BHD
2015-11-12,0.5728,0.5759,0.5718,0.5743,BHD
2015-11-13,0.5733,0.5757,0.5721,0.5746,BHD
2015-11-16,0.574,0.576,0.5719,0.5732,BHD
2015-11-17,0.5722,0.5769,0.5689,0.5715,BHD
2015-11-18,0.569,0.5756,0.5672,0.5751,BHD
2015-11-19,0.5738,0.5797,0.5733,0.5766,BHD
2015-11-20,0.575,0.5777,0.573,0.5736,BHD
2015-11-23,0.5714,0.5758,0.567,0.5696,BHD
2015-11-24,0.5672,0.5728,0.5667,0.5691,BHD
2015-11-25,0.5678,0.5707,0.5675,0.5704,BHD
2015-11-26,0.5703,0.572,0.5683,0.57,BHD
2015-11-27,0.5688,0.57,0.5666,0.567,BHD
2015-11-30,0.5668,0.5696,0.5646,0.5676,BHD
2015-12-01,0.5666,0.5722,0.5654,0.5678,BHD
2015-12-02,0.5662,0.5714,0.5595,0.563,BHD
2015-12-03,0.5606,0.5729,0.5593,0.5715,BHD
2015-12-04,0.5704,0.5715,0.5686,0.5699,BHD
2015-12-07,0.5692,0.571,0.5668,0.5675,BHD
2015-12-08,0.5669,0.5687,0.5641,0.5661,BHD
2015-12-09,0.5655,0.5727,0.5647,0.5724,BHD
2015-12-10,0.5721,0.5735,0.5699,0.5716,BHD
2015-12-11,0.5715,0.5749,0.5696,0.5737,BHD
2015-12-14,0.5725,0.5743,0.5697,0.5706,BHD
2015-12-15,0.5699,0.5735,0.5664,0.5673,BHD
2015-12-16,0.5665,0.57,0.5641,0.5657,BHD
2015-12-17,0.5649,0.5654,0.5605,0.5617,BHD
2015-12-18,0.5617,0.5639,0.56,0.5618,BHD
2015-12-21,0.5606,0.5642,0.5604,0.5615,BHD
2015-12-22,0.5603,0.5632,0.558,0.559,BHD
