Date,Open,High,Low,Close,Currency
2015-01-01,2407.89,2424.29,2402.95,2418.88,BIF
2015-01-02,2408.98,2455.47,2360.79,2406.42,BIF
2015-01-05,2368.64,2427.04,2338.76,2394.18,BIF
2015-01-06,2355.66,2418.52,2328.2,2378.79,BIF
2015-01-07,2340.68,2402.04,2312.44,2372.35,BIF
2015-01-08,2334.34,2367.65,2300.5,2346.87,BIF
2015-01-09,2331.39,2360.39,2329.39,2357.92,BIF
2015-01-12,2346.23,2397.04,2312.59,2382.08,BIF
2015-01-13,2343.76,2404.11,2308.0,2379.97,BIF
2015-01-14,2342.07,2386.96,2327.58,2380.38,BIF
2015-01-15,2365.23,2416.21,2325.43,2384.84,BIF
2015-01-16,2345.62,2389.72,2306.62,2367.57,BIF
2015-01-19,2354.98,2401.76,2316.72,2372.67,BIF
2015-01-20,2334.49,2386.5,2323.12,2361.56,BIF
2015-01-21,2346.11,2399.39,2307.23,2377.45,BIF
2015-01-22,2339.28,2408.11,2312.71,2356.57,BIF
2015-01-23,2318.74,2360.84,2314.26,2353.35,BIF
2015-01-26,2337.66,2384.8,2295.6,2367.64,BIF
2015-01-27,2329.55,2378.84,2304.33,2376.51,BIF
2015-01-28,2361.15,2389.23,2319.93,2354.03,BIF
2015-01-29,2338.5,2397.17,2312.59,2365.52,BIF
2015-01-30,2327.54,2392.88,2300.66,2350.69,BIF
2015-02-02,2315.39,2383.55,2309.98,2361.28,BIF
2015-02-03,2323.37,2385.78,2316.42,2381.14,BIF
2015-02-04,2343.15,2405.18,2317.64,2383.66,BIF
2015-02-05,2344.85,2418.18,2332.02,2406.43,BIF
2015-02-06,2368.18,2429.38,2343.5,2393.55,BIF
2015-02-09,2355.2,2419.93,2348.09,2388.84,BIF
2015-02-10,2350.41,2417.45,2331.87,2394.88,BIF
2015-02-11,2355.97,2421.47,2330.34,2392.37,BIF
2015-02-12,2353.34,2420.32,2331.11,2415.37,BIF
2015-02-13,2376.52,2420.22,2353.75,2397.7,BIF
2015-02-16,2381.92,2412.79,2360.81,2403.93,BIF
2015-02-17,2388.17,2440.01,2346.72,2410.59,BIF
2015-02-18,2371.88,2445.37,2347.79,2423.31,BIF
2015-02-19,2384.24,2428.11,2357.43,2403.35,BIF
2015-02-20,2387.63,2437.79,2350.55,2398.17,BIF
2015-02-23,2358.52,2437.14,2345.95,2426.6,BIF
2015-02-24,2387.33,2451.57,2363.7,2426.36,BIF
2015-02-25,2387.49,2459.08,2369.22,2437.98,BIF
2015-02-26,2398.92,2440.74,2356.66,2397.33,BIF
2015-02-27,2381.46,2405.78,2378.06,2401.77,BIF
2015-03-02,2386.41,2419.95,2350.23,2401.09,BIF
2015-03-03,2385.26,2436.45,2348.86,2392.02,BIF
2015-03-04,2353.31,2425.42,2336.3,2376.91,BIF
2015-03-05,2338.6,2417.26,2329.11,2392.84,BIF
2015-03-06,2354.27,2415.58,2320.39,2360.89,BIF
2015-03-09,2323.37,2396.78,2307.54,2375.18,BIF
2015-03-10,2337.28,2393.74,2301.86,2346.71,BIF
2015-03-11,2308.26,2381.88,2296.83,2343.86,BIF
2015-03-12,2306.07,2381.34,2293.86,2336.56,BIF
2015-03-13,2299.27,2360.56,2263.47,2315.05,BIF
2015-03-16,2277.48,2345.8,2273.37,2328.08,BIF
2015-03-17,2290.62,2352.68,2261.63,2314.97,BIF
2015-03-18,2277.95,2358.58,2240.03,2332.38,BIF
2015-03-19,2294.62,2358.72,2264.38,2316.16,BIF
2015-03-20,2279.03,2353.34,2274.55,2347.31,BIF
2015-03-23,2312.4,2348.32,2278.01,2338.27,BIF
2015-03-24,2322.93,2345.58,2272.94,2316.84,BIF
2015-03-25,2301.75,2345.66,2272.95,2322.85,BIF
2015-03-26,2307.73,2337.68,2265.92,2318.09,BIF
2015-03-27,2302.92,2364.34,2266.05,2316.73,BIF
2015-03-30,2279.45,2324.63,2264.23,2315.04,BIF
2015-03-31,2299.37,2354.14,2267.29,2315.76,BIF
2015-04-01,2278.25,2330.96,2260.56,2313.87,BIF
