Date,Open,High,Low,Close,Currency
2015-01-01,22717.3223,22737.8184,22696.8613,22737.8184,BYN
2015-01-02,22734.8887,22773.0449,22520.1074,22520.1074,BYN
2015-01-04,22574.8652,22586.4277,22468.4746,22586.4277,BYN
2015-01-05,22569.0898,22612.4863,21171.5957,21214.8691,BYN
2015-01-06,21225.7148,21233.8574,20689.6113,20789.9434,BYN
2015-01-07,20768.7402,20845.8086,20639.8164,20681.9922,BYN
2015-01-08,20671.4316,20753.2676,20613.543,20753.2676,BYN
2015-01-09,20724.0625,21314.5059,20705.5215,21268.0918,BYN
2015-01-11,21265.3691,21265.3691,21243.6035,21243.6035,BYN
2015-01-12,21251.7598,21671.1582,21205.6191,21626.7461,BYN
2015-01-13,21651.7051,21785.4844,21565.9727,21740.6406,BYN
2015-01-14,21765.8418,21850.2715,21715.498,21805.1621,BYN
2015-01-15,21844.623,22148.0996,21819.2383,22055.5996,BYN
2015-01-16,22049.8438,22244.3066,22026.8516,22136.4941,BYN
2015-01-18,22122.0059,22136.4941,22104.6445,22136.4941,BYN
2015-01-19,22133.5957,22148.0996,21983.8691,21983.8691,BYN
2015-01-20,21989.5898,22194.6406,21969.5781,22148.0996,BYN
2015-01-21,22165.5293,22182.9883,21923.9746,22015.373,BYN
2015-01-22,22032.5938,22365.0078,22032.5938,22365.0078,BYN
2015-01-23,22347.2617,22738.1602,22285.375,22601.3105,BYN
2015-01-25,22738.1602,22814.9043,22732.043,22765.7285,BYN
2015-01-26,22750.4043,22750.4043,22513.9883,22655.8516,BYN
2015-01-27,22661.9277,22725.9277,22499.002,22544.0234,BYN
2015-01-28,22580.1719,22701.5039,22544.0234,22701.5039,BYN
2015-01-29,22677.1328,22707.6055,22457.1426,22460.127,BYN
2015-01-30,22475.0625,22580.1719,22424.3633,22532.0,BYN
2015-02-01,22556.0605,22556.0605,22525.9922,22525.9922,BYN
2015-02-02,22547.0313,22556.0605,22365.0078,22415.4395,BYN
2015-02-03,22397.6152,22457.1426,22261.8887,22311.8555,BYN
2015-02-04,22335.4473,22683.2207,22314.8027,22683.2207,BYN
2015-02-05,22658.8906,22664.9688,22504.9941,22586.207,BYN
2015-02-06,22571.123,22781.0723,22571.123,22781.0723,BYN
2015-02-08,22771.8633,22781.0723,22756.5313,22756.5313,BYN
2015-02-09,22759.5957,22796.4395,22658.8906,22701.5039,BYN
2015-02-10,22701.5039,22805.668,22695.4063,22796.4395,BYN
2015-02-11,22781.0723,22876.6758,22692.3594,22738.1602,BYN
2015-02-12,22774.9316,22920.1133,22668.0078,22805.668,BYN
2015-02-13,22805.668,22861.2012,22735.0996,22861.2012,BYN
2015-02-15,22861.2012,22867.3887,22827.2324,22827.2324,BYN
2015-02-16,22836.4863,22901.4766,22753.4668,22901.4766,BYN
2015-02-17,22895.2715,22913.8984,22707.6055,22756.5313,BYN
2015-02-18,22750.4043,22998.0938,22738.1602,22892.1699,BYN
2015-02-19,22879.7734,22960.5977,22811.8242,22913.8984,BYN
2015-02-20,22929.4434,23023.1602,22765.7285,22867.3887,BYN
2015-02-22,22830.3164,22858.1094,22830.3164,22858.1094,BYN
2015-02-23,22851.9277,23067.1582,22817.9863,23067.1582,BYN
2015-02-24,23038.8555,23092.375,22998.0938,23054.5703,BYN
2015-02-25,23029.4355,23105.0039,23010.6211,23105.0039,BYN
2015-02-26,23092.375,23270.4492,23067.1582,23270.4492,BYN
2015-02-27,23251.2383,23321.832,23158.832,23321.832,BYN
2015-03-01,23315.3965,23337.9375,23302.5371,23337.9375,BYN
2015-03-02,23315.3965,23328.2715,23146.1445,23193.7969,BYN
2015-03-03,23219.291,23276.8594,23183.8027,23183.8027,BYN
2015-03-04,23194.7637,23214.1172,22866.8242,22866.8242,BYN
2015-03-05,22890.2969,22999.2949,22880.7734,22948.3945,BYN
2015-03-06,22868.5898,22868.5898,22868.5898,22868.5898,BYN
2015-03-08,22357.2813,22357.2813,22357.2813,22357.2813,BYN
2015-03-09,22359.7051,22359.7051,22359.7051,22359.7051,BYN
2015-03-10,22574.4902,22574.4902,22574.4902,22574.4902,BYN
2015-03-11,22569.7246,22569.7246,22569.7246,22569.7246,BYN
2015-03-12,22696.5742,22696.5742,22696.5742,22696.5742,BYN
2015-03-13,22448.1953,22448.1953,22448.1953,22448.1953,BYN
2015-03-15,22319.5703,22319.5703,22319.5703,22319.5703,BYN
2015-03-16,22256.2598,22256.2598,22256.2598,22256.2598,BYN
2015-03-17,22378.2656,22378.2656,22378.2656,22378.2656,BYN
2015-03-18,22242.0645,22242.0645,22242.0645,22242.0645,BYN
2015-03-19,22594.0566,22594.0566,22594.0566,22594.0566,BYN
2015-03-20,21946.5898,21946.5898,21946.5898,21946.5898,BYN
2015-03-22,22051.2109,22051.2109,22051.2109,22051.2109,BYN
2015-03-23,22057.0566,22057.0566,22057.0566,22057.0566,BYN
2015-03-24,22057.0566,22057.0566,22057.0566,22057.0566,BYN
2015-03-25,21646.6602,21646.6602,21646.6602,21646.6602,BYN
2015-03-26,21709.7539,21709.7539,21709.7539,21709.7539,BYN
2015-03-27,21518.1191,21518.1191,21518.1191,21518.1191,BYN
2015-03-29,21732.6016,21732.6016,21732.6016,21732.6016,BYN
2015-03-30,21721.3789,21721.3789,21721.3789,21721.3789,BYN
2015-03-31,21813.0957,21813.0957,21813.0957,21813.0957,BYN
2015-04-01,21799.3262,21799.3262,21799.3262,21799.3262,BYN
2015-04-02,21829.2715,21829.2715,21829.2715,21829.2715,BYN
2015-04-03,21660.5371,21660.5371,21660.5371,21660.5371,BYN
2015-04-05,21765.8711,21765.8711,21765.8711,21765.8711,BYN
2015-04-06,21813.1895,21813.1895,21813.1895,21813.1895,BYN
2015-04-07,21554.0918,21622.9492,21437.6484,21437.6484,BYN
2015-04-08,21470.1309,21738.7344,21464.252,21578.8613,BYN
2015-04-09,21588.8203,21771.6563,21107.0234,21150.4375,BYN
2015-04-10,21159.7266,21372.6016,20895.1035,20984.498,BYN
2015-04-12,20961.5781,20976.4805,20936.957,20976.4805,BYN
2015-04-13,20970.4727,21167.0664,20815.8867,21124.5801,BYN
2015-04-14,21122.6152,21398.0684,20927.5664,21353.3887,BYN
2015-04-15,21354.5527,21366.4102,21104.3809,21235.5,BYN
2015-04-16,21232.9766,21322.9434,21026.7422,21171.877,BYN
2015-04-17,21158.5664,21452.6191,21156.3828,21315.4492,BYN
2015-04-19,21309.9258,21363.2031,21309.9258,21363.2031,BYN
2015-04-20,21356.6387,21381.9297,21277.2656,21278.8867,BYN
2015-04-21,21315.0938,21422.2598,21210.6816,21379.4766,BYN
2015-04-22,21357.4648,21915.0313,21217.748,21868.1797,BYN
2015-04-23,21927.9941,21940.2969,21509.5488,21615.6797,BYN
2015-04-24,21611.3281,21669.6113,21437.4805,21669.6113,BYN
2015-04-26,21667.2539,21671.2891,21556.0508,21556.0508,BYN
2015-04-27,21563.748,22041.457,21480.3809,21996.7754,BYN
2015-04-28,21982.4199,22197.9453,21836.9609,22153.4727,BYN
2015-04-29,22166.957,22477.1699,22092.5742,22367.0313,BYN
2015-04-30,22377.5957,22377.5957,21846.3672,21892.8945,BYN
2015-05-01,21915.2539,21920.6641,21515.7813,21563.0742,BYN
2015-05-03,21566.4961,21589.8672,21545.5859,21589.8672,BYN
2015-05-04,21562.293,21661.5605,21559.9004,21611.6855,BYN
2015-05-05,21607.0547,21944.959,21556.3457,21899.3242,BYN
2015-05-06,21875.2012,21875.2012,21684.9297,21740.8477,BYN
2015-05-07,21744.2266,22100.873,21431.0566,22010.8555,BYN
2015-05-08,22019.4355,22354.5371,21919.8359,22051.0801,BYN
2015-05-10,22068.1914,22068.1914,22018.4258,22018.4258,BYN
2015-05-11,22030.5723,22307.5664,22007.3887,22258.3867,BYN
2015-05-12,22263.3848,22712.5059,22260.2734,22664.7129,BYN
2015-05-13,22663.4648,22820.5742,22322.9199,22499.3145,BYN
2015-05-14,22502.9473,22502.9473,22244.6914,22400.6348,BYN
2015-05-15,22426.6484,22477.4766,22257.5898,22317.7266,BYN
2015-05-17,22314.0684,22322.7617,22291.5977,22291.5977,BYN
2015-05-18,22318.166,22318.166,22029.0723,22080.6641,BYN
2015-05-19,22094.7695,22309.9043,21871.748,21968.6367,BYN
2015-05-20,21955.7266,22140.8926,21910.3379,21964.0586,BYN
2015-05-21,21987.1582,22453.418,21956.4238,22404.0234,BYN
2015-05-22,22404.6914,22548.5527,22116.9297,22161.7441,BYN
2015-05-24,22159.5645,22159.5645,22104.8965,22149.4082,BYN
2015-05-25,22133.7285,22557.4609,22133.7285,22205.4141,BYN
2015-05-26,22195.5117,22348.8398,22065.2305,22328.4766,BYN
2015-05-27,22307.0586,22461.8809,22307.0586,22412.3379,BYN
2015-05-28,22397.6816,22705.0137,22271.4473,22703.5352,BYN
2015-05-29,22680.459,22874.0859,22491.1465,22874.0859,BYN
2015-05-31,22878.6133,22878.6133,22826.7188,22826.7188,BYN
2015-06-01,22844.0898,22890.8711,22517.8164,22567.5879,BYN
2015-06-02,22561.5391,22909.1035,22540.5527,22862.1211,BYN
2015-06-03,22857.0234,22966.748,22504.0,22920.2324,BYN
2015-06-04,22906.127,23377.6738,22587.6445,23298.6523,BYN
2015-06-05,23270.8652,23717.1641,23264.4902,23569.1387,BYN
2015-06-07,23593.8242,23593.8242,23559.7852,23559.7852,BYN
2015-06-08,23571.6211,23991.8145,23571.6211,23991.8145,BYN
2015-06-09,23959.9316,23966.6035,23554.8418,23966.6035,BYN
2015-06-10,23966.0449,24077.5371,23786.0723,23867.5957,BYN
2015-06-11,23868.3105,23868.3105,23672.9688,23835.0254,BYN
2015-06-12,23807.6934,23910.8281,23671.8594,23809.6914,BYN
2015-06-14,23898.7031,23898.7031,23770.2734,23770.2734,BYN
2015-06-15,23800.7324,24052.0215,23604.4512,24052.0215,BYN
2015-06-16,24026.7324,24213.9414,23820.4102,24213.9414,BYN
2015-06-17,24184.2734,24408.127,24120.2363,24355.3145,BYN
2015-06-18,24392.5879,24428.1465,24101.127,24369.7773,BYN
2015-06-19,24356.5527,24457.2402,24246.3262,24300.2168,BYN
2015-06-21,24254.9746,24254.9746,24194.9102,24194.9102,BYN
2015-06-22,24225.1758,24235.8438,24082.7871,24152.6465,BYN
2015-06-23,24151.0547,24356.4355,24089.1328,24238.4375,BYN
2015-06-24,24251.4863,24450.1191,24132.8652,24181.5039,BYN
2015-06-25,24191.6719,24293.3457,24129.9883,24227.3418,BYN
2015-06-26,24223.1816,24242.7207,23962.2188,24021.2793,BYN
2015-06-28,24282.4844,24282.4844,23904.3672,23966.0762,BYN
2015-06-29,23931.625,24488.3125,23931.625,24232.8398,BYN
2015-06-30,24234.1504,24234.1504,23957.6914,24050.3574,BYN
2015-07-01,24026.6387,24181.1719,23896.7109,23944.8848,BYN
2015-07-02,23918.0234,24101.8047,23903.7656,24003.9043,BYN
2015-07-03,23969.1738,24015.6738,23853.4063,23858.7129,BYN
2015-07-05,24108.7695,24108.7695,23784.3613,23849.4219,BYN
2015-07-06,23851.6445,24163.4492,23831.4492,24115.1348,BYN
2015-07-07,24121.498,24121.498,23825.0762,23894.3496,BYN
2015-07-08,23905.3164,23912.0332,23653.1016,23736.1309,BYN
2015-07-09,23728.248,23854.1816,23591.6055,23804.4121,BYN
2015-07-10,23796.5449,24041.8086,23713.1602,23816.373,BYN
2015-07-12,23901.582,23901.582,23755.041,23755.041,BYN
2015-07-13,23783.2402,24049.668,23497.5156,23497.5156,BYN
2015-07-14,23511.1563,24074.3047,23494.2051,24074.3047,BYN
2015-07-15,24054.9883,24167.0273,23843.1602,23945.252,BYN
2015-07-16,23934.5918,24139.8008,23861.6914,23943.5566,BYN
2015-07-17,23947.8184,24069.9727,23653.457,23741.9453,BYN
2015-07-19,23682.0332,23841.5313,23682.0332,23841.5313,BYN
2015-07-20,23841.5313,23885.4238,23508.832,23570.877,BYN
2015-07-21,23551.7734,23702.2168,23502.4082,23654.3047,BYN
2015-07-22,23670.0723,23697.3438,23496.7266,23649.4023,BYN
2015-07-23,23654.7578,23733.0215,23485.1855,23485.1855,BYN
2015-07-24,23508.6777,23549.0996,23380.4785,23430.2539,BYN
2015-07-26,23436.0957,23468.1563,23436.0957,23468.1563,BYN
2015-07-27,23462.2637,23529.9707,23322.8223,23480.7813,BYN
2015-07-28,23477.2285,23704.6758,23399.623,23656.252,BYN
2015-07-29,23675.7441,23852.1914,23569.9512,23735.5508,BYN
2015-07-30,23715.584,23890.4121,23696.875,23745.8477,BYN
2015-07-31,23754.4766,23902.6172,23692.7656,23803.1816,BYN
2015-08-02,23867.1602,23867.1602,23808.8848,23808.8848,BYN
2015-08-03,23821.1074,23990.4883,23821.1074,23940.5313,BYN
2015-08-04,23937.6367,24178.6465,23929.0566,24074.3066,BYN
2015-08-05,24081.4922,24454.877,24073.6289,24325.5156,BYN
2015-08-06,24294.0293,24456.0469,24139.1406,24405.9336,BYN
2015-08-07,24409.1152,24412.582,24209.2813,24334.207,BYN
2015-08-09,24318.9629,24331.1738,24308.3008,24331.1738,BYN
2015-08-10,24320.502,24665.8457,24188.1152,24665.8457,BYN
2015-08-11,24637.1348,24691.3359,24400.4297,24641.7969,BYN
2015-08-12,24649.8438,25067.0703,24544.7891,24958.6777,BYN
2015-08-13,24976.8457,25004.4688,24854.6934,24908.0879,BYN
2015-08-14,24936.2441,25165.4453,24803.1133,25165.4453,BYN
2015-08-16,25138.0469,25167.5,25138.0469,25167.5,BYN
2015-08-17,25139.4473,25260.8945,25076.5918,25076.5918,BYN
2015-08-18,25089.2051,25652.2891,25069.7305,25543.2539,BYN
2015-08-19,25576.3008,25795.7598,25567.8398,25577.6016,BYN
2015-08-20,25583.291,26037.2891,25460.7578,26037.2891,BYN
2015-08-21,26009.5449,26350.541,25834.0762,26290.2734,BYN
2015-08-23,26324.4746,26325.1074,26268.0879,26268.0879,BYN
2015-08-24,26280.0391,26491.8086,25884.7402,26385.5137,BYN
2015-08-25,26367.916,27782.2305,26147.1992,27578.2676,BYN
2015-08-26,27592.082,27796.9199,27328.1445,27515.6738,BYN
2015-08-27,27536.8125,27806.4473,27126.3555,27185.3008,BYN
2015-08-28,27207.377,27360.3379,26844.1914,26924.7891,BYN
2015-08-30,26998.3789,26998.3789,26948.8965,26948.8965,BYN
2015-08-31,26978.6816,27187.8008,26769.2539,26769.2539,BYN
2015-09-01,26816.2324,26850.3164,26555.7051,26555.7051,BYN
2015-09-02,26490.9824,26830.9395,26429.4648,26776.2969,BYN
2015-09-03,26804.4824,27073.3789,26767.2871,27073.3789,BYN
2015-09-04,27080.8047,27081.5059,26790.8301,26849.0,BYN
2015-09-06,26791.3828,26873.4238,26791.3828,26873.4238,BYN
2015-09-07,26842.4766,27160.7031,26776.5957,27160.7031,BYN
2015-09-08,27146.2266,27547.3809,27113.3438,27485.0332,BYN
2015-09-09,27504.0117,27504.0117,27288.5234,27347.6953,BYN
2015-09-10,27334.7363,27616.2031,27117.5762,27558.3574,BYN
2015-09-11,27567.9102,27567.9102,27265.6543,27455.1328,BYN
2015-09-13,27503.3477,27518.3418,27464.7129,27518.3418,BYN
2015-09-14,27513.332,27517.0801,27239.959,27456.8184,BYN
2015-09-15,27464.9492,27548.9316,27196.3535,27196.3535,BYN
2015-09-16,27224.168,27519.666,27224.168,27464.623,BYN
2015-09-17,27489.4863,27618.9141,27257.0566,27504.666,BYN
2015-09-18,27485.7031,27515.8418,27121.0469,27181.1484,BYN
2015-09-20,27156.3359,27170.4785,27137.9336,27137.9336,BYN
2015-09-21,27154.1914,27537.5449,27144.9961,27206.7363,BYN
2015-09-22,27219.877,27478.4531,26966.6602,27026.6582,BYN
2015-09-23,26984.2988,27109.8516,26788.0742,26841.9121,BYN
2015-09-24,26840.3105,27036.209,26752.4082,26921.5703,BYN
2015-09-25,26921.5703,27123.1035,26899.2617,27011.5625,BYN
2015-09-27,26999.6348,27019.2695,26960.1875,27019.2695,BYN
2015-09-28,27001.375,27002.0176,26825.8438,26887.7617,BYN
2015-09-29,26837.5625,26859.2891,26598.4824,26859.2891,BYN
2015-09-30,26825.5488,26863.7148,26673.9922,26728.6719,BYN
2015-10-01,26699.7285,26886.5352,26696.7461,26759.5703,BYN
2015-10-02,26759.0625,27025.5684,26652.543,26914.498,BYN
2015-10-04,26930.7109,26950.6133,26905.2051,26905.2051,BYN
2015-10-05,26945.7207,26969.8691,26763.7188,26915.9902,BYN
2015-10-06,26891.373,27066.6152,26734.6191,26853.9219,BYN
2015-10-07,26730.3379,26897.6328,26542.082,26599.2188,BYN
2015-10-08,26606.0078,26759.7793,26473.1895,26650.2227,BYN
2015-10-09,26627.8516,26715.4922,26293.7129,26346.8457,BYN
2015-10-11,26307.1445,26345.2715,26307.1445,26345.2715,BYN
2015-10-12,26327.0215,26401.5762,26292.4121,26292.4121,BYN
2015-10-13,26288.8613,26412.0723,26140.8242,26343.1953,BYN
2015-10-14,26337.1992,26915.5625,26310.1465,26915.5625,BYN
2015-10-15,26881.0527,26881.0527,26636.6563,26734.5645,BYN
2015-10-16,26730.2051,26944.4746,26494.4707,26494.4707,BYN
2015-10-18,26500.4863,26532.3789,26498.1152,26498.1152,BYN
2015-10-19,26507.1445,26624.1016,26456.3359,26569.1621,BYN
2015-10-20,26581.7168,26701.7441,26571.5918,26638.752,BYN
2015-10-21,26618.8105,26733.918,26576.2598,26576.2598,BYN
2015-10-22,26593.7539,27119.2031,26504.6328,27119.2031,BYN
2015-10-23,27108.6699,27204.4141,26432.7813,26432.7813,BYN
2015-10-25,26492.9121,26492.9121,26433.5469,26433.5469,BYN
2015-10-26,26447.9648,26648.6855,26437.7031,26535.084,BYN
2015-10-27,26567.2969,26662.0664,26411.8418,26599.4102,BYN
2015-10-28,26593.7285,26866.0449,26565.0723,26617.7461,BYN
2015-10-29,26646.9297,27034.2559,26611.8398,26721.2344,BYN
2015-10-30,26762.6426,27015.3008,26646.8496,26956.1094,BYN
2015-11-01,26911.6348,26991.2656,26911.6348,26991.2656,BYN
2015-11-02,26971.2402,27057.1777,26898.3125,26898.3125,BYN
2015-11-03,26924.6738,26968.1016,26789.7461,26904.9609,BYN
2015-11-04,26893.6074,26981.3008,26758.7871,26813.2813,BYN
2015-11-05,26812.6504,27071.5137,26588.2324,26588.2324,BYN
2015-11-06,26613.0332,26686.6367,26283.4141,26337.9219,BYN
2015-11-08,26370.3223,26370.3223,26309.2246,26309.2246,BYN
2015-11-09,26340.2871,26770.3887,26317.041,26770.3887,BYN
2015-11-10,26753.3496,26768.3926,26593.082,26651.5156,BYN
2015-11-11,26680.1289,26852.8145,26656.0781,26747.748,BYN
2015-11-12,26774.7168,27090.1016,26648.2422,26813.9434,BYN
2015-11-13,26830.2012,27267.1523,26765.0,27210.1406,BYN
2015-11-15,27263.5488,27263.5488,27142.332,27142.332,BYN
2015-11-16,27162.6582,27354.4688,27122.668,27182.168,BYN
2015-11-17,27154.0703,27312.9648,27145.3906,27312.9648,BYN
2015-11-18,27299.3438,27370.0586,27194.3691,27257.2598,BYN
2015-11-19,27287.0332,27482.6035,27257.7188,27421.5273,BYN
2015-11-20,27394.0957,27438.627,27225.4707,27225.4707,BYN
2015-11-22,27223.5,27329.6563,27223.5,27329.6563,BYN
2015-11-23,27311.1406,27338.0879,27104.9121,27104.9121,BYN
2015-11-24,27119.3281,27344.4824,27069.6973,27278.6172,BYN
2015-11-25,27279.5938,27496.0352,27221.8164,27423.2402,BYN
2015-11-26,27410.5371,27649.4609,27304.2715,27593.6816,BYN
2015-11-27,27598.0879,27636.0313,27342.834,27342.834,BYN
2015-11-29,27371.9785,27371.9785,27315.8906,27315.8906,BYN
2015-11-30,27328.5918,27379.6797,27123.6953,27244.4551,BYN
2015-12-01,27238.6953,27400.3105,27190.582,27190.582,BYN
2015-12-02,27193.4707,27231.1855,26987.0762,27068.2305,BYN
2015-12-03,27069.1113,27629.416,26595.9434,26595.9434,BYN
2015-12-04,26601.75,27355.0781,26511.6895,27307.6621,BYN
2015-12-06,27285.2246,27339.9063,27285.2246,27339.9063,BYN
2015-12-07,27316.7988,27446.998,27237.7148,27314.377,BYN
2015-12-08,27314.377,27429.7383,27206.3516,27323.1172,BYN
2015-12-09,27324.6934,27771.5898,27311.2129,27507.9707,BYN
2015-12-10,27500.4004,27720.1641,27390.5234,27657.7266,BYN
2015-12-11,27665.2012,27927.5313,27638.7773,27860.0059,BYN
2015-12-13,27895.4473,27895.4473,27695.2227,27695.2227,BYN
2015-12-14,27715.7227,27773.0703,27601.043,27717.418,BYN
2015-12-15,27684.7227,27836.5391,27546.4707,27755.543,BYN
2015-12-16,27769.1426,27774.6914,27388.4531,27467.3281,BYN
2015-12-17,27442.6113,27569.7129,27228.8516,27346.5137,BYN
2015-12-18,27384.5078,27405.1172,27258.8477,27258.8477,BYN
2015-12-20,27303.7559,27303.7559,27236.0996,27291.8926,BYN
2015-12-21,27284.248,27448.7246,27218.8809,27259.8281,BYN
2015-12-22,27275.4531,27329.459,27185.7832,27185.7832,BYN
2015-12-23,27182.8066,27372.1699,27182.8066,27372.1699,BYN
2015-12-24,27362.4668,27444.1875,27296.625,27296.625,BYN
2015-12-25,27308.5996,27332.584,27248.8242,27332.584,BYN
2015-12-27,27329.584,27329.584,27221.3848,27281.7461,BYN
2015-12-28,27274.2109,27530.3516,27243.1074,27474.1641,BYN
2015-12-29,27522.7148,27756.7578,27363.502,27756.7578,BYN
