Date,Open,High,Low,Close,Currency
2015-01-01,944.47,945.265,941.81,942.835,CLP
2015-01-02,944.58,947.73,934.94,940.54,CLP
2015-01-05,939.99,942.985,932.63,941.425,CLP
2015-01-06,940.89,943.535,930.62,934.015,CLP
2015-01-07,933.24,934.905,925.59,928.005,CLP
2015-01-08,927.09,928.15,921.27,924.77,CLP
2015-01-09,924.2,933.85,923.4,931.6,CLP
2015-01-12,932.22,937.04,927.26,935.42,CLP
2015-01-13,934.85,942.31,928.97,939.07,CLP
2015-01-14,938.31,956.415,937.26,953.295,CLP
2015-01-15,952.57,955.305,944.4,950.165,CLP
2015-01-16,948.91,953.585,947.27,951.275,CLP
2015-01-19,952.03,955.345,948.47,949.215,CLP
2015-01-20,948.91,957.495,945.45,952.425,CLP
2015-01-21,951.36,954.98,946.2,951.22,CLP
2015-01-22,950.34,955.455,934.07,937.375,CLP
2015-01-23,936.5,941.645,933.72,937.595,CLP
2015-01-26,936.56,943.465,935.81,940.155,CLP
2015-01-27,939.48,949.09,938.37,947.36,CLP
2015-01-28,946.71,949.36,940.95,942.55,CLP
2015-01-29,941.5,949.175,940.4,945.665,CLP
2015-01-30,944.79,955.74,943.78,954.71,CLP
2015-02-02,954.56,956.16,944.83,947.52,CLP
2015-02-03,946.87,952.345,940.99,948.765,CLP
2015-02-04,948.36,956.845,946.42,951.715,CLP
2015-02-05,950.84,957.945,949.84,956.245,CLP
2015-02-06,955.7,958.535,946.93,957.045,CLP
2015-02-09,956.18,958.74,948.45,949.94,CLP
2015-02-10,949.14,956.685,948.35,955.635,CLP
2015-02-11,954.91,963.79,953.72,959.96,CLP
2015-02-12,959.43,968.025,955.87,956.805,CLP
2015-02-13,956.38,960.435,949.72,952.845,CLP
2015-02-16,952.15,957.185,948.27,954.995,CLP
2015-02-17,954.69,957.81,947.51,953.49,CLP
2015-02-18,952.44,961.445,950.11,956.625,CLP
2015-02-19,955.7,962.785,952.23,955.065,CLP
2015-02-20,953.94,956.15,944.62,948.44,CLP
2015-02-23,947.9,965.915,943.65,962.995,CLP
2015-02-24,961.75,965.355,955.21,956.315,CLP
2015-02-25,956.19,961.775,954.89,958.305,CLP
2015-02-26,957.63,960.39,950.76,954.71,CLP
2015-02-27,953.37,960.225,950.41,952.865,CLP
2015-03-02,952.29,954.185,944.98,947.115,CLP
2015-03-03,945.78,952.305,945.1,947.925,CLP
2015-03-04,946.65,952.295,941.43,944.645,CLP
2015-03-05,943.76,949.075,941.02,945.625,CLP
2015-03-06,944.3,947.745,939.36,940.785,CLP
2015-03-09,939.88,952.03,938.94,950.22,CLP
2015-03-10,949.43,960.185,943.47,957.925,CLP
2015-03-11,956.78,961.555,950.38,952.545,CLP
2015-03-12,951.68,958.745,938.95,943.625,CLP
2015-03-13,942.77,946.82,938.7,943.71,CLP
2015-03-16,942.69,951.28,941.7,950.2,CLP
2015-03-17,949.29,951.7,943.33,945.59,CLP
2015-03-18,944.78,964.08,937.84,952.6,CLP
2015-03-19,951.87,954.92,938.29,944.72,CLP
2015-03-20,943.52,948.885,938.63,944.455,CLP
2015-03-23,944.57,946.795,930.79,933.335,CLP
2015-03-24,932.43,935.08,921.74,924.06,CLP
2015-03-25,923.22,929.17,919.9,924.17,CLP
2015-03-26,922.96,931.675,917.75,925.155,CLP
2015-03-27,924.29,930.695,921.43,927.225,CLP
2015-03-30,926.6,932.33,921.15,928.52,CLP
2015-03-31,927.06,932.635,922.78,925.385,CLP
2015-04-01,924.46,929.345,912.1,915.465,CLP
2015-04-02,914.6,919.48,907.75,912.4,CLP
2015-04-03,911.07,919.94,910.49,917.94,CLP
2015-04-06,916.46,919.915,907.99,910.165,CLP
2015-04-07,909.58,914.575,902.6,903.295,CLP
2015-04-08,902.91,915.945,901.97,909.235,CLP
2015-04-09,908.19,910.66,902.62,907.0,CLP
2015-04-10,905.93,909.535,898.55,906.425,CLP
2015-04-13,905.72,913.135,901.19,904.995,CLP
2015-04-14,904.26,910.315,900.92,906.905,CLP
2015-04-15,905.92,915.39,901.56,910.35,CLP
2015-04-16,909.36,916.72,907.7,911.85,CLP
2015-04-17,910.79,920.89,910.12,915.0,CLP
2015-04-20,913.87,920.65,911.43,918.91,CLP
2015-04-21,918.02,922.875,915.02,919.925,CLP
2015-04-22,919.13,932.78,918.16,930.94,CLP
2015-04-23,929.6,932.265,923.39,925.795,CLP
2015-04-24,924.33,933.895,923.14,931.055,CLP
2015-04-27,928.6,931.82,924.5,930.31,CLP
2015-04-28,929.46,934.145,924.73,930.555,CLP
2015-04-29,929.79,942.855,928.99,940.945,CLP
2015-04-30,940.05,945.455,934.61,939.095,CLP
2015-05-01,937.82,943.055,923.42,926.295,CLP
2015-05-04,925.16,932.32,923.43,929.32,CLP
2015-05-05,927.97,931.61,923.29,925.98,CLP
2015-05-06,924.89,934.755,923.43,933.455,CLP
2015-05-07,932.51,934.13,924.55,929.27,CLP
2015-05-08,928.62,946.92,928.5,935.04,CLP
2015-05-11,933.44,953.1,930.9,951.1,CLP
2015-05-12,950.0,959.97,944.88,946.65,CLP
2015-05-13,945.64,952.27,937.44,948.9,CLP
2015-05-14,947.51,953.96,935.34,938.07,CLP
2015-05-15,937.29,943.45,933.7,939.33,CLP
2015-05-18,939.47,942.165,932.27,939.265,CLP
2015-05-19,938.66,941.12,928.29,936.96,CLP
2015-05-20,936.0,945.27,933.89,938.62,CLP
2015-05-21,937.45,949.045,936.75,945.985,CLP
2015-05-22,945.08,948.04,939.48,942.26,CLP
2015-05-25,941.34,946.125,939.05,945.095,CLP
2015-05-26,944.45,946.725,939.08,943.535,CLP
2015-05-27,942.67,947.515,941.89,944.265,CLP
2015-05-28,943.12,946.815,938.1,943.685,CLP
2015-05-29,943.34,946.405,935.87,944.995,CLP
2015-06-01,944.37,950.975,938.35,948.745,CLP
2015-06-02,947.87,958.33,946.32,954.78,CLP
2015-06-03,954.27,964.32,949.07,962.87,CLP
2015-06-04,961.95,970.98,960.12,965.78,CLP
2015-06-05,964.76,974.555,958.92,972.025,CLP
2015-06-08,970.46,974.515,963.18,968.465,CLP
2015-06-09,967.54,969.69,955.28,962.24,CLP
2015-06-10,961.88,981.9,959.3,980.46,CLP
2015-06-11,979.54,981.745,973.43,978.375,CLP
2015-06-12,977.33,986.67,974.47,982.21,CLP
2015-06-15,981.71,990.69,976.58,989.26,CLP
2015-06-16,988.51,996.635,985.06,994.485,CLP
2015-06-17,993.71,1008.05,992.13,1003.98,CLP
2015-06-18,1003.07,1010.75,994.23,999.31,CLP
2015-06-19,998.47,1008.78,995.86,1005.07,CLP
2015-06-22,1003.4,1007.275,992.15,999.665,CLP
2015-06-23,998.75,1001.835,993.66,995.745,CLP
2015-06-24,995.49,1002.525,990.09,994.425,CLP
2015-06-25,993.62,997.29,990.77,994.16,CLP
2015-06-26,993.35,1002.495,991.52,1000.885,CLP
2015-06-29,996.13,1009.155,994.04,1007.445,CLP
2015-06-30,1006.29,1009.255,1002.13,1004.265,CLP
2015-07-01,1003.62,1005.485,994.9,997.745,CLP
2015-07-02,997.31,1000.785,988.11,991.165,CLP
2015-07-03,990.25,995.545,989.53,991.855,CLP
2015-07-06,989.08,1002.56,988.86,1001.35,CLP
2015-07-07,1000.35,1005.985,990.04,1004.225,CLP
2015-07-08,1003.75,1006.87,994.22,1001.92,CLP
2015-07-09,1001.26,1005.58,991.11,994.01,CLP
2015-07-10,993.56,1006.26,991.61,1005.55,CLP
2015-07-13,1001.9,1010.85,994.01,996.22,CLP
2015-07-14,995.53,1008.645,993.29,1003.245,CLP
2015-07-15,1002.4,1007.175,999.07,1005.685,CLP
2015-07-16,1005.04,1006.655,999.88,1003.255,CLP
2015-07-17,1002.76,1011.135,1001.15,1008.415,CLP
2015-07-20,1006.81,1014.28,1002.46,1011.37,CLP
2015-07-21,1010.31,1016.275,1004.0,1013.485,CLP
2015-07-22,1012.61,1026.765,1011.49,1021.125,CLP
2015-07-23,1020.37,1025.365,1013.91,1019.005,CLP
2015-07-24,1018.21,1027.095,1016.36,1025.155,CLP
2015-07-27,1024.15,1039.82,1023.09,1036.09,CLP
2015-07-28,1035.66,1043.09,1031.88,1039.17,CLP
2015-07-29,1038.15,1047.23,1036.53,1040.29,CLP
2015-07-30,1038.97,1051.7,1038.34,1048.25,CLP
