Date,Open,High,Low,Close,Currency
2015-01-01,830.615,842.584,828.908,840.702,CRC
2015-01-02,830.988,842.771,818.829,839.183,CRC
2015-01-05,827.874,839.662,810.593,824.542,CRC
2015-01-06,812.97,825.801,806.984,819.015,CRC
2015-01-07,807.571,829.785,802.024,816.347,CRC
2015-01-08,804.932,817.34,800.755,815.59,CRC
2015-01-09,804.137,832.149,803.444,819.427,CRC
2015-01-12,809.254,832.483,804.617,820.226,CRC
2015-01-13,808.713,821.301,803.595,819.42,CRC
2015-01-14,808.05,835.07,807.144,823.394,CRC
2015-01-15,811.995,833.172,803.601,817.224,CRC
2015-01-16,805.405,832.195,799.02,814.341,CRC
2015-01-19,803.851,815.956,800.459,812.299,CRC
2015-01-20,800.83,817.241,798.141,814.273,CRC
2015-01-21,802.806,816.073,799.148,814.164,CRC
2015-01-22,802.7,817.776,793.357,806.789,CRC
2015-01-23,795.424,808.381,792.244,805.763,CRC
2015-01-26,794.28,811.496,793.644,810.277,CRC
2015-01-27,798.832,818.142,797.698,816.688,CRC
2015-01-28,805.236,833.765,802.859,829.806,CRC
2015-01-29,818.695,831.294,795.42,809.476,CRC
2015-01-30,798.068,811.278,795.113,810.536,CRC
2015-02-02,800.055,812.239,795.759,809.68,CRC
2015-02-03,798.292,818.234,795.532,816.64,CRC
2015-02-04,805.239,821.014,803.593,817.275,CRC
2015-02-05,805.595,827.164,804.746,826.155,CRC
2015-02-06,814.683,827.528,809.697,823.183,CRC
2015-02-09,811.667,824.384,809.218,821.486,CRC
2015-02-10,809.94,830.101,808.982,830.047,CRC
2015-02-11,824.971,830.322,809.796,829.024,CRC
2015-02-12,824.051,836.428,809.164,830.072,CRC
2015-02-13,818.399,845.04,817.092,829.573,CRC
2015-02-16,817.889,831.83,814.365,827.403,CRC
2015-02-17,815.746,842.869,812.944,826.509,CRC
2015-02-18,814.884,846.88,814.194,830.793,CRC
2015-02-19,819.053,847.513,816.946,829.143,CRC
2015-02-20,817.476,830.328,813.763,828.164,CRC
2015-02-23,816.214,831.613,812.82,830.453,CRC
2015-02-24,818.647,848.111,815.815,830.295,CRC
2015-02-25,818.623,834.853,818.04,834.192,CRC
2015-02-26,822.465,845.289,815.054,827.457,CRC
2015-02-27,815.743,830.288,814.578,828.834,CRC
2015-03-02,817.283,843.04,811.319,823.743,CRC
2015-03-03,812.059,842.82,811.055,823.428,CRC
2015-03-04,811.8,823.988,803.875,816.167,CRC
2015-03-05,804.665,835.807,800.677,816.918,CRC
2015-03-06,805.328,826.267,794.027,805.861,CRC
2015-03-09,794.608,829.96,793.815,811.115,CRC
