Date,Open,High,Low,Close,Currency
2015-01-01,35.592,35.6505,35.468,35.5775,CZK
2015-01-02,35.562,35.8015,35.3,35.3605,CZK
2015-01-05,35.355,35.544,35.078,35.388,CZK
2015-01-06,35.356,35.4185,35.092,35.2515,CZK
2015-01-07,35.237,35.6025,35.189,35.5565,CZK
2015-01-08,35.539,35.7725,35.458,35.6865,CZK
2015-01-09,35.643,36.225,35.583,36.011,CZK
2015-01-12,36.043,36.473,35.908,36.305,CZK
2015-01-13,36.288,36.7455,36.037,36.1845,CZK
2015-01-14,36.146,36.556,36.076,36.223,CZK
2015-01-15,36.213,36.704,36.09,36.478,CZK
2015-01-16,36.419,36.717,36.259,36.475,CZK
2015-01-19,36.448,36.5505,36.28,36.3805,CZK
2015-01-20,36.364,36.7965,36.249,36.5825,CZK
2015-01-21,36.539,36.631,36.193,36.463,CZK
2015-01-22,36.423,36.9835,36.322,36.8075,CZK
2015-01-23,36.765,37.456,36.666,37.105,CZK
2015-01-26,37.068,37.28,36.923,37.252,CZK
2015-01-27,37.223,37.3835,36.889,37.2615,CZK
2015-01-28,37.224,37.397,36.967,37.235,CZK
2015-01-29,37.206,37.3115,36.831,36.9475,CZK
2015-01-30,36.905,37.1105,36.776,37.0065,CZK
2015-02-02,37.016,37.1215,36.647,36.8485,CZK
2015-02-03,36.806,36.916,36.516,36.695,CZK
2015-02-04,36.67,37.2065,36.611,37.1225,CZK
2015-02-05,37.068,37.2635,36.876,37.0325,CZK
2015-02-06,37.011,37.3665,36.847,37.3105,CZK
2015-02-09,37.292,37.43,37.05,37.237,CZK
2015-02-10,37.193,37.482,37.167,37.293,CZK
2015-02-11,37.25,37.545,37.07,37.169,CZK
2015-02-12,37.116,37.6085,37.05,37.2995,CZK
2015-02-13,37.255,37.3595,37.17,37.2975,CZK
2015-02-16,37.284,37.492,37.135,37.407,CZK
2015-02-17,37.366,37.522,37.021,37.112,CZK
2015-02-18,37.069,37.4945,36.831,36.9035,CZK
2015-02-19,36.861,37.2275,36.811,37.1145,CZK
2015-02-20,37.074,37.5325,37.056,37.2585,CZK
2015-02-23,37.206,37.4825,37.098,37.4035,CZK
2015-02-24,37.355,37.5485,37.293,37.4275,CZK
2015-02-25,37.385,37.532,37.31,37.485,CZK
2015-02-26,37.445,37.955,37.349,37.886,CZK
2015-02-27,37.841,38.0015,37.621,37.9595,CZK
2015-03-02,37.938,38.0,37.576,37.783,CZK
2015-03-03,37.74,37.841,37.63,37.742,CZK
2015-03-04,37.699,37.99,37.662,37.867,CZK
2015-03-05,37.828,37.9785,37.583,37.7075,CZK
2015-03-06,37.662,37.99,37.576,37.884,CZK
2015-03-09,37.894,38.0415,37.701,38.0275,CZK
2015-03-10,37.989,38.469,37.942,38.433,CZK
2015-03-11,38.384,38.975,38.348,38.617,CZK
2015-03-12,38.572,38.797,38.155,38.211,CZK
2015-03-13,38.17,38.461,38.027,38.353,CZK
2015-03-16,38.344,38.4605,38.028,38.2275,CZK
2015-03-17,38.192,38.289,37.627,37.889,CZK
2015-03-18,37.857,38.0595,37.511,37.6745,CZK
2015-03-19,37.632,38.317,37.439,37.963,CZK
2015-03-20,37.922,38.0585,37.778,37.9265,CZK
2015-03-23,37.878,38.0065,37.239,37.4215,CZK
2015-03-24,37.378,37.494,37.128,37.261,CZK
2015-03-25,37.22,37.3455,37.026,37.1225,CZK
2015-03-26,37.079,37.587,37.03,37.502,CZK
2015-03-27,37.46,37.9435,37.383,37.5495,CZK
2015-03-30,37.46,37.7325,37.383,37.5915,CZK
2015-03-31,37.541,38.192,37.499,38.045,CZK
2015-04-01,38.0,38.1695,37.682,37.9825,CZK
2015-04-02,37.942,38.0615,37.431,37.5455,CZK
2015-04-03,37.497,37.7105,37.264,37.4485,CZK
2015-04-06,37.422,37.525,37.122,37.295,CZK
2015-04-07,37.249,37.7415,37.244,37.5185,CZK
2015-04-08,37.474,37.8985,37.402,37.7785,CZK
2015-04-09,37.732,37.946,37.516,37.85,CZK
2015-04-10,37.799,37.9655,37.658,37.7265,CZK
2015-04-13,37.688,38.061,37.563,37.983,CZK
2015-04-14,37.931,38.133,37.74,37.911,CZK
2015-04-15,37.864,38.352,37.831,38.135,CZK
2015-04-16,38.085,38.409,37.905,38.102,CZK
2015-04-17,38.053,38.3565,37.904,37.9725,CZK
2015-04-20,37.933,38.196,37.851,38.07,CZK
2015-04-21,38.024,38.308,37.947,38.147,CZK
2015-04-22,38.101,38.592,38.011,38.438,CZK
2015-04-23,38.399,38.519,38.019,38.155,CZK
2015-04-24,38.104,38.4605,37.954,38.3735,CZK
2015-04-27,38.34,38.5285,38.214,38.4785,CZK
2015-04-28,38.426,38.6085,38.214,38.3205,CZK
2015-04-29,38.282,38.501,37.884,38.058,CZK
2015-04-30,38.014,38.1895,37.357,37.5595,CZK
2015-05-01,37.516,37.6305,36.849,36.9665,CZK
2015-05-04,36.943,37.3065,36.904,37.1235,CZK
2015-05-05,37.078,37.424,37.032,37.185,CZK
2015-05-06,37.134,37.257,36.727,36.832,CZK
2015-05-07,36.789,37.165,36.582,37.033,CZK
2015-05-08,36.98,37.9105,36.98,37.8785,CZK
2015-05-11,37.807,38.4165,37.735,38.2685,CZK
2015-05-12,38.237,38.3995,37.893,38.3345,CZK
2015-05-13,38.266,38.4905,37.933,38.0975,CZK
2015-05-14,38.049,38.1625,37.851,38.0085,CZK
2015-05-15,37.968,38.162,37.547,37.622,CZK
2015-05-18,37.561,38.0225,37.504,37.9225,CZK
2015-05-19,37.87,38.3135,37.791,38.1005,CZK
2015-05-20,38.06,38.416,38.03,38.277,CZK
2015-05-21,38.232,38.659,38.089,38.596,CZK
2015-05-22,38.552,38.6685,38.087,38.5925,CZK
2015-05-25,38.527,38.6935,38.45,38.5705,CZK
2015-05-26,38.53,38.8855,38.481,38.8335,CZK
2015-05-27,38.784,38.865,38.481,38.642,CZK
2015-05-28,38.612,38.7095,38.306,38.3815,CZK
2015-05-29,38.334,38.4835,37.944,38.1375,CZK
2015-06-01,38.145,38.407,38.073,38.161,CZK
2015-06-02,38.12,38.2375,37.532,37.7955,CZK
2015-06-03,37.712,37.894,37.304,37.396,CZK
2015-06-04,37.355,37.609,37.148,37.506,CZK
2015-06-05,37.454,37.7395,37.129,37.6785,CZK
2015-06-08,37.604,37.7715,37.18,37.2695,CZK
2015-06-09,37.265,37.4175,37.014,37.3795,CZK
2015-06-10,37.337,37.578,37.08,37.402,CZK
2015-06-11,37.355,37.771,37.18,37.631,CZK
2015-06-12,37.578,37.959,37.55,37.688,CZK
2015-06-15,37.823,37.918,37.583,37.698,CZK
2015-06-16,37.654,38.002,37.572,37.921,CZK
2015-06-17,37.887,38.2415,37.771,38.0725,CZK
2015-06-18,38.027,38.1345,37.762,38.0575,CZK
2015-06-19,38.016,38.2685,37.936,38.1375,CZK
2015-06-22,38.103,38.1855,37.713,37.9515,CZK
2015-06-23,37.905,38.4365,37.837,38.3155,CZK
2015-06-24,38.275,38.453,38.096,38.191,CZK
2015-06-25,38.142,38.4085,38.048,38.2435,CZK
2015-06-26,38.196,38.529,38.11,38.427,CZK
2015-06-29,38.396,38.994,38.027,38.218,CZK
2015-06-30,38.175,38.723,38.138,38.471,CZK
2015-07-01,38.421,38.614,38.183,38.528,CZK
2015-07-02,38.477,38.577,38.209,38.358,CZK
2015-07-03,38.321,38.3875,37.911,37.9905,CZK
2015-07-06,37.837,38.4515,37.832,38.3575,CZK
2015-07-07,38.303,38.437,37.937,38.057,CZK
2015-07-08,38.012,38.1675,37.547,37.6515,CZK
2015-07-09,37.606,37.904,37.549,37.773,CZK
2015-07-10,37.721,37.8385,37.469,37.7065,CZK
2015-07-13,37.648,38.282,37.546,38.184,CZK
2015-07-14,38.136,38.488,37.857,38.427,CZK
2015-07-15,38.378,38.735,38.251,38.645,CZK
2015-07-16,38.589,38.9675,38.544,38.8815,CZK
2015-07-17,38.836,39.0335,38.657,38.9945,CZK
2015-07-20,38.937,39.039,38.719,38.94,CZK
2015-07-21,38.888,39.051,38.417,38.571,CZK
2015-07-22,38.528,38.8705,38.465,38.6245,CZK
2015-07-23,38.585,38.697,38.009,38.186,CZK
2015-07-24,38.14,38.373,38.084,38.194,CZK
2015-07-27,38.179,38.28,37.733,37.925,CZK
2015-07-28,37.859,38.2475,37.837,38.1815,CZK
