Date,Open,High,Low,Close,Currency
2015-01-01,275.76,275.83,275.11,275.13,DJF
2015-01-02,275.8,275.84,271.25,271.33,DJF
2015-01-05,271.36,271.45,269.02,269.97,DJF
2015-01-06,269.95,270.33,267.96,268.31,DJF
2015-01-07,268.31,268.32,266.44,267.49,DJF
2015-01-08,267.5,267.65,266.07,267.04,DJF
2015-01-09,267.04,268.72,266.81,268.3,DJF
2015-01-12,268.74,268.92,267.2,268.54,DJF
2015-01-13,268.51,268.92,266.81,268.3,DJF
2015-01-14,268.31,270.26,268.01,269.68,DJF
2015-01-15,269.7,270.21,268.14,268.9,DJF
2015-01-16,268.83,269.64,266.79,268.35,DJF
2015-01-19,268.68,268.68,267.32,267.45,DJF
2015-01-20,267.45,269.02,266.47,268.03,DJF
2015-01-21,268.03,268.65,266.81,268.01,DJF
2015-01-22,268.0,269.23,265.03,265.72,DJF
2015-01-23,265.72,266.04,263.83,264.9,DJF
2015-01-26,264.86,267.06,264.65,266.58,DJF
2015-01-27,266.58,269.43,266.35,268.97,DJF
2015-01-28,268.97,269.36,267.81,267.93,DJF
2015-01-29,267.93,268.37,265.77,266.65,DJF
2015-01-30,266.65,267.18,265.29,266.22,DJF
2015-02-02,266.53,267.02,265.55,266.02,DJF
2015-02-03,266.02,268.97,265.25,268.13,DJF
2015-02-04,268.13,269.93,267.64,268.32,DJF
2015-02-05,268.25,271.42,267.97,271.08,DJF
2015-02-06,271.15,271.73,268.78,269.57,DJF
2015-02-09,269.59,270.23,268.97,269.29,DJF
2015-02-10,269.27,270.21,268.95,270.04,DJF
2015-02-11,269.98,270.79,269.18,269.45,DJF
2015-02-12,269.38,272.67,269.16,272.11,DJF
2015-02-13,272.11,272.9,271.98,272.45,DJF
2015-02-16,272.37,273.29,271.43,271.89,DJF
2015-02-17,271.89,272.6,271.05,271.77,DJF
2015-02-18,271.81,273.57,271.27,272.73,DJF
2015-02-19,272.76,273.73,272.46,272.64,DJF
2015-02-20,272.62,273.16,271.45,272.08,DJF
2015-02-23,271.99,273.87,271.32,273.54,DJF
2015-02-24,273.5,273.73,272.43,273.35,DJF
2015-02-25,273.36,275.02,273.17,274.52,DJF
2015-02-26,274.52,275.27,272.24,272.44,DJF
2015-02-27,272.4,273.43,272.17,272.99,DJF
2015-03-02,273.05,273.19,271.49,271.75,DJF
2015-03-03,271.74,272.53,271.54,271.62,DJF
2015-03-04,271.62,272.08,269.74,270.0,DJF
2015-03-05,270.0,270.26,269.27,269.6,DJF
2015-03-06,269.56,269.94,265.83,266.04,DJF
2015-03-09,266.1,267.68,265.83,267.46,DJF
2015-03-10,267.46,267.48,265.98,266.58,DJF
2015-03-11,266.58,267.2,263.51,264.1,DJF
2015-03-12,264.12,265.94,262.72,263.32,DJF
2015-03-13,263.34,263.61,259.99,260.88,DJF
2015-03-16,260.84,262.81,260.61,262.35,DJF
2015-03-17,262.35,262.74,260.41,260.9,DJF
2015-03-18,260.9,268.18,258.99,265.15,DJF
2015-03-19,265.15,265.64,259.92,260.87,DJF
2015-03-20,260.95,265.14,260.54,264.45,DJF
2015-03-23,264.77,265.14,262.61,264.47,DJF
2015-03-24,264.47,265.2,262.52,262.68,DJF
2015-03-25,262.7,264.67,262.38,263.27,DJF
2015-03-26,263.28,265.38,261.78,262.44,DJF
2015-03-27,262.44,264.1,261.85,262.84,DJF
2015-03-30,262.88,263.73,261.09,261.68,DJF
2015-03-31,261.62,262.84,261.11,261.95,DJF
2015-04-01,261.93,263.22,260.81,261.74,DJF
2015-04-02,261.74,263.13,261.23,261.94,DJF
2015-04-03,261.96,264.49,261.92,263.84,DJF
2015-04-06,263.67,264.92,262.77,263.42,DJF
2015-04-07,263.4,264.07,261.78,261.9,DJF
2015-04-08,261.87,265.0,261.83,262.57,DJF
2015-04-09,262.57,263.46,259.25,259.81,DJF
2015-04-10,259.76,260.61,258.15,258.42,DJF
2015-04-13,258.47,259.89,257.77,259.73,DJF
2015-04-14,259.73,261.73,258.44,260.8,DJF
2015-04-15,260.8,262.16,259.51,261.95,DJF
2015-04-16,261.96,264.44,261.66,263.79,DJF
2015-04-17,263.76,266.44,263.52,264.18,DJF
2015-04-20,264.14,265.2,262.74,263.11,DJF
2015-04-21,263.11,264.35,262.83,264.18,DJF
2015-04-22,264.18,266.9,263.91,265.62,DJF
2015-04-23,265.63,266.17,264.37,265.96,DJF
2015-04-24,265.91,268.54,265.82,268.18,DJF
2015-04-27,267.85,269.79,267.09,269.72,DJF
2015-04-28,269.77,270.91,268.58,270.68,DJF
2015-04-29,270.72,273.5,270.46,272.39,DJF
2015-04-30,272.45,274.17,270.14,270.99,DJF
2015-05-01,270.99,272.51,266.06,267.43,DJF
2015-05-04,267.47,268.58,266.54,266.93,DJF
2015-05-05,266.89,268.81,266.78,268.08,DJF
2015-05-06,268.03,270.16,267.85,269.12,DJF
2015-05-07,269.1,269.94,267.74,269.04,DJF
2015-05-08,269.06,274.74,269.02,272.76,DJF
2015-05-11,272.59,275.85,272.42,274.87,DJF
2015-05-12,274.9,278.07,274.78,276.47,DJF
2015-05-13,276.47,278.67,276.38,277.86,DJF
2015-05-14,277.85,279.91,277.65,278.57,DJF
2015-05-15,278.57,279.36,277.09,277.16,DJF
2015-05-18,277.25,278.69,275.78,276.01,DJF
2015-05-19,276.01,277.34,273.09,273.41,DJF
2015-05-20,273.39,275.54,273.09,273.88,DJF
2015-05-21,273.81,277.87,273.62,276.09,DJF
2015-05-22,276.09,277.7,272.47,273.21,DJF
2015-05-25,273.07,274.46,272.63,273.73,DJF
2015-05-26,273.73,273.91,271.04,271.15,DJF
2015-05-27,271.2,273.23,269.72,270.67,DJF
2015-05-28,270.69,272.31,269.16,269.99,DJF
2015-05-29,269.99,271.55,268.75,270.67,DJF
2015-06-01,270.73,270.88,267.41,267.92,DJF
2015-06-02,267.98,270.9,267.48,270.48,DJF
2015-06-03,270.48,272.14,269.91,271.58,DJF
2015-06-04,271.52,273.31,270.43,270.87,DJF
2015-06-05,270.8,272.03,268.56,269.06,DJF
2015-06-08,268.86,272.0,268.51,271.74,DJF
2015-06-09,271.74,272.12,269.39,271.22,DJF
2015-06-10,271.22,274.18,270.75,273.93,DJF
2015-06-11,273.88,274.65,271.85,273.49,DJF
2015-06-12,273.48,276.61,273.23,275.44,DJF
2015-06-15,275.45,275.63,273.08,275.01,DJF
2015-06-16,275.01,276.93,274.85,275.84,DJF
2015-06-17,275.8,279.48,275.53,279.15,DJF
2015-06-18,279.13,281.86,278.45,280.9,DJF
2015-06-19,280.9,281.75,279.21,280.16,DJF
2015-06-22,279.74,281.59,278.65,279.26,DJF
2015-06-23,279.26,280.21,277.29,277.47,DJF
2015-06-24,277.51,279.06,276.43,277.45,DJF
