Date,Open,High,Low,Close,Currency
2015-01-01,68.904,68.998,68.762,68.843,DOP
2015-01-02,68.935,69.024,67.323,67.863,DOP
2015-01-05,67.809,67.914,67.225,67.555,DOP
2015-01-06,67.468,67.681,66.433,67.121,DOP
2015-01-07,67.039,67.198,66.083,67.007,DOP
2015-01-08,66.933,67.282,66.122,67.012,DOP
2015-01-09,66.926,67.38,66.409,67.335,DOP
2015-01-12,67.367,67.522,66.585,67.366,DOP
2015-01-13,67.279,67.542,66.616,67.336,DOP
2015-01-14,67.26,67.677,66.761,67.655,DOP
2015-01-15,67.589,67.935,66.993,67.497,DOP
2015-01-16,67.393,67.711,66.879,67.314,DOP
2015-01-19,67.311,67.742,66.68,67.062,DOP
2015-01-20,66.711,67.678,66.468,67.562,DOP
2015-01-21,67.477,67.713,67.17,67.538,DOP
2015-01-22,67.453,67.924,66.432,66.764,DOP
2015-01-23,66.606,67.069,66.013,66.853,DOP
2015-01-26,66.773,67.498,66.72,67.38,DOP
2015-01-27,67.293,68.055,66.862,67.946,DOP
2015-01-28,67.865,68.043,66.923,67.648,DOP
2015-01-29,67.569,67.783,66.64,67.38,DOP
2015-01-30,67.295,67.493,66.393,67.379,DOP
2015-02-02,67.38,67.531,66.247,67.259,DOP
2015-02-03,67.175,67.951,66.592,67.817,DOP
2015-02-04,67.746,68.246,67.523,67.942,DOP
2015-02-05,67.841,68.775,67.77,68.69,DOP
2015-02-06,68.624,68.818,67.966,68.437,DOP
2015-02-09,68.354,68.54,67.792,68.394,DOP
2015-02-10,68.306,68.716,67.921,68.658,DOP
2015-02-11,68.559,68.869,67.863,68.464,DOP
2015-02-12,68.361,69.127,68.249,68.984,DOP
2015-02-13,68.896,69.161,68.559,68.99,DOP
2015-02-16,68.917,69.351,68.394,68.752,DOP
2015-02-17,68.51,68.88,68.293,68.709,DOP
2015-02-18,68.623,69.317,68.564,69.103,DOP
2015-02-19,69.012,69.241,68.56,69.05,DOP
2015-02-20,68.964,69.143,68.235,68.91,DOP
2015-02-23,68.807,69.328,68.288,69.227,DOP
2015-02-24,69.132,69.271,68.52,69.167,DOP
2015-02-25,69.09,69.595,68.696,69.552,DOP
2015-02-26,69.468,69.661,68.789,69.019,DOP
2015-02-27,68.928,69.263,68.83,69.147,DOP
2015-03-02,69.072,69.185,68.274,68.869,DOP
2015-03-03,68.787,69.026,68.141,68.779,DOP
2015-03-04,68.701,68.832,67.763,68.345,DOP
2015-03-05,68.271,68.361,67.564,68.219,DOP
2015-03-06,68.129,68.284,67.186,67.315,DOP
2015-03-09,67.25,67.746,67.066,67.7,DOP
2015-03-10,67.622,67.717,66.826,67.446,DOP
2015-03-11,67.356,67.587,66.567,66.807,DOP
2015-03-12,66.719,67.25,66.258,66.592,DOP
2015-03-13,66.522,66.685,65.299,65.942,DOP
2015-03-16,65.848,66.407,65.79,66.276,DOP
2015-03-17,66.198,66.349,65.729,65.903,DOP
2015-03-18,65.832,67.7,65.332,66.937,DOP
2015-03-19,66.853,67.079,65.583,65.944,DOP
2015-03-20,65.878,67.02,65.74,66.816,DOP
2015-03-23,66.813,66.985,66.232,66.845,DOP
2015-03-24,66.767,67.0,66.266,66.401,DOP
2015-03-25,66.32,66.858,66.213,66.508,DOP
2015-03-26,66.435,67.019,66.104,66.372,DOP
2015-03-27,66.296,66.714,66.055,66.488,DOP
2015-03-30,66.411,66.591,65.849,66.215,DOP
2015-03-31,66.124,66.489,65.882,66.259,DOP
2015-04-01,66.179,66.504,65.83,66.266,DOP
2015-04-02,66.191,66.49,65.981,66.32,DOP
2015-04-03,66.238,66.886,66.162,66.66,DOP
2015-04-06,66.494,66.955,66.395,66.523,DOP
2015-04-07,66.441,66.706,66.088,66.197,DOP
2015-04-08,66.11,66.967,66.101,66.528,DOP
2015-04-09,66.442,66.621,65.62,65.847,DOP
2015-04-10,65.749,65.893,65.195,65.454,DOP
2015-04-13,65.39,65.679,65.082,65.638,DOP
2015-04-14,65.546,66.252,65.237,66.155,DOP
2015-04-15,66.064,66.486,65.704,66.433,DOP
2015-04-16,66.341,67.0,66.216,66.844,DOP
2015-04-17,66.757,67.388,66.68,66.983,DOP
2015-04-20,66.888,67.094,66.57,66.721,DOP
2015-04-21,66.631,67.026,66.408,66.794,DOP
2015-04-22,66.697,67.491,66.49,67.296,DOP
2015-04-23,67.213,67.468,66.888,67.424,DOP
2015-04-24,67.332,67.964,67.207,67.938,DOP
2015-04-27,67.766,68.305,67.489,68.2,DOP
2015-04-28,68.125,68.719,67.843,68.668,DOP
2015-04-29,68.591,69.444,68.518,69.162,DOP
2015-04-30,69.076,69.396,68.487,68.78,DOP
2015-05-01,68.702,68.99,67.626,67.824,DOP
2015-05-04,67.756,67.978,67.519,67.717,DOP
2015-05-05,67.633,68.153,67.499,67.972,DOP
2015-05-06,67.871,68.477,67.742,68.267,DOP
2015-05-07,68.177,68.431,67.82,68.308,DOP
2015-05-08,68.232,69.565,68.223,69.307,DOP
2015-05-11,69.174,70.025,68.936,69.911,DOP
2015-05-12,69.832,70.491,69.682,70.284,DOP
2015-05-13,70.175,70.671,70.027,70.579,DOP
2015-05-14,70.493,70.897,70.421,70.718,DOP
2015-05-15,70.636,70.879,70.3,70.51,DOP
2015-05-18,70.453,70.633,69.993,70.162,DOP
2015-05-19,70.067,70.252,69.163,69.562,DOP
2015-05-20,69.471,69.923,69.306,69.639,DOP
2015-05-21,69.532,70.372,69.483,70.04,DOP
2015-05-22,69.953,70.161,68.583,69.434,DOP
2015-05-25,69.319,69.886,68.538,69.037,DOP
2015-05-26,68.587,69.116,68.117,68.953,DOP
2015-05-27,68.87,69.189,67.962,68.844,DOP
2015-05-28,68.771,69.005,67.674,68.717,DOP
2015-05-29,68.622,68.835,67.607,68.563,DOP
2015-06-01,68.488,68.641,67.563,68.177,DOP
2015-06-02,68.096,68.89,67.527,68.803,DOP
2015-06-03,68.732,68.96,67.758,68.799,DOP
2015-06-04,68.705,69.244,68.538,68.914,DOP
2015-06-05,68.813,68.936,68.042,68.477,DOP
2015-06-08,68.345,68.976,67.736,68.908,DOP
2015-06-09,68.82,69.083,68.408,68.983,DOP
2015-06-10,68.905,69.788,68.716,69.716,DOP
2015-06-11,69.619,69.75,68.574,69.66,DOP
2015-06-12,69.556,69.905,68.654,69.757,DOP
2015-06-15,69.684,70.107,68.791,69.971,DOP
2015-06-16,69.883,70.284,69.248,70.262,DOP
2015-06-17,70.163,71.16,69.74,71.088,DOP
2015-06-18,70.998,71.525,70.477,71.306,DOP
2015-06-19,71.217,71.516,70.401,71.367,DOP
2015-06-22,71.227,71.516,70.876,71.031,DOP
2015-06-23,70.93,71.082,69.797,70.539,DOP
2015-06-24,70.45,71.0,69.863,70.567,DOP
2015-06-25,70.486,70.777,69.85,70.757,DOP
2015-06-26,70.679,70.822,69.735,70.782,DOP
2015-06-29,70.441,72.055,69.726,70.674,DOP
2015-06-30,70.596,70.879,69.983,70.536,DOP
2015-07-01,70.45,70.907,69.344,70.344,DOP
2015-07-02,70.227,70.762,69.242,70.139,DOP
2015-07-03,70.06,70.475,69.264,70.075,DOP
2015-07-06,69.836,70.492,69.015,70.151,DOP
2015-07-07,70.044,70.316,68.465,69.561,DOP
2015-07-08,69.473,69.701,68.177,69.31,DOP
2015-07-09,69.197,69.506,68.382,69.225,DOP
2015-07-10,69.144,70.199,68.875,69.818,DOP
2015-07-13,69.55,70.391,69.0,69.652,DOP
2015-07-14,69.559,70.987,69.284,70.378,DOP
2015-07-15,69.891,70.588,69.253,70.351,DOP
