Date,Open,High,Low,Close,Currency
2015-01-01,11.1361,11.1401,11.1132,11.1151,EGP
2015-01-02,11.1411,11.1444,10.9574,10.9593,EGP
2015-01-05,10.9617,10.9815,10.837,10.8883,EGP
2015-01-06,10.8713,10.9192,10.8244,10.8334,EGP
2015-01-07,10.8323,10.8377,10.7629,10.8041,EGP
2015-01-08,10.8029,10.8105,10.7479,10.789,EGP
2015-01-09,10.7872,10.8513,10.7779,10.8398,EGP
2015-01-12,10.8558,10.8634,10.7936,10.8484,EGP
2015-01-13,10.8466,10.8624,10.7779,10.8388,EGP
2015-01-14,10.8387,10.9177,10.8265,10.8913,EGP
2015-01-15,10.8916,10.9167,10.8308,10.8609,EGP
2015-01-16,10.8551,10.8941,10.7772,10.8327,EGP
2015-01-19,10.9202,11.0023,10.8828,10.9566,EGP
2015-01-20,10.9548,11.0968,10.9149,11.0559,EGP
2015-01-21,11.0544,11.1324,11.004,11.1302,EGP
2015-01-22,11.1286,11.2576,11.0771,11.1075,EGP
2015-01-23,11.1059,11.1278,11.0615,11.0923,EGP
2015-01-26,11.0889,11.237,11.08,11.22,EGP
2015-01-27,11.218,11.3261,11.2032,11.3066,EGP
2015-01-28,11.3058,11.3697,11.2731,11.3063,EGP
2015-01-29,11.3044,11.5005,11.2864,11.4359,EGP
2015-01-30,11.4343,11.4591,11.3759,11.437,EGP
2015-02-02,11.4638,11.4817,11.418,11.4455,EGP
2015-02-03,11.4439,11.595,11.4234,11.5722,EGP
2015-02-04,11.5717,11.6423,11.5382,11.5767,EGP
2015-02-05,11.5649,11.7095,11.5527,11.6949,EGP
2015-02-06,11.6953,11.7156,11.6029,11.6324,EGP
2015-02-09,11.6312,11.6484,11.5931,11.6095,EGP
2015-02-10,11.6075,11.6564,11.5809,11.6084,EGP
2015-02-11,11.6045,11.6823,11.5946,11.619,EGP
2015-02-12,11.6068,11.759,11.5923,11.7346,EGP
2015-02-13,11.7288,11.7651,11.7189,11.7461,EGP
2015-02-16,11.7479,11.7827,11.7006,11.7224,EGP
2015-02-17,11.7204,11.7541,11.6846,11.7152,EGP
2015-02-18,11.7136,11.8136,11.6968,11.777,EGP
2015-02-19,11.7746,11.8006,11.7394,11.7602,EGP
2015-02-20,11.7586,11.7773,11.7052,11.7507,EGP
2015-02-23,11.7372,11.8075,11.6884,11.793,EGP
2015-02-24,11.7899,11.8078,11.7502,11.7919,EGP
2015-02-25,11.7906,11.8567,11.7822,11.8483,EGP
2015-02-26,11.8471,11.867,11.7426,11.7548,EGP
2015-02-27,11.7525,11.7965,11.7357,11.7766,EGP
2015-03-02,11.7769,11.7846,11.7098,11.7228,EGP
2015-03-03,11.7204,11.7495,11.6983,11.7205,EGP
2015-03-04,11.7189,11.7296,11.6342,11.6465,EGP
2015-03-05,11.6457,11.651,11.6075,11.6289,EGP
2015-03-06,11.6266,11.6416,11.4656,11.4737,EGP
2015-03-09,11.474,11.5493,11.4625,11.5432,EGP
2015-03-10,11.5427,11.5473,11.4581,11.4985,EGP
2015-03-11,11.4946,11.5138,11.3626,11.3909,EGP
2015-03-12,11.3885,11.469,11.3208,11.3517,EGP
2015-03-13,11.3475,11.3639,11.2065,11.2472,EGP
2015-03-16,11.24,11.3304,11.2301,11.3105,EGP
2015-03-17,11.3048,11.3268,11.2321,11.2505,EGP
2015-03-18,11.2497,11.5549,11.1642,11.4245,EGP
2015-03-19,11.4192,11.4478,11.2047,11.2563,EGP
2015-03-20,11.255,11.4374,11.2314,11.4077,EGP
2015-03-23,11.4198,11.4378,11.3206,11.4089,EGP
2015-03-24,11.4069,11.434,11.3214,11.3318,EGP
2015-03-25,11.3306,11.4111,11.3119,11.3539,EGP
2015-03-26,11.3527,11.4374,11.2962,11.3306,EGP
2015-03-27,11.329,11.3867,11.2878,11.3516,EGP
2015-03-30,11.3512,11.3707,11.255,11.3012,EGP
2015-03-31,11.297,11.3519,11.2484,11.3025,EGP
2015-04-01,11.2964,11.3407,11.2365,11.31,EGP
2015-04-02,11.3084,11.35,11.269,11.3105,EGP
2015-04-03,11.3041,11.3994,11.2911,11.3811,EGP
2015-04-06,11.3756,11.431,11.3435,11.3539,EGP
2015-04-07,11.3512,11.3852,11.2909,11.2982,EGP
2015-04-08,11.2947,11.4241,11.2932,11.3432,EGP
2015-04-09,11.3412,11.3592,11.2008,11.2273,EGP
2015-04-10,11.223,11.2364,11.1284,11.1639,EGP
2015-04-13,11.1642,11.2063,11.1116,11.1978,EGP
2015-04-14,11.1932,11.2963,11.1406,11.2772,EGP
2015-04-15,11.2741,11.336,11.208,11.3245,EGP
2015-04-16,11.3214,11.4232,11.3,11.3958,EGP
2015-04-17,11.3924,11.4874,11.3794,11.4157,EGP
2015-04-20,11.4047,11.4324,11.35,11.3738,EGP
2015-04-21,11.371,11.4283,11.3254,11.3886,EGP
2015-04-22,11.3847,11.5088,11.3763,11.4729,EGP
2015-04-23,11.4702,11.4959,11.4047,11.4859,EGP
2015-04-24,11.4779,11.5867,11.4566,11.5851,EGP
2015-04-27,11.5724,11.6476,11.5214,11.6271,EGP
2015-04-28,11.6258,11.7068,11.5778,11.703,EGP
2015-04-29,11.7029,11.8251,11.693,11.7754,EGP
2015-04-30,11.77,11.8205,11.6747,11.7129,EGP
2015-05-01,11.7113,11.7487,11.5305,11.5527,EGP
2015-05-04,11.545,11.579,11.5085,11.537,EGP
2015-05-05,11.5343,11.6126,11.5114,11.5843,EGP
2015-05-06,11.5801,11.6717,11.5579,11.6282,EGP
2015-05-07,11.622,11.6561,11.561,11.6324,EGP
2015-05-08,11.6312,11.8453,11.6296,11.7934,EGP
2015-05-11,11.7838,11.9143,11.7364,11.8922,EGP
2015-05-12,11.8906,11.9922,11.8621,11.957,EGP
2015-05-13,11.9516,12.0282,11.9265,12.0099,EGP
2015-05-14,12.0033,12.072,11.9911,12.0336,EGP
2015-05-15,12.0277,12.0583,11.9705,11.9928,EGP
2015-05-18,11.9989,12.0176,11.9287,11.9429,EGP
2015-05-19,11.9387,11.9609,11.7845,11.8303,EGP
2015-05-20,11.8241,11.8956,11.7997,11.8552,EGP
2015-05-21,11.8502,11.9799,11.8418,11.9502,EGP
2015-05-22,11.9486,11.9724,11.7922,11.819,EGP
2015-05-25,11.8035,11.8307,11.7844,11.8041,EGP
2015-05-26,11.7998,11.811,11.6982,11.7385,EGP
2015-05-27,11.7372,11.78,11.6731,11.7159,EGP
2015-05-28,11.7151,11.7408,11.6373,11.6866,EGP
2015-05-29,11.6846,11.7079,11.6235,11.6667,EGP
2015-06-01,11.667,11.6801,11.5732,11.5984,EGP
2015-06-02,11.5976,11.7259,11.5732,11.7075,EGP
2015-06-03,11.7059,11.733,11.6289,11.7056,EGP
2015-06-04,11.7014,11.7828,11.6754,11.7239,EGP
2015-06-05,11.7197,11.7278,11.5884,11.6522,EGP
2015-06-08,11.6274,11.724,11.6015,11.7125,EGP
2015-06-09,11.7105,11.7434,11.6403,11.7396,EGP
2015-06-10,11.738,11.8674,11.7243,11.8498,EGP
2015-06-11,11.8463,11.8556,11.7655,11.8403,EGP
2015-06-12,11.8357,11.9017,11.7998,11.8712,EGP
2015-06-15,11.863,11.9097,11.8019,11.8997,EGP
2015-06-16,11.8942,11.9452,11.8523,11.9399,EGP
2015-06-17,11.9364,12.0925,11.9202,12.0803,EGP
2015-06-18,12.0783,12.1587,12.0577,12.1133,EGP
2015-06-19,12.1077,12.1255,12.0727,12.1156,EGP
2015-06-22,12.1065,12.141,12.0498,12.0746,EGP
2015-06-23,12.0722,12.0851,11.9743,11.9977,EGP
2015-06-24,11.9934,12.0601,11.9532,11.9838,EGP
2015-06-25,11.9806,12.0273,11.956,12.0068,EGP
2015-06-26,11.9977,12.0231,11.968,12.0109,EGP
2015-06-29,11.9652,12.0467,11.9438,12.0085,EGP
2015-06-30,12.0073,12.0391,11.9715,11.9864,EGP
2015-07-01,11.9852,11.9996,11.8944,11.9166,EGP
2015-07-02,11.9127,12.0867,11.8805,12.0619,EGP
2015-07-03,12.0564,12.0901,12.0162,12.0322,EGP
2015-07-06,12.1623,12.2316,11.9978,12.064,EGP
2015-07-07,12.0434,12.1958,12.0117,12.1064,EGP
2015-07-08,12.1044,12.1146,11.9942,12.0254,EGP
2015-07-09,12.0192,12.0692,12.012,12.0426,EGP
2015-07-10,12.0418,12.177,12.0277,12.1565,EGP
2015-07-13,12.1232,12.2074,12.1185,12.1275,EGP
2015-07-14,12.1248,12.2493,12.0935,12.2431,EGP
2015-07-15,12.2399,12.2744,12.1952,12.2439,EGP
2015-07-16,12.2438,12.2553,12.1811,12.2223,EGP
2015-07-17,12.2187,12.2713,12.1788,12.2219,EGP
2015-07-20,12.2203,12.238,12.1647,12.1879,EGP
2015-07-21,12.1835,12.2082,12.1576,12.1823,EGP
2015-07-22,12.1811,12.2508,12.171,12.2258,EGP
2015-07-23,12.2258,12.2717,12.1349,12.1471,EGP
2015-07-24,12.1459,12.1578,12.1091,12.1475,EGP
2015-07-27,12.1428,12.2122,12.1279,12.1823,EGP
2015-07-28,12.1803,12.238,12.1569,12.2247,EGP
2015-07-29,12.2218,12.2865,12.196,12.2184,EGP
2015-07-30,12.2109,12.249,12.1757,12.2122,EGP
2015-07-31,12.2062,12.2767,12.1655,12.2337,EGP
2015-08-03,12.2328,12.256,12.185,12.2012,EGP
2015-08-04,12.196,12.2418,12.171,12.1832,EGP
2015-08-05,12.1757,12.256,12.1475,12.2169,EGP
2015-08-06,12.2148,12.2447,12.1099,12.1459,EGP
2015-08-07,12.1428,12.1715,12.0754,12.1338,EGP
2015-08-10,12.1209,12.2223,12.0951,12.2082,EGP
2015-08-11,12.2038,12.2289,12.1702,12.1898,EGP
2015-08-12,12.182,12.263,12.1538,12.2263,EGP
2015-08-13,12.2203,12.245,12.1874,12.2238,EGP
2015-08-14,12.2203,12.2614,12.2038,12.2481,EGP
2015-08-17,12.2383,12.2869,12.1968,12.2031,EGP
2015-08-18,12.1991,12.3143,12.178,12.2587,EGP
2015-08-19,12.2508,12.2935,12.2406,12.2771,EGP
2015-08-20,12.2751,12.2987,12.2164,12.2798,EGP
2015-08-21,12.2735,12.3088,12.25,12.2869,EGP
2015-08-24,12.2845,12.3739,12.2367,12.3519,EGP
2015-08-25,12.351,12.3876,12.2751,12.2842,EGP
2015-08-26,12.2821,12.3088,12.0966,12.1044,EGP
2015-08-27,12.1044,12.1437,12.0331,12.0583,EGP
2015-08-28,12.0574,12.0932,12.0057,12.0525,EGP
2015-08-31,12.0527,12.0872,12.0073,12.0137,EGP
2015-09-01,12.0128,12.0696,11.9699,11.9789,EGP
2015-09-02,11.9738,12.0011,11.9441,11.9808,EGP
2015-09-03,11.9768,11.996,11.9149,11.9428,EGP
2015-09-04,11.937,11.9569,11.8627,11.8756,EGP
2015-09-07,11.8768,11.9713,11.869,11.9565,EGP
2015-09-08,11.9595,12.0685,11.9533,12.0551,EGP
2015-09-09,12.0543,12.0625,12.0122,12.0305,EGP
2015-09-10,12.0308,12.1189,12.0081,12.0939,EGP
2015-09-11,12.0895,12.1088,12.0566,12.0814,EGP
2015-09-14,12.0739,12.1146,12.0355,12.0786,EGP
2015-09-15,12.077,12.1029,11.9995,12.0129,EGP
2015-09-16,12.0112,12.1593,11.9942,12.1311,EGP
2015-09-17,12.1271,12.236,12.124,12.2039,EGP
2015-09-18,12.1976,12.2571,12.1381,12.1578,EGP
2015-09-21,12.1623,12.1903,12.1193,12.1425,EGP
2015-09-22,12.1381,12.1608,12.0097,12.0316,EGP
2015-09-23,12.0269,12.0344,11.9157,11.9373,EGP
2015-09-24,11.9329,11.9713,11.9,11.9337,EGP
2015-09-25,11.9329,11.9495,11.8491,11.8876,EGP
2015-09-28,11.8867,11.9341,11.8664,11.8809,EGP
2015-09-29,11.8789,11.9079,11.8437,11.8633,EGP
2015-09-30,11.8601,11.9126,11.8272,11.846,EGP
2015-10-01,11.8444,11.8872,11.828,11.8472,EGP
2015-10-02,11.8452,11.9315,11.8413,11.8876,EGP
2015-10-05,11.8836,11.9373,11.8499,11.859,EGP
2015-10-06,11.857,11.9389,11.8523,11.9224,EGP
2015-10-07,11.9204,12.014,11.9157,11.9945,EGP
2015-10-08,11.9909,12.0403,11.947,12.0183,EGP
2015-10-09,12.0159,12.0458,11.9776,11.9831,EGP
2015-10-12,11.9932,12.038,11.9869,12.0152,EGP
2015-10-13,12.0167,12.0489,11.9,11.9377,EGP
2015-10-14,11.9368,12.1354,11.9361,12.119,EGP
2015-10-15,12.1154,12.3019,12.0524,12.2574,EGP
2015-10-16,12.2534,12.2809,12.2336,12.2404,EGP
2015-10-19,12.3927,12.4442,12.3863,12.4161,EGP
2015-10-20,12.4152,12.4506,12.2516,12.3992,EGP
2015-10-21,12.3983,12.4309,12.3726,12.3819,EGP
2015-10-22,12.379,12.4534,12.3397,12.3619,EGP
2015-10-23,12.3598,12.3824,12.2875,12.2972,EGP
2015-10-26,12.2915,12.3518,12.2867,12.3261,EGP
2015-10-27,12.3277,12.3341,12.2698,12.2828,EGP
2015-10-28,12.2819,12.3237,12.2417,12.2546,EGP
2015-10-29,12.2538,12.3065,12.2377,12.2944,EGP
2015-10-30,12.2931,12.4208,12.2875,12.3895,EGP
2015-11-02,12.4007,12.4462,12.367,12.3795,EGP
2015-11-03,12.3782,12.4035,12.3317,12.3844,EGP
2015-11-04,12.3807,12.4048,12.3309,12.3558,EGP
2015-11-05,12.3525,12.3679,12.2064,12.2105,EGP
2015-11-06,12.2088,12.223,12.0635,12.0848,EGP
2015-11-09,12.0827,12.1479,12.0755,12.1374,EGP
2015-11-10,12.1349,12.1623,12.1165,12.139,EGP
2015-11-11,12.1381,12.1947,11.857,11.9115,EGP
2015-11-12,11.9071,11.9376,11.8789,11.926,EGP
2015-11-13,11.9259,11.9529,11.8899,11.9279,EGP
2015-11-16,11.9353,11.9362,11.8852,11.9009,EGP
2015-11-17,11.9008,11.9335,11.8648,11.9131,EGP
2015-11-18,11.9086,11.94,11.8899,11.9306,EGP
2015-11-19,11.929,12.0086,11.9188,11.9726,EGP
2015-11-20,11.9713,11.9889,11.8859,11.8951,EGP
2015-11-23,11.8906,11.8998,11.8264,11.8425,EGP
2015-11-24,11.8405,11.8696,11.7849,11.8132,EGP
2015-11-25,11.8045,11.8516,11.7865,11.8453,EGP
2015-11-26,11.8452,11.8489,11.7943,11.8262,EGP
2015-11-27,11.8217,11.83,11.7669,11.7744,EGP
2015-11-30,11.7732,11.8002,11.738,11.7893,EGP
2015-12-01,11.7873,11.8438,11.7826,11.8085,EGP
2015-12-02,11.8069,11.8128,11.6612,11.7071,EGP
2015-12-03,11.7051,11.8696,11.6683,11.8578,EGP
2015-12-04,11.857,11.8685,11.8045,11.8331,EGP
2015-12-07,11.821,11.8359,11.7763,11.7866,EGP
2015-12-08,11.7873,11.7936,11.709,11.7514,EGP
2015-12-09,11.7505,11.8947,11.7458,11.8868,EGP
2015-12-10,11.8812,11.9032,11.8311,11.8696,EGP
2015-12-11,11.8695,11.9335,11.8413,11.9154,EGP
2015-12-14,11.9133,11.9268,11.8272,11.8562,EGP
2015-12-15,11.8554,11.8939,11.7646,11.7756,EGP
2015-12-16,11.7716,11.8246,11.7152,11.7478,EGP
2015-12-17,11.7442,11.7477,11.6369,11.6671,EGP
2015-12-18,11.6667,11.7072,11.6534,11.6624,EGP
2015-12-21,11.6636,11.6914,11.6471,11.6555,EGP
2015-12-22,11.6495,11.673,11.59,11.6081,EGP
2015-12-23,11.6095,11.67,11.6001,11.6448,EGP
2015-12-24,11.6424,11.7027,11.6362,11.6785,EGP
2015-12-25,11.6784,11.7027,11.6495,11.6927,EGP
2015-12-28,11.6737,11.6942,11.6432,11.6487,EGP
2015-12-29,11.6479,11.6785,11.5751,11.5978,EGP
2015-12-30,11.597,11.6296,11.5806,11.6014,EGP
2015-12-31,11.5978,11.6238,11.5273,11.5407,EGP
2016-01-01,11.5367,11.5822,11.5367,11.5478,EGP
2016-01-04,11.5461,11.6006,11.4796,11.5238,EGP
2016-01-05,11.5187,11.5337,11.46,11.4906,EGP
2016-01-06,11.4874,11.4969,11.4318,11.4531,EGP
2016-01-07,11.4537,11.4652,11.377,11.4456,EGP
2016-01-08,11.4428,11.4684,11.3566,11.3689,EGP
2016-01-11,11.3692,11.435,11.3465,11.3864,EGP
2016-01-12,11.3833,11.4025,11.2361,11.3125,EGP
2016-01-13,11.3089,11.3347,11.258,11.2807,EGP
2016-01-14,11.2775,11.3113,11.2423,11.2862,EGP
2016-01-15,11.2846,11.2995,11.1554,11.1641,EGP
2016-01-18,11.1648,11.2157,11.1444,11.1524,EGP
2016-01-19,11.1507,11.2276,11.0614,11.0827,EGP
2016-01-20,11.0834,11.1344,11.0583,11.1117,EGP
2016-01-21,11.1108,11.1575,11.0239,11.1348,EGP
2016-01-22,11.1327,11.2468,11.1202,11.17,EGP
2016-01-25,11.1718,11.2056,11.135,11.157,EGP
2016-01-26,11.1554,11.2502,11.0959,11.2377,EGP
2016-01-27,11.2345,11.2404,11.139,11.1449,EGP
2016-01-28,11.1421,11.2847,11.1413,11.2455,EGP
2016-01-29,11.2439,11.2874,11.0771,11.1559,EGP
2016-02-01,11.1491,11.3129,11.1374,11.3011,EGP
2016-02-02,11.3003,11.3124,11.2157,11.2835,EGP
2016-02-03,11.2822,11.4734,11.2603,11.435,EGP
2016-02-04,11.4318,11.4866,11.3746,11.4232,EGP
2016-02-05,11.4224,11.4276,11.3144,11.3556,EGP
2016-02-08,11.3535,11.3903,11.2368,11.3003,EGP
2016-02-09,11.2971,11.3668,11.2564,11.3316,EGP
2016-02-10,11.3292,11.4154,11.3112,11.3708,EGP
2016-02-11,11.3692,11.4044,11.2611,11.3355,EGP
2016-02-12,11.3347,11.4095,11.3073,11.3594,EGP
2016-02-15,11.3527,11.3826,11.2838,11.3026,EGP
2016-02-16,11.3026,11.3673,11.1781,11.2012,EGP
2016-02-17,11.1977,11.2294,11.1444,11.1943,EGP
2016-02-18,11.1922,11.2741,11.1609,11.2256,EGP
2016-02-19,11.2204,11.2835,11.1538,11.2804,EGP
2016-02-22,11.2783,11.2799,11.0058,11.0796,EGP
2016-02-23,11.0779,11.0838,10.9651,10.9796,EGP
2016-02-24,10.9784,10.9848,10.8649,10.9049,EGP
2016-02-25,10.9017,10.9598,10.8814,10.9331,EGP
2016-02-26,10.9307,10.9977,10.8461,10.8606,EGP
2016-02-29,10.8586,10.9206,10.8312,10.8963,EGP
2016-03-01,10.8962,10.9765,10.8853,10.9217,EGP
2016-03-02,10.9197,11.0357,10.8931,11.0232,EGP
2016-03-03,11.0215,11.1178,10.9855,11.1006,EGP
2016-03-04,11.1006,11.1574,11.0442,11.1402,EGP
2016-03-07,11.1429,11.1849,11.0654,11.17,EGP
2016-03-08,11.1687,11.1782,11.0959,11.1273,EGP
2016-03-09,11.1249,11.1524,11.0982,11.1351,EGP
2016-03-10,11.1319,11.2123,11.0528,11.1793,EGP
2016-03-11,11.1773,11.3046,11.1585,11.2655,EGP
2016-03-14,11.2611,12.8749,11.2407,12.7989,EGP
2016-03-15,12.7984,12.8065,12.6525,12.6669,EGP
2016-03-16,12.6614,12.6757,12.4958,12.6624,EGP
2016-03-17,12.6601,12.8786,12.6263,12.8573,EGP
2016-03-18,12.8572,12.8906,12.7942,12.8586,EGP
2016-03-21,12.8572,12.8587,12.7532,12.7582,EGP
2016-03-22,12.7567,12.7853,12.5988,12.6166,EGP
2016-03-23,12.6139,12.6343,12.385,12.5358,EGP
2016-03-24,12.5322,12.602,12.3262,12.5682,EGP
2016-03-25,12.5668,12.5732,12.5269,12.5589,EGP
2016-03-28,12.5446,12.6823,12.421,12.6575,EGP
2016-03-29,12.6556,12.7951,12.4981,12.7738,EGP
2016-03-30,12.7675,12.8405,12.6148,12.7693,EGP
2016-03-31,12.7657,12.8125,12.599,12.753,EGP
2016-04-01,12.7506,12.768,12.5819,12.6331,EGP
2016-04-04,12.6254,12.7179,12.4508,12.6654,EGP
2016-04-05,12.6635,12.7348,12.4306,12.5749,EGP
2016-04-06,12.5731,12.5838,12.2824,12.5393,EGP
2016-04-07,12.5358,12.5727,12.3245,12.4821,EGP
2016-04-08,12.4807,12.5602,12.4656,12.5442,EGP
2016-04-11,12.5402,12.6858,12.4315,12.6459,EGP
2016-04-12,12.6432,12.7418,12.5113,12.6761,EGP
2016-04-13,12.6743,12.6806,12.456,12.6122,EGP
2016-04-14,12.6112,12.6201,12.385,12.5686,EGP
2016-04-15,12.5686,12.6459,12.5473,12.6051,EGP
2016-04-18,12.6272,12.6894,12.4227,12.6753,EGP
2016-04-19,12.6769,12.8044,12.5516,12.7814,EGP
2016-04-20,12.7791,12.7973,12.6007,12.7281,EGP
2016-04-21,12.7258,12.8235,12.5578,12.7188,EGP
2016-04-22,12.7169,12.833,12.7071,12.7894,EGP
2016-04-25,12.7977,12.8945,12.7871,12.86,EGP
2016-04-26,12.859,13.0003,12.7568,12.9488,EGP
2016-04-27,12.9469,12.986,12.777,12.9141,EGP
2016-04-28,12.9105,12.9852,12.7753,12.9736,EGP
2016-04-29,12.9709,13.0282,12.9425,12.9767,EGP
2016-05-02,12.9726,13.0499,12.9433,13.0286,EGP
2016-05-03,13.0277,13.1156,12.8138,12.9062,EGP
2016-05-04,12.9069,12.9398,12.6832,12.8689,EGP
2016-05-05,12.8705,12.9056,12.6656,12.8631,EGP
2016-05-06,12.859,12.9146,12.7968,12.8142,EGP
2016-05-09,12.8119,12.8572,12.6376,12.7934,EGP
2016-05-10,12.7924,12.8572,12.6507,12.8262,EGP
2016-05-11,12.8226,12.868,12.6218,12.8298,EGP
2016-05-12,12.8279,12.9061,12.6586,12.8315,EGP
2016-05-13,12.8306,12.8387,12.732,12.7534,EGP
2016-05-16,12.74,12.8058,12.5674,12.788,EGP
2016-05-17,12.7835,12.8986,12.6762,12.8435,EGP
2016-05-18,12.8386,12.9984,12.6349,12.9639,EGP
2016-05-19,12.962,13.0233,12.8156,12.9754,EGP
2016-05-20,12.9735,12.978,12.859,12.8769,EGP
2016-05-23,12.8785,12.9208,12.6814,12.8622,EGP
2016-05-24,12.8599,13.0056,12.7796,12.9967,EGP
2016-05-25,12.9948,13.0801,12.8288,13.0499,EGP
2016-05-26,13.0481,13.0889,12.8805,13.0278,EGP
2016-05-27,13.025,13.0473,12.9647,12.9869,EGP
2016-05-30,12.9682,13.001,12.7928,12.9993,EGP
2016-05-31,12.9983,13.0747,12.7858,12.8564,EGP
2016-06-01,12.8554,12.8821,12.6551,12.8013,EGP
2016-06-02,12.7995,12.8529,12.6463,12.8075,EGP
2016-06-03,12.8066,12.9488,12.7844,12.8937,EGP
2016-06-06,12.8874,12.8981,12.6148,12.8235,EGP
2016-06-07,12.8235,13.0046,12.7674,12.915,EGP
2016-06-08,12.9114,12.9648,12.7437,12.8777,EGP
2016-06-09,12.875,12.9003,12.6683,12.84,EGP
2016-06-10,12.8377,12.8529,12.589,12.661,EGP
2016-06-13,12.6592,12.7072,12.3762,12.6734,EGP
2016-06-14,12.6725,12.6748,12.3596,12.5354,EGP
2016-06-15,12.5313,12.6286,12.4402,12.6144,EGP
2016-06-16,12.6121,12.657,12.3859,12.6118,EGP
2016-06-17,12.6112,12.7769,12.6041,12.7494,EGP
2016-06-20,12.7453,13.0731,12.7453,13.0526,EGP
2016-06-21,13.0517,13.1264,12.87,13.0073,EGP
2016-06-22,13.0046,13.1224,12.8481,13.0602,EGP
2016-06-23,13.0579,13.2729,12.9735,13.2125,EGP
2016-06-24,13.2044,13.3377,11.7428,12.1477,EGP
2016-06-27,12.0438,12.046,11.5685,11.746,EGP
2016-06-28,11.7375,11.9301,11.6378,11.7143,EGP
2016-06-29,11.6992,12.0191,11.6492,11.9223,EGP
2016-06-30,11.9239,11.9852,11.7232,11.8201,EGP
