Date,Open,High,Low,Close,Currency
2015-01-01,0.3427,0.3427,0.3425,0.3425,BRL
2015-01-02,0.3425,0.3491,0.3425,0.3475,BRL
2015-01-04,0.3474,0.3474,0.3474,0.3474,BRL
2015-01-05,0.3474,0.352,0.3473,0.3495,BRL
2015-01-06,0.349,0.3511,0.3472,0.3487,BRL
2015-01-07,0.3482,0.3491,0.345,0.3461,BRL
2015-01-08,0.3461,0.3484,0.3432,0.3438,BRL
2015-01-09,0.3434,0.3449,0.3392,0.3392,BRL
2015-01-11,0.3392,0.3392,0.3392,0.3392,BRL
2015-01-12,0.3392,0.345,0.3384,0.345,BRL
2015-01-13,0.3448,0.346,0.339,0.3406,BRL
2015-01-14,0.3409,0.3421,0.3359,0.3374,BRL
2015-01-15,0.3373,0.3411,0.335,0.3411,BRL
2015-01-16,0.3408,0.3411,0.3374,0.3383,BRL
2015-01-18,0.3382,0.3383,0.3382,0.3382,BRL
2015-01-19,0.3382,0.3436,0.3379,0.342,BRL
2015-01-20,0.342,0.3421,0.3365,0.3372,BRL
2015-01-21,0.3373,0.3373,0.3336,0.3355,BRL
2015-01-22,0.3355,0.3356,0.329,0.3324,BRL
2015-01-23,0.332,0.335,0.3317,0.3328,BRL
2015-01-25,0.3328,0.3328,0.3328,0.3328,BRL
2015-01-26,0.333,0.3363,0.3327,0.3334,BRL
2015-01-27,0.3332,0.3352,0.3309,0.3316,BRL
2015-01-28,0.3319,0.3342,0.3312,0.3319,BRL
2015-01-29,0.3324,0.3376,0.3322,0.3361,BRL
2015-01-30,0.3359,0.3473,0.3358,0.3456,BRL
2015-02-01,0.346,0.3462,0.346,0.3462,BRL
2015-02-02,0.3462,0.352,0.3438,0.3518,BRL
2015-02-03,0.3517,0.3519,0.3468,0.3477,BRL
2015-02-04,0.3475,0.3545,0.3473,0.3537,BRL
2015-02-05,0.3537,0.3563,0.3512,0.3541,BRL
2015-02-06,0.3541,0.359,0.354,0.359,BRL
2015-02-08,0.359,0.359,0.359,0.359,BRL
2015-02-09,0.359,0.3604,0.3567,0.3574,BRL
2015-02-10,0.3572,0.3661,0.3571,0.3653,BRL
2015-02-11,0.3656,0.3716,0.3654,0.37,BRL
2015-02-12,0.37,0.3711,0.3635,0.3643,BRL
2015-02-13,0.3637,0.3684,0.3632,0.3649,BRL
2015-02-15,0.3653,0.3655,0.3653,0.3655,BRL
2015-02-16,0.3655,0.3655,0.3645,0.3647,BRL
2015-02-17,0.3647,0.3651,0.3646,0.3646,BRL
2015-02-18,0.3647,0.3672,0.3646,0.3657,BRL
2015-02-19,0.3657,0.3698,0.3657,0.3695,BRL
2015-02-20,0.3695,0.3718,0.368,0.3695,BRL
2015-02-22,0.3696,0.3699,0.3696,0.3699,BRL
2015-02-23,0.3698,0.3739,0.3691,0.3709,BRL
2015-02-24,0.3711,0.3717,0.365,0.3692,BRL
2015-02-25,0.3688,0.372,0.3651,0.3704,BRL
2015-02-26,0.3705,0.3751,0.3665,0.3751,BRL
2015-02-27,0.375,0.3763,0.366,0.366,BRL
2015-03-01,0.3661,0.3665,0.3661,0.3665,BRL
2015-03-02,0.3665,0.3735,0.366,0.3735,BRL
2015-03-03,0.3735,0.3784,0.373,0.3784,BRL
2015-03-04,0.3782,0.3867,0.3779,0.3838,BRL
2015-03-05,0.3838,0.3857,0.3838,0.3857,BRL
2015-03-06,0.3872,0.3872,0.3872,0.3872,BRL
2015-03-08,0.3947,0.3947,0.3947,0.3947,BRL
2015-03-09,0.3947,0.3947,0.3947,0.3947,BRL
2015-03-10,0.4029,0.4029,0.4029,0.4029,BRL
2015-03-11,0.4002,0.4002,0.4002,0.4002,BRL
2015-03-12,0.403,0.403,0.403,0.403,BRL
2015-03-13,0.4077,0.4077,0.4077,0.4077,BRL
2015-03-15,0.4183,0.4183,0.4183,0.4183,BRL
2015-03-16,0.4183,0.4183,0.4183,0.4183,BRL
2015-03-17,0.4181,0.4181,0.4181,0.4181,BRL
2015-03-18,0.4187,0.4187,0.4187,0.4187,BRL
2015-03-19,0.4153,0.4153,0.4153,0.4153,BRL
2015-03-20,0.4246,0.4246,0.4246,0.4246,BRL
2015-03-22,0.4163,0.4163,0.4163,0.4163,BRL
2015-03-23,0.4163,0.4163,0.4163,0.4163,BRL
2015-03-24,0.4038,0.4038,0.4038,0.4038,BRL
2015-03-25,0.4049,0.4049,0.4049,0.4049,BRL
2015-03-26,0.4127,0.4127,0.4127,0.4127,BRL
2015-03-27,0.4105,0.4105,0.4105,0.4105,BRL
2015-03-29,0.4189,0.4189,0.4189,0.4189,BRL
2015-03-30,0.4187,0.4187,0.4187,0.4187,BRL
2015-03-31,0.4165,0.4165,0.4165,0.4165,BRL
2015-04-01,0.4117,0.4117,0.4117,0.4117,BRL
2015-04-02,0.4086,0.4086,0.4086,0.4086,BRL
2015-04-03,0.4032,0.4032,0.4032,0.4032,BRL
2015-04-05,0.4026,0.4026,0.4026,0.4026,BRL
2015-04-06,0.4033,0.4033,0.4033,0.4033,BRL
2015-04-07,0.4033,0.4059,0.4012,0.4037,BRL
2015-04-08,0.4036,0.4039,0.3931,0.3931,BRL
2015-04-09,0.3935,0.3965,0.3902,0.3948,BRL
2015-04-10,0.3947,0.3991,0.3945,0.3971,BRL
2015-04-12,0.3969,0.397,0.3969,0.397,BRL
2015-04-13,0.397,0.4037,0.3965,0.4029,BRL
2015-04-14,0.4029,0.4033,0.3942,0.3959,BRL
2015-04-15,0.3959,0.3989,0.3904,0.3904,BRL
2015-04-16,0.3908,0.3923,0.3871,0.39,BRL
2015-04-17,0.3899,0.396,0.388,0.3926,BRL
2015-04-19,0.3922,0.3923,0.3922,0.3923,BRL
2015-04-20,0.3922,0.3944,0.3901,0.3911,BRL
2015-04-21,0.3913,0.3928,0.3909,0.3915,BRL
2015-04-22,0.3911,0.3917,0.3867,0.3879,BRL
2015-04-23,0.3881,0.3911,0.3832,0.3832,BRL
2015-04-24,0.3835,0.3857,0.3809,0.3809,BRL
2015-04-26,0.3807,0.3809,0.3807,0.3809,BRL
2015-04-27,0.3809,0.3818,0.3744,0.3768,BRL
2015-04-28,0.3763,0.3798,0.3719,0.3789,BRL
2015-04-29,0.3791,0.3823,0.3761,0.3811,BRL
2015-04-30,0.3814,0.3896,0.3805,0.3885,BRL
2015-05-01,0.3891,0.3975,0.3889,0.3889,BRL
2015-05-03,0.3889,0.3891,0.3889,0.3891,BRL
2015-05-04,0.3891,0.399,0.3887,0.398,BRL
2015-05-05,0.3981,0.3987,0.3927,0.3938,BRL
2015-05-06,0.3943,0.3964,0.39,0.3919,BRL
2015-05-07,0.3912,0.3949,0.389,0.39,BRL
2015-05-08,0.3901,0.392,0.3837,0.3837,BRL
2015-05-10,0.3837,0.3839,0.3837,0.3839,BRL
