Date,Open,High,Low,Close,Currency
2015-01-01,0.1282,0.1283,0.1281,0.1282,CHF
2015-01-02,0.1282,0.1291,0.128,0.1291,CHF
2015-01-05,0.1291,0.1303,0.129,0.1298,CHF
2015-01-06,0.1298,0.1304,0.1295,0.1303,CHF
2015-01-07,0.1303,0.1312,0.1302,0.1308,CHF
2015-01-08,0.1308,0.1318,0.1307,0.1313,CHF
2015-01-09,0.1313,0.1318,0.1307,0.1308,CHF
2015-01-12,0.1308,0.1314,0.1304,0.1309,CHF
2015-01-13,0.1309,0.1318,0.1306,0.1316,CHF
2015-01-14,0.1316,0.1321,0.1307,0.1313,CHF
2015-01-15,0.1314,0.1318,0.096,0.1107,CHF
2015-01-16,0.1107,0.1137,0.109,0.1106,CHF
2015-01-19,0.1107,0.1136,0.1106,0.1134,CHF
2015-01-20,0.1134,0.1141,0.112,0.1129,CHF
2015-01-21,0.113,0.1132,0.1096,0.1109,CHF
2015-01-22,0.1109,0.1129,0.1099,0.1124,CHF
2015-01-23,0.1123,0.1138,0.1119,0.1136,CHF
2015-01-26,0.1135,0.1167,0.113,0.1165,CHF
2015-01-27,0.1164,0.1183,0.1152,0.1165,CHF
2015-01-28,0.1165,0.1173,0.1158,0.1168,CHF
2015-01-29,0.1167,0.1193,0.1166,0.1192,CHF
2015-01-30,0.1191,0.1199,0.1182,0.1188,CHF
2015-02-02,0.1187,0.1205,0.1186,0.1197,CHF
2015-02-03,0.1197,0.12,0.1184,0.1192,CHF
2015-02-04,0.1192,0.1196,0.1187,0.1195,CHF
2015-02-05,0.1195,0.1202,0.1187,0.1189,CHF
2015-02-06,0.1188,0.1199,0.1183,0.1194,CHF
2015-02-09,0.1195,0.1198,0.1186,0.1191,CHF
2015-02-10,0.1191,0.1197,0.1188,0.1195,CHF
2015-02-11,0.1195,0.12,0.1189,0.1197,CHF
2015-02-12,0.1198,0.1205,0.1193,0.12,CHF
2015-02-13,0.12,0.1204,0.1194,0.1202,CHF
2015-02-16,0.1201,0.1204,0.1196,0.1202,CHF
2015-02-17,0.1201,0.1209,0.1197,0.1207,CHF
2015-02-18,0.1207,0.1219,0.12,0.1215,CHF
2015-02-19,0.1214,0.1224,0.1209,0.1224,CHF
2015-02-20,0.1223,0.123,0.1208,0.1212,CHF
2015-02-23,0.1209,0.1229,0.1209,0.1225,CHF
2015-02-24,0.1224,0.1229,0.1219,0.1225,CHF
2015-02-25,0.1225,0.1227,0.1219,0.1222,CHF
2015-02-26,0.1222,0.1231,0.1218,0.1229,CHF
2015-02-27,0.1228,0.1232,0.1218,0.123,CHF
2015-03-02,0.123,0.1237,0.1228,0.1235,CHF
2015-03-03,0.1236,0.124,0.1232,0.124,CHF
2015-03-04,0.1239,0.1248,0.1236,0.1242,CHF
2015-03-05,0.1242,0.1258,0.1241,0.1256,CHF
2015-03-06,0.1256,0.1271,0.1252,0.1271,CHF
2015-03-09,0.127,0.1273,0.1265,0.127,CHF
2015-03-10,0.127,0.1288,0.1269,0.1288,CHF
2015-03-11,0.1288,0.1301,0.1284,0.1299,CHF
2015-03-12,0.1299,0.1304,0.1284,0.129,CHF
2015-03-13,0.129,0.1302,0.1289,0.1294,CHF
2015-03-16,0.1294,0.1298,0.129,0.1298,CHF
2015-03-17,0.1297,0.13,0.1288,0.1296,CHF
2015-03-18,0.1296,0.1298,0.1241,0.1261,CHF
2015-03-19,0.1261,0.1287,0.1258,0.1276,CHF
2015-03-20,0.1276,0.1278,0.1253,0.1258,CHF
2015-03-23,0.1255,0.1265,0.1242,0.1246,CHF
2015-03-24,0.1245,0.125,0.1229,0.1235,CHF
2015-03-25,0.1235,0.124,0.1231,0.1237,CHF
2015-03-26,0.1238,0.1245,0.1223,0.1242,CHF
2015-03-27,0.1241,0.125,0.1232,0.124,CHF
2015-03-30,0.1239,0.1249,0.1238,0.1247,CHF
2015-03-31,0.1246,0.1258,0.1245,0.1255,CHF
2015-04-01,0.1254,0.1256,0.1243,0.1247,CHF
2015-04-02,0.1247,0.1248,0.1233,0.1238,CHF
2015-04-03,0.1238,0.1239,0.1222,0.1228,CHF
2015-04-06,0.1226,0.124,0.1224,0.1237,CHF
2015-04-07,0.1236,0.1248,0.1232,0.1246,CHF
2015-04-08,0.1247,0.1248,0.1238,0.1247,CHF
2015-04-09,0.1247,0.1264,0.1246,0.1261,CHF
2015-04-10,0.1261,0.127,0.1258,0.1264,CHF
2015-04-13,0.1263,0.1273,0.1258,0.1262,CHF
2015-04-14,0.1262,0.1264,0.1247,0.1255,CHF
2015-04-15,0.1255,0.126,0.1242,0.1245,CHF
2015-04-16,0.1244,0.1253,0.123,0.1233,CHF
2015-04-17,0.1233,0.1236,0.1224,0.1228,CHF
2015-04-20,0.1226,0.1239,0.1225,0.1234,CHF
2015-04-21,0.1234,0.1242,0.1226,0.1232,CHF
2015-04-22,0.1233,0.1254,0.1226,0.1254,CHF
2015-04-23,0.1254,0.1254,0.1229,0.1232,CHF
2015-04-24,0.1232,0.1236,0.1226,0.1231,CHF
2015-04-27,0.1231,0.1236,0.1224,0.1232,CHF
2015-04-28,0.1232,0.1238,0.1225,0.1232,CHF
2015-04-29,0.1233,0.1235,0.1204,0.1212,CHF
2015-04-30,0.1211,0.1219,0.1201,0.1203,CHF
2015-05-01,0.1203,0.1206,0.1196,0.1203,CHF
2015-05-04,0.1204,0.121,0.12,0.1205,CHF
2015-05-05,0.1204,0.1214,0.1191,0.1195,CHF
2015-05-06,0.1195,0.1197,0.1175,0.1182,CHF
2015-05-07,0.1182,0.119,0.1169,0.1189,CHF
2015-05-08,0.1189,0.1202,0.1186,0.12,CHF
2015-05-11,0.1201,0.1206,0.1198,0.1205,CHF
2015-05-12,0.1205,0.1207,0.1187,0.1199,CHF
2015-05-13,0.1198,0.12,0.118,0.1182,CHF
2015-05-14,0.1183,0.1184,0.117,0.1177,CHF
