Date,Open,High,Low,Close,Currency
2015-01-01,2.9475,2.955,2.9427,2.9516,CZK
2015-01-02,2.9504,2.9773,2.946,2.9743,CZK
2015-01-05,2.9733,3.0036,2.9719,2.992,CZK
2015-01-06,2.9895,3.0046,2.98,3.0004,CZK
2015-01-07,2.9992,3.045,2.9961,3.0343,CZK
2015-01-08,3.0333,3.0603,3.0282,3.0498,CZK
2015-01-09,3.0467,3.0898,3.0396,3.0639,CZK
2015-01-12,3.0616,3.1128,3.0517,3.0863,CZK
2015-01-13,3.0842,3.1239,3.0663,3.0789,CZK
2015-01-14,3.0756,3.1085,3.0611,3.0667,CZK
2015-01-15,3.0654,3.1202,3.0564,3.0976,CZK
2015-01-16,3.0943,3.135,3.0746,3.1059,CZK
2015-01-19,3.104,3.1143,3.087,3.1054,CZK
2015-01-20,3.102,3.1286,3.0875,3.1158,CZK
2015-01-21,3.1123,3.1247,3.0895,3.1066,CZK
2015-01-22,3.1033,3.1827,3.087,3.1629,CZK
2015-01-23,3.1596,3.2277,3.1543,3.1928,CZK
2015-01-26,3.191,3.2023,3.1664,3.1866,CZK
2015-01-27,3.1837,3.192,3.1439,3.1629,CZK
2015-01-28,3.157,3.1787,3.144,3.1736,CZK
2015-01-29,3.1704,3.1807,3.1531,3.1633,CZK
2015-01-30,3.16,3.1761,3.1517,3.168,CZK
2015-02-02,3.1693,3.1734,3.1464,3.1601,CZK
2015-02-03,3.1568,3.1702,3.1017,3.1204,CZK
2015-02-04,3.1183,3.1623,3.114,3.154,CZK
2015-02-05,3.1502,3.167,3.1077,3.1166,CZK
2015-02-06,3.1137,3.162,3.1094,3.1566,CZK
2015-02-09,3.1548,3.1748,3.1341,3.1563,CZK
2015-02-10,3.153,3.1752,3.1456,3.1532,CZK
2015-02-11,3.1499,3.1672,3.1394,3.1456,CZK
2015-02-12,3.1422,3.1564,3.1184,3.1268,CZK
2015-02-13,3.1242,3.1319,3.11,3.1227,CZK
2015-02-16,3.1221,3.1496,3.1116,3.138,CZK
2015-02-17,3.1346,3.1488,3.1067,3.1149,CZK
2015-02-18,3.1131,3.1317,3.0753,3.0817,CZK
2015-02-19,3.0805,3.1095,3.0688,3.1038,CZK
2015-02-20,3.1005,3.1473,3.0985,3.1178,CZK
2015-02-23,3.1153,3.1444,3.1065,3.1198,CZK
2015-02-24,3.1163,3.1365,3.1129,3.1222,CZK
2015-02-25,3.1189,3.123,3.1025,3.1119,CZK
2015-02-26,3.1087,3.1772,3.1015,3.1712,CZK
2015-02-27,3.1679,3.1735,3.1431,3.171,CZK
2015-03-02,3.1694,3.178,3.1493,3.1709,CZK
2015-03-03,3.1676,3.1749,3.1537,3.1681,CZK
2015-03-04,3.1648,3.2052,3.1615,3.1987,CZK
2015-03-05,3.1956,3.2133,3.1778,3.1901,CZK
2015-03-06,3.1894,3.2525,3.1851,3.2479,CZK
2015-03-09,3.2485,3.2567,3.2185,3.2392,CZK
2015-03-10,3.2359,3.287,3.2336,3.2858,CZK
2015-03-11,3.2825,3.3426,3.2775,3.3287,CZK
2015-03-12,3.3236,3.3477,3.2849,3.3046,CZK
2015-03-13,3.3013,3.3611,3.3006,3.3493,CZK
2015-03-16,3.349,3.3595,3.3006,3.3201,CZK
2015-03-17,3.3175,3.3274,3.2802,3.3102,CZK
2015-03-18,3.3063,3.3276,3.217,3.2418,CZK
2015-03-19,3.24,3.3343,3.2211,3.3165,CZK
2015-03-20,3.3127,3.3228,3.2538,3.2698,CZK
2015-03-23,3.266,3.2904,3.2153,3.2267,CZK
2015-03-24,3.2236,3.2476,3.1997,3.2347,CZK
2015-03-25,3.2315,3.2426,3.2025,3.217,CZK
2015-03-26,3.2137,3.2678,3.1935,3.2566,CZK
2015-03-27,3.2531,3.2889,3.2337,3.2552,CZK
2015-03-30,3.2477,3.2828,3.2466,3.2727,CZK
2015-03-31,3.2693,3.3182,3.2656,3.3119,CZK
2015-04-01,3.3084,3.3171,3.2852,3.3053,CZK
2015-04-02,3.3021,3.3112,3.2563,3.266,CZK
2015-04-03,3.2625,3.2714,3.2182,3.2375,CZK
2015-04-06,3.2376,3.2424,3.1973,3.2328,CZK
2015-04-07,3.2295,3.2742,3.2295,3.2685,CZK
2015-04-08,3.265,3.2863,3.2392,3.2788,CZK
2015-04-09,3.2751,3.3282,3.2712,3.3191,CZK
2015-04-10,3.3158,3.346,3.3071,3.327,CZK
2015-04-13,3.3234,3.3617,3.3197,3.3394,CZK
2015-04-14,3.3362,3.3548,3.2908,3.3085,CZK
2015-04-15,3.3053,3.3495,3.3034,3.3144,CZK
2015-04-16,3.311,3.3406,3.27,3.2907,CZK
2015-04-17,3.2879,3.3043,3.2678,3.274,CZK
2015-04-20,3.271,3.3039,3.2649,3.2953,CZK
2015-04-21,3.2917,3.3222,3.2813,3.2976,CZK
2015-04-22,3.2946,3.3085,3.2753,3.2984,CZK
2015-04-23,3.2958,3.3175,3.2558,3.2693,CZK
2015-04-24,3.2659,3.2826,3.2453,3.2599,CZK
2015-04-27,3.2575,3.2744,3.2426,3.2582,CZK
2015-04-28,3.2545,3.2692,3.2168,3.2237,CZK
2015-04-29,3.2203,3.2311,3.1598,3.1806,CZK
2015-04-30,3.1773,3.1984,3.1388,3.1568,CZK
2015-05-01,3.1533,3.1633,3.129,3.1495,CZK
2015-05-04,3.1473,3.1801,3.1396,3.1668,CZK
2015-05-05,3.163,3.1885,3.1456,3.1597,CZK
2015-05-06,3.1563,3.1645,3.1051,3.1167,CZK
2015-05-07,3.1132,3.1482,3.0995,3.1327,CZK
2015-05-08,3.1285,3.165,3.1258,3.1607,CZK
2015-05-11,3.1543,3.1816,3.1543,3.1672,CZK
2015-05-12,3.1653,3.1765,3.1315,3.1557,CZK
2015-05-13,3.1513,3.1581,3.1084,3.1214,CZK
2015-05-14,3.1178,3.1275,3.0918,3.1083,CZK
2015-05-15,3.1054,3.1244,3.0772,3.0871,CZK
2015-05-18,3.0825,3.1327,3.0807,3.1259,CZK
