Date,Open,High,Low,Close,Currency
2015-01-01,0.7937,0.7939,0.7933,0.7936,DKK
2015-01-02,0.7935,0.7997,0.7931,0.7995,DKK
2015-01-05,0.7996,0.8072,0.7992,0.8041,DKK
2015-01-06,0.804,0.8075,0.8017,0.8072,DKK
2015-01-07,0.8071,0.8129,0.8066,0.8105,DKK
2015-01-08,0.8104,0.816,0.8098,0.8135,DKK
2015-01-09,0.8134,0.8156,0.8098,0.8109,DKK
2015-01-12,0.8104,0.8141,0.8081,0.8109,DKK
2015-01-13,0.8108,0.8163,0.809,0.8149,DKK
2015-01-14,0.8149,0.818,0.8097,0.8136,DKK
2015-01-15,0.8136,0.8287,0.8133,0.8242,DKK
2015-01-16,0.8241,0.8365,0.8233,0.8287,DKK
2015-01-19,0.8286,0.8303,0.8237,0.8261,DKK
2015-01-20,0.8262,0.8308,0.8255,0.8303,DKK
2015-01-21,0.8302,0.8309,0.8223,0.8263,DKK
2015-01-22,0.8262,0.8485,0.8246,0.8448,DKK
2015-01-23,0.8447,0.8639,0.844,0.8569,DKK
2015-01-26,0.8569,0.8609,0.8509,0.855,DKK
2015-01-27,0.8551,0.8558,0.8405,0.8436,DKK
2015-01-28,0.8434,0.8517,0.8433,0.851,DKK
2015-01-29,0.8507,0.8528,0.8445,0.848,DKK
2015-01-30,0.8481,0.8511,0.845,0.8494,DKK
2015-02-02,0.8493,0.8503,0.8448,0.8466,DKK
2015-02-03,0.8465,0.8486,0.8324,0.8365,DKK
2015-02-04,0.8364,0.8484,0.8357,0.8465,DKK
2015-02-05,0.8464,0.8495,0.835,0.8366,DKK
2015-02-06,0.8365,0.8486,0.8359,0.8479,DKK
2015-02-09,0.8481,0.8519,0.8451,0.8477,DKK
2015-02-10,0.8476,0.8516,0.846,0.848,DKK
2015-02-11,0.848,0.8511,0.8458,0.8467,DKK
2015-02-12,0.8466,0.8492,0.8403,0.842,DKK
2015-02-13,0.8419,0.8435,0.8388,0.8419,DKK
2015-02-16,0.8417,0.8476,0.8394,0.8451,DKK
2015-02-17,0.8451,0.8471,0.838,0.8406,DKK
2015-02-18,0.8406,0.8467,0.8404,0.842,DKK
2015-02-19,0.8419,0.8451,0.838,0.8441,DKK
2015-02-20,0.844,0.8528,0.8415,0.8453,DKK
2015-02-23,0.8451,0.8518,0.8443,0.8485,DKK
2015-02-24,0.8484,0.8519,0.8469,0.8482,DKK
2015-02-25,0.8481,0.8491,0.8446,0.8474,DKK
2015-02-26,0.8474,0.8606,0.8462,0.8593,DKK
2015-02-27,0.8591,0.8611,0.8559,0.8598,DKK
2015-03-02,0.8598,0.8618,0.856,0.8589,DKK
2015-03-03,0.8589,0.8616,0.8566,0.86,DKK
2015-03-04,0.8599,0.869,0.859,0.8678,DKK
2015-03-05,0.8676,0.8744,0.8648,0.8711,DKK
2015-03-06,0.8711,0.8854,0.8708,0.8851,DKK
2015-03-09,0.8849,0.8861,0.8805,0.8848,DKK
2015-03-10,0.8849,0.8979,0.8845,0.8974,DKK
2015-03-11,0.8973,0.9125,0.896,0.9095,DKK
2015-03-12,0.9094,0.9146,0.8987,0.9025,DKK
2015-03-13,0.9024,0.9174,0.9024,0.9153,DKK
2015-03-16,0.9155,0.9164,0.9049,0.9094,DKK
2015-03-17,0.9094,0.9111,0.9021,0.9067,DKK
2015-03-18,0.9067,0.9087,0.9001,0.9029,DKK
2015-03-19,0.9028,0.9047,0.8809,0.9006,DKK
2015-03-20,0.9006,0.9015,0.8834,0.888,DKK
2015-03-23,0.8865,0.8928,0.8762,0.8783,DKK
2015-03-24,0.8782,0.8831,0.8722,0.8808,DKK
2015-03-25,0.8806,0.8827,0.8742,0.878,DKK
2015-03-26,0.8778,0.8871,0.8713,0.8849,DKK
2015-03-27,0.8847,0.8916,0.8799,0.8847,DKK
2015-03-30,0.8845,0.891,0.8839,0.8892,DKK
