Date,Open,High,Low,Close,Currency
2015-01-01,0.9221,0.9221,0.9221,0.9221,EGP
2015-01-02,0.9221,0.9222,0.9217,0.9218,EGP
2015-01-05,0.9219,0.9232,0.9192,0.9206,EGP
2015-01-06,0.9193,0.9222,0.9192,0.9221,EGP
2015-01-07,0.9221,0.9221,0.9219,0.922,EGP
2015-01-08,0.922,0.9221,0.9218,0.9221,EGP
2015-01-09,0.922,0.9223,0.9219,0.9223,EGP
2015-01-12,0.9221,0.9223,0.922,0.9223,EGP
2015-01-13,0.9222,0.9224,0.9221,0.9223,EGP
2015-01-14,0.9222,0.9222,0.9219,0.9221,EGP
2015-01-15,0.9221,0.9224,0.9218,0.9223,EGP
2015-01-16,0.9222,0.9226,0.922,0.9224,EGP
2015-01-19,0.9288,0.9353,0.9286,0.9353,EGP
2015-01-20,0.9352,0.9417,0.935,0.9416,EGP
2015-01-21,0.9416,0.9483,0.9415,0.9483,EGP
2015-01-22,0.9483,0.9546,0.9478,0.9545,EGP
2015-01-23,0.9545,0.9548,0.9543,0.9545,EGP
2015-01-26,0.9546,0.9598,0.9544,0.9598,EGP
2015-01-27,0.9598,0.9598,0.9596,0.9597,EGP
2015-01-28,0.9597,0.9637,0.9596,0.9637,EGP
2015-01-29,0.9636,0.9791,0.9635,0.9791,EGP
2015-01-30,0.9791,0.9792,0.9788,0.9791,EGP
2015-02-02,0.9803,0.9841,0.9801,0.9816,EGP
2015-02-03,0.9815,0.984,0.9813,0.984,EGP
2015-02-04,0.984,0.9849,0.9826,0.9835,EGP
2015-02-05,0.9829,0.9843,0.9827,0.9842,EGP
2015-02-06,0.9842,0.9843,0.984,0.9841,EGP
2015-02-09,0.9841,0.9842,0.9827,0.984,EGP
2015-02-10,0.984,0.9841,0.9814,0.9816,EGP
2015-02-11,0.9815,0.9848,0.9813,0.9833,EGP
2015-02-12,0.9826,0.9844,0.9826,0.9837,EGP
2015-02-13,0.9833,0.9837,0.983,0.9834,EGP
2015-02-16,0.9837,0.9839,0.9822,0.9833,EGP
2015-02-17,0.9833,0.9836,0.9821,0.9833,EGP
2015-02-18,0.9832,0.9838,0.9827,0.9835,EGP
2015-02-19,0.9835,0.9837,0.9823,0.9835,EGP
2015-02-20,0.9834,0.9838,0.9832,0.9833,EGP
2015-02-23,0.9827,0.9838,0.9822,0.9837,EGP
2015-02-24,0.9836,0.9838,0.9822,0.9837,EGP
2015-02-25,0.9837,0.9839,0.9824,0.9836,EGP
2015-02-26,0.9836,0.9839,0.9831,0.9839,EGP
2015-02-27,0.9838,0.9841,0.9836,0.9838,EGP
2015-03-02,0.9839,0.984,0.9831,0.9839,EGP
2015-03-03,0.9838,0.984,0.9831,0.9839,EGP
2015-03-04,0.9838,0.9839,0.9825,0.9838,EGP
2015-03-05,0.9838,0.984,0.983,0.9838,EGP
2015-03-06,0.9837,0.9839,0.9833,0.9837,EGP
