Date,Open,High,Low,Close,Currency
2015-01-01,0.3136,0.315,0.3132,0.3139,AUD
2015-01-02,0.3135,0.3166,0.312,0.3141,AUD
2015-01-05,0.314,0.3168,0.3114,0.3129,AUD
2015-01-06,0.313,0.3134,0.3089,0.3124,AUD
2015-01-07,0.312,0.3141,0.311,0.312,AUD
2015-01-08,0.3117,0.3125,0.3089,0.3113,AUD
2015-01-09,0.3108,0.3123,0.3083,0.309,AUD
2015-01-12,0.3085,0.3123,0.3068,0.3118,AUD
2015-01-13,0.3113,0.3127,0.3096,0.3112,AUD
2015-01-14,0.3109,0.3158,0.3099,0.3149,AUD
2015-01-15,0.3144,0.3155,0.3088,0.3104,AUD
2015-01-16,0.3098,0.3119,0.3071,0.3083,AUD
2015-01-19,0.3082,0.3116,0.307,0.3109,AUD
2015-01-20,0.3105,0.313,0.3092,0.3109,AUD
2015-01-21,0.3105,0.3144,0.3075,0.3138,AUD
2015-01-22,0.3135,0.3165,0.3113,0.3152,AUD
2015-01-23,0.3146,0.318,0.313,0.3155,AUD
2015-01-26,0.3156,0.3179,0.3142,0.3164,AUD
2015-01-27,0.3159,0.3201,0.3144,0.3193,AUD
2015-01-28,0.3188,0.3219,0.3143,0.3215,AUD
2015-01-29,0.3211,0.3292,0.3203,0.3274,AUD
2015-01-30,0.3271,0.3295,0.3256,0.3275,AUD
2015-02-02,0.3284,0.3291,0.3238,0.3261,AUD
2015-02-03,0.3258,0.3346,0.3244,0.3298,AUD
2015-02-04,0.3298,0.332,0.3263,0.3305,AUD
2015-02-05,0.33,0.3354,0.3274,0.3326,AUD
2015-02-06,0.3321,0.3329,0.3273,0.3293,AUD
2015-02-09,0.3302,0.3324,0.328,0.3307,AUD
2015-02-10,0.3302,0.334,0.3281,0.3326,AUD
2015-02-11,0.3321,0.3359,0.3307,0.3334,AUD
2015-02-12,0.3329,0.3376,0.3302,0.3337,AUD
2015-02-13,0.3333,0.3341,0.3296,0.331,AUD
2015-02-16,0.3303,0.3342,0.3274,0.3321,AUD
2015-02-17,0.3317,0.3331,0.3293,0.3316,AUD
2015-02-18,0.3311,0.3344,0.3302,0.3322,AUD
2015-02-19,0.3319,0.3363,0.3306,0.3338,AUD
2015-02-20,0.3333,0.3339,0.3287,0.3308,AUD
2015-02-23,0.3303,0.3337,0.3265,0.3275,AUD
2015-02-24,0.3271,0.3293,0.3211,0.3228,AUD
2015-02-25,0.3224,0.3239,0.3191,0.3215,AUD
2015-02-26,0.3212,0.3247,0.3205,0.3237,AUD
2015-02-27,0.3234,0.3249,0.3195,0.3211,AUD
2015-03-02,0.3197,0.3233,0.3193,0.322,AUD
2015-03-03,0.3216,0.3225,0.3184,0.3217,AUD
2015-03-04,0.3213,0.3227,0.3189,0.3207,AUD
2015-03-05,0.3204,0.3232,0.319,0.3218,AUD
2015-03-06,0.3215,0.3233,0.318,0.3218,AUD
2015-03-09,0.3218,0.3244,0.3208,0.3243,AUD
2015-03-10,0.3241,0.3274,0.3223,0.324,AUD
2015-03-11,0.3237,0.3277,0.3227,0.3258,AUD
2015-03-12,0.3254,0.3267,0.3213,0.3242,AUD
2015-03-13,0.3238,0.3259,0.323,0.324,AUD
2015-03-16,0.3241,0.3267,0.3224,0.3263,AUD
2015-03-17,0.3259,0.3283,0.3247,0.3272,AUD
2015-03-18,0.327,0.3288,0.3198,0.3232,AUD
2015-03-19,0.3227,0.3274,0.3213,0.3237,AUD
2015-03-20,0.3233,0.3245,0.3156,0.3178,AUD
2015-03-23,0.3165,0.3226,0.3153,0.321,AUD
2015-03-24,0.3203,0.3249,0.3195,0.3238,AUD
2015-03-25,0.3236,0.3247,0.32,0.3231,AUD
2015-03-26,0.3227,0.3249,0.3196,0.3227,AUD
2015-03-27,0.3224,0.3261,0.3206,0.3253,AUD
2015-03-30,0.3251,0.3316,0.3243,0.3293,AUD
2015-03-31,0.3287,0.3316,0.3283,0.3304,AUD
2015-04-01,0.3301,0.3329,0.3274,0.3321,AUD
2015-04-02,0.3316,0.3362,0.3314,0.3344,AUD
2015-04-03,0.3333,0.3353,0.3292,0.3343,AUD
2015-04-06,0.3339,0.3367,0.332,0.3358,AUD
2015-04-07,0.3352,0.3373,0.3294,0.3321,AUD
2015-04-08,0.3318,0.3325,0.3282,0.3309,AUD
2015-04-09,0.3307,0.332,0.3273,0.3284,AUD
2015-04-10,0.3282,0.3293,0.3251,0.3259,AUD
2015-04-13,0.3258,0.3315,0.3254,0.3298,AUD
2015-04-14,0.3294,0.3319,0.3277,0.3309,AUD
2015-04-15,0.3307,0.3327,0.3266,0.3284,AUD
2015-04-16,0.3279,0.3292,0.3242,0.3267,AUD
2015-04-17,0.3262,0.3293,0.3247,0.3285,AUD
2015-04-20,0.3253,0.3294,0.3248,0.3284,AUD
2015-04-21,0.3281,0.3302,0.3257,0.3288,AUD
2015-04-22,0.3285,0.3291,0.3241,0.327,AUD
2015-04-23,0.3266,0.3291,0.3258,0.3277,AUD
2015-04-24,0.3272,0.3283,0.3251,0.3274,AUD
2015-04-27,0.3268,0.3297,0.3244,0.3272,AUD
2015-04-28,0.3267,0.3282,0.322,0.3232,AUD
2015-04-29,0.3227,0.3252,0.3201,0.3232,AUD
2015-04-30,0.3228,0.3291,0.3225,0.3276,AUD
2015-05-01,0.3272,0.3301,0.3262,0.3278,AUD
2015-05-04,0.328,0.3309,0.3269,0.3288,AUD
2015-05-05,0.3284,0.3303,0.3239,0.3252,AUD
2015-05-06,0.3248,0.3264,0.3219,0.3259,AUD
2015-05-07,0.3253,0.3282,0.3241,0.3276,AUD
2015-05-08,0.3271,0.3294,0.3244,0.3265,AUD
2015-05-11,0.3256,0.3287,0.3255,0.3281,AUD
2015-05-12,0.3277,0.3289,0.3232,0.3248,AUD
2015-05-13,0.3243,0.326,0.3204,0.3214,AUD
2015-05-14,0.321,0.3248,0.3192,0.3243,AUD
2015-05-15,0.3238,0.3271,0.3235,0.3267,AUD
2015-05-18,0.3265,0.3282,0.3246,0.3255,AUD
2015-05-19,0.3251,0.3273,0.3242,0.3268,AUD
2015-05-20,0.3262,0.3289,0.3243,0.3276,AUD
2015-05-21,0.327,0.3297,0.3258,0.3266,AUD
2015-05-22,0.326,0.3306,0.3249,0.3286,AUD
2015-05-25,0.3279,0.331,0.3266,0.3299,AUD
2015-05-26,0.3293,0.3334,0.3286,0.3329,AUD
2015-05-27,0.3326,0.3355,0.3314,0.3339,AUD
2015-05-28,0.3329,0.3394,0.3328,0.3378,AUD
2015-05-29,0.3374,0.339,0.3359,0.3384,AUD
2015-06-01,0.3372,0.34,0.3362,0.3396,AUD
2015-06-02,0.3392,0.3399,0.3329,0.3347,AUD
2015-06-03,0.3343,0.3358,0.3316,0.3352,AUD
2015-06-04,0.3347,0.3405,0.3345,0.3392,AUD
2015-06-05,0.3387,0.3405,0.3362,0.3394,AUD
2015-06-08,0.3391,0.3414,0.3362,0.3377,AUD
2015-06-09,0.3373,0.3414,0.3362,0.34,AUD
2015-06-10,0.3395,0.3427,0.3355,0.3376,AUD
2015-06-11,0.3371,0.3396,0.3356,0.3372,AUD
2015-06-12,0.3368,0.3391,0.3348,0.3365,AUD
2015-06-15,0.3355,0.3379,0.3341,0.3358,AUD
2015-06-16,0.3355,0.3382,0.3345,0.3363,AUD
2015-06-17,0.3359,0.341,0.3354,0.3381,AUD
2015-06-18,0.3378,0.3403,0.333,0.3349,AUD
2015-06-19,0.3343,0.3379,0.3339,0.3362,AUD
2015-06-22,0.336,0.3437,0.3341,0.3423,AUD
2015-06-23,0.3421,0.3449,0.3404,0.344,AUD
2015-06-24,0.3434,0.3473,0.3407,0.3465,AUD
2015-06-25,0.3462,0.3469,0.3407,0.3423,AUD
2015-06-26,0.3417,0.3457,0.3411,0.3444,AUD
2015-06-29,0.3449,0.3471,0.3405,0.3453,AUD
2015-06-30,0.3448,0.3468,0.3427,0.3441,AUD
2015-07-01,0.3437,0.3458,0.3417,0.3457,AUD
2015-07-02,0.3451,0.3488,0.3434,0.3471,AUD
2015-07-03,0.3464,0.3547,0.3458,0.3534,AUD
2015-07-06,0.3537,0.3562,0.3503,0.3538,AUD
