Date,Open,High,Low,Close,Currency
2015-01-01,0.681,0.6836,0.6804,0.6824,BRL
2015-01-02,0.682,0.6887,0.6756,0.6845,BRL
2015-01-05,0.6834,0.6912,0.6803,0.6844,BRL
2015-01-06,0.6847,0.688,0.6792,0.682,BRL
2015-01-07,0.6813,0.6833,0.6738,0.6764,BRL
2015-01-08,0.6759,0.6822,0.6709,0.6733,BRL
2015-01-09,0.6722,0.6764,0.6645,0.6669,BRL
2015-01-12,0.666,0.6813,0.6642,0.6799,BRL
2015-01-13,0.6786,0.6819,0.6666,0.6717,BRL
2015-01-14,0.6711,0.6745,0.6643,0.6714,BRL
2015-01-15,0.6704,0.6752,0.6647,0.6735,BRL
2015-01-16,0.6729,0.6767,0.6623,0.6647,BRL
2015-01-19,0.6636,0.6808,0.6624,0.6771,BRL
2015-01-20,0.676,0.6775,0.6619,0.6639,BRL
2015-01-21,0.6633,0.665,0.6564,0.6598,BRL
2015-01-22,0.6593,0.6617,0.645,0.6512,BRL
2015-01-23,0.6501,0.6527,0.6396,0.6436,BRL
2015-01-26,0.6414,0.6528,0.6408,0.6478,BRL
2015-01-27,0.6469,0.6543,0.6454,0.6519,BRL
2015-01-28,0.6512,0.658,0.6471,0.6534,BRL
2015-01-29,0.6524,0.6655,0.6504,0.6614,BRL
2015-01-30,0.6607,0.6859,0.6599,0.6824,BRL
2015-02-02,0.6807,0.6941,0.6762,0.694,BRL
2015-02-03,0.6932,0.6974,0.6857,0.6926,BRL
2015-02-04,0.6923,0.7066,0.6883,0.7024,BRL
2015-02-05,0.7016,0.7193,0.6988,0.712,BRL
2015-02-06,0.711,0.7173,0.7065,0.7145,BRL
2015-02-09,0.714,0.7207,0.7122,0.7146,BRL
2015-02-10,0.7138,0.7344,0.7111,0.7325,BRL
2015-02-11,0.7314,0.7452,0.7295,0.7384,BRL
2015-02-12,0.7373,0.7414,0.723,0.7282,BRL
2015-02-13,0.7281,0.7352,0.7215,0.729,BRL
2015-02-16,0.7276,0.7361,0.7219,0.7317,BRL
2015-02-17,0.7315,0.7344,0.7279,0.7334,BRL
2015-02-18,0.732,0.74,0.7314,0.7362,BRL
2015-02-19,0.7358,0.7467,0.7344,0.7456,BRL
2015-02-20,0.745,0.7479,0.7387,0.7442,BRL
2015-02-23,0.7435,0.7529,0.7306,0.7356,BRL
2015-02-24,0.7344,0.7369,0.712,0.7163,BRL
2015-02-25,0.7153,0.7315,0.7143,0.729,BRL
2015-02-26,0.7281,0.7347,0.7214,0.7345,BRL
2015-02-27,0.7339,0.7373,0.7109,0.7121,BRL
2015-03-02,0.7115,0.7245,0.7083,0.7244,BRL
2015-03-03,0.7237,0.7383,0.7228,0.7369,BRL
2015-03-04,0.7365,0.7523,0.733,0.7463,BRL
2015-03-05,0.7445,0.7561,0.7424,0.7522,BRL
2015-03-06,0.7512,0.7641,0.7446,0.7605,BRL
2015-03-09,0.761,0.7831,0.7575,0.7799,BRL
2015-03-10,0.7796,0.786,0.7634,0.7666,BRL
2015-03-11,0.7661,0.7773,0.7631,0.7735,BRL
2015-03-12,0.7728,0.7926,0.7643,0.7911,BRL
2015-03-13,0.7905,0.8124,0.7886,0.804,BRL
2015-03-16,0.8039,0.8118,0.7985,0.8095,BRL
2015-03-17,0.8091,0.8193,0.8032,0.8076,BRL
2015-03-18,0.8067,0.8157,0.7994,0.8061,BRL
2015-03-19,0.8052,0.8199,0.8032,0.8149,BRL
2015-03-20,0.814,0.821,0.7884,0.798,BRL
2015-03-23,0.7953,0.8054,0.7904,0.7923,BRL
2015-03-24,0.7912,0.8085,0.7869,0.8008,BRL
2015-03-25,0.8002,0.8123,0.7896,0.8113,BRL
2015-03-26,0.8105,0.8182,0.8014,0.8041,BRL
2015-03-27,0.8033,0.8199,0.7953,0.8194,BRL
2015-03-30,0.818,0.8299,0.8079,0.8144,BRL
2015-03-31,0.8127,0.8218,0.7945,0.8032,BRL
2015-04-01,0.8021,0.8063,0.7874,0.799,BRL
2015-04-02,0.7981,0.8067,0.7892,0.7921,BRL
