Date,Open,High,Low,Close,Currency
2015-01-01,0.2979,0.2989,0.2974,0.2983,CAD
2015-01-02,0.2981,0.2995,0.2962,0.2994,CAD
2015-01-05,0.2988,0.3008,0.2966,0.2975,CAD
2015-01-06,0.2972,0.2996,0.2956,0.299,CAD
2015-01-07,0.2985,0.2996,0.2968,0.2978,CAD
2015-01-08,0.2975,0.2999,0.2963,0.2991,CAD
2015-01-09,0.2987,0.3014,0.2977,0.3009,CAD
2015-01-12,0.3004,0.305,0.2998,0.3045,CAD
2015-01-13,0.3041,0.3054,0.3024,0.3039,CAD
2015-01-14,0.3036,0.3082,0.303,0.3067,CAD
2015-01-15,0.3062,0.3084,0.3022,0.3049,CAD
2015-01-16,0.3044,0.3075,0.3027,0.3039,CAD
2015-01-19,0.3034,0.3067,0.3023,0.3048,CAD
2015-01-20,0.3045,0.3084,0.3036,0.3077,CAD
2015-01-21,0.3074,0.3148,0.3056,0.3131,CAD
2015-01-22,0.3129,0.3147,0.3115,0.3132,CAD
2015-01-23,0.3127,0.314,0.3082,0.3098,CAD
2015-01-26,0.31,0.3132,0.309,0.3128,CAD
2015-01-27,0.3124,0.3152,0.3117,0.3142,CAD
2015-01-28,0.3139,0.3186,0.3129,0.318,CAD
2015-01-29,0.3175,0.3224,0.3164,0.3206,CAD
2015-01-30,0.3202,0.3254,0.32,0.3239,CAD
2015-02-02,0.3235,0.3251,0.3184,0.3197,CAD
2015-02-03,0.3196,0.3219,0.3175,0.3191,CAD
2015-02-04,0.319,0.3236,0.3174,0.3221,CAD
2015-02-05,0.3218,0.3264,0.3201,0.3225,CAD
2015-02-06,0.3222,0.3231,0.3192,0.3216,CAD
2015-02-09,0.3216,0.3235,0.3191,0.3217,CAD
2015-02-10,0.3214,0.326,0.3199,0.3253,CAD
2015-02-11,0.3248,0.3281,0.3237,0.3251,CAD
2015-02-12,0.3246,0.3262,0.3193,0.3228,CAD
2015-02-13,0.3226,0.3234,0.3188,0.3201,CAD
2015-02-16,0.3196,0.3239,0.317,0.3218,CAD
2015-02-17,0.3214,0.3223,0.3186,0.3212,CAD
2015-02-18,0.3208,0.3239,0.3202,0.3232,CAD
2015-02-19,0.3229,0.3269,0.3224,0.3251,CAD
2015-02-20,0.3245,0.3256,0.3212,0.3251,CAD
2015-02-23,0.3248,0.3276,0.3201,0.3212,CAD
2015-02-24,0.3208,0.3223,0.3142,0.3156,CAD
2015-02-25,0.3153,0.3173,0.3125,0.3153,CAD
2015-02-26,0.315,0.3173,0.3136,0.316,CAD
2015-02-27,0.3158,0.3166,0.3116,0.3137,CAD
2015-03-02,0.3137,0.3151,0.312,0.3135,CAD
2015-03-03,0.3132,0.3145,0.3115,0.3142,CAD
2015-03-04,0.314,0.3155,0.31,0.3116,CAD
2015-03-05,0.3113,0.3138,0.3101,0.3127,CAD
2015-03-06,0.3124,0.3145,0.3105,0.3135,CAD
2015-03-09,0.3131,0.315,0.3121,0.3148,CAD
2015-03-10,0.3146,0.3161,0.3116,0.3135,CAD
2015-03-11,0.3134,0.317,0.3125,0.3155,CAD
2015-03-12,0.3152,0.3179,0.3134,0.317,CAD
2015-03-13,0.3168,0.318,0.3153,0.3163,CAD
2015-03-16,0.3165,0.3195,0.3155,0.3184,CAD
2015-03-17,0.3181,0.3193,0.3173,0.3188,CAD
2015-03-18,0.3186,0.3197,0.3129,0.3156,CAD
2015-03-19,0.3152,0.3183,0.3139,0.3149,CAD
2015-03-20,0.3145,0.3152,0.3091,0.3102,CAD
2015-03-23,0.3092,0.317,0.3088,0.3168,CAD
2015-03-24,0.3163,0.3197,0.3156,0.3186,CAD
2015-03-25,0.3185,0.3193,0.3154,0.3172,CAD
2015-03-26,0.3171,0.3175,0.3126,0.3154,CAD
2015-03-27,0.315,0.3181,0.313,0.318,CAD
2015-03-30,0.3174,0.3215,0.3171,0.3195,CAD
2015-03-31,0.3191,0.3217,0.3175,0.3189,CAD
2015-04-01,0.3185,0.3198,0.317,0.3185,CAD
2015-04-02,0.3181,0.3207,0.3171,0.3187,CAD
2015-04-03,0.3184,0.3192,0.3159,0.3185,CAD
2015-04-06,0.317,0.3194,0.316,0.318,CAD
2015-04-07,0.3178,0.3192,0.316,0.317,CAD
2015-04-08,0.3167,0.3193,0.3145,0.3189,CAD
2015-04-09,0.3187,0.3197,0.3169,0.3179,CAD
2015-04-10,0.3176,0.3186,0.3143,0.3148,CAD
2015-04-13,0.3146,0.3173,0.3136,0.3153,CAD
2015-04-14,0.315,0.3162,0.3137,0.315,CAD
2015-04-15,0.3149,0.3168,0.3089,0.3099,CAD
2015-04-16,0.3096,0.3131,0.3084,0.3107,CAD
2015-04-17,0.3102,0.3136,0.3076,0.3129,CAD
2015-04-20,0.3118,0.3123,0.3089,0.3101,CAD
2015-04-21,0.3099,0.312,0.3089,0.3113,CAD
2015-04-22,0.3111,0.3119,0.3089,0.3103,CAD
2015-04-23,0.3099,0.3112,0.3079,0.3096,CAD
2015-04-24,0.3092,0.3121,0.3081,0.3117,CAD
2015-04-27,0.3113,0.3127,0.3085,0.3108,CAD
2015-04-28,0.3103,0.3126,0.3085,0.3121,CAD
2015-04-29,0.3118,0.3127,0.3088,0.3111,CAD
2015-04-30,0.3108,0.3144,0.3096,0.3128,CAD
2015-05-01,0.3125,0.3147,0.3117,0.313,CAD
2015-05-04,0.3127,0.3145,0.3103,0.3117,CAD
2015-05-05,0.3114,0.3129,0.3094,0.3117,CAD
2015-05-06,0.3113,0.3132,0.309,0.3128,CAD
2015-05-07,0.3124,0.3152,0.3118,0.3141,CAD
2015-05-08,0.3138,0.3146,0.3107,0.3127,CAD
2015-05-11,0.3126,0.3141,0.3115,0.3133,CAD
2015-05-12,0.313,0.3146,0.3097,0.3112,CAD
2015-05-13,0.3108,0.3126,0.3098,0.3117,CAD
2015-05-14,0.3114,0.3146,0.3102,0.314,CAD
2015-05-15,0.3137,0.3164,0.3128,0.3153,CAD
2015-05-18,0.3148,0.3174,0.3144,0.3162,CAD
2015-05-19,0.316,0.3174,0.3145,0.3163,CAD
2015-05-20,0.3159,0.3169,0.3133,0.3149,CAD
2015-05-21,0.3145,0.3173,0.3139,0.3145,CAD
2015-05-22,0.3139,0.3177,0.3136,0.3159,CAD
2015-05-25,0.3157,0.3189,0.3141,0.3178,CAD
2015-05-26,0.3175,0.3205,0.3165,0.3202,CAD
2015-05-27,0.32,0.3223,0.3192,0.3214,CAD
2015-05-28,0.3206,0.3237,0.3203,0.3213,CAD
2015-05-29,0.3211,0.3238,0.3199,0.3219,CAD
2015-06-01,0.3209,0.3247,0.3208,0.3234,CAD
2015-06-02,0.3231,0.3256,0.3208,0.3226,CAD
2015-06-03,0.3222,0.3255,0.3207,0.325,CAD
2015-06-04,0.3247,0.3263,0.3232,0.3261,CAD
2015-06-05,0.3258,0.3266,0.3212,0.3221,CAD
2015-06-08,0.3217,0.3243,0.3197,0.3228,CAD
2015-06-09,0.3226,0.3246,0.321,0.3226,CAD
2015-06-10,0.3223,0.3232,0.3184,0.321,CAD
2015-06-11,0.3208,0.3224,0.3201,0.3214,CAD
2015-06-12,0.3211,0.3219,0.3187,0.3205,CAD
2015-06-15,0.3199,0.3222,0.3186,0.3214,CAD
2015-06-16,0.3211,0.3225,0.3198,0.3204,CAD
2015-06-17,0.3202,0.3221,0.3191,0.3203,CAD
2015-06-18,0.3197,0.321,0.3174,0.3192,CAD
2015-06-19,0.3187,0.3218,0.318,0.3205,CAD
2015-06-22,0.32,0.3271,0.3181,0.3256,CAD
2015-06-23,0.3255,0.3287,0.3247,0.328,CAD
2015-06-24,0.3277,0.3314,0.3251,0.3305,CAD
2015-06-25,0.3305,0.331,0.3255,0.3265,CAD
2015-06-26,0.3262,0.327,0.3234,0.3248,CAD
2015-06-29,0.3242,0.3289,0.3216,0.3289,CAD
2015-06-30,0.3289,0.3319,0.3271,0.3314,CAD
2015-07-01,0.3309,0.3328,0.3297,0.3326,CAD
2015-07-02,0.3323,0.3344,0.3306,0.3321,CAD
2015-07-03,0.3317,0.3355,0.3313,0.3337,CAD
2015-07-06,0.3332,0.3363,0.3314,0.3357,CAD
2015-07-07,0.3354,0.3377,0.334,0.3353,CAD
2015-07-08,0.3349,0.337,0.3339,0.3362,CAD
2015-07-09,0.336,0.3365,0.3336,0.3355,CAD
2015-07-10,0.3354,0.3389,0.3337,0.3359,CAD
2015-07-13,0.3353,0.3395,0.3347,0.3375,CAD
2015-07-14,0.337,0.3396,0.3367,0.3376,CAD
2015-07-15,0.3374,0.3432,0.3369,0.3418,CAD
2015-07-16,0.3413,0.3424,0.3397,0.3414,CAD
2015-07-17,0.3411,0.3427,0.3388,0.3394,CAD
2015-07-20,0.339,0.3414,0.3377,0.3396,CAD
2015-07-21,0.339,0.3421,0.3385,0.3409,CAD
2015-07-22,0.3404,0.3421,0.3392,0.3412,CAD
2015-07-23,0.3409,0.3425,0.3385,0.3411,CAD
2015-07-24,0.3407,0.3428,0.3393,0.3415,CAD
2015-07-27,0.3409,0.3463,0.3398,0.3458,CAD
2015-07-28,0.3456,0.346,0.3411,0.342,CAD
2015-07-29,0.3418,0.3434,0.3403,0.3422,CAD
2015-07-30,0.342,0.345,0.3414,0.3436,CAD
2015-07-31,0.3432,0.3471,0.3425,0.3468,CAD
2015-08-03,0.3467,0.3496,0.3459,0.3485,CAD
2015-08-04,0.3482,0.3491,0.345,0.347,CAD
2015-08-05,0.3469,0.3474,0.3437,0.3455,CAD
2015-08-06,0.3451,0.3469,0.3441,0.3454,CAD
2015-08-07,0.3449,0.3461,0.3421,0.3451,CAD
2015-08-10,0.3447,0.3463,0.3416,0.3422,CAD
2015-08-11,0.3417,0.3449,0.3407,0.3438,CAD
2015-08-12,0.3436,0.3448,0.3394,0.3407,CAD
2015-08-13,0.3404,0.3451,0.3398,0.3443,CAD
2015-08-14,0.344,0.3475,0.3431,0.3466,CAD
2015-08-17,0.3465,0.3471,0.3406,0.3415,CAD
2015-08-18,0.341,0.3431,0.3378,0.3388,CAD
2015-08-19,0.3385,0.341,0.3357,0.3391,CAD
2015-08-20,0.3386,0.3399,0.3355,0.3378,CAD
2015-08-21,0.3373,0.3411,0.3362,0.3406,CAD
2015-08-24,0.3397,0.3467,0.3389,0.3465,CAD
2015-08-25,0.3462,0.3469,0.3398,0.3457,CAD
2015-08-26,0.3451,0.3458,0.3364,0.3375,CAD
2015-08-27,0.3373,0.3405,0.3341,0.3368,CAD
2015-08-28,0.3363,0.3395,0.3349,0.336,CAD
2015-08-31,0.3353,0.3391,0.3337,0.3348,CAD
2015-09-01,0.3343,0.3384,0.3334,0.3377,CAD
2015-09-02,0.3373,0.3392,0.3349,0.3379,CAD
2015-09-03,0.3375,0.3382,0.3321,0.3356,CAD
2015-09-04,0.3355,0.3393,0.3347,0.3385,CAD
2015-09-07,0.3378,0.3389,0.3362,0.3382,CAD
2015-09-08,0.3377,0.3404,0.3363,0.3385,CAD
2015-09-09,0.338,0.3418,0.3374,0.3405,CAD
2015-09-10,0.3402,0.3417,0.3376,0.3409,CAD
2015-09-11,0.3404,0.3442,0.3392,0.3429,CAD
2015-09-14,0.3423,0.3429,0.3397,0.3416,CAD
2015-09-15,0.3413,0.3427,0.3399,0.3412,CAD
2015-09-16,0.3408,0.3426,0.3387,0.3413,CAD
2015-09-17,0.3409,0.3424,0.3376,0.3405,CAD
2015-09-18,0.34,0.3411,0.3343,0.3389,CAD
2015-09-21,0.3379,0.339,0.3352,0.337,CAD
2015-09-22,0.3365,0.3382,0.3349,0.3359,CAD
2015-09-23,0.3356,0.3383,0.3343,0.3374,CAD
2015-09-24,0.3371,0.3433,0.3359,0.3394,CAD
2015-09-25,0.339,0.3405,0.3369,0.3384,CAD
2015-09-28,0.338,0.3411,0.3373,0.3408,CAD
2015-09-29,0.3406,0.3423,0.3392,0.3419,CAD
2015-09-30,0.3417,0.3429,0.3388,0.3395,CAD
2015-10-01,0.3391,0.3406,0.3358,0.3373,CAD
