Date,Open,High,Low,Close,Currency
2015-01-01,0.255,0.2557,0.2545,0.2552,CHF
2015-01-02,0.2551,0.2569,0.2534,0.2544,CHF
2015-01-05,0.2541,0.2568,0.2537,0.2547,CHF
2015-01-06,0.2548,0.2558,0.2531,0.2551,CHF
2015-01-07,0.2548,0.2568,0.2541,0.2557,CHF
2015-01-08,0.2555,0.2583,0.2547,0.2575,CHF
2015-01-09,0.2571,0.2586,0.256,0.2571,CHF
2015-01-12,0.2568,0.2586,0.2561,0.2581,CHF
2015-01-13,0.2577,0.2598,0.2571,0.2592,CHF
2015-01-14,0.259,0.2621,0.2577,0.2614,CHF
2015-01-15,0.2612,0.2628,0.1903,0.2188,CHF
2015-01-16,0.2186,0.2252,0.2141,0.2175,CHF
2015-01-19,0.2175,0.2249,0.217,0.2246,CHF
2015-01-20,0.2243,0.2251,0.2206,0.2224,CHF
2015-01-21,0.2223,0.2231,0.2157,0.2182,CHF
2015-01-22,0.218,0.2216,0.216,0.2204,CHF
2015-01-23,0.2199,0.2213,0.2172,0.2197,CHF
2015-01-26,0.2194,0.2269,0.2178,0.2264,CHF
2015-01-27,0.226,0.2304,0.2237,0.2288,CHF
2015-01-28,0.2286,0.2307,0.2264,0.2296,CHF
2015-01-29,0.2291,0.2354,0.229,0.2347,CHF
2015-01-30,0.2345,0.2367,0.2328,0.2343,CHF
2015-02-02,0.235,0.2378,0.2333,0.2363,CHF
2015-02-03,0.2359,0.2378,0.2347,0.2376,CHF
2015-02-04,0.2375,0.2392,0.2361,0.2373,CHF
2015-02-05,0.237,0.2418,0.2354,0.2389,CHF
2015-02-06,0.2387,0.2398,0.2366,0.2376,CHF
2015-02-09,0.2378,0.2397,0.2362,0.2383,CHF
2015-02-10,0.2381,0.2399,0.2367,0.2394,CHF
2015-02-11,0.2391,0.2409,0.2376,0.2389,CHF
2015-02-12,0.2386,0.2406,0.2372,0.2403,CHF
2015-02-13,0.2401,0.2408,0.238,0.2398,CHF
2015-02-16,0.2393,0.2419,0.237,0.2407,CHF
2015-02-17,0.2403,0.2432,0.2396,0.2428,CHF
2015-02-18,0.2425,0.2449,0.2412,0.2445,CHF
2015-02-19,0.2443,0.2473,0.2439,0.247,CHF
2015-02-20,0.2466,0.2474,0.2423,0.2441,CHF
2015-02-23,0.2433,0.2467,0.2414,0.2427,CHF
2015-02-24,0.2423,0.2435,0.239,0.2403,CHF
2015-02-25,0.24,0.2423,0.2387,0.2405,CHF
2015-02-26,0.2402,0.2418,0.2394,0.2407,CHF
2015-02-27,0.2404,0.2412,0.2367,0.2391,CHF
2015-03-02,0.2389,0.2403,0.2381,0.2396,CHF
2015-03-03,0.2396,0.242,0.2386,0.2416,CHF
2015-03-04,0.2415,0.2424,0.2396,0.2415,CHF
2015-03-05,0.2413,0.2444,0.2408,0.244,CHF
2015-03-06,0.2438,0.2457,0.2424,0.245,CHF
