Date,Open,High,Low,Close,Currency
2015-01-01,155.43,156.06,155.29,155.75,CLP
2015-01-02,155.59,156.4,154.16,155.9,CLP
2015-01-05,155.58,156.41,154.66,156.12,CLP
2015-01-06,156.15,157.04,155.05,155.71,CLP
2015-01-07,155.4,156.09,154.08,154.81,CLP
2015-01-08,154.57,155.35,154.02,154.96,CLP
2015-01-09,154.68,156.19,154.22,155.8,CLP
2015-01-12,155.48,157.04,155.13,156.8,CLP
2015-01-13,156.44,158.0,155.79,157.43,CLP
2015-01-14,157.19,161.19,156.68,160.61,CLP
2015-01-15,160.25,161.38,158.33,159.45,CLP
2015-01-16,159.24,160.29,158.55,159.25,CLP
2015-01-19,158.97,161.1,158.61,160.37,CLP
2015-01-20,160.14,160.59,158.83,159.73,CLP
2015-01-21,159.45,160.55,158.77,159.38,CLP
2015-01-22,159.16,160.07,157.48,157.96,CLP
2015-01-23,157.62,158.33,155.49,156.05,CLP
2015-01-26,155.47,157.2,155.33,156.33,CLP
2015-01-27,156.04,158.57,155.68,157.99,CLP
2015-01-28,157.73,158.72,156.64,157.94,CLP
2015-01-29,157.62,160.17,157.11,159.46,CLP
2015-01-30,159.21,161.79,159.05,161.18,CLP
2015-02-02,160.66,161.45,159.55,160.33,CLP
2015-02-03,160.11,161.59,158.64,160.79,CLP
2015-02-04,160.69,161.72,159.84,160.59,CLP
2015-02-05,160.32,163.18,159.72,161.81,CLP
2015-02-06,161.6,161.97,159.44,161.19,CLP
2015-02-09,161.01,162.41,160.15,161.08,CLP
2015-02-10,160.87,162.59,160.24,161.9,CLP
2015-02-11,161.62,163.04,161.21,162.12,CLP
2015-02-12,161.88,162.74,159.56,160.55,CLP
2015-02-13,160.49,160.83,158.41,159.12,CLP
2015-02-16,158.8,161.47,157.58,160.45,CLP
2015-02-17,160.45,161.18,159.51,160.96,CLP
2015-02-18,160.53,161.7,160.19,160.82,CLP
2015-02-19,160.66,162.42,160.3,161.18,CLP
2015-02-20,160.9,161.04,158.9,159.79,CLP
2015-02-23,159.69,161.25,158.13,159.21,CLP
2015-02-24,158.79,159.31,155.78,156.46,CLP
2015-02-25,156.25,157.97,155.33,156.48,CLP
2015-02-26,156.23,157.19,155.75,156.49,CLP
2015-02-27,156.21,156.99,154.37,154.84,CLP
2015-03-02,154.67,155.33,153.63,154.17,CLP
2015-03-03,153.86,155.61,153.68,155.15,CLP
2015-03-04,154.91,155.95,154.2,155.16,CLP
2015-03-05,154.71,155.81,154.16,155.38,CLP
2015-03-06,155.06,156.3,154.44,155.4,CLP
2015-03-09,155.42,157.25,154.7,156.89,CLP
2015-03-10,156.69,157.51,155.64,157.07,CLP
2015-03-11,156.84,158.67,156.6,157.89,CLP
2015-03-12,157.67,158.96,156.76,158.44,CLP
2015-03-13,158.19,159.07,157.37,158.37,CLP
2015-03-16,158.34,160.33,157.74,159.76,CLP
2015-03-17,159.47,160.39,159.3,159.87,CLP
2015-03-18,159.53,160.38,158.75,159.73,CLP
2015-03-19,159.51,160.09,157.74,158.53,CLP
2015-03-20,158.22,158.73,155.28,156.1,CLP
2015-03-23,155.48,158.43,155.48,157.89,CLP
2015-03-24,157.56,159.16,157.28,158.69,CLP
2015-03-25,158.45,158.9,155.69,157.41,CLP
2015-03-26,157.12,158.05,156.26,157.4,CLP
2015-03-27,157.0,157.71,155.63,157.15,CLP
2015-03-30,156.84,159.13,156.34,158.03,CLP
2015-03-31,157.64,158.59,156.23,156.96,CLP
2015-04-01,156.76,157.47,154.85,155.88,CLP
2015-04-02,155.66,156.9,155.05,156.19,CLP
2015-04-03,155.57,157.27,155.52,156.93,CLP
2015-04-06,156.49,157.23,154.82,155.89,CLP
2015-04-07,155.71,156.4,154.34,154.64,CLP
2015-04-08,154.41,155.91,154.15,155.5,CLP
2015-04-09,155.19,156.13,154.6,155.75,CLP
2015-04-10,155.45,156.02,154.12,155.15,CLP
2015-04-13,154.88,156.11,153.54,154.37,CLP
2015-04-14,154.1,155.49,153.77,154.81,CLP
2015-04-15,154.63,155.96,153.34,154.69,CLP
2015-04-16,154.42,156.3,154.0,155.63,CLP
2015-04-17,155.1,157.01,154.91,156.2,CLP
2015-04-20,156.1,156.78,155.28,156.39,CLP
2015-04-21,156.11,156.59,155.21,156.24,CLP
2015-04-22,156.01,157.57,155.52,156.98,CLP
2015-04-23,156.64,157.55,155.8,156.71,CLP
2015-04-24,156.38,157.54,155.95,156.9,CLP
2015-04-27,156.55,157.68,155.36,156.97,CLP
2015-04-28,156.59,157.76,155.41,157.35,CLP
2015-04-29,157.0,158.22,156.12,157.78,CLP
2015-04-30,157.53,158.76,156.57,158.44,CLP
2015-05-01,157.9,159.12,156.66,157.48,CLP
2015-05-04,157.25,158.79,156.91,158.37,CLP
2015-05-05,158.04,158.82,156.82,157.55,CLP
2015-05-06,157.12,159.24,156.74,159.01,CLP
2015-05-07,158.7,159.34,156.84,157.88,CLP
2015-05-08,157.65,158.04,155.67,156.71,CLP
2015-05-11,156.53,158.43,155.52,157.98,CLP
2015-05-12,157.68,158.49,155.81,156.46,CLP
2015-05-13,156.15,157.5,155.11,157.13,CLP
2015-05-14,156.75,158.36,155.11,155.8,CLP
2015-05-15,155.56,156.9,154.99,156.81,CLP
2015-05-18,156.91,157.04,155.3,156.03,CLP
2015-05-19,155.88,156.6,154.87,156.22,CLP
2015-05-20,155.76,157.07,154.91,155.84,CLP
2015-05-21,155.66,157.1,155.38,155.71,CLP
2015-05-22,155.61,157.13,155.52,156.52,CLP
2015-05-25,156.21,158.09,155.45,157.69,CLP
2015-05-26,157.44,158.41,156.9,157.94,CLP
2015-05-27,157.69,159.35,157.46,158.71,CLP
2015-05-28,158.19,159.84,158.05,159.21,CLP
2015-05-29,158.96,160.34,158.04,159.82,CLP
2015-06-01,159.37,161.53,159.0,161.19,CLP
2015-06-02,160.94,162.55,160.71,161.88,CLP
2015-06-03,161.68,164.03,160.67,163.8,CLP
2015-06-04,163.57,164.34,162.79,163.94,CLP
2015-06-05,163.61,165.28,163.0,164.8,CLP
2015-06-08,164.42,165.41,163.51,164.08,CLP
2015-06-09,163.88,165.08,162.93,163.51,CLP
2015-06-10,163.29,165.69,161.72,165.39,CLP
2015-06-11,165.06,165.73,163.97,164.87,CLP
2015-06-12,164.62,165.05,163.13,164.21,CLP
2015-06-15,163.78,165.8,163.21,165.35,CLP
2015-06-16,165.09,165.99,164.04,165.65,CLP
2015-06-17,165.4,166.74,165.1,166.12,CLP
2015-06-18,165.68,166.79,163.87,164.33,CLP
2015-06-19,164.16,166.0,163.58,165.32,CLP
2015-06-22,165.03,167.78,163.34,167.13,CLP
2015-06-23,166.88,168.99,166.19,168.45,CLP
2015-06-24,168.19,169.16,167.24,169.03,CLP
2015-06-25,168.75,169.14,166.55,167.19,CLP
2015-06-26,166.97,167.95,165.81,167.53,CLP
2015-06-29,167.05,169.75,165.9,169.74,CLP
2015-06-30,169.41,170.21,168.74,169.57,CLP
2015-07-01,169.35,169.88,168.03,168.8,CLP
2015-07-02,168.62,169.65,167.55,168.21,CLP
2015-07-03,168.03,169.75,167.63,169.08,CLP
2015-07-06,168.12,170.49,167.4,170.26,CLP
2015-07-07,169.87,172.27,169.17,171.44,CLP
2015-07-08,171.46,172.91,170.17,172.06,CLP
2015-07-09,171.77,172.51,169.77,170.7,CLP
2015-07-10,170.43,172.44,169.93,171.87,CLP
2015-07-13,171.49,172.59,169.92,170.38,CLP
2015-07-14,170.08,171.56,169.6,170.24,CLP
2015-07-15,169.93,171.18,169.46,170.19,CLP
2015-07-16,169.93,170.19,168.8,169.37,CLP
2015-07-17,169.26,170.12,168.37,169.01,CLP
2015-07-20,168.96,170.11,167.9,169.78,CLP
2015-07-21,169.35,172.01,169.2,171.51,CLP
2015-07-22,171.31,172.32,170.37,171.21,CLP
2015-07-23,170.95,172.57,170.25,171.91,CLP
2015-07-24,171.52,173.43,171.09,172.94,CLP
2015-07-27,172.7,176.98,172.54,176.64,CLP
2015-07-28,176.44,176.95,175.02,176.16,CLP
2015-07-29,175.81,176.81,175.08,176.24,CLP
2015-07-30,175.92,178.27,175.45,177.64,CLP
2015-07-31,177.34,178.8,176.84,178.68,CLP
2015-08-03,178.47,180.85,177.99,180.23,CLP
2015-08-04,179.86,180.42,177.73,179.49,CLP
2015-08-05,179.29,179.91,178.22,178.69,CLP
2015-08-06,178.45,180.53,177.91,178.99,CLP
2015-08-07,178.97,179.24,175.94,178.32,CLP
2015-08-10,177.96,179.0,176.51,177.24,CLP
2015-08-11,177.04,178.96,175.8,178.69,CLP
2015-08-12,178.48,179.79,177.78,179.54,CLP
2015-08-13,179.38,181.14,179.02,180.66,CLP
2015-08-14,180.39,182.66,180.23,181.4,CLP
2015-08-17,181.21,181.6,179.29,180.49,CLP
2015-08-18,180.22,182.22,179.43,180.03,CLP
2015-08-19,179.78,180.84,177.69,179.24,CLP
2015-08-20,179.05,179.76,177.15,177.72,CLP
2015-08-21,177.45,180.84,176.79,180.35,CLP
2015-08-24,179.81,184.48,178.9,183.71,CLP
2015-08-25,183.46,183.85,179.96,183.02,CLP
2015-08-26,182.54,183.26,178.28,178.98,CLP
2015-08-27,179.09,180.67,176.59,177.03,CLP
2015-08-28,177.18,177.52,174.47,175.9,CLP
2015-08-31,175.58,178.04,174.79,176.54,CLP
2015-09-01,176.24,177.77,174.37,176.36,CLP
2015-09-02,176.08,176.74,173.66,175.62,CLP
2015-09-03,175.31,175.77,173.3,175.54,CLP
2015-09-04,175.18,177.16,174.72,176.46,CLP
2015-09-07,176.18,177.17,175.1,176.44,CLP
2015-09-08,176.03,177.61,174.65,177.13,CLP
2015-09-09,176.98,178.5,176.1,177.4,CLP
2015-09-10,177.05,178.28,175.6,176.28,CLP
2015-09-11,176.04,178.29,175.26,177.85,CLP
2015-09-14,177.57,177.93,176.18,177.2,CLP
2015-09-15,176.84,177.87,175.4,176.18,CLP
2015-09-16,175.86,176.57,174.3,175.38,CLP
2015-09-17,175.09,175.95,173.31,173.96,CLP
2015-09-18,173.73,174.83,172.4,173.99,CLP
2015-09-21,173.59,174.39,171.88,174.08,CLP
2015-09-22,173.83,177.55,173.35,176.82,CLP
2015-09-23,176.87,178.57,175.77,178.23,CLP
2015-09-24,178.0,181.65,176.94,177.86,CLP
2015-09-25,177.28,178.67,175.78,177.77,CLP
2015-09-28,177.51,180.14,177.28,179.61,CLP
2015-09-29,179.32,179.7,178.09,179.34,CLP
2015-09-30,178.9,179.74,176.67,177.53,CLP
2015-10-01,177.33,178.17,175.85,176.98,CLP
2015-10-02,176.7,178.38,175.16,176.27,CLP
2015-10-05,175.96,178.87,175.48,176.05,CLP
2015-10-06,175.99,177.16,175.07,176.56,CLP
2015-10-07,176.37,177.34,175.02,176.24,CLP
2015-10-08,175.62,177.91,175.37,175.99,CLP
2015-10-09,175.75,177.53,175.05,176.61,CLP
2015-10-12,176.92,177.06,171.06,176.32,CLP
2015-10-13,176.13,177.36,174.78,176.91,CLP
2015-10-14,176.52,177.71,175.67,177.03,CLP
2015-10-15,176.9,179.53,175.63,176.74,CLP
2015-10-16,176.35,177.57,174.67,176.01,CLP
2015-10-19,175.38,177.11,174.93,176.37,CLP
2015-10-20,176.03,178.88,175.24,178.43,CLP
2015-10-21,178.11,179.86,177.38,179.17,CLP
2015-10-22,178.88,179.66,177.1,177.56,CLP
2015-10-23,177.46,177.92,175.28,176.15,CLP
2015-10-26,175.65,178.29,174.95,177.67,CLP
2015-10-27,177.42,178.78,176.73,177.61,CLP
2015-10-28,177.36,178.38,175.9,176.5,CLP
2015-10-29,176.16,178.61,176.02,177.98,CLP
2015-10-30,177.48,179.57,177.19,178.99,CLP
2015-11-02,178.67,180.01,177.91,178.4,CLP
2015-11-03,178.19,178.92,177.19,178.02,CLP
2015-11-04,177.74,178.53,176.68,178.38,CLP
2015-11-05,177.79,179.12,177.23,178.69,CLP
2015-11-06,178.42,179.2,177.29,177.7,CLP
2015-11-09,177.45,179.66,177.17,179.25,CLP
2015-11-10,179.12,180.0,178.26,178.71,CLP
2015-11-11,178.58,179.93,178.22,179.34,CLP
2015-11-12,178.96,181.57,178.7,180.92,CLP
2015-11-13,180.42,182.27,179.84,181.38,CLP
2015-11-16,181.16,183.15,180.66,182.71,CLP
2015-11-17,182.34,183.29,181.04,182.02,CLP
2015-11-18,181.8,183.75,181.53,183.31,CLP
2015-11-19,183.11,184.16,182.36,183.62,CLP
2015-11-20,183.29,183.93,181.91,183.38,CLP
2015-11-23,182.8,184.85,182.07,184.69,CLP
2015-11-24,184.54,184.87,182.32,184.34,CLP
2015-11-25,184.26,184.77,182.81,183.94,CLP
2015-11-26,183.62,184.21,182.74,183.93,CLP
2015-11-27,183.77,184.49,182.61,184.32,CLP
2015-11-30,183.81,184.37,182.73,183.47,CLP
2015-12-01,183.23,184.13,181.0,181.49,CLP
2015-12-02,181.32,181.75,180.33,181.38,CLP
2015-12-03,181.21,182.55,180.32,182.09,CLP
2015-12-04,181.64,184.7,181.29,183.1,CLP
2015-12-07,182.73,183.48,181.38,182.66,CLP
2015-12-08,182.44,183.8,181.59,182.64,CLP
2015-12-09,182.46,182.94,180.68,182.22,CLP
2015-12-10,181.96,183.09,181.19,182.66,CLP
2015-12-11,182.51,184.65,181.95,183.79,CLP
2015-12-14,183.41,185.17,183.1,184.69,CLP
2015-12-15,184.45,184.81,182.88,183.43,CLP
2015-12-16,183.18,184.17,181.64,182.19,CLP
2015-12-17,181.84,182.72,180.27,181.56,CLP
2015-12-18,181.3,182.26,178.45,179.22,CLP
2015-12-21,179.0,179.74,176.87,178.45,CLP
2015-12-22,178.17,179.54,176.52,179.11,CLP
2015-12-23,179.07,180.17,177.68,179.81,CLP
2015-12-24,179.4,181.0,178.67,180.45,CLP
2015-12-25,179.98,180.48,179.8,180.36,CLP
2015-12-28,180.04,182.83,179.47,182.22,CLP
2015-12-29,181.82,182.67,180.9,181.3,CLP
2015-12-30,180.91,182.86,180.91,181.97,CLP
2015-12-31,181.63,182.43,180.63,182.09,CLP
2016-01-01,181.61,182.3,181.39,181.68,CLP
2016-01-04,181.52,183.72,180.85,182.93,CLP
2016-01-05,182.62,183.36,180.82,181.61,CLP
2016-01-06,181.49,182.19,180.1,181.27,CLP
2016-01-07,180.99,184.46,180.67,184.37,CLP
2016-01-08,184.07,185.82,183.1,185.07,CLP
2016-01-11,185.06,186.46,184.11,185.93,CLP
2016-01-12,185.61,186.45,184.27,185.36,CLP
2016-01-13,185.04,185.85,183.27,184.79,CLP
2016-01-14,184.39,185.35,182.63,182.92,CLP
2016-01-15,182.69,185.51,182.36,184.39,CLP
2016-01-18,184.07,185.27,183.74,184.67,CLP
2016-01-19,184.36,184.97,182.06,183.23,CLP
2016-01-20,183.06,184.29,182.54,183.2,CLP
2016-01-21,182.91,183.87,181.73,182.5,CLP
2016-01-22,182.32,183.4,178.43,179.63,CLP
2016-01-25,179.3,182.4,179.11,182.07,CLP
2016-01-26,181.76,182.66,179.48,181.27,CLP
2016-01-27,180.96,181.6,179.35,180.04,CLP
2016-01-28,179.61,180.77,178.97,180.04,CLP
2016-01-29,179.79,180.39,178.59,180.11,CLP
2016-02-01,179.99,181.53,179.16,179.94,CLP
2016-02-02,179.7,180.88,179.26,180.14,CLP
2016-02-03,179.89,180.46,177.81,178.93,CLP
2016-02-04,178.67,180.93,177.55,178.67,CLP
2016-02-05,178.33,182.34,177.94,181.88,CLP
2016-02-08,181.48,183.57,180.83,183.31,CLP
2016-02-09,183.11,185.14,182.54,184.48,CLP
2016-02-10,184.2,184.97,182.08,183.82,CLP
2016-02-11,183.44,184.54,182.01,183.25,CLP
2016-02-12,182.75,184.05,180.61,181.23,CLP
2016-02-15,180.93,182.0,179.36,180.34,CLP
2016-02-16,180.0,182.05,178.9,181.69,CLP
2016-02-17,181.29,181.78,178.68,179.52,CLP
2016-02-18,179.16,180.34,178.11,179.58,CLP
2016-02-19,179.26,180.63,178.1,178.69,CLP
2016-02-22,178.17,179.37,176.39,177.08,CLP
2016-02-23,176.76,178.47,175.93,178.01,CLP
2016-02-24,177.67,178.95,176.28,176.9,CLP
2016-02-25,176.63,177.56,175.9,177.01,CLP
2016-02-26,176.57,177.68,175.23,177.12,CLP
2016-02-29,176.75,178.91,176.62,178.36,CLP
2016-03-01,178.1,179.56,176.7,177.48,CLP
2016-03-02,177.18,177.97,175.6,176.33,CLP
2016-03-03,176.03,177.24,175.21,176.43,CLP
2016-03-04,176.02,176.64,173.15,174.28,CLP
2016-03-07,174.02,174.79,172.75,173.42,CLP
2016-03-08,172.89,175.45,172.89,174.85,CLP
2016-03-09,174.6,174.98,172.79,174.11,CLP
2016-03-10,174.09,176.25,172.48,176.19,CLP
2016-03-11,175.97,176.86,174.72,175.93,CLP
2016-03-14,175.65,177.35,174.3,175.41,CLP
2016-03-15,174.83,177.0,174.25,176.55,CLP
2016-03-16,176.28,177.03,174.99,175.52,CLP
2016-03-17,175.27,177.08,173.0,173.95,CLP
2016-03-18,173.65,176.06,173.26,175.33,CLP
2016-03-21,175.02,176.57,174.71,175.32,CLP
2016-03-22,175.04,176.89,174.42,175.33,CLP
2016-03-23,175.21,177.88,174.27,177.46,CLP
2016-03-24,177.07,178.89,176.76,177.6,CLP
2016-03-25,177.2,177.77,176.75,177.4,CLP
2016-03-28,177.02,178.35,176.56,178.05,CLP
2016-03-29,177.69,179.7,176.64,179.08,CLP
2016-03-30,178.76,179.84,177.27,177.88,CLP
2016-03-31,177.49,179.01,176.84,178.73,CLP
2016-04-01,178.12,178.98,176.24,177.55,CLP
2016-04-04,177.04,178.09,176.04,177.8,CLP
2016-04-05,177.38,178.09,175.97,176.91,CLP
2016-04-06,176.73,178.67,176.33,177.96,CLP
2016-04-07,177.41,180.98,177.09,180.75,CLP
2016-04-08,180.13,181.3,179.47,181.07,CLP
2016-04-11,180.17,181.51,179.9,180.66,CLP
2016-04-12,180.48,181.23,177.81,178.53,CLP
2016-04-13,178.17,179.09,176.64,177.64,CLP
2016-04-14,177.29,177.67,174.74,175.31,CLP
2016-04-15,174.96,177.25,174.86,176.23,CLP
2016-04-18,175.85,177.28,175.23,175.78,CLP
2016-04-19,175.51,176.48,173.9,175.65,CLP
2016-04-20,175.28,176.1,173.96,174.77,CLP
2016-04-21,174.69,177.18,173.98,176.79,CLP
2016-04-22,176.51,178.17,175.81,177.18,CLP
2016-04-25,176.65,178.64,176.45,177.92,CLP
2016-04-26,177.54,178.69,176.69,178.01,CLP
2016-04-27,177.69,178.91,176.7,177.17,CLP
2016-04-28,176.81,177.75,174.97,175.94,CLP
2016-04-29,175.93,177.38,174.97,176.99,CLP
2016-05-02,176.25,177.05,175.18,176.31,CLP
2016-05-03,175.99,178.17,175.69,177.08,CLP
2016-05-04,176.67,178.69,176.22,177.3,CLP
2016-05-05,177.02,178.03,175.4,176.22,CLP
2016-05-06,175.91,177.23,174.72,175.26,CLP
2016-05-09,175.26,179.49,174.86,179.03,CLP
2016-05-10,178.76,180.45,178.07,179.81,CLP
2016-05-11,179.42,182.0,178.98,181.03,CLP
2016-05-12,180.71,182.32,179.53,181.83,CLP
2016-05-13,181.6,182.91,181.14,182.69,CLP
2016-05-16,182.73,183.13,180.07,181.63,CLP
2016-05-17,181.44,183.08,179.98,180.59,CLP
2016-05-18,180.33,181.93,179.11,180.86,CLP
2016-05-19,180.37,181.29,179.12,179.48,CLP
2016-05-20,179.08,180.07,177.4,178.26,CLP
2016-05-23,177.91,180.12,177.64,179.81,CLP
2016-05-24,179.46,180.74,178.44,180.53,CLP
2016-05-25,180.17,180.62,179.0,179.98,CLP
2016-05-26,179.42,180.78,178.26,179.43,CLP
2016-05-27,179.15,179.69,177.73,178.97,CLP
2016-05-30,178.53,179.95,177.79,179.2,CLP
2016-05-31,178.89,180.08,177.89,179.82,CLP
2016-06-01,179.39,180.86,178.77,179.57,CLP
2016-06-02,179.13,180.36,177.92,178.65,CLP
2016-06-03,178.25,178.81,176.81,177.48,CLP
2016-06-06,177.11,178.94,177.0,177.73,CLP
2016-06-07,177.3,179.4,176.38,177.25,CLP
