Date,Open,High,Low,Close,Currency
2015-01-01,1.5903,1.5964,1.5889,1.5937,CNY
2015-01-02,1.5926,1.5968,1.5741,1.5768,CNY
2015-01-05,1.578,1.5841,1.564,1.5731,CNY
2015-01-06,1.5739,1.5785,1.5609,1.5693,CNY
2015-01-07,1.5678,1.5722,1.557,1.5661,CNY
2015-01-08,1.565,1.5751,1.5591,1.5713,CNY
2015-01-09,1.5691,1.577,1.5625,1.5743,CNY
2015-01-12,1.5722,1.5809,1.5654,1.5776,CNY
2015-01-13,1.5746,1.5819,1.5668,1.575,CNY
2015-01-14,1.5737,1.5938,1.5682,1.5901,CNY
2015-01-15,1.5878,1.5958,1.5719,1.5772,CNY
2015-01-16,1.5763,1.5893,1.5701,1.5742,CNY
2015-01-19,1.5718,1.5917,1.5702,1.588,CNY
2015-01-20,1.5859,1.5888,1.5736,1.5783,CNY
2015-01-21,1.5764,1.5842,1.5717,1.576,CNY
2015-01-22,1.575,1.5819,1.5672,1.5705,CNY
2015-01-23,1.5682,1.5777,1.5496,1.5539,CNY
2015-01-26,1.5492,1.5705,1.5478,1.5682,CNY
2015-01-27,1.5661,1.5875,1.56,1.5823,CNY
2015-01-28,1.5806,1.5911,1.5715,1.5846,CNY
2015-01-29,1.5828,1.5973,1.5778,1.587,CNY
2015-01-30,1.5857,1.5987,1.5838,1.5899,CNY
2015-02-02,1.5866,1.5948,1.5845,1.5931,CNY
2015-02-03,1.5917,1.6099,1.587,1.6084,CNY
2015-02-04,1.6079,1.6129,1.5962,1.6006,CNY
2015-02-05,1.5975,1.6328,1.5944,1.6215,CNY
2015-02-06,1.6196,1.6218,1.596,1.6033,CNY
2015-02-09,1.6027,1.6157,1.6006,1.6118,CNY
2015-02-10,1.6106,1.6191,1.6024,1.6129,CNY
2015-02-11,1.6107,1.6233,1.6017,1.6065,CNY
2015-02-12,1.6043,1.6134,1.5953,1.612,CNY
2015-02-13,1.6118,1.6141,1.5994,1.6048,CNY
2015-02-16,1.6024,1.6227,1.5919,1.613,CNY
2015-02-17,1.6131,1.6235,1.609,1.6213,CNY
2015-02-18,1.6184,1.6313,1.6147,1.6231,CNY
2015-02-19,1.6225,1.634,1.6188,1.6271,CNY
2015-02-20,1.6258,1.6272,1.6119,1.623,CNY
2015-02-23,1.622,1.6303,1.595,1.5983,CNY
