Date,Open,High,Low,Close,Currency
2015-06-22,666.6,674.3,660.32,670.73,COP
2015-06-23,670.1,680.055,669.57,679.155,COP
2015-06-24,677.79,686.44,673.54,683.06,COP
2015-06-25,682.24,684.055,673.03,678.065,COP
2015-06-26,677.39,684.785,671.92,681.385,COP
2015-06-29,679.93,686.92,674.9,686.62,COP
2015-06-30,685.84,691.895,683.19,691.035,COP
2015-07-01,690.4,697.815,684.56,697.515,COP
2015-07-02,696.77,701.495,690.2,697.625,COP
2015-07-03,697.03,705.495,695.47,699.805,COP
2015-07-06,695.69,709.24,692.73,709.15,COP
2015-07-07,707.55,714.365,703.19,710.765,COP
2015-07-08,710.45,714.495,705.31,707.955,COP
2015-07-09,706.7,710.33,700.92,706.48,COP
2015-07-10,704.93,714.735,702.13,709.435,COP
2015-07-13,708.1,719.135,704.03,711.525,COP
2015-07-14,710.32,717.04,708.28,712.25,COP
2015-07-15,710.97,722.715,710.21,718.785,COP
2015-07-16,717.7,722.845,713.45,721.745,COP
2015-07-17,720.6,725.97,715.47,721.85,COP
2015-07-20,722.59,725.74,717.71,721.66,COP
2015-07-21,719.63,731.53,718.98,729.2,COP
2015-07-22,728.23,733.595,721.51,730.425,COP
2015-07-23,729.31,745.755,726.44,741.655,COP
2015-07-24,740.07,753.42,736.49,746.61,COP
2015-07-27,745.08,759.965,744.84,758.545,COP
2015-07-28,757.56,759.955,749.85,757.615,COP
2015-07-29,756.28,759.455,751.47,753.405,COP
2015-07-30,751.97,763.755,749.43,760.745,COP
2015-07-31,759.36,764.85,753.89,763.2,COP
2015-08-03,761.52,775.445,760.49,773.065,COP
2015-08-04,771.77,773.97,761.69,769.16,COP
2015-08-05,768.44,775.415,759.78,773.565,COP
2015-08-06,772.48,781.605,767.1,774.525,COP
2015-08-07,774.18,780.38,764.34,772.34,COP
2015-08-10,770.14,774.12,761.18,765.48,COP
2015-08-11,764.88,774.905,758.5,771.635,COP
2015-08-12,770.35,773.735,765.24,772.065,COP
2015-08-13,771.58,786.855,768.08,786.455,COP
2015-08-14,785.4,793.66,783.25,792.21,COP
2015-08-17,791.52,793.365,777.91,782.735,COP
2015-08-18,780.83,785.79,776.09,779.27,COP
2015-08-19,778.28,787.29,772.29,781.27,COP
2015-08-20,780.93,792.51,772.62,790.19,COP
2015-08-21,788.91,808.915,786.03,802.815,COP
2015-08-24,800.2,845.24,795.97,844.59,COP
2015-08-25,842.5,844.57,820.37,831.54,COP
2015-08-26,829.08,835.185,813.83,828.215,COP
2015-08-27,827.22,835.77,805.29,806.84,COP
2015-08-28,807.45,815.62,777.32,782.61,COP
2015-08-31,780.49,793.815,771.02,778.305,COP
2015-09-01,777.23,794.605,772.58,793.355,COP
2015-09-02,791.86,814.065,780.4,807.425,COP
2015-09-03,806.37,809.84,783.8,791.95,COP
2015-09-04,789.93,800.84,783.28,797.02,COP
2015-09-07,795.37,800.3,791.17,798.48,COP
2015-09-08,797.21,809.875,793.28,798.305,COP
2015-09-09,797.76,806.555,792.17,799.625,COP
2015-09-10,798.17,806.53,781.63,784.59,COP
2015-09-11,783.37,791.715,770.51,786.715,COP
2015-09-14,785.44,789.28,774.81,779.66,COP
2015-09-15,777.97,783.685,773.15,779.465,COP
2015-09-16,777.96,782.435,765.24,768.835,COP
2015-09-17,767.74,773.745,758.03,770.115,COP
2015-09-18,768.58,772.43,760.31,764.77,COP
2015-09-21,763.7,766.55,756.96,765.0,COP
2015-09-22,763.95,780.315,756.95,777.555,COP
2015-09-23,778.02,790.61,772.91,789.96,COP
2015-09-24,789.04,810.365,785.03,792.425,COP
2015-09-25,789.06,793.82,776.71,779.82,COP
2015-09-28,778.77,795.655,777.65,794.155,COP
2015-09-29,792.78,797.925,787.64,792.035,COP
