Date,Open,High,Low,Close,Currency
2015-01-01,5.8759,5.8837,5.8735,5.8837,CZK
2015-01-02,5.8782,5.9047,5.8465,5.8591,CZK
2015-01-04,5.8641,5.8859,5.8522,5.8735,CZK
2015-01-05,5.8746,5.8911,5.8552,5.8686,CZK
2015-01-06,5.8698,5.9037,5.845,5.891,CZK
2015-01-07,5.893,5.9527,5.8566,5.941,CZK
2015-01-08,5.9322,5.9911,5.9196,5.9792,CZK
2015-01-09,5.9743,6.0601,5.9584,6.0275,CZK
2015-01-11,6.0322,6.0322,6.0054,6.0054,CZK
2015-01-12,6.0136,6.1169,6.0136,6.0744,CZK
2015-01-13,6.084,6.1456,6.0478,6.0607,CZK
2015-01-14,6.0654,6.136,6.0444,6.1024,CZK
2015-01-15,6.1075,6.1654,6.0809,6.1112,CZK
2015-01-16,6.1172,6.1729,6.0995,6.103,CZK
2015-01-18,6.1126,6.1322,6.1046,6.1046,CZK
2015-01-19,6.1109,6.158,6.087,6.158,CZK
2015-01-20,6.1568,6.1686,6.1031,6.1306,CZK
2015-01-21,6.1345,6.1511,6.1031,6.1031,CZK
2015-01-22,6.1086,6.2388,6.0871,6.2075,CZK
2015-01-23,6.2072,6.2824,6.1156,6.1672,CZK
2015-01-25,6.168,6.2042,6.168,6.1904,CZK
2015-01-26,6.1859,6.1956,6.1491,6.1956,CZK
2015-01-27,6.1845,6.2303,6.1443,6.2174,CZK
2015-01-28,6.2219,6.2502,6.1693,6.2368,CZK
2015-01-29,6.2361,6.274,6.2167,6.2266,CZK
2015-01-30,6.2223,6.263,6.1912,6.25,CZK
2015-02-01,6.251,6.251,6.2251,6.2376,CZK
2015-02-02,6.2379,6.2494,6.208,6.239,CZK
2015-02-03,6.2284,6.2553,6.1923,6.2207,CZK
2015-02-04,6.2204,6.285,6.2041,6.285,CZK
2015-02-05,6.2779,6.3397,6.2367,6.2629,CZK
2015-02-06,6.2719,6.2928,6.2382,6.2867,CZK
2015-02-08,6.283,6.2989,6.2649,6.2859,CZK
2015-02-09,6.2913,6.3327,6.2686,6.3002,CZK
2015-02-10,6.3012,6.3538,6.2881,6.3215,CZK
2015-02-11,6.3181,6.3528,6.2614,6.2876,CZK
2015-02-12,6.2851,6.3026,6.227,6.2449,CZK
2015-02-13,6.2472,6.2522,6.2043,6.2309,CZK
2015-02-15,6.2754,6.2836,6.2277,6.2277,CZK
2015-02-16,6.2306,6.3109,6.177,6.2995,CZK
2015-02-17,6.3003,6.3065,6.2462,6.2595,CZK
2015-02-18,6.2669,6.3119,6.1818,6.2108,CZK
2015-02-19,6.2058,6.2698,6.1965,6.2598,CZK
2015-02-20,6.261,6.3092,6.2009,6.2664,CZK
2015-02-22,6.3008,6.3008,6.2776,6.2776,CZK
2015-02-23,6.2779,6.3,6.1754,6.1754,CZK
2015-02-24,6.1789,6.1836,6.0887,6.1137,CZK
2015-02-25,6.122,6.1629,6.0977,6.1166,CZK
2015-02-26,6.1162,6.2311,6.1044,6.2014,CZK
2015-02-27,6.2081,6.2182,6.1168,6.1731,CZK
2015-03-01,6.1764,6.1902,6.1733,6.1902,CZK
2015-03-02,6.1834,6.1852,6.1293,6.1555,CZK
2015-03-03,6.1549,6.1859,6.1424,6.1859,CZK
2015-03-04,6.1745,6.2235,6.1608,6.211,CZK
2015-03-05,6.2125,6.2325,6.2077,6.2203,CZK
2015-03-06,6.1945,6.1945,6.1945,6.1945,CZK
2015-03-08,6.2744,6.2744,6.2744,6.2744,CZK
2015-03-09,6.2669,6.2669,6.2669,6.2669,CZK
2015-03-10,6.2911,6.2911,6.2911,6.2911,CZK
2015-03-11,6.2999,6.2999,6.2999,6.2999,CZK
2015-03-12,6.3971,6.3971,6.3971,6.3971,CZK
2015-03-13,6.4186,6.4186,6.4186,6.4186,CZK
2015-03-15,6.4344,6.4344,6.4344,6.4344,CZK
2015-03-16,6.4517,6.4517,6.4517,6.4517,CZK
2015-03-17,6.4233,6.4233,6.4233,6.4233,CZK
2015-03-18,6.4071,6.4071,6.4071,6.4071,CZK
2015-03-19,6.3275,6.3275,6.3275,6.3275,CZK
2015-03-20,6.368,6.368,6.368,6.368,CZK
2015-03-22,6.2694,6.2694,6.2694,6.2694,CZK
2015-03-23,6.2858,6.2858,6.2858,6.2858,CZK
2015-03-24,6.3265,6.3265,6.3265,6.3265,CZK
2015-03-25,6.409,6.409,6.409,6.409,CZK
2015-03-26,6.3238,6.3238,6.3238,6.3238,CZK
2015-03-27,6.3771,6.3771,6.3771,6.3771,CZK
2015-03-29,6.3624,6.3624,6.3624,6.3624,CZK
2015-03-30,6.3649,6.3649,6.3649,6.3649,CZK
2015-03-31,6.4091,6.4091,6.4091,6.4091,CZK
2015-04-01,6.4505,6.4505,6.4505,6.4505,CZK
2015-04-02,6.4703,6.4703,6.4703,6.4703,CZK
2015-04-03,6.434,6.434,6.434,6.434,CZK
2015-04-05,6.4048,6.4048,6.4048,6.4048,CZK
2015-04-06,6.3394,6.3394,6.3394,6.3394,CZK
2015-04-07,6.4324,6.4413,6.4037,6.4093,CZK
2015-04-08,6.4137,6.4722,6.3857,6.4587,CZK
2015-04-09,6.4583,6.5126,6.4449,6.4993,CZK
2015-04-10,6.4928,6.5032,6.4543,6.4543,CZK
2015-04-12,6.4661,6.4967,6.4661,6.4774,CZK
2015-04-13,6.4698,6.4957,6.4606,6.4957,CZK
2015-04-14,6.4914,6.5018,6.4473,6.4761,CZK
2015-04-15,6.4781,6.5303,6.4599,6.4866,CZK
2015-04-16,6.4852,6.5396,6.4548,6.5011,CZK
2015-04-17,6.4992,6.5173,6.4622,6.4858,CZK
2015-04-19,6.4925,6.4971,6.4676,6.4837,CZK
2015-04-20,6.4841,6.5149,6.4653,6.4798,CZK
2015-04-21,6.4718,6.5194,6.4484,6.4759,CZK
2015-04-22,6.4736,6.5074,6.4406,6.4665,CZK
2015-04-23,6.4775,6.5136,6.4291,6.46,CZK
2015-04-24,6.4604,6.4853,6.4103,6.4804,CZK
2015-04-26,6.4266,6.4587,6.4252,6.4587,CZK
2015-04-27,6.4557,6.5102,6.4284,6.5083,CZK
2015-04-28,6.5021,6.5057,6.4487,6.4746,CZK
2015-04-29,6.4828,6.4899,6.3587,6.3852,CZK
2015-04-30,6.3862,6.4074,6.303,6.342,CZK
2015-05-01,6.3385,6.3466,6.2685,6.2746,CZK
2015-05-03,6.283,6.3127,6.283,6.3127,CZK
2015-05-04,6.3084,6.3447,6.2884,6.3178,CZK
2015-05-05,6.317,6.3638,6.301,6.3166,CZK
2015-05-06,6.328,6.3288,6.2536,6.2798,CZK
2015-05-07,6.2799,6.314,6.2437,6.2851,CZK
2015-05-08,6.2818,6.3479,6.2767,6.3479,CZK
2015-05-10,6.3471,6.3541,6.3404,6.3541,CZK
2015-05-11,6.3526,6.386,6.3393,6.3732,CZK
2015-05-12,6.3778,6.3969,6.2932,6.3345,CZK
2015-05-13,6.3415,6.3505,6.295,6.308,CZK
2015-05-14,6.3139,6.3276,6.2721,6.3146,CZK
2015-05-15,6.3104,6.3188,6.2697,6.2697,CZK
2015-05-17,6.2829,6.2829,6.2644,6.2644,CZK
2015-05-18,6.2656,6.3166,6.2656,6.3014,CZK
2015-05-19,6.2966,6.3695,6.2966,6.3439,CZK
2015-05-20,6.352,6.3971,6.3285,6.3581,CZK
2015-05-21,6.3581,6.3766,6.3352,6.3637,CZK
2015-05-22,6.3668,6.4113,6.3311,6.4113,CZK
2015-05-24,6.4098,6.4355,6.4008,6.4008,CZK
2015-05-25,6.4113,6.4527,6.3754,6.4411,CZK
2015-05-26,6.4386,6.5035,6.4386,6.5035,CZK
2015-05-27,6.4952,6.5202,6.478,6.5047,CZK
2015-05-28,6.516,6.5229,6.4617,6.4749,CZK
2015-05-29,6.4733,6.4972,6.4263,6.454,CZK
2015-05-31,6.4553,6.4775,6.4553,6.4775,CZK
2015-06-01,6.4747,6.5111,6.4644,6.4897,CZK
2015-06-02,6.4881,6.4902,6.3879,6.4008,CZK
2015-06-03,6.3987,6.4181,6.3304,6.3695,CZK
2015-06-04,6.3712,6.3864,6.293,6.3717,CZK
2015-06-05,6.3709,6.4086,6.3201,6.3858,CZK
2015-06-07,6.3856,6.4033,6.3856,6.4033,CZK
2015-06-08,6.3989,6.4154,6.3032,6.3161,CZK
2015-06-09,6.3233,6.3764,6.2991,6.3487,CZK
2015-06-10,6.3477,6.353,6.2881,6.3126,CZK
2015-06-11,6.3117,6.37,6.3052,6.3555,CZK
2015-06-12,6.3516,6.3665,6.2942,6.3076,CZK
2015-06-14,6.3014,6.3436,6.3014,6.3436,CZK
2015-06-15,6.3316,6.3511,6.2929,6.3058,CZK
2015-06-16,6.3069,6.3402,6.288,6.3136,CZK
2015-06-17,6.3236,6.3249,6.2774,6.2907,CZK
2015-06-18,6.2853,6.2919,6.2398,6.2511,CZK
2015-06-19,6.2543,6.2947,6.2473,6.2813,CZK
2015-06-21,6.2592,6.2657,6.2543,6.2657,CZK
2015-06-22,6.2661,6.367,6.2214,6.3539,CZK
2015-06-23,6.3489,6.4934,6.3472,6.4804,CZK
