Date,Open,High,Low,Close,Currency
2015-01-01,1.5799,1.5833,1.5773,1.5833,DKK
2015-01-02,1.5823,1.5867,1.5719,1.5752,DKK
2015-01-05,1.5788,1.583,1.5736,1.5768,DKK
2015-01-06,1.5767,1.5884,1.5719,1.585,DKK
2015-01-07,1.5851,1.5898,1.5754,1.5855,DKK
2015-01-08,1.5842,1.597,1.5811,1.5938,DKK
2015-01-09,1.5942,1.6008,1.5892,1.5942,DKK
2015-01-12,1.5897,1.6009,1.5897,1.5966,DKK
2015-01-13,1.5984,1.6084,1.5955,1.6051,DKK
2015-01-14,1.6044,1.6217,1.5989,1.6185,DKK
2015-01-15,1.6198,1.6416,1.6187,1.6328,DKK
2015-01-16,1.6319,1.6459,1.6261,1.6295,DKK
2015-01-19,1.6283,1.6383,1.6232,1.6383,DKK
2015-01-20,1.6378,1.6408,1.6296,1.6331,DKK
2015-01-21,1.6348,1.6392,1.6219,1.6255,DKK
2015-01-22,1.6244,1.6632,1.6243,1.6591,DKK
2015-01-23,1.6596,1.6818,1.6438,1.6579,DKK
2015-01-26,1.6626,1.6632,1.65,1.6632,DKK
2015-01-27,1.6606,1.664,1.6495,1.6603,DKK
2015-01-28,1.6598,1.6754,1.6496,1.6731,DKK
2015-01-29,1.6737,1.6792,1.6688,1.6719,DKK
2015-01-30,1.669,1.6798,1.6577,1.6762,DKK
2015-02-02,1.6727,1.6758,1.6652,1.6689,DKK
2015-02-03,1.6708,1.6756,1.6606,1.6665,DKK
2015-02-04,1.6674,1.6864,1.6629,1.6864,DKK
2015-02-05,1.6846,1.7015,1.6732,1.6806,DKK
2015-02-06,1.6835,1.6902,1.6773,1.689,DKK
2015-02-09,1.6907,1.7,1.6843,1.6918,DKK
2015-02-10,1.6919,1.7061,1.6888,1.7021,DKK
2015-02-11,1.7005,1.7084,1.6873,1.6946,DKK
2015-02-12,1.6936,1.6968,1.6762,1.6821,DKK
2015-02-13,1.6824,1.6836,1.6712,1.6785,DKK
2015-02-16,1.6794,1.6991,1.6646,1.6958,DKK
2015-02-17,1.6967,1.6977,1.6829,1.6917,DKK
2015-02-18,1.6913,1.7033,1.6898,1.6973,DKK
2015-02-19,1.6947,1.705,1.6915,1.705,DKK
2015-02-20,1.7037,1.71,1.6805,1.7004,DKK
2015-02-23,1.7009,1.7122,1.6788,1.6788,DKK
2015-02-24,1.6807,1.6824,1.6541,1.661,DKK
2015-02-25,1.6638,1.6781,1.6601,1.6649,DKK
2015-02-26,1.666,1.6889,1.6633,1.6819,DKK
2015-02-27,1.6821,1.6861,1.6644,1.6754,DKK
2015-03-02,1.6773,1.6777,1.6628,1.6662,DKK
2015-03-03,1.6667,1.6779,1.6634,1.6779,DKK
2015-03-04,1.6755,1.6883,1.6724,1.6846,DKK
2015-03-05,1.6853,1.6938,1.6853,1.6897,DKK
2015-03-06,1.6919,1.6919,1.6919,1.6919,DKK
2015-03-09,1.7071,1.7071,1.7071,1.7071,DKK
2015-03-10,1.7191,1.7191,1.7191,1.7191,DKK
2015-03-11,1.7204,1.7204,1.7204,1.7204,DKK
2015-03-12,1.749,1.749,1.749,1.749,DKK
2015-03-13,1.7524,1.7524,1.7524,1.7524,DKK
2015-03-16,1.762,1.762,1.762,1.762,DKK
2015-03-17,1.7592,1.7592,1.7592,1.7592,DKK
2015-03-18,1.7545,1.7545,1.7545,1.7545,DKK
2015-03-19,1.7268,1.7268,1.7268,1.7268,DKK
2015-03-20,1.7287,1.7287,1.7287,1.7287,DKK
2015-03-23,1.7066,1.7066,1.7066,1.7066,DKK
2015-03-24,1.7238,1.7238,1.7238,1.7238,DKK
2015-03-25,1.745,1.745,1.745,1.745,DKK
2015-03-26,1.7256,1.7256,1.7256,1.7256,DKK
2015-03-27,1.7329,1.7329,1.7329,1.7329,DKK
2015-03-30,1.7305,1.7305,1.7305,1.7305,DKK
2015-03-31,1.7416,1.7416,1.7416,1.7416,DKK
2015-04-01,1.7492,1.7492,1.7492,1.7492,DKK
2015-04-02,1.7523,1.7523,1.7523,1.7523,DKK
2015-04-03,1.7458,1.7458,1.7458,1.7458,DKK
2015-04-06,1.7206,1.7206,1.7206,1.7206,DKK
2015-04-07,1.7485,1.7564,1.7438,1.7515,DKK
2015-04-08,1.7494,1.766,1.7441,1.7624,DKK
2015-04-09,1.7619,1.7747,1.758,1.7712,DKK
2015-04-10,1.7695,1.7736,1.7617,1.7656,DKK
2015-04-13,1.7673,1.7743,1.7621,1.7743,DKK
2015-04-14,1.7731,1.7759,1.7613,1.7685,DKK
2015-04-15,1.7698,1.775,1.7584,1.7658,DKK
2015-04-16,1.7645,1.774,1.7559,1.7677,DKK
2015-04-17,1.7671,1.7704,1.7553,1.7614,DKK
2015-04-20,1.7618,1.7721,1.7588,1.7646,DKK
2015-04-21,1.7618,1.7729,1.753,1.7604,DKK
2015-04-22,1.7605,1.7691,1.7507,1.7613,DKK
2015-04-23,1.7641,1.7729,1.7502,1.7579,DKK
2015-04-24,1.758,1.7615,1.7426,1.7599,DKK
2015-04-27,1.7548,1.7691,1.7473,1.7642,DKK
2015-04-28,1.7641,1.7652,1.7505,1.7614,DKK
2015-04-29,1.7639,1.7646,1.7308,1.7404,DKK
2015-04-30,1.7395,1.742,1.7147,1.7222,DKK
2015-05-01,1.7235,1.7256,1.7067,1.7142,DKK
2015-05-04,1.7209,1.7284,1.7154,1.7203,DKK
2015-05-05,1.7232,1.738,1.7176,1.7212,DKK
2015-05-06,1.7231,1.7238,1.7021,1.7093,DKK
2015-05-07,1.7106,1.7193,1.6998,1.7116,DKK
2015-05-08,1.7129,1.7272,1.7115,1.7238,DKK
2015-05-11,1.7257,1.7388,1.7243,1.735,DKK
2015-05-12,1.7366,1.7421,1.7138,1.7245,DKK
2015-05-13,1.7257,1.7278,1.7103,1.7138,DKK
2015-05-14,1.7161,1.7195,1.7051,1.7124,DKK
