Date,Open,High,Low,Close,Currency
2015-01-01,1.8326,1.8392,1.831,1.8361,EGP
2015-01-02,1.8352,1.8398,1.8139,1.8166,EGP
2015-01-05,1.8184,1.8223,1.7948,1.8057,EGP
2015-01-06,1.8042,1.8177,1.7965,1.806,EGP
2015-01-07,1.8044,1.8094,1.7919,1.8023,EGP
2015-01-08,1.8011,1.8122,1.7939,1.8079,EGP
2015-01-09,1.8054,1.8162,1.8,1.8129,EGP
2015-01-12,1.8106,1.8222,1.8044,1.8184,EGP
2015-01-13,1.815,1.8235,1.8078,1.817,EGP
2015-01-14,1.8157,1.8392,1.8097,1.835,EGP
2015-01-15,1.8323,1.8429,1.8166,1.8226,EGP
2015-01-16,1.8217,1.8308,1.8088,1.8134,EGP
2015-01-19,1.8234,1.8554,1.8195,1.8512,EGP
2015-01-20,1.8488,1.8628,1.838,1.8542,EGP
2015-01-21,1.852,1.8745,1.8481,1.8649,EGP
2015-01-22,1.8637,1.8853,1.8582,1.8718,EGP
2015-01-23,1.8692,1.8752,1.8413,1.8462,EGP
2015-01-26,1.8408,1.8683,1.8392,1.8656,EGP
2015-01-27,1.8633,1.8918,1.8589,1.8856,EGP
2015-01-28,1.8836,1.9024,1.8786,1.8945,EGP
2015-01-29,1.8925,1.9408,1.89,1.9283,EGP
2015-01-30,1.9268,1.9411,1.9235,1.9308,EGP
2015-02-02,1.9294,1.9422,1.9275,1.9367,EGP
2015-02-03,1.9351,1.963,1.9327,1.9611,EGP
2015-02-04,1.9607,1.971,1.947,1.9534,EGP
2015-02-05,1.9486,1.9927,1.9452,1.9789,EGP
2015-02-06,1.9767,1.9802,1.9504,1.9591,EGP
2015-02-09,1.9586,1.9731,1.9544,1.9686,EGP
2015-02-10,1.9673,1.9794,1.957,1.9667,EGP
2015-02-11,1.9641,1.9854,1.9552,1.9622,EGP
2015-02-12,1.9584,1.972,1.9494,1.969,EGP
2015-02-13,1.9683,1.9715,1.9544,1.9616,EGP
2015-02-16,1.9594,1.9814,1.944,1.9696,EGP
2015-02-17,1.9698,1.9804,1.9631,1.9777,EGP
2015-02-18,1.9742,1.9898,1.9698,1.9798,EGP
2015-02-19,1.9793,1.9931,1.9747,1.9847,EGP
2015-02-20,1.9833,1.9849,1.9664,1.9798,EGP
2015-02-23,1.9774,1.9887,1.9457,1.9497,EGP
2015-02-24,1.9466,1.953,1.9209,1.9292,EGP
2015-02-25,1.9268,1.9461,1.9218,1.9347,EGP
2015-02-26,1.9328,1.943,1.9236,1.9268,EGP
2015-02-27,1.9256,1.9341,1.9065,1.9137,EGP
2015-03-02,1.9128,1.9164,1.9024,1.9082,EGP
2015-03-03,1.9067,1.9212,1.9043,1.9183,EGP
2015-03-04,1.9176,1.9248,1.9053,1.913,EGP
2015-03-05,1.9091,1.9138,1.9027,1.9108,EGP
2015-03-06,1.9091,1.9134,1.8872,1.8952,EGP
2015-03-09,1.8974,1.9075,1.8886,1.9058,EGP
2015-03-10,1.9049,1.9083,1.8822,1.8854,EGP
2015-03-11,1.8842,1.8946,1.8773,1.8881,EGP
2015-03-12,1.8867,1.9084,1.8828,1.906,EGP
2015-03-13,1.904,1.906,1.8813,1.8875,EGP
2015-03-16,1.8879,1.9057,1.8809,1.9016,EGP
2015-03-17,1.8991,1.9064,1.8971,1.9021,EGP
2015-03-18,1.8996,1.9178,1.8886,1.9156,EGP
2015-03-19,1.9136,1.9185,1.8843,1.8888,EGP
2015-03-20,1.8873,1.8912,1.8732,1.8855,EGP
2015-03-23,1.8798,1.9322,1.8786,1.9299,EGP
2015-03-24,1.9275,1.9504,1.9211,1.946,EGP
2015-03-25,1.9446,1.9481,1.9209,1.9338,EGP
2015-03-26,1.93,1.9424,1.9205,1.9277,EGP
2015-03-27,1.9243,1.9281,1.9065,1.9239,EGP
2015-03-30,1.9213,1.9323,1.9139,1.9234,EGP
2015-03-31,1.9209,1.9284,1.911,1.9171,EGP
2015-04-01,1.9155,1.9332,1.9127,1.9258,EGP
2015-04-02,1.9246,1.9416,1.9205,1.9363,EGP
2015-04-03,1.9302,1.9488,1.9289,1.9457,EGP
2015-04-06,1.9425,1.9524,1.9336,1.9447,EGP
2015-04-07,1.9432,1.9515,1.9286,1.9343,EGP
2015-04-08,1.9316,1.9448,1.9301,1.9399,EGP
2015-04-09,1.9379,1.9421,1.9248,1.9279,EGP
2015-04-10,1.9258,1.9291,1.9075,1.9109,EGP
2015-04-13,1.9116,1.92,1.8947,1.91,EGP
2015-04-14,1.9075,1.9287,1.9033,1.925,EGP
2015-04-15,1.9243,1.9275,1.9062,1.9244,EGP
2015-04-16,1.9225,1.945,1.9171,1.945,EGP
2015-04-17,1.94,1.9557,1.9365,1.9488,EGP
2015-04-20,1.9481,1.949,1.9322,1.9357,EGP
2015-04-21,1.9336,1.9367,1.9224,1.9342,EGP
2015-04-22,1.9324,1.9449,1.9257,1.9346,EGP
