Date,Open,High,Low,Close,Currency
2015-10-19,0.0608,0.0608,0.0608,0.0608,BRL
2015-10-20,0.0599,0.0599,0.0599,0.0599,BRL
2015-10-21,0.0602,0.0602,0.0602,0.0602,BRL
2015-10-22,0.0603,0.0603,0.0603,0.0603,BRL
2015-10-23,0.0602,0.0602,0.0602,0.0602,BRL
2015-10-25,0.0598,0.0598,0.0598,0.0598,BRL
2015-10-26,0.0598,0.0598,0.0598,0.0598,BRL
2015-10-27,0.0602,0.0602,0.0602,0.0602,BRL
2015-10-28,0.0599,0.0599,0.0599,0.0599,BRL
2015-10-29,0.0601,0.0601,0.0601,0.0601,BRL
2015-10-30,0.0589,0.0589,0.0589,0.0589,BRL
2015-11-01,0.059,0.059,0.059,0.059,BRL
2015-11-02,0.059,0.059,0.059,0.059,BRL
2015-11-03,0.0593,0.0593,0.0593,0.0593,BRL
2015-11-04,0.0577,0.0577,0.0577,0.0577,BRL
2015-11-05,0.0577,0.0577,0.0577,0.0577,BRL
2015-11-06,0.0575,0.0575,0.0575,0.0575,BRL
2015-11-08,0.0569,0.0569,0.0569,0.0569,BRL
2015-11-09,0.0569,0.0569,0.0569,0.0569,BRL
2015-11-10,0.057,0.057,0.057,0.057,BRL
2015-11-11,0.0566,0.0566,0.0566,0.0566,BRL
2015-11-12,0.0569,0.0569,0.0569,0.0569,BRL
2015-11-13,0.0569,0.0569,0.0569,0.0569,BRL
2015-11-15,0.0581,0.0581,0.0581,0.0581,BRL
2015-11-16,0.0581,0.0581,0.0581,0.0581,BRL
2015-11-17,0.0582,0.0582,0.0582,0.0582,BRL
2015-11-18,0.0575,0.0575,0.0575,0.0575,BRL
2015-11-19,0.0569,0.0569,0.0569,0.0569,BRL
2015-11-20,0.0568,0.0568,0.0568,0.0568,BRL
2015-11-22,0.0562,0.0562,0.0562,0.0562,BRL
2015-11-23,0.0562,0.0562,0.0562,0.0562,BRL
2015-11-24,0.0564,0.0564,0.0564,0.0564,BRL
2015-11-25,0.0559,0.0559,0.0559,0.0559,BRL
2015-11-26,0.0565,0.0565,0.0565,0.0565,BRL
2015-11-27,0.0561,0.0561,0.0561,0.0561,BRL
2015-11-29,0.0573,0.0573,0.0573,0.0573,BRL
2015-11-30,0.0573,0.0573,0.0573,0.0573,BRL
2015-12-01,0.0581,0.0581,0.0581,0.0581,BRL
2015-12-02,0.0578,0.0578,0.0578,0.0578,BRL
2015-12-03,0.0575,0.0575,0.0575,0.0575,BRL
2015-12-04,0.0564,0.0564,0.0564,0.0564,BRL
2015-12-06,0.0563,0.0563,0.0563,0.0563,BRL
2015-12-07,0.0563,0.0563,0.0563,0.0563,BRL
2015-12-08,0.0565,0.0565,0.0565,0.0565,BRL
2015-12-09,0.0573,0.0573,0.0573,0.0573,BRL
2015-12-10,0.0558,0.0558,0.0558,0.0558,BRL
2015-12-11,0.0572,0.0572,0.0572,0.0572,BRL
2015-12-13,0.0571,0.0571,0.0571,0.0571,BRL
2015-12-14,0.0571,0.0571,0.0571,0.0571,BRL
2015-12-15,0.0579,0.0579,0.0579,0.0579,BRL
2015-12-16,0.0583,0.0583,0.0583,0.0583,BRL
2015-12-17,0.0588,0.0588,0.0588,0.0588,BRL
2015-12-18,0.0582,0.0582,0.0582,0.0582,BRL
2015-12-20,0.0601,0.0601,0.0601,0.0601,BRL
2015-12-21,0.0601,0.0601,0.0601,0.0601,BRL
2015-12-22,0.0606,0.0606,0.0606,0.0606,BRL
2015-12-23,0.0602,0.0602,0.0602,0.0602,BRL
2015-12-24,0.0596,0.0596,0.0596,0.0596,BRL
2015-12-25,0.0598,0.0598,0.0598,0.0598,BRL
2015-12-27,0.0598,0.0598,0.0598,0.0598,BRL
2015-12-28,0.0598,0.0598,0.0598,0.0598,BRL
2015-12-29,0.0583,0.0583,0.0583,0.0583,BRL
2015-12-30,0.0584,0.0584,0.0584,0.0584,BRL
2015-12-31,0.0594,0.0594,0.0594,0.0594,BRL
2016-01-01,0.06,0.06,0.06,0.06,BRL
2016-01-03,0.06,0.06,0.06,0.06,BRL
2016-01-04,0.06,0.06,0.06,0.06,BRL
2016-01-05,0.0606,0.0606,0.0606,0.0606,BRL
2016-01-06,0.0605,0.0605,0.0605,0.0605,BRL
2016-01-07,0.0604,0.0604,0.0604,0.0604,BRL
2016-01-08,0.0603,0.0603,0.0603,0.0603,BRL
2016-01-10,0.0602,0.0602,0.0602,0.0602,BRL
2016-01-11,0.0602,0.0602,0.0602,0.0602,BRL
2016-01-12,0.0608,0.0608,0.0608,0.0608,BRL
