Date,Open,High,Low,Close,Currency
2015-01-01,9.6,9.6,9.56,9.57,CLP
2015-01-02,9.56,9.72,9.55,9.7,CLP
2015-01-05,9.69,9.75,9.66,9.75,CLP
2015-01-06,9.74,9.76,9.65,9.7,CLP
2015-01-07,9.69,9.77,9.69,9.71,CLP
2015-01-08,9.7,9.82,9.7,9.78,CLP
2015-01-09,9.8,9.88,9.8,9.85,CLP
2015-01-12,9.85,9.95,9.85,9.93,CLP
2015-01-13,9.92,10.02,9.9,9.99,CLP
2015-01-14,9.97,10.1,9.95,10.08,CLP
2015-01-15,10.1,10.18,10.0,10.08,CLP
2015-01-16,10.07,10.18,10.05,10.15,CLP
2015-01-19,10.18,10.22,10.15,10.19,CLP
2015-01-20,10.18,10.21,10.12,10.2,CLP
2015-01-21,10.19,10.23,10.17,10.2,CLP
2015-01-22,10.18,10.22,10.1,10.14,CLP
2015-01-23,10.15,10.22,10.13,10.18,CLP
2015-01-26,10.18,10.21,10.12,10.14,CLP
2015-01-27,10.13,10.18,10.12,10.15,CLP
2015-01-28,10.13,10.18,10.11,10.15,CLP
2015-01-29,10.13,10.17,10.06,10.16,CLP
2015-01-30,10.15,10.25,10.11,10.22,CLP
2015-02-02,10.2,10.26,10.19,10.21,CLP
2015-02-03,10.2,10.23,10.12,10.16,CLP
2015-02-04,10.15,10.17,10.1,10.14,CLP
2015-02-05,10.13,10.17,10.08,10.11,CLP
2015-02-06,10.1,10.14,10.03,10.13,CLP
2015-02-09,10.11,10.13,10.03,10.05,CLP
2015-02-10,10.04,10.08,10.02,10.05,CLP
2015-02-11,10.05,10.12,10.03,10.1,CLP
2015-02-12,10.1,10.13,10.0,10.01,CLP
2015-02-13,10.0,10.04,9.94,9.97,CLP
2015-02-16,9.95,10.01,9.91,10.01,CLP
2015-02-17,10.01,10.02,9.92,9.99,CLP
2015-02-18,9.98,10.01,9.93,9.99,CLP
2015-02-19,9.98,10.04,9.94,9.97,CLP
2015-02-20,9.96,9.96,9.87,9.92,CLP
2015-02-23,9.89,10.04,9.88,10.02,CLP
2015-02-24,10.01,10.06,9.94,9.95,CLP
2015-02-25,9.95,10.02,9.95,9.98,CLP
2015-02-26,9.97,10.05,9.95,10.04,CLP
2015-02-27,10.02,10.06,9.97,10.01,CLP
2015-03-02,10.0,10.02,9.94,9.96,CLP
2015-03-03,9.95,10.01,9.94,9.98,CLP
2015-03-04,9.97,10.0,9.9,9.93,CLP
2015-03-05,9.92,9.99,9.91,9.95,CLP
2015-03-06,9.93,10.06,9.92,10.02,CLP
2015-03-09,10.0,10.06,9.95,10.03,CLP
2015-03-10,10.02,10.15,9.99,10.13,CLP
2015-03-11,10.12,10.19,10.11,10.16,CLP
2015-03-12,10.15,10.22,10.09,10.14,CLP
2015-03-13,10.12,10.17,10.06,10.15,CLP
2015-03-16,10.13,10.22,10.13,10.21,CLP
2015-03-17,10.2,10.25,10.19,10.24,CLP
2015-03-18,10.23,10.27,10.13,10.14,CLP
2015-03-19,10.14,10.25,10.13,10.25,CLP
2015-03-20,10.23,10.27,10.09,10.12,CLP
2015-03-23,10.11,10.16,10.01,10.03,CLP
2015-03-24,10.02,10.05,9.94,9.98,CLP
2015-03-25,9.97,10.0,9.9,9.95,CLP
2015-03-26,9.93,9.95,9.86,9.91,CLP
2015-03-27,9.91,10.0,9.9,9.97,CLP
2015-03-30,9.96,10.07,9.93,10.03,CLP
2015-03-31,10.01,10.08,9.96,10.03,CLP
2015-04-01,10.02,10.04,9.9,9.94,CLP
2015-04-02,9.93,9.95,9.85,9.91,CLP
2015-04-03,9.9,9.94,9.88,9.93,CLP
2015-04-06,9.92,9.93,9.77,9.83,CLP
2015-04-07,9.83,9.86,9.77,9.79,CLP
2015-04-08,9.78,9.85,9.77,9.83,CLP
2015-04-09,9.82,9.91,9.8,9.89,CLP
2015-04-10,9.89,9.98,9.86,9.95,CLP
2015-04-13,9.94,9.99,9.84,9.88,CLP
2015-04-14,9.87,9.91,9.81,9.85,CLP
2015-04-15,9.84,9.92,9.81,9.84,CLP
2015-04-16,9.83,9.86,9.77,9.8,CLP
2015-04-17,9.79,9.85,9.76,9.78,CLP
