Date,Open,High,Low,Close,Currency
2015-01-01,0.3632,0.3632,0.3622,0.3631,CZK
2015-01-02,0.3631,0.365,0.3606,0.365,CZK
2015-01-04,0.3647,0.3666,0.3645,0.3666,CZK
2015-01-05,0.3662,0.367,0.3645,0.3665,CZK
2015-01-06,0.3664,0.3675,0.365,0.3667,CZK
2015-01-07,0.3665,0.3732,0.3662,0.372,CZK
2015-01-08,0.3721,0.3804,0.3716,0.3774,CZK
2015-01-09,0.3773,0.3856,0.3767,0.3824,CZK
2015-01-11,0.3827,0.3827,0.3797,0.3797,CZK
2015-01-12,0.3802,0.3877,0.3802,0.3853,CZK
2015-01-13,0.3856,0.3902,0.384,0.3848,CZK
2015-01-14,0.3852,0.3874,0.3824,0.3832,CZK
2015-01-15,0.3833,0.3917,0.3827,0.3862,CZK
2015-01-16,0.3858,0.394,0.3846,0.3907,CZK
2015-01-18,0.3906,0.3918,0.3894,0.3894,CZK
2015-01-19,0.3898,0.3919,0.3881,0.3906,CZK
2015-01-20,0.3909,0.3927,0.3882,0.3916,CZK
2015-01-21,0.3919,0.3931,0.3899,0.3906,CZK
2015-01-22,0.3911,0.4017,0.3886,0.3978,CZK
2015-01-23,0.3983,0.4069,0.3977,0.4027,CZK
2015-01-25,0.4024,0.4058,0.4024,0.4049,CZK
2015-01-26,0.4046,0.4046,0.3998,0.4015,CZK
2015-01-27,0.4011,0.4024,0.3977,0.3993,CZK
2015-01-28,0.3997,0.402,0.398,0.4011,CZK
2015-01-29,0.4007,0.4014,0.3959,0.3959,CZK
2015-01-30,0.396,0.3974,0.3948,0.3957,CZK
2015-02-01,0.3958,0.396,0.3947,0.396,CZK
2015-02-02,0.3958,0.3979,0.3938,0.3963,CZK
2015-02-03,0.3965,0.398,0.391,0.3934,CZK
2015-02-04,0.3934,0.3968,0.3915,0.3968,CZK
2015-02-05,0.3961,0.3961,0.3911,0.3911,CZK
2015-02-06,0.3917,0.3952,0.3911,0.3944,CZK
2015-02-08,0.3949,0.3957,0.3946,0.3946,CZK
2015-02-09,0.3951,0.3959,0.391,0.3942,CZK
2015-02-10,0.394,0.3961,0.3916,0.3925,CZK
2015-02-11,0.392,0.394,0.39,0.3916,CZK
2015-02-12,0.3915,0.3929,0.3896,0.3904,CZK
2015-02-13,0.3899,0.3908,0.3881,0.3899,CZK
2015-02-15,0.3902,0.3907,0.3902,0.3902,CZK
2015-02-16,0.3903,0.3933,0.3882,0.3916,CZK
2015-02-17,0.3922,0.3926,0.3882,0.3889,CZK
2015-02-18,0.3894,0.3896,0.3837,0.3853,CZK
2015-02-19,0.3852,0.3885,0.3835,0.387,CZK
2015-02-20,0.3872,0.3921,0.3863,0.3896,CZK
2015-02-22,0.3886,0.3895,0.3886,0.3895,CZK
2015-02-23,0.3895,0.3895,0.3881,0.3889,CZK
2015-02-24,0.3891,0.3918,0.3877,0.389,CZK
2015-02-25,0.3891,0.3905,0.3883,0.3905,CZK
2015-02-26,0.3899,0.4007,0.3889,0.3978,CZK
2015-02-27,0.398,0.4005,0.3948,0.3987,CZK
2015-03-01,0.399,0.3998,0.3989,0.3998,CZK
2015-03-02,0.3996,0.3998,0.3949,0.3975,CZK
2015-03-03,0.3976,0.398,0.3962,0.398,CZK
2015-03-04,0.3973,0.3988,0.3959,0.3979,CZK
2015-03-05,0.398,0.4002,0.3977,0.3992,CZK
2015-03-06,0.3961,0.3961,0.3961,0.3961,CZK
2015-03-08,0.4037,0.4037,0.4037,0.4037,CZK
2015-03-09,0.4037,0.4037,0.4037,0.4037,CZK
2015-03-10,0.4015,0.4015,0.4015,0.4015,CZK
2015-03-11,0.4063,0.4063,0.4063,0.4063,CZK
2015-03-12,0.4118,0.4118,0.4118,0.4118,CZK
2015-03-13,0.411,0.411,0.411,0.411,CZK
2015-03-15,0.4123,0.4123,0.4123,0.4123,CZK
2015-03-16,0.413,0.413,0.413,0.413,CZK
2015-03-17,0.4105,0.4105,0.4105,0.4105,CZK
2015-03-18,0.4105,0.4105,0.4105,0.4105,CZK
2015-03-19,0.4016,0.4016,0.4016,0.4016,CZK
2015-03-20,0.4115,0.4115,0.4115,0.4115,CZK
2015-03-22,0.4072,0.4072,0.4072,0.4072,CZK
2015-03-23,0.4064,0.4064,0.4064,0.4064,CZK
2015-03-24,0.4018,0.4018,0.4018,0.4018,CZK
2015-03-25,0.4035,0.4035,0.4035,0.4035,CZK
2015-03-26,0.3996,0.3996,0.3996,0.3996,CZK
2015-03-27,0.4018,0.4018,0.4018,0.4018,CZK
2015-03-29,0.4037,0.4037,0.4037,0.4037,CZK
2015-03-30,0.4037,0.4037,0.4037,0.4037,CZK
2015-03-31,0.406,0.406,0.406,0.406,CZK
2015-04-01,0.4117,0.4117,0.4117,0.4117,CZK
2015-04-02,0.4119,0.4119,0.4119,0.4119,CZK
2015-04-03,0.4083,0.4083,0.4083,0.4083,CZK
2015-04-05,0.4042,0.4042,0.4042,0.4042,CZK
2015-04-06,0.4034,0.4034,0.4034,0.4034,CZK
2015-04-07,0.4051,0.4071,0.4048,0.4063,CZK
2015-04-08,0.4062,0.4088,0.4037,0.4087,CZK
2015-04-09,0.4085,0.4139,0.4078,0.4131,CZK
2015-04-10,0.4124,0.4158,0.4115,0.4142,CZK
2015-04-12,0.415,0.415,0.4138,0.4138,CZK
2015-04-13,0.4141,0.4173,0.413,0.4145,CZK
2015-04-14,0.4147,0.4165,0.4101,0.4119,CZK
2015-04-15,0.4121,0.4162,0.4112,0.4115,CZK
2015-04-16,0.4121,0.4149,0.4072,0.409,CZK
2015-04-17,0.4094,0.41,0.4057,0.4065,CZK
2015-04-19,0.4064,0.4068,0.4054,0.4068,CZK
2015-04-20,0.4062,0.4092,0.4037,0.4046,CZK
2015-04-21,0.4039,0.4097,0.4039,0.4064,CZK
2015-04-22,0.4064,0.4076,0.4037,0.4057,CZK
2015-04-23,0.4059,0.4066,0.3995,0.4003,CZK
2015-04-24,0.4006,0.402,0.396,0.3968,CZK
2015-04-26,0.3963,0.397,0.3963,0.397,CZK
2015-04-27,0.3969,0.4002,0.3958,0.4002,CZK
2015-04-28,0.3999,0.4004,0.3958,0.3966,CZK
2015-04-29,0.3965,0.3965,0.3869,0.3887,CZK
2015-04-30,0.3885,0.3897,0.3832,0.3851,CZK
2015-05-01,0.3855,0.3858,0.3822,0.383,CZK
2015-05-03,0.3842,0.3852,0.3842,0.3852,CZK
2015-05-04,0.385,0.3871,0.383,0.3861,CZK
2015-05-05,0.3859,0.3893,0.3855,0.387,CZK
2015-05-06,0.3869,0.3869,0.3786,0.3794,CZK
2015-05-07,0.3796,0.3804,0.3746,0.3794,CZK
2015-05-08,0.3798,0.3851,0.3787,0.3842,CZK
2015-05-10,0.3847,0.3853,0.3846,0.3853,CZK
2015-05-11,0.3852,0.3866,0.3831,0.3839,CZK
2015-05-12,0.3841,0.3844,0.3779,0.3811,CZK
2015-05-13,0.3807,0.3824,0.3776,0.3776,CZK
2015-05-14,0.3779,0.3815,0.3759,0.3801,CZK
2015-05-15,0.3801,0.3806,0.3768,0.3768,CZK
2015-05-17,0.3773,0.3774,0.377,0.377,CZK
2015-05-18,0.3772,0.3811,0.3763,0.3795,CZK
2015-05-19,0.3796,0.3863,0.3795,0.3854,CZK
2015-05-20,0.3853,0.3875,0.3847,0.3872,CZK
2015-05-21,0.3868,0.3881,0.3839,0.3881,CZK
2015-05-22,0.3875,0.3927,0.3846,0.3927,CZK
2015-05-24,0.3925,0.3937,0.3923,0.3929,CZK
2015-05-25,0.3931,0.3937,0.3909,0.3926,CZK
2015-05-26,0.3923,0.3951,0.3917,0.3942,CZK
2015-05-27,0.3941,0.3951,0.3923,0.3946,CZK
2015-05-28,0.3944,0.3961,0.392,0.392,CZK
2015-05-29,0.3923,0.3939,0.3902,0.391,CZK
2015-05-31,0.3919,0.3928,0.3917,0.3928,CZK
2015-06-01,0.3926,0.3963,0.3921,0.3946,CZK
2015-06-02,0.3949,0.3949,0.3851,0.3867,CZK
2015-06-03,0.3869,0.3878,0.3804,0.3804,CZK
2015-06-04,0.3809,0.3831,0.3767,0.3822,CZK
2015-06-05,0.3822,0.387,0.38,0.3851,CZK
2015-06-07,0.3848,0.3876,0.3848,0.3876,CZK
2015-06-08,0.3875,0.3876,0.3792,0.38,CZK
2015-06-09,0.3799,0.3816,0.3781,0.3791,CZK
2015-06-10,0.3789,0.38,0.3766,0.3772,CZK
2015-06-11,0.3778,0.3815,0.3766,0.3789,CZK
2015-06-12,0.3793,0.3818,0.3774,0.3782,CZK
2015-06-14,0.3779,0.3798,0.3779,0.3798,CZK
2015-06-15,0.3795,0.3804,0.3769,0.3777,CZK
2015-06-16,0.3775,0.3784,0.3755,0.3776,CZK
2015-06-17,0.3777,0.3782,0.3745,0.3745,CZK
2015-06-18,0.3747,0.3769,0.3741,0.3761,CZK
2015-06-19,0.3763,0.3794,0.3755,0.3786,CZK
2015-06-21,0.3773,0.3779,0.3772,0.3779,CZK
2015-06-22,0.3778,0.3786,0.3758,0.3775,CZK
2015-06-23,0.3777,0.384,0.3775,0.3832,CZK
2015-06-24,0.3828,0.384,0.3808,0.3824,CZK
2015-06-25,0.3822,0.3845,0.3815,0.3823,CZK
2015-06-26,0.3826,0.3851,0.381,0.3843,CZK
2015-06-28,0.3898,0.3915,0.3896,0.3913,CZK
2015-06-29,0.3911,0.3911,0.3803,0.3811,CZK
2015-06-30,0.3817,0.3894,0.3806,0.3844,CZK
2015-07-01,0.3846,0.3887,0.384,0.3887,CZK
2015-07-02,0.3885,0.3885,0.3859,0.3876,CZK
2015-07-03,0.3877,0.3878,0.3843,0.3851,CZK
2015-07-05,0.3888,0.3898,0.3873,0.3881,CZK
2015-07-06,0.3888,0.389,0.3845,0.3881,CZK
2015-07-07,0.3879,0.3908,0.3865,0.3881,CZK
2015-07-08,0.3879,0.3891,0.385,0.3858,CZK
2015-07-09,0.3857,0.3893,0.3843,0.3868,CZK
