Date,Open,High,Low,Close,Currency
2015-01-04,0.0078,0.0078,0.0078,0.0078,CHF
2015-01-05,0.0078,0.0078,0.0078,0.0078,CHF
2015-01-06,0.0078,0.0078,0.0078,0.0078,CHF
2015-01-07,0.0078,0.0078,0.0078,0.0078,CHF
2015-01-08,0.0078,0.0078,0.0078,0.0078,CHF
2015-01-09,0.0078,0.0078,0.0078,0.0078,CHF
2015-01-11,0.0078,0.0078,0.0078,0.0078,CHF
2015-01-12,0.0078,0.0078,0.0078,0.0078,CHF
2015-01-13,0.0078,0.0078,0.0078,0.0078,CHF
2015-01-14,0.0078,0.0078,0.0078,0.0078,CHF
2015-01-15,0.0078,0.0078,0.0028,0.0033,CHF
2015-01-16,0.0033,0.0034,0.0032,0.0033,CHF
2015-01-19,0.0033,0.0033,0.0033,0.0033,CHF
2015-01-20,0.0033,0.0033,0.0033,0.0033,CHF
2015-01-21,0.0033,0.0033,0.0032,0.0033,CHF
2015-01-22,0.0033,0.0033,0.0032,0.0033,CHF
2015-01-23,0.0033,0.0033,0.0032,0.0033,CHF
2015-01-26,0.0032,0.0034,0.0032,0.0034,CHF
2015-01-27,0.0034,0.0034,0.0033,0.0034,CHF
2015-05-20,0.007,0.0071,0.007,0.007,CHF
2015-05-21,0.007,0.007,0.007,0.007,CHF
2015-05-22,0.007,0.0071,0.007,0.007,CHF
2015-05-24,0.007,0.007,0.007,0.007,CHF
2015-05-25,0.007,0.007,0.007,0.007,CHF
2015-05-26,0.007,0.0071,0.007,0.007,CHF
2015-05-27,0.007,0.007,0.007,0.007,CHF
2015-05-28,0.007,0.007,0.007,0.007,CHF
2015-05-29,0.007,0.007,0.007,0.007,CHF
2015-05-31,0.007,0.007,0.007,0.007,CHF
2015-06-01,0.007,0.007,0.007,0.007,CHF
2015-06-02,0.007,0.0071,0.007,0.0071,CHF
2015-06-03,0.0071,0.0071,0.007,0.0071,CHF
2015-06-04,0.0071,0.0071,0.0071,0.0071,CHF
2015-06-05,0.0071,0.0072,0.007,0.007,CHF
2015-06-07,0.007,0.007,0.007,0.007,CHF
2015-06-08,0.007,0.0071,0.007,0.007,CHF
2015-06-09,0.007,0.0071,0.007,0.007,CHF
2015-06-10,0.007,0.0071,0.007,0.007,CHF
2015-06-11,0.007,0.0071,0.007,0.007,CHF
2015-06-12,0.007,0.0071,0.007,0.007,CHF
2015-06-14,0.007,0.007,0.007,0.007,CHF
2015-06-15,0.007,0.0071,0.007,0.007,CHF
2015-06-16,0.007,0.0071,0.007,0.007,CHF
2015-06-17,0.007,0.007,0.007,0.007,CHF
2015-06-18,0.007,0.0071,0.007,0.007,CHF
2015-06-19,0.007,0.007,0.007,0.007,CHF
2015-06-21,0.007,0.007,0.007,0.007,CHF
2015-06-22,0.007,0.0071,0.007,0.007,CHF
2015-06-23,0.007,0.0071,0.007,0.0071,CHF
2015-06-24,0.0071,0.0071,0.007,0.0071,CHF
2015-06-25,0.0071,0.0071,0.0071,0.0071,CHF
2015-06-26,0.0071,0.0071,0.007,0.0071,CHF
