Date,Open,High,Low,Close,Currency
2015-01-04,0.0224,0.0224,0.0224,0.0224,BRL
2015-01-05,0.0224,0.0228,0.0224,0.0227,BRL
2015-01-06,0.0227,0.0229,0.0226,0.0228,BRL
2015-01-07,0.0228,0.0228,0.0224,0.0225,BRL
2015-01-08,0.0225,0.0226,0.0222,0.0222,BRL
2015-01-09,0.0222,0.0224,0.0221,0.0222,BRL
2015-01-11,0.0222,0.0222,0.0222,0.0222,BRL
2015-01-12,0.0222,0.0226,0.0221,0.0226,BRL
2015-01-13,0.0226,0.0227,0.0222,0.0224,BRL
2015-01-14,0.0224,0.0227,0.0223,0.0223,BRL
2015-01-15,0.0223,0.0228,0.0222,0.0228,BRL
2015-01-16,0.0228,0.0228,0.0222,0.0223,BRL
2015-01-18,0.0223,0.0223,0.0223,0.0223,BRL
2015-01-19,0.0223,0.0227,0.0223,0.0225,BRL
2015-01-20,0.0225,0.0225,0.022,0.022,BRL
2015-01-21,0.022,0.0223,0.022,0.0221,BRL
2015-01-22,0.0221,0.0221,0.0217,0.0217,BRL
2015-01-23,0.0217,0.022,0.0217,0.0219,BRL
2015-01-25,0.0219,0.0219,0.0219,0.0219,BRL
2015-01-26,0.0219,0.022,0.0218,0.0218,BRL
2015-01-27,0.0218,0.022,0.0218,0.0218,BRL
2015-01-28,0.0218,0.022,0.0218,0.0219,BRL
2015-01-29,0.0219,0.0221,0.0218,0.022,BRL
2015-01-30,0.022,0.0229,0.022,0.0228,BRL
2015-02-01,0.0228,0.0228,0.0228,0.0228,BRL
2015-02-02,0.0228,0.0233,0.0227,0.0232,BRL
2015-02-03,0.0232,0.0233,0.0229,0.0229,BRL
2015-02-04,0.0229,0.0234,0.0228,0.0234,BRL
2015-02-05,0.0234,0.0235,0.0232,0.0234,BRL
2015-02-06,0.0234,0.0236,0.0232,0.0234,BRL
2015-02-08,0.0234,0.0234,0.0234,0.0234,BRL
2015-02-09,0.0234,0.0236,0.0233,0.0234,BRL
2015-02-10,0.0234,0.0238,0.0233,0.0238,BRL
2015-02-11,0.0238,0.024,0.0236,0.0239,BRL
2015-02-12,0.0239,0.0241,0.0237,0.0237,BRL
2015-02-13,0.0237,0.024,0.0237,0.0239,BRL
2015-02-15,0.0239,0.0239,0.0239,0.0239,BRL
2015-02-16,0.0239,0.024,0.0238,0.0239,BRL
2015-02-17,0.0239,0.0239,0.0237,0.0237,BRL
2015-02-18,0.0237,0.0239,0.0237,0.0239,BRL
2015-02-19,0.0239,0.0241,0.0239,0.0241,BRL
2015-02-20,0.0241,0.0244,0.024,0.0241,BRL
2015-02-22,0.0241,0.0241,0.0241,0.0241,BRL
2015-02-23,0.0241,0.0244,0.024,0.0242,BRL
2015-02-24,0.0242,0.0242,0.0238,0.024,BRL
2015-02-25,0.024,0.0242,0.0238,0.0242,BRL
2015-02-26,0.0242,0.0244,0.0239,0.0244,BRL
2015-02-27,0.0244,0.0245,0.0237,0.0237,BRL
2015-03-01,0.0238,0.0238,0.0238,0.0238,BRL
2015-03-02,0.0238,0.0241,0.0237,0.0241,BRL
2015-03-03,0.0241,0.0245,0.0241,0.0245,BRL
2015-03-04,0.0245,0.0251,0.0245,0.0249,BRL
2015-03-05,0.0249,0.0251,0.0248,0.025,BRL
2015-03-06,0.025,0.0254,0.0249,0.0254,BRL
2015-03-08,0.0253,0.0253,0.0253,0.0253,BRL
2015-03-09,0.0253,0.0258,0.0253,0.0257,BRL
2015-03-10,0.0257,0.0261,0.0255,0.0257,BRL
2015-03-11,0.0257,0.0259,0.0254,0.0258,BRL
2015-03-12,0.0258,0.0262,0.0255,0.0261,BRL
2015-03-13,0.0261,0.0271,0.0261,0.0268,BRL
2015-03-15,0.0268,0.0268,0.0268,0.0268,BRL
2015-03-16,0.0268,0.0268,0.0264,0.0267,BRL
2015-03-17,0.0267,0.0271,0.0266,0.0268,BRL
2015-03-18,0.0268,0.0271,0.0266,0.0268,BRL
2015-03-19,0.0268,0.0274,0.0268,0.0273,BRL
2015-03-20,0.0273,0.0275,0.0266,0.0269,BRL
2015-03-22,0.0269,0.0269,0.0269,0.0269,BRL
2015-03-23,0.0269,0.027,0.0262,0.0262,BRL
2015-03-24,0.0262,0.0265,0.0259,0.0262,BRL
2015-03-25,0.0262,0.0268,0.0261,0.0268,BRL
2015-03-26,0.0268,0.0271,0.0266,0.0267,BRL
2015-03-27,0.0267,0.0273,0.0266,0.0273,BRL
2015-03-29,0.0272,0.0272,0.0272,0.0272,BRL
2015-03-30,0.0272,0.0274,0.0267,0.0269,BRL
2015-03-31,0.0269,0.0272,0.0264,0.0266,BRL
2015-04-01,0.0266,0.0267,0.0262,0.0265,BRL
2015-04-02,0.0265,0.0266,0.026,0.0261,BRL
2015-04-03,0.0261,0.0262,0.0261,0.0262,BRL
2015-04-05,0.0261,0.0261,0.0261,0.0261,BRL
2015-04-06,0.0261,0.0262,0.0259,0.0262,BRL
2015-04-07,0.0262,0.0262,0.0258,0.026,BRL
2015-04-08,0.026,0.0262,0.0254,0.0254,BRL
2015-04-09,0.0254,0.0255,0.0252,0.0254,BRL
2015-04-10,0.0254,0.0257,0.0254,0.0256,BRL
2015-04-12,0.0256,0.0256,0.0256,0.0256,BRL
2015-04-13,0.0256,0.026,0.0255,0.026,BRL
2015-04-14,0.026,0.0261,0.0256,0.0257,BRL
2015-04-15,0.0257,0.0259,0.0254,0.0254,BRL
2015-04-16,0.0254,0.0255,0.0252,0.0254,BRL
2015-04-17,0.0254,0.0258,0.0253,0.0256,BRL
